"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/layers/rate_change/limit_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/limit_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/limit_change","limit_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/deductible_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/deductible_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/deductible_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/deductible_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/deductible_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/deductible_change","deductible_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/terms_conditions_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/terms_conditions_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/terms_conditions_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/terms_conditions_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/terms_conditions_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/terms_conditions_change","terms_conditions_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/other_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/other_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/other_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/other_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/other_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/other_change","other_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/brokerage_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/brokerage_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/brokerage_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/brokerage_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/brokerage_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/brokerage_change","brokerage_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/rate_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","[]"
"cds/layers/rate_change/rate_change/uw_selected","uw_selected","float","output","n/a","UW Selected","n/a","n/a","[]"
"cds/layers/rate_change/rate_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/rate_change/lloyds_limit_attachment_point_change","lloyds_limit_attachment_point_change","float","output","n/a","Lloyds's Limit Attachment Point Change","n/a","n/a","n/a"
"cds/layers/rate_change/rate_change/lloyds_breadth_of_cover_change","lloyds_breadth_of_cover_change","float","output","n/a","Lloyds's Breadth of Cover Change","n/a","n/a","n/a"
"cds/layers/rate_change/rate_change/other_factors_change","other_factors_change","float","output","n/a","Other Factors Change","n/a","n/a","n/a"
"cds/layers/rate_change/rate_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/rate_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
