StateCounty,Unknown,No,Yes
AZPima County,0.0000000000000000000,0.0000000000000000000,0.0997689891515690000
AZPinal County,0.0000000000000000000,0.0000000000000000000,0.0997206867391991000
AZSanta Cruz County,0.0000000000000000000,0.0000000000000000000,0.0999332813493614000
AZYavapai County,0.0000000000000000000,0.0000000000000000000,0.0999045322695316000
AZYuma County,0.0000000000000000000,0.0000000000000000000,0.0999100073752421000
CAAlameda County,0.0000000000000000000,0.0000000000000000000,0.0801417825650401000
CAAlpine County,0.0000000000000000000,0.0000000000000000000,0.0998865708177792000
CAAmador County,0.0000000000000000000,0.0000000000000000000,0.0998789528151949000
CAButte County,0.0000000000000000000,0.0000000000000000000,0.0999596161340452000
CACalaveras County,0.0000000000000000000,0.0000000000000000000,0.0998753473792802000
CAColusa County,0.0000000000000000000,0.0000000000000000000,0.0960110791551112000
CAContra Costa County,0.0000000000000000000,0.0000000000000000000,0.0962812434862892000
CADel Norte County,0.0000000000000000000,0.0000000000000000000,0.0943354104476588000
CAEl Dorado County,0.0000000000000000000,0.0000000000000000000,0.0994976704492629000
CAFresno County,0.0000000000000000000,0.0000000000000000000,0.0999147883515135000
CAGlenn County,0.0000000000000000000,0.0000000000000000000,0.0969542959467244000
CAHumboldt County,0.0000000000000000000,0.0000000000000000000,0.0984538495903464000
CAImperial County,0.0000000000000000000,0.0000000000000000000,0.0769913377562301000
CAInyo County,0.0000000000000000000,0.0000000000000000000,0.0998816655477122000
CAKern County,0.0000000000000000000,0.0000000000000000000,0.0996109557790688000
CAKings County,0.0000000000000000000,0.0000000000000000000,0.0999758064337883000
CALake County,0.0000000000000000000,0.0000000000000000000,0.0998699713548776000
CALassen County,0.0000000000000000000,0.0000000000000000000,0.0999612253790649000
CALos Angeles County,0.0000000000000000000,0.0000000000000000000,0.0920690706195382000
CAMadera County,0.0000000000000000000,0.0000000000000000000,0.0998350810621689000
CAMarin County,0.0000000000000000000,0.0000000000000000000,0.0999303944854626000
CAMariposa County,0.0000000000000000000,0.0000000000000000000,0.0998365407176827000
CAMendocino County,0.0000000000000000000,0.0000000000000000000,0.0997832044846481000
CAMerced County,0.0000000000000000000,0.0000000000000000000,0.0973254376396724000
CAModoc County,0.0000000000000000000,0.0000000000000000000,0.0999631908599594000
CAMono County,0.0000000000000000000,0.0000000000000000000,0.0998982469762253000
CAMonterey County,0.0000000000000000000,0.0000000000000000000,0.0964643588357972000
CANapa County,0.0000000000000000000,0.0000000000000000000,0.0980116872061834000
CANevada County,0.0000000000000000000,0.0000000000000000000,0.0998198110121082000
CAOrange County,0.0000000000000000000,0.0000000000000000000,0.0955842036312129000
CAPlacer County,0.0000000000000000000,0.0000000000000000000,0.0997410965789385000
CAPlumas County,0.0000000000000000000,0.0000000000000000000,0.0999426011298761000
CARiverside County,0.0000000000000000000,0.0000000000000000000,0.0951344770054170000
CASacramento County,0.0000000000000000000,0.0000000000000000000,0.0550971430837648000
CASan Benito County,0.0000000000000000000,0.0000000000000000000,0.0994067500290274000
CASan Bernardino County,0.0000000000000000000,0.0000000000000000000,0.0994125983255174000
CASan Diego County,0.0000000000000000000,0.0000000000000000000,0.0938797606106201000
CASan Francisco County,0.0000000000000000000,0.0000000000000000000,0.0562587680236870000
CASan Joaquin County,0.0000000000000000000,0.0000000000000000000,0.0973056982536002000
CASan Luis Obispo County,0.0000000000000000000,0.0000000000000000000,0.0985932133687455000
CASan Mateo County,0.0000000000000000000,0.0000000000000000000,0.0870076914973790000
CASanta Barbara County,0.0000000000000000000,0.0000000000000000000,0.0987039487051200000
CASanta Clara County,0.0000000000000000000,0.0000000000000000000,0.0950414550330567000
CASanta Cruz County,0.0000000000000000000,0.0000000000000000000,0.0991553108403367000
CAShasta County,0.0000000000000000000,0.0000000000000000000,0.0991707041585532000
CASierra County,0.0000000000000000000,0.0000000000000000000,0.0999078567694245000
CASiskiyou County,0.0000000000000000000,0.0000000000000000000,0.0999653491812533000
CASolano County,0.0000000000000000000,0.0000000000000000000,0.0948792368924600000
CASonoma County,0.0000000000000000000,0.0000000000000000000,0.0985232360533776000
CAStanislaus County,0.0000000000000000000,0.0000000000000000000,0.0995594045639940000
CASutter County,0.0000000000000000000,0.0000000000000000000,0.0890939087718272000
CATehama County,0.0000000000000000000,0.0000000000000000000,0.1000362696601540000
CATrinity County,0.0000000000000000000,0.0000000000000000000,0.0997807917241740000
