StateCounty,Unknown,Little or None,Average,Extensive
ALCoffee County,0.000000000000000000,-0.009661324071753800,0.000000000000000000,0.049498743442491600
ALColbert County,0.000000000000000000,-0.009784718905075820,0.000000000000000000,0.049423024553890000
ALConecuh County,0.000000000000000000,-0.009606156048742490,0.000000000000000000,0.048955919295128300
ALCoosa County,0.000000000000000000,-0.009621030040745770,0.000000000000000000,0.049190307992061300
ALCovington County,0.000000000000000000,-0.009614706538942030,0.000000000000000000,0.049158451904796700
ALCrenshaw County,0.000000000000000000,-0.009663208138829260,0.000000000000000000,0.049199201731341800
ALCullman County,0.000000000000000000,-0.009702278185957700,0.000000000000000000,0.049287633767574500
ALDale County,0.000000000000000000,-0.009636453546394530,0.000000000000000000,0.049147803569131300
ALDallas County,0.000000000000000000,-0.009752282621064650,0.000000000000000000,0.049513698306476600
ALDekalb County,0.000000000000000000,-0.009800653112291610,0.000000000000000000,0.049613813669931300
ALElmore County,0.000000000000000000,-0.009357444454175630,0.000000000000000000,0.048699774407025000
ALEscambia County,0.000000000000000000,-0.009481337505794720,0.000000000000000000,0.048904298629089100
ALEtowah County,0.000000000000000000,-0.009499829524606150,0.000000000000000000,0.048891319251998600
ALFayette County,0.000000000000000000,-0.009831276227962650,0.000000000000000000,0.049641910826912400
ALFranklin County,0.000000000000000000,-0.009955561752280070,0.000000000000000000,0.049874025094055700
ALGeneva County,0.000000000000000000,-0.009562499853930870,0.000000000000000000,0.048957499347620900
ALGreene County,0.000000000000000000,-0.009716785536358690,0.000000000000000000,0.049009460115603700
ALHale County,0.000000000000000000,-0.009736070658305060,0.000000000000000000,0.049305794972912100
ALHenry County,0.000000000000000000,-0.009696259885645040,0.000000000000000000,0.049405942589108000
ALHouston County,0.000000000000000000,-0.009600545221534310,0.000000000000000000,0.049116535895483900
ALJackson County,0.000000000000000000,-0.009821875379620760,0.000000000000000000,0.049567166596016500
ALJefferson County,0.000000000000000000,-0.008793140034906170,0.000000000000000000,0.048306129066259000
ALLamar County,0.000000000000000000,-0.009923543230790590,0.000000000000000000,0.049650489516652500
ALLauderdale County,0.000000000000000000,-0.009908374204543490,0.000000000000000000,0.049786696677140500
ALLawrence County,0.000000000000000000,-0.009770187131181050,0.000000000000000000,0.049459383781685000
ALLee County,0.000000000000000000,-0.009312625263297010,0.000000000000000000,0.048241695071477700
ALLimestone County,0.000000000000000000,-0.009629095303669180,0.000000000000000000,0.049317737972892400
ALLowndes County,0.000000000000000000,-0.009587814550979120,0.000000000000000000,0.049505558231806900
ALMacon County,0.000000000000000000,-0.009484146275804410,0.000000000000000000,0.048946034276307900
ALMadison County,0.000000000000000000,-0.009350031156088460,0.000000000000000000,0.049115647560398200
ALMarengo County,0.000000000000000000,-0.009819005586216960,0.000000000000000000,0.049478024115189500
ALMarion County,0.000000000000000000,-0.009922756914897630,0.000000000000000000,0.049788852076015000
ALMarshall County,0.000000000000000000,-0.009693604802409550,0.000000000000000000,0.049370973061711800
ALMobile County,0.000000000000000000,-0.008919634606956770,0.000000000000000000,0.047363298788580100
ALMonroe County,0.000000000000000000,-0.009645702486271950,0.000000000000000000,0.048966768608338400
ALMontgomery County,0.000000000000000000,-0.009160570350233880,0.000000000000000000,0.048486935277604500
ALMorgan County,0.000000000000000000,-0.009571915345141240,0.000000000000000000,0.049118193081188600
ALPerry County,0.000000000000000000,-0.009791137931262850,0.000000000000000000,0.049666042899226400
ALPickens County,0.000000000000000000,-0.009845943143969030,0.000000000000000000,0.049677483095620600
ALPike County,0.000000000000000000,-0.009720282005649450,0.000000000000000000,0.049599084216476600
ALRandolph County,0.000000000000000000,-0.009568392520325930,0.000000000000000000,0.049218672672089100
ALRussell County,0.000000000000000000,-0.009356075529206250,0.000000000000000000,0.048657650297309500
ALShelby County,0.000000000000000000,-0.009126127702571480,0.000000000000000000,0.048678354274719800
ALSt. Clair County,0.000000000000000000,-0.009318587582234810,0.000000000000000000,0.048845331829056500
ALSumter County,0.000000000000000000,-0.009893995216070480,0.000000000000000000,0.049689616288791200
ALTalladega County,0.000000000000000000,-0.009562146577303140,0.000000000000000000,0.049195233929814100
ALTallapoosa County,0.000000000000000000,-0.009668960505261560,0.000000000000000000,0.049346769815074900
ALTuscaloosa County,0.000000000000000000,-0.009293888873822540,0.000000000000000000,0.047994615932276800
ALWalker County,0.000000000000000000,-0.009710090297465830,0.000000000000000000,0.049445423092433000
ALWashington County,0.000000000000000000,-0.009548731541131120,0.000000000000000000,0.048638110264383400
ALWilcox County,0.000000000000000000,-0.009706737189045690,0.000000000000000000,0.049112798665628600
ALWinston County,0.000000000000000000,-0.009837981273336350,0.000000000000000000,0.049603360979739700
ARArkansas County,0.000000000000000000,-0.008636521476449890,0.000000000000000000,0.050549425306824800
ARAshley County,0.000000000000000000,-0.009426409129381530,0.000000000000000000,0.050563352910827100
ARBaxter County,0.000000000000000000,-0.009846613897787520,0.000000000000000000,0.049628842595066600
ARBenton County,0.000000000000000000,-0.009507119224404950,0.000000000000000000,0.049177394099367400
ARBoone County,0.000000000000000000,-0.009831785263831220,0.000000000000000000,0.049662192477752500
ARBradley County,0.000000000000000000,-0.009435449135115630,0.000000000000000000,0.050489957556335800
ARCalhoun County,0.000000000000000000,-0.009430531036797580,0.000000000000000000,0.050475528637450500
ARCarroll County,0.000000000000000000,-0.009764049318641390,0.000000000000000000,0.049552116695231100
ARChicot County,0.000000000000000000,-0.009264654445469420,0.000000000000000000,0.050410908121029800
ARClark County,0.000000000000000000,-0.009571760532951390,0.000000000000000000,0.049224970664846400
ARClay County,0.000000000000000000,-0.007921634166220160,0.000000000000000000,0.048715900808857100
ARCleburne County,0.000000000000000000,-0.009687953024675290,0.000000000000000000,0.049921845106797500
ARCleveland County,0.000000000000000000,-0.009415317113207530,0.000000000000000000,0.050524341460528500
ARColumbia County,0.000000000000000000,-0.009575852346065170,0.000000000000000000,0.049413508281856300
ARConway County,0.000000000000000000,-0.009637840783494390,0.000000000000000000,0.049765790823876000
ARCraighead County,0.000000000000000000,-0.007890313727829220,0.000000000000000000,0.050188877785486400
ARCrawford County,0.000000000000000000,-0.009645865105934240,0.000000000000000000,0.049645331885671100
ARCrittenden County,0.000000000000000000,-0.007446587622740310,0.000000000000000000,0.048833286028306300
ARCross County,0.000000000000000000,-0.007481339338011870,0.000000000000000000,0.048855631719933300
ARDallas County,0.000000000000000000,-0.009503986251937160,0.000000000000000000,0.050311005486195700
ARDesha County,0.000000000000000000,-0.008991541961310360,0.000000000000000000,0.050936325322403800
ARDrew County,0.000000000000000000,-0.009241612786714650,0.000000000000000000,0.050678917055915200
ARFaulkner County,0.000000000000000000,-0.009550912383303740,0.000000000000000000,0.049768933100983800
ARFranklin County,0.000000000000000000,-0.009693428533662510,0.000000000000000000,0.049470578640291600
ARFulton County,0.000000000000000000,-0.009951228704581760,0.000000000000000000,0.049995648709039400
ARGarland County,0.000000000000000000,-0.009352654229627390,0.000000000000000000,0.048623537770993200
ARGrant County,0.000000000000000000,-0.009289204971643540,0.000000000000000000,0.050457060088352300
ARGreene County,0.000000000000000000,-0.008722035116476510,0.000000000000000000,0.051026503230786200
ARHempstead County,0.000000000000000000,-0.009652620060541130,0.000000000000000000,0.049382479871675300
