StateCounty,Unknown,No,Yes
ALMarengo County,0.00000000000000000,-0.04927341223435580,0.24187055546256500
ALMarion County,0.00000000000000000,-0.04970912603249710,0.24549583409034300
ALMarshall County,0.00000000000000000,-0.04886766761519870,0.24323822442644400
ALMobile County,0.00000000000000000,-0.04555169378049970,0.22807103691663500
ALMonroe County,0.00000000000000000,-0.04853041105373630,0.23911433753477200
ALMontgomery County,0.00000000000000000,-0.04680237029823870,0.23426224014909300
ALMorgan County,0.00000000000000000,-0.04847067130872900,0.23967263517614100
ALPerry County,0.00000000000000000,-0.04922652604403590,0.24383025571105800
ALPickens County,0.00000000000000000,-0.04941795519147160,0.24418710151160300
ALPike County,0.00000000000000000,-0.04894715101123800,0.24336391928663100
ALRandolph County,0.00000000000000000,-0.04845103314028500,0.24100560250926300
ALRussell County,0.00000000000000000,-0.04761836340955030,0.23620964981011900
ALShelby County,0.00000000000000000,-0.04684753306325920,0.23538651574823900
ALSt. Clair County,0.00000000000000000,-0.04750591275005040,0.23790725115139700
ALSumter County,0.00000000000000000,-0.04956206780120130,0.24412259639447800
ALTalladega County,0.00000000000000000,-0.04841359768114880,0.24057690237347500
ALTallapoosa County,0.00000000000000000,-0.04883500158437100,0.24329556669592700
ALTuscaloosa County,0.00000000000000000,-0.04721236604916170,0.23315678641711200
ALWalker County,0.00000000000000000,-0.04894296400946100,0.24327687760426100
ALWashington County,0.00000000000000000,-0.04812225678778150,0.23838540247023400
ALWilcox County,0.00000000000000000,-0.04879503784088730,0.24035851711275800
ALWinston County,0.00000000000000000,-0.04936709082360290,0.24545047536935000
ARArkansas County,0.00000000000000000,-0.04569646807874350,0.24302095483804100
ARAshley County,0.00000000000000000,-0.04834556696188790,0.24911028637127500
ARBaxter County,0.00000000000000000,-0.04943418974856720,0.24631560534725600
ARBenton County,0.00000000000000000,-0.04822977413257930,0.24145925287082600
ARBoone County,0.00000000000000000,-0.04939193119712940,0.24554441254556900
ARBradley County,0.00000000000000000,-0.04834814752111290,0.24857854085361400
ARCalhoun County,0.00000000000000000,-0.04833468392681460,0.24871895682104400
ARCarroll County,0.00000000000000000,-0.04916377511442330,0.24447827334678200
ARChicot County,0.00000000000000000,-0.04773676870630420,0.24761679808383500
ARClark County,0.00000000000000000,-0.04840081297706070,0.24206148229969400
ARClay County,0.00000000000000000,-0.04271447648473240,0.23184433094179100
ARCleburne County,0.00000000000000000,-0.04902777980329400,0.24650596315594800
ARCleveland County,0.00000000000000000,-0.04828083608072890,0.24854721517668400
ARColumbia County,0.00000000000000000,-0.04853123095056670,0.24298222946768800
ARConway County,0.00000000000000000,-0.04880132361299230,0.24548800075554300
ARCraighead County,0.00000000000000000,-0.04298214870853300,0.23301719391212900
ARCrawford County,0.00000000000000000,-0.04873023318431270,0.24389628754163400
ARCrittenden County,0.00000000000000000,-0.04113029525242210,0.22693017719358200
ARCross County,0.00000000000000000,-0.04151809178338370,0.22132833046033300
ARDallas County,0.00000000000000000,-0.04851160957741330,0.24804869440132600
ARDesha County,0.00000000000000000,-0.04700431025765160,0.24873200347021200
ARDrew County,0.00000000000000000,-0.04776087583034140,0.24855815968743600
ARFaulkner County,0.00000000000000000,-0.04852255110526130,0.24506173364164400
ARFranklin County,0.00000000000000000,-0.04882677316862030,0.24354665585635300
ARFulton County,0.00000000000000000,-0.04984541000719940,0.24941930798739400
ARGarland County,0.00000000000000000,-0.04761936596285720,0.23671457860380800
ARGrant County,0.00000000000000000,-0.04786682716692630,0.24775507320240900
ARGreene County,0.00000000000000000,-0.04620496049196100,0.24653759001531600
ARHempstead County,0.00000000000000000,-0.04869230554299760,0.24284232844144900
