StateCounty,Unknown,No Signs of Fatigue / Good Maintenance,Few Signs of Fatigue / Average Maintenance,Obvious Signs of Fatigue / Poor Maintenance
AZSanta Cruz County,0.000000000000000000,0.000000000000000000,0.049981154120326100,0.099933281349361400
AZYavapai County,0.000000000000000000,0.000000000000000000,0.049988572709076500,0.099904532269531600
AZYuma County,0.000000000000000000,0.000000000000000000,0.049955235578922600,0.099910007375242100
CAAlameda County,0.000000000000000000,0.000000000000000000,0.041270629976289700,0.080141782565040100
CAAlpine County,0.000000000000000000,0.000000000000000000,0.049943400758565300,0.099886570817779200
CAAmador County,0.000000000000000000,0.000000000000000000,0.049943095556906200,0.099878952815194900
CAButte County,0.000000000000000000,0.000000000000000000,0.049999077198070500,0.099959616134045200
CACalaveras County,0.000000000000000000,0.000000000000000000,0.049944140717890900,0.099875347379280200
CAColusa County,0.000000000000000000,0.000000000000000000,0.048049094696919600,0.096011079155111200
CAContra Costa County,0.000000000000000000,0.000000000000000000,0.048933785897810900,0.096281243486289200
CADel Norte County,0.000000000000000000,0.000000000000000000,0.047438440594251600,0.094335410447658800
CAEl Dorado County,0.000000000000000000,0.000000000000000000,0.049751135868966400,0.099497670449262900
CAFresno County,0.000000000000000000,0.000000000000000000,0.049999382739452000,0.099914788351513500
CAGlenn County,0.000000000000000000,0.000000000000000000,0.048518786303972700,0.096954295946724400
CAHumboldt County,0.000000000000000000,0.000000000000000000,0.049301312535585000,0.098453849590346400
CAImperial County,0.000000000000000000,0.000000000000000000,0.038747609245278100,0.076991337756230100
CAInyo County,0.000000000000000000,0.000000000000000000,0.049940896959617600,0.099881665547712200
CAKern County,0.000000000000000000,0.000000000000000000,0.050233167449468000,0.099610955779068800
CAKings County,0.000000000000000000,0.000000000000000000,0.050035679734526100,0.099975806433788300
CALake County,0.000000000000000000,0.000000000000000000,0.050008922025656100,0.099869971354877600
CALassen County,0.000000000000000000,0.000000000000000000,0.049981169837763200,0.099961225379064900
CALos Angeles County,0.000000000000000000,0.000000000000000000,0.046714282700448100,0.092069070619538200
CAMadera County,0.000000000000000000,0.000000000000000000,0.049924986922762700,0.099835081062168900
CAMarin County,0.000000000000000000,0.000000000000000000,0.050763528666692800,0.099930394485462600
CAMariposa County,0.000000000000000000,0.000000000000000000,0.049918452836609000,0.099836540717682700
CAMendocino County,0.000000000000000000,0.000000000000000000,0.049995231526993400,0.099783204484648100
CAMerced County,0.000000000000000000,0.000000000000000000,0.048690153883040400,0.097325437639672400
CAModoc County,0.000000000000000000,0.000000000000000000,0.049981632942609500,0.099963190859959400
CAMono County,0.000000000000000000,0.000000000000000000,0.049949174097292600,0.099898246976225300
CAMonterey County,0.000000000000000000,0.000000000000000000,0.048393429414448400,0.096464358835797200
CANapa County,0.000000000000000000,0.000000000000000000,0.049280377989921400,0.098011687206183400
CANevada County,0.000000000000000000,0.000000000000000000,0.049910054540152100,0.099819811012108200
CAOrange County,0.000000000000000000,0.000000000000000000,0.048244884558901400,0.095584203631212900
CAPlacer County,0.000000000000000000,0.000000000000000000,0.049879943210933400,0.099741096578938500
CAPlumas County,0.000000000000000000,0.000000000000000000,0.049972472102586900,0.099942601129876100
CARiverside County,0.000000000000000000,0.000000000000000000,0.048151616112500400,0.095134477005417000
CASacramento County,0.000000000000000000,0.000000000000000000,0.027612003657226300,0.055097143083764800
CASan Benito County,0.000000000000000000,0.000000000000000000,0.050241631944571300,0.099406750029027400
CASan Bernardino County,0.000000000000000000,0.000000000000000000,0.050374656576405800,0.099412598325517400
CASan Diego County,0.000000000000000000,0.000000000000000000,0.047200118806756100,0.093879760610620100
CASan Francisco County,0.000000000000000000,0.000000000000000000,0.028548113210437700,0.056258768023687000
CASan Joaquin County,0.000000000000000000,0.000000000000000000,0.048713108175739300,0.097305698253600200
CASan Luis Obispo County,0.000000000000000000,0.000000000000000000,0.049682646480630100,0.098593213368745500
CASan Mateo County,0.000000000000000000,0.000000000000000000,0.044440195412227300,0.087007691497379000
CASanta Barbara County,0.000000000000000000,0.000000000000000000,0.049766748836950400,0.098703948705120000
CASanta Clara County,0.000000000000000000,0.000000000000000000,0.048127391929206900,0.095041455033056700
CASanta Cruz County,0.000000000000000000,0.000000000000000000,0.049958515467340800,0.099155310840336700
CAShasta County,0.000000000000000000,0.000000000000000000,0.049684088528721700,0.099170704158553200
CASierra County,0.000000000000000000,0.000000000000000000,0.049953980819163800,0.099907856769424500
CASiskiyou County,0.000000000000000000,0.000000000000000000,0.050157470664579300,0.099965349181253300
CASolano County,0.000000000000000000,0.000000000000000000,0.047855697284328700,0.094879236892460000
CASonoma County,0.000000000000000000,0.000000000000000000,0.050080431139550000,0.098523236053377600
CAStanislaus County,0.000000000000000000,0.000000000000000000,0.049798559049642600,0.099559404563994000
CASutter County,0.000000000000000000,0.000000000000000000,0.044584099982240200,0.089093908771827200
CATehama County,0.000000000000000000,0.000000000000000000,0.050104262769471700,0.100036269660154000
CATrinity County,0.000000000000000000,0.000000000000000000,0.050081026733988200,0.099780791724174000
CATulare County,0.000000000000000000,0.000000000000000000,0.049967605852581500,0.099931518862243800
CATuolumne County,0.000000000000000000,0.000000000000000000,0.049921396707455700,0.099841892891213700
CAVentura County,0.000000000000000000,0.000000000000000000,0.047889475695653800,0.094641780001774300
CAYolo County,0.000000000000000000,0.000000000000000000,0.046861864430977500,0.093493275842326400
CAYuba County,0.000000000000000000,0.000000000000000000,0.049488194834696400,0.098966538027137200
COAdams County,0.000000000000000000,0.000000000000000000,0.050174132242948100,0.099242733464437700
COAlamosa County,0.000000000000000000,0.000000000000000000,0.049961959030215600,0.099923861166030200
COArapahoe County,0.000000000000000000,0.000000000000000000,0.050303574224100500,0.099361640509759700
COArchuleta County,0.000000000000000000,0.000000000000000000,0.049962857126343700,0.099925297265633300
COBaca County,0.000000000000000000,0.000000000000000000,0.049973659578228300,0.099947167559712600
COBent County,0.000000000000000000,0.000000000000000000,0.049914040430149700,0.099826822786627900
