state_code,county,state_county,us_ws_cat_limit_zone,us_eq_cat_limit_zone
AR,St. Francis County,ARSt. Francis County,3,1
AR,Stone County,ARStone County,3,3
AR,Union County,ARUnion County,3,3
AR,Van Buren County,ARVan Buren County,3,3
AR,Washington County,ARWashington County,3,3
AR,White County,ARWhite County,3,2
AR,Woodruff County,ARWoodruff County,3,2
AR,Yell County,ARYell County,3,3
AZ,Apache County,AZApache County,3,3
AZ,Cochise County,AZCochise County,3,3
AZ,Coconino County,AZCoconino County,3,3
AZ,Gila County,AZGila County,3,3
AZ,Graham County,AZGraham County,3,3
AZ,Greenlee County,AZGreenlee County,3,3
AZ,La Paz County,AZLa Paz County,3,3
AZ,Maricopa County,AZMaricopa County,3,3
AZ,Mohave County,AZMohave County,3,3
AZ,Navajo County,AZNavajo County,3,3
AZ,Pima County,AZPima County,3,3
AZ,Pinal County,AZPinal County,3,3
AZ,Santa Cruz County,AZSanta Cruz County,3,3
AZ,Yavapai County,AZYavapai County,3,3
AZ,Yuma County,AZYuma County,3,3
CA,Alameda County,CAAlameda County,3,1
CA,Alpine County,CAAlpine County,3,1
CA,Amador County,CAAmador County,3,1
CA,Butte County,CAButte County,3,1
CA,Calaveras County,CACalaveras County,3,1
CA,Colusa County,CAColusa County,3,1
CA,Contra Costa County,CAContra Costa County,3,1
CA,Del Norte County,CADel Norte County,3,1
CA,El Dorado County,CAEl Dorado County,3,1
CA,Fresno County,CAFresno County,3,1
CA,Glenn County,CAGlenn County,3,1
CA,Humboldt County,CAHumboldt County,3,1
CA,Imperial County,CAImperial County,3,1
CA,Inyo County,CAInyo County,3,1
CA,Kern County,CAKern County,3,1
CA,Kings County,CAKings County,3,1
CA,Lake County,CALake County,3,1
CA,Lassen County,CALassen County,3,1
CA,Los Angeles County,CALos Angeles County,3,1
CA,Madera County,CAMadera County,3,1
CA,Marin County,CAMarin County,3,1
CA,Mariposa County,CAMariposa County,3,1
CA,Mendocino County,CAMendocino County,3,1
CA,Merced County,CAMerced County,3,1
CA,Modoc County,CAModoc County,3,1
CA,Mono County,CAMono County,3,1
CA,Monterey County,CAMonterey County,3,1
CA,Napa County,CANapa County,3,1
CA,Nevada County,CANevada County,3,1
CA,Orange County,CAOrange County,3,1
CA,Placer County,CAPlacer County,3,1
CA,Plumas County,CAPlumas County,3,1
CA,Riverside County,CARiverside County,3,1
CA,Sacramento County,CASacramento County,3,1
CA,San Benito County,CASan Benito County,3,1
CA,San Bernardino County,CASan Bernardino County,3,1
CA,San Diego County,CASan Diego County,3,1
CA,San Francisco County,CASan Francisco County,3,1
CA,San Joaquin County,CASan Joaquin County,3,1
CA,San Luis Obispo County,CASan Luis Obispo County,3,1
CA,San Mateo County,CASan Mateo County,3,1
CA,Santa Barbara County,CASanta Barbara County,3,1
CA,Santa Clara County,CASanta Clara County,3,1
CA,Santa Cruz County,CASanta Cruz County,3,1
CA,Shasta County,CAShasta County,3,1
CA,Sierra County,CASierra County,3,1
CA,Siskiyou County,CASiskiyou County,3,1
CA,Solano County,CASolano County,3,1
CA,Sonoma County,CASonoma County,3,1
CA,Stanislaus County,CAStanislaus County,3,1
CA,Sutter County,CASutter County,3,1
CA,Tehama County,CATehama County,3,1
CA,Trinity County,CATrinity County,3,1
CA,Tulare County,CATulare County,3,1
CA,Tuolumne County,CATuolumne County,3,1
CA,Ventura County,CAVentura County,3,1
CA,Yolo County,CAYolo County,3,1
CA,Yuba County,CAYuba County,3,1
CO,Adams County,COAdams County,3,3
CO,Alamosa County,COAlamosa County,3,3
CO,Arapahoe County,COArapahoe County,3,3
CO,Archuleta County,COArchuleta County,3,3
CO,Baca County,COBaca County,3,3
CO,Bent County,COBent County,3,3
CO,Boulder County,COBoulder County,3,3
CO,Broomfield County,COBroomfield County,3,3
CO,Chaffee County,COChaffee County,3,3
CO,Cheyenne County,COCheyenne County,3,3
CO,Clear Creek County,COClear Creek County,3,3
CO,Conejos County,COConejos County,3,3
CO,Costilla County,COCostilla County,3,3
CO,Crowley County,COCrowley County,3,3
CO,Custer County,COCuster County,3,3
CO,Delta County,CODelta County,3,3
CO,Denver County,CODenver County,3,3
CO,Dolores County,CODolores County,3,3
CO,Douglas County,CODouglas County,3,3
CO,Eagle County,COEagle County,3,3
CO,El Paso County,COEl Paso County,3,3
CO,Elbert County,COElbert County,3,3
CO,Fremont County,COFremont County,3,3
CO,Garfield County,COGarfield County,3,3
CO,Gilpin County,COGilpin County,3,3
CO,Grand County,COGrand County,3,3
CO,Gunnison County,COGunnison County,3,3
CO,Hinsdale County,COHinsdale County,3,3
CO,Huerfano County,COHuerfano County,3,3
CO,Jackson County,COJackson County,3,3
CO,Jefferson County,COJefferson County,3,3
CO,Kiowa County,COKiowa County,3,3
CO,Kit Carson County,COKit Carson County,3,3
CO,La Plata County,COLa Plata County,3,3
CO,Lake County,COLake County,3,3
CO,Larimer County,COLarimer County,3,3
CO,Las Animas County,COLas Animas County,3,3
CO,Lincoln County,COLincoln County,3,3
CO,Logan County,COLogan County,3,3
CO,Mesa County,COMesa County,3,3
CO,Mineral County,COMineral County,3,3
CO,Moffat County,COMoffat County,3,3
CO,Montezuma County,COMontezuma County,3,3
CO,Montrose County,COMontrose County,3,3
CO,Morgan County,COMorgan County,3,3
CO,Otero County,COOtero County,3,3
CO,Ouray County,COOuray County,3,3
CO,Park County,COPark County,3,3
CO,Phillips County,COPhillips County,3,3
CO,Pitkin County,COPitkin County,3,3
CO,Prowers County,COProwers County,3,3
CO,Pueblo County,COPueblo County,3,3
CO,Rio Blanco County,CORio Blanco County,3,3
CO,Rio Grande County,CORio Grande County,3,3
CO,Routt County,CORoutt County,3,3
CO,Saguache County,COSaguache County,3,3
CO,San Juan County,COSan Juan County,3,3
CO,San Miguel County,COSan Miguel County,3,3
CO,Sedgwick County,COSedgwick County,3,3
CO,Summit County,COSummit County,3,3
CO,Teller County,COTeller County,3,3
CO,Washington County,COWashington County,3,3
CO,Weld County,COWeld County,3,3
CO,Yuma County,COYuma County,3,3
CT,Fairfield County,CTFairfield County,1,3
CT,Hartford County,CTHartford County,2,3
CT,Litchfield County,CTLitchfield County,2,3
CT,Middlesex County,CTMiddlesex County,1,3
CT,New Haven County,CTNew Haven County,1,3
CT,New London County,CTNew London County,1,3
CT,Tolland County,CTTolland County,2,3
CT,Windham County,CTWindham County,2,3
DC,District Of Columbia,DCDistrict Of Columbia,3,3
DE,Kent County,DEKent County,1,3
DE,New Castle County,DENew Castle County,2,3
DE,Sussex County,DESussex County,1,3
FL,Alachua County,FLAlachua County,2,3
FL,Baker County,FLBaker County,2,3
FL,Bay County,FLBay County,1,3
FL,Bradford County,FLBradford County,2,3
FL,Brevard County,FLBrevard County,1,3
FL,Broward County,FLBroward County,1,3
FL,Calhoun County,FLCalhoun County,1,3
FL,Charlotte County,FLCharlotte County,1,3
FL,Citrus County,FLCitrus County,1,3
FL,Clay County,FLClay County,2,3
FL,Collier County,FLCollier County,1,3
FL,Columbia County,FLColumbia County,2,3
FL,Desoto County,FLDesoto County,1,3
FL,Dixie County,FLDixie County,1,3
FL,Duval County,FLDuval County,1,3
FL,Escambia County,FLEscambia County,1,3
FL,Flagler County,FLFlagler County,1,3
FL,Franklin County,FLFranklin County,1,3
FL,Gadsden County,FLGadsden County,2,3
FL,Gilchrist County,FLGilchrist County,2,3
FL,Glades County,FLGlades County,1,3
FL,Gulf County,FLGulf County,1,3
FL,Hamilton County,FLHamilton County,2,3
FL,Hardee County,FLHardee County,1,3
FL,Hendry County,FLHendry County,1,3
FL,Hernando County,FLHernando County,1,3
FL,Highlands County,FLHighlands County,1,3
FL,Hillsborough County,FLHillsborough County,1,3
FL,Holmes County,FLHolmes County,2,3
FL,Indian River County,FLIndian River County,1,3
FL,Jackson County,FLJackson County,2,3
FL,Jefferson County,FLJefferson County,1,3
FL,Lafayette County,FLLafayette County,2,3
FL,Lake County,FLLake County,2,3
FL,Lee County,FLLee County,1,3
FL,Leon County,FLLeon County,2,3
FL,Levy County,FLLevy County,1,3
FL,Liberty County,FLLiberty County,1,3
FL,Madison County,FLMadison County,2,3
FL,Manatee County,FLManatee County,1,3
FL,Marion County,FLMarion County,2,3
FL,Martin County,FLMartin County,1,3
FL,Miami-Dade County,FLMiami-Dade County,1,3
FL,Monroe County,FLMonroe County,1,3
FL,Nassau County,FLNassau County,1,3
FL,Okaloosa County,FLOkaloosa County,1,3
FL,Okeechobee County,FLOkeechobee County,1,3
FL,Orange County,FLOrange County,1,3
FL,Osceola County,FLOsceola County,1,3
FL,Palm Beach County,FLPalm Beach County,1,3
FL,Pasco County,FLPasco County,1,3
FL,Pinellas County,FLPinellas County,1,3
FL,Polk County,FLPolk County,1,3
FL,Putnam County,FLPutnam County,2,3
FL,Santa Rosa County,FLSanta Rosa County,1,3
FL,Sarasota County,FLSarasota County,1,3
FL,Seminole County,FLSeminole County,1,3
FL,St. Johns County,FLSt. Johns County,1,3
FL,St. Lucie County,FLSt. Lucie County,1,3
FL,Sumter County,FLSumter County,2,3
FL,Suwannee County,FLSuwannee County,2,3
FL,Taylor County,FLTaylor County,1,3
FL,Union County,FLUnion County,2,3
FL,Volusia County,FLVolusia County,1,3
FL,Wakulla County,FLWakulla County,1,3
FL,Walton County,FLWalton County,1,3
FL,Washington County,FLWashington County,1,3
GA,Appling County,GAAppling County,2,3
GA,Atkinson County,GAAtkinson County,3,3
GA,Bacon County,GABacon County,2,3
GA,Baker County,GABaker County,3,3
GA,Baldwin County,GABaldwin County,3,3
GA,Banks County,GABanks County,3,3
GA,Barrow County,GABarrow County,3,3
GA,Bartow County,GABartow County,3,3
GA,Ben Hill County,GABen Hill County,3,3
GA,Berrien County,GABerrien County,3,3
GA,Bibb County,GABibb County,3,3
GA,Bleckley County,GABleckley County,3,3
GA,Brantley County,GABrantley County,2,3
GA,Brooks County,GABrooks County,3,3
GA,Bryan County,GABryan County,1,3
GA,Bulloch County,GABulloch County,2,3
GA,Burke County,GABurke County,3,3
GA,Butts County,GAButts County,3,3
GA,Calhoun County,GACalhoun County,3,3
GA,Camden County,GACamden County,1,3
GA,Candler County,GACandler County,3,3
GA,Carroll County,GACarroll County,3,3
GA,Catoosa County,GACatoosa County,3,3
GA,Charlton County,GACharlton County,2,3
GA,Chatham County,GAChatham County,1,3
GA,Chattahoochee County,GAChattahoochee County,3,3
GA,Chattooga County,GAChattooga County,3,3
GA,Cherokee County,GACherokee County,3,3
GA,Clarke County,GAClarke County,3,3
GA,Clay County,GAClay County,3,3
GA,Clayton County,GAClayton County,3,3
GA,Clinch County,GAClinch County,2,3
GA,Cobb County,GACobb County,3,3
GA,Coffee County,GACoffee County,3,3
GA,Colquitt County,GAColquitt County,3,3
GA,Columbia County,GAColumbia County,3,3
GA,Cook County,GACook County,3,3
GA,Coweta County,GACoweta County,3,3
GA,Crawford County,GACrawford County,3,3
GA,Crisp County,GACrisp County,3,3
GA,Dade County,GADade County,3,3
GA,Dawson County,GADawson County,3,3
GA,Decatur County,GADecatur County,3,3
GA,Dekalb County,GADekalb County,3,3
GA,Dodge County,GADodge County,3,3
GA,Dooly County,GADooly County,3,3
GA,Dougherty County,GADougherty County,3,3
GA,Douglas County,GADouglas County,3,3
GA,Early County,GAEarly County,3,3
GA,Echols County,GAEchols County,3,3
GA,Effingham County,GAEffingham County,1,3
GA,Elbert County,GAElbert County,3,3
GA,Emanuel County,GAEmanuel County,3,3
GA,Evans County,GAEvans County,2,3
GA,Fannin County,GAFannin County,3,3
GA,Fayette County,GAFayette County,3,3
GA,Floyd County,GAFloyd County,3,3
GA,Forsyth County,GAForsyth County,3,3
GA,Franklin County,GAFranklin County,3,3
GA,Fulton County,GAFulton County,3,3
GA,Gilmer County,GAGilmer County,3,3
GA,Glascock County,GAGlascock County,3,3
GA,Glynn County,GAGlynn County,1,3
GA,Gordon County,GAGordon County,3,3
GA,Grady County,GAGrady County,3,3
GA,Greene County,GAGreene County,3,3
GA,Gwinnett County,GAGwinnett County,3,3
GA,Habersham County,GAHabersham County,3,3
GA,Hall County,GAHall County,3,3
GA,Hancock County,GAHancock County,3,3
GA,Haralson County,GAHaralson County,3,3
GA,Harris County,GAHarris County,3,3
GA,Hart County,GAHart County,3,3
GA,Heard County,GAHeard County,3,3
GA,Henry County,GAHenry County,3,3
GA,Houston County,GAHouston County,3,3
GA,Irwin County,GAIrwin County,3,3
GA,Jackson County,GAJackson County,3,3
GA,Jasper County,GAJasper County,3,3
GA,Jeff Davis County,GAJeff Davis County,3,3
GA,Jefferson County,GAJefferson County,3,3
GA,Jenkins County,GAJenkins County,3,3
GA,Johnson County,GAJohnson County,3,3
GA,Jones County,GAJones County,3,3
GA,Lamar County,GALamar County,3,3
GA,Lanier County,GALanier County,3,3
GA,Laurens County,GALaurens County,3,3
GA,Lee County,GALee County,3,3
GA,Liberty County,GALiberty County,1,3
GA,Lincoln County,GALincoln County,3,3
GA,Long County,GALong County,2,3
GA,Lowndes County,GALowndes County,3,3
GA,Lumpkin County,GALumpkin County,3,3
GA,Macon County,GAMacon County,3,3
GA,Madison County,GAMadison County,3,3
GA,Marion County,GAMarion County,3,3
GA,Mcduffie County,GAMcduffie County,3,3
GA,Mcintosh County,GAMcintosh County,1,3
GA,Meriwether County,GAMeriwether County,3,3
GA,Miller County,GAMiller County,3,3
GA,Mitchell County,GAMitchell County,3,3
GA,Monroe County,GAMonroe County,3,3
GA,Montgomery County,GAMontgomery County,3,3
GA,Morgan County,GAMorgan County,3,3
GA,Murray County,GAMurray County,3,3
GA,Muscogee County,GAMuscogee County,3,3
GA,Newton County,GANewton County,3,3
GA,Oconee County,GAOconee County,3,3
GA,Oglethorpe County,GAOglethorpe County,3,3
GA,Paulding County,GAPaulding County,3,3
GA,Peach County,GAPeach County,3,3
GA,Pickens County,GAPickens County,3,3
GA,Pierce County,GAPierce County,2,3
GA,Pike County,GAPike County,3,3
GA,Polk County,GAPolk County,3,3
GA,Pulaski County,GAPulaski County,3,3
GA,Putnam County,GAPutnam County,3,3
GA,Quitman County,GAQuitman County,3,3
GA,Rabun County,GARabun County,3,3
GA,Randolph County,GARandolph County,3,3
GA,Richmond County,GARichmond County,3,3
GA,Rockdale County,GARockdale County,3,3
GA,Schley County,GASchley County,3,3
GA,Screven County,GAScreven County,2,3
GA,Seminole County,GASeminole County,3,3
GA,Spalding County,GASpalding County,3,3
GA,Stephens County,GAStephens County,3,3
GA,Stewart County,GAStewart County,3,3
GA,Sumter County,GASumter County,3,3
GA,Talbot County,GATalbot County,3,3
GA,Taliaferro County,GATaliaferro County,3,3
GA,Tattnall County,GATattnall County,2,3
GA,Taylor County,GATaylor County,3,3
GA,Telfair County,GATelfair County,3,3
GA,Terrell County,GATerrell County,3,3
GA,Thomas County,GAThomas County,3,3
GA,Tift County,GATift County,3,3
GA,Toombs County,GAToombs County,3,3
GA,Towns County,GATowns County,3,3
GA,Treutlen County,GATreutlen County,3,3
GA,Troup County,GATroup County,3,3
GA,Turner County,GATurner County,3,3
GA,Twiggs County,GATwiggs County,3,3
GA,Union County,GAUnion County,3,3
GA,Upson County,GAUpson County,3,3
GA,Walker County,GAWalker County,3,3
GA,Walton County,GAWalton County,3,3
GA,Ware County,GAWare County,2,3
GA,Warren County,GAWarren County,3,3
GA,Washington County,GAWashington County,3,3
GA,Wayne County,GAWayne County,2,3
GA,Webster County,GAWebster County,3,3
GA,Wheeler County,GAWheeler County,3,3
GA,White County,GAWhite County,3,3
GA,Whitfield County,GAWhitfield County,3,3
GA,Wilcox County,GAWilcox County,3,3
GA,Wilkes County,GAWilkes County,3,3
GA,Wilkinson County,GAWilkinson County,3,3
GA,Worth County,GAWorth County,3,3
HI,Hawaii County,HIHawaii County,1,1
HI,Honolulu County,HIHonolulu County,1,1
HI,Kalawao County,HIKalawao County,1,1
HI,Kauai County,HIKauai County,1,1
HI,Maui County,HIMaui County,1,1
IA,Adair County,IAAdair County,3,3
IA,Adams County,IAAdams County,3,3
IA,Allamakee County,IAAllamakee County,3,3
IA,Appanoose County,IAAppanoose County,3,3
IA,Audubon County,IAAudubon County,3,3
IA,Benton County,IABenton County,3,3
IA,Black Hawk County,IABlack Hawk County,3,3
IA,Boone County,IABoone County,3,3
IA,Bremer County,IABremer County,3,3
IA,Buchanan County,IABuchanan County,3,3
IA,Buena Vista County,IABuena Vista County,3,3
IA,Butler County,IAButler County,3,3
IA,Calhoun County,IACalhoun County,3,3
IA,Carroll County,IACarroll County,3,3
IA,Cass County,IACass County,3,3
IA,Cedar County,IACedar County,3,3
IA,Cerro Gordo County,IACerro Gordo County,3,3
IA,Cherokee County,IACherokee County,3,3
IA,Chickasaw County,IAChickasaw County,3,3
IA,Clarke County,IAClarke County,3,3
IA,Clay County,IAClay County,3,3
IA,Clayton County,IAClayton County,3,3
IA,Clinton County,IAClinton County,3,3
IA,Crawford County,IACrawford County,3,3
IA,Dallas County,IADallas County,3,3
IA,Davis County,IADavis County,3,3
IA,Decatur County,IADecatur County,3,3
IA,Delaware County,IADelaware County,3,3
IA,Des Moines County,IADes Moines County,3,3
IA,Dickinson County,IADickinson County,3,3
IA,Dubuque County,IADubuque County,3,3
IA,Emmet County,IAEmmet County,3,3
IA,Fayette County,IAFayette County,3,3
IA,Floyd County,IAFloyd County,3,3
IA,Franklin County,IAFranklin County,3,3
IA,Fremont County,IAFremont County,3,3
IA,Greene County,IAGreene County,3,3
IA,Grundy County,IAGrundy County,3,3
IA,Guthrie County,IAGuthrie County,3,3
IA,Hamilton County,IAHamilton County,3,3
IA,Hancock County,IAHancock County,3,3
IA,Hardin County,IAHardin County,3,3
IA,Harrison County,IAHarrison County,3,3
IA,Henry County,IAHenry County,3,3
IA,Howard County,IAHoward County,3,3
IA,Humboldt County,IAHumboldt County,3,3
IA,Ida County,IAIda County,3,3
IA,Iowa County,IAIowa County,3,3
IA,Jackson County,IAJackson County,3,3
IA,Jasper County,IAJasper County,3,3
IA,Jefferson County,IAJefferson County,3,3
IA,Johnson County,IAJohnson County,3,3
IA,Jones County,IAJones County,3,3
IA,Keokuk County,IAKeokuk County,3,3
IA,Kossuth County,IAKossuth County,3,3
IA,Lee County,IALee County,3,3
IA,Linn County,IALinn County,3,3
IA,Louisa County,IALouisa County,3,3
IA,Lucas County,IALucas County,3,3
IA,Lyon County,IALyon County,3,3
IA,Madison County,IAMadison County,3,3
IA,Mahaska County,IAMahaska County,3,3
IA,Marion County,IAMarion County,3,3
IA,Marshall County,IAMarshall County,3,3
IA,Mills County,IAMills County,3,3
IA,Mitchell County,IAMitchell County,3,3
IA,Monona County,IAMonona County,3,3
IA,Monroe County,IAMonroe County,3,3
IA,Montgomery County,IAMontgomery County,3,3
IA,Muscatine County,IAMuscatine County,3,3
IA,O'Brien County,IAO'Brien County,3,3
IA,Osceola County,IAOsceola County,3,3
IA,Page County,IAPage County,3,3
IA,Palo Alto County,IAPalo Alto County,3,3
IA,Plymouth County,IAPlymouth County,3,3
IA,Pocahontas County,IAPocahontas County,3,3
IA,Polk County,IAPolk County,3,3
IA,Pottawattamie County,IAPottawattamie County,3,3
IA,Poweshiek County,IAPoweshiek County,3,3
IA,Ringgold County,IARinggold County,3,3
IA,Sac County,IASac County,3,3
IA,Scott County,IAScott County,3,3
IA,Shelby County,IAShelby County,3,3
IA,Sioux County,IASioux County,3,3
IA,Story County,IAStory County,3,3
IA,Tama County,IATama County,3,3
IA,Taylor County,IATaylor County,3,3
IA,Union County,IAUnion County,3,3
IA,Van Buren County,IAVan Buren County,3,3
IA,Wapello County,IAWapello County,3,3
IA,Warren County,IAWarren County,3,3
IA,Washington County,IAWashington County,3,3
IA,Wayne County,IAWayne County,3,3
IA,Webster County,IAWebster County,3,3
IA,Winnebago County,IAWinnebago County,3,3
IA,Winneshiek County,IAWinneshiek County,3,3
IA,Woodbury County,IAWoodbury County,3,3
IA,Worth County,IAWorth County,3,3
IA,Wright County,IAWright County,3,3
ID,Ada County,IDAda County,3,3
ID,Adams County,IDAdams County,3,3
ID,Bannock County,IDBannock County,3,3
ID,Bear Lake County,IDBear Lake County,3,3
ID,Benewah County,IDBenewah County,3,3
ID,Bingham County,IDBingham County,3,3
ID,Blaine County,IDBlaine County,3,3
ID,Boise County,IDBoise County,3,3
ID,Bonner County,IDBonner County,3,3
ID,Bonneville County,IDBonneville County,3,3
ID,Boundary County,IDBoundary County,3,3
ID,Butte County,IDButte County,3,3
ID,Camas County,IDCamas County,3,3
ID,Canyon County,IDCanyon County,3,3
