Zip,State,County,Wildfire,Flood,Tornado,Hail
00238,LA,EAST BATON ROUGE PARISH,1,8,0.2 - 0.35,0.1 - 0.2
00241,MN,ST. LOUIS COUNTY,2.8,7,< 0.1,< 0.1
00242,MN,ST. LOUIS COUNTY,3.1,4,< 0.1,< 0.1
00243,MS,JACKSON COUNTY,1,5,0.2 - 0.35,< 0.1
00244,MS,JACKSON COUNTY,1,2,0.2 - 0.35,< 0.1
00246,MT,CASCADE COUNTY,1,4,No Observation,0.1 - 0.2
00250,NM,SANDOVAL COUNTY,3.2,1,No Observation,< 0.1
00252,NM,DONA ANA COUNTY,5.2,2,No Observation,< 0.1
00255,OK,COMANCHE COUNTY,1,2,0.5 - 0.75,>1.0
00257,OR,LANE COUNTY,4.8,1,< 0.1,< 0.1
00258,OR,LANE COUNTY,5.4,1,No Observation,< 0.1
00259,OR,JACKSON COUNTY,5.8,1,No Observation,< 0.1
00260,OR,CLACKAMAS COUNTY,5.2,1,< 0.1,< 0.1
00266,UT,UTAH COUNTY,1,1,< 0.1,< 0.1
00267,WA,WHATCOM COUNTY,5.4,2,No Observation,< 0.1
00268,WA,BENTON COUNTY,5.5,2,No Observation,0.1 - 0.2
00270,WA,YAKIMA COUNTY,5.3,1,No Observation,0.1 - 0.2
00276,MT,PARK COUNTY,4.2,1,< 0.1,< 0.1
00277,WA,OKANOGAN COUNTY,6.1,1,No Observation,< 0.1
00278,OR,LINN COUNTY,5.3,1,< 0.1,< 0.1
00279,ID,FREMONT COUNTY,3.9,1,< 0.1,< 0.1
00280,NV,CARSON CITY,2,8,No Observation,< 0.1
00281,ID,BEAR LAKE COUNTY,1,7,No Observation,< 0.1
00282,UT,RICH COUNTY,1,7,No Observation,< 0.1
00283,PA,CRAWFORD COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
00284,VT,ORLEANS COUNTY,0,8,< 0.1,0.1 - 0.2
00285,NY,NEW YORK COUNTY,1,2,< 0.1,0.1 - 0.2
00286,NC,ONSLOW COUNTY,3.8,2,0.1 - 0.2,0.1 - 0.2
00287,AK,ALEUTIANS WEST CENSUS AREA,1,1,No Observation,< 0.1
00401,NY,WESTCHESTER COUNTY,1,5,< 0.1,0.1 - 0.2
00501,NY,SUFFOLK COUNTY,1,2,< 0.1,0.1 - 0.2
00544,NY,SUFFOLK COUNTY,1,2,< 0.1,0.1 - 0.2
01001,MA,HAMPDEN COUNTY,1,5,0.2 - 0.35,0.1 - 0.2
01002,MA,HAMPSHIRE COUNTY,1,8,0.1 - 0.2,0.1 - 0.2
01003,MA,HAMPSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01004,MA,HAMPSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01005,MA,WORCESTER COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01007,MA,HAMPSHIRE COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01008,MA,HAMPDEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01009,MA,HAMPDEN COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01010,MA,HAMPDEN COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
01011,MA,HAMPDEN COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
01012,MA,HAMPSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01013,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01014,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01020,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01021,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01022,MA,HAMPDEN COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01026,MA,HAMPSHIRE COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01027,MA,HAMPSHIRE COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
01028,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01029,MA,BERKSHIRE COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01030,MA,HAMPDEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01031,MA,WORCESTER COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01032,MA,HAMPSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01033,MA,HAMPSHIRE COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01034,MA,HAMPDEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01035,MA,HAMPSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01036,MA,HAMPDEN COUNTY,1,9,0.2 - 0.35,0.1 - 0.2
01037,MA,WORCESTER COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01038,MA,HAMPSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01039,MA,HAMPSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01040,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01041,MA,HAMPDEN COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
