StateCounty,FL Buildings,FL Contents,FL BI
CAButte County,0.00013,0.00013,0.00013
CACalaveras County,0.00013,0.00013,0.00013
CAColusa County,0.00013,0.00013,0.00013
CAContra Costa County,0.00013,0.00013,0.00013
CADel Norte County,0.00013,0.00013,0.00013
CAEl Dorado County,0.00013,0.00013,0.00013
CAFresno County,0.00013,0.00013,0.00013
CAGlenn County,0.00013,0.00013,0.00013
CAHumboldt County,0.00013,0.00013,0.00013
CAImperial County,0.00013,0.00013,0.00013
CAInyo County,0.00013,0.00013,0.00013
CAKern County,0.00013,0.00013,0.00013
CAKings County,0.00013,0.00013,0.00013
CALake County,0.00013,0.00013,0.00013
CALassen County,0.00013,0.00013,0.00013
CALos Angeles County,0.00013,0.00013,0.00013
CAMadera County,0.00013,0.00013,0.00013
CAMarin County,0.00013,0.00013,0.00013
CAMariposa County,0.00013,0.00013,0.00013
CAMendocino County,0.00013,0.00013,0.00013
CAMerced County,0.00013,0.00013,0.00013
CAModoc County,0.00013,0.00013,0.00013
CAMono County,0.00013,0.00013,0.00013
CAMonterey County,0.00013,0.00013,0.00013
CANapa County,0.00013,0.00013,0.00013
CANevada County,0.00013,0.00013,0.00013
CAOrange County,0.00013,0.00013,0.00013
CAPlacer County,0.00013,0.00013,0.00013
CAPlumas County,0.00013,0.00013,0.00013
CARiverside County,0.00013,0.00013,0.00013
CASacramento County,0.00013,0.00013,0.00013
CASan Benito County,0.00013,0.00013,0.00013
CASan Bernardino County,0.00013,0.00013,0.00013
CASan Diego County,0.00013,0.00013,0.00013
CASan Francisco County,0.00013,0.00013,0.00013
CASan Joaquin County,0.00013,0.00013,0.00013
CASan Luis Obispo County,0.00013,0.00013,0.00013
CASan Mateo County,0.00013,0.00013,0.00013
CASanta Barbara County,0.00013,0.00013,0.00013
CASanta Clara County,0.00013,0.00013,0.00013
CASanta Cruz County,0.00013,0.00013,0.00013
CAShasta County,0.00013,0.00013,0.00013
CASierra County,0.00013,0.00013,0.00013
CASiskiyou County,0.00013,0.00013,0.00013
CASolano County,0.00013,0.00013,0.00013
CASonoma County,0.00013,0.00013,0.00013
CAStanislaus County,0.00013,0.00013,0.00013
CASutter County,0.00013,0.00013,0.00013
CATehama County,0.00013,0.00013,0.00013
CATrinity County,0.00013,0.00013,0.00013
CATulare County,0.00013,0.00013,0.00013
CATuolumne County,0.00013,0.00013,0.00013
CAVentura County,0.00013,0.00013,0.00013
CAYolo County,0.00013,0.00013,0.00013
CAYuba County,0.00013,0.00013,0.00013
COAdams County,0.00025,0.00025,0.00025
COAlamosa County,0.00025,0.00025,0.00025
COArapahoe County,0.00025,0.00025,0.00025
COArchuleta County,0.00025,0.00025,0.00025
COBaca County,0.00025,0.00025,0.00025
COBent County,0.00025,0.00025,0.00025
COBoulder County,0.00025,0.00025,0.00025
COBroomfield County,0.00025,0.00025,0.00025
COChaffee County,0.00025,0.00025,0.00025
COCheyenne County,0.00025,0.00025,0.00025
COClear Creek County,0.00025,0.00025,0.00025
COConejos County,0.00025,0.00025,0.00025
COCostilla County,0.00025,0.00025,0.00025
COCrowley County,0.00025,0.00025,0.00025
COCuster County,0.00025,0.00025,0.00025
CODelta County,0.00025,0.00025,0.00025
CODenver County,0.00025,0.00025,0.00025
CODolores County,0.00025,0.00025,0.00025
CODouglas County,0.00025,0.00025,0.00025
COEagle County,0.00025,0.00025,0.00025
COEl Paso County,0.00025,0.00025,0.00025
COElbert County,0.00025,0.00025,0.00025
COFremont County,0.00025,0.00025,0.00025
COGarfield County,0.00025,0.00025,0.00025
COGilpin County,0.00025,0.00025,0.00025
COGrand County,0.00025,0.00025,0.00025
COGunnison County,0.00025,0.00025,0.00025
COHinsdale County,0.00025,0.00025,0.00025
COHuerfano County,0.00025,0.00025,0.00025
COJackson County,0.00025,0.00025,0.00025
COJefferson County,0.00025,0.00025,0.00025
COKiowa County,0.00025,0.00025,0.00025
COKit Carson County,0.00025,0.00025,0.00025
COLa Plata County,0.00025,0.00025,0.00025
COLake County,0.00025,0.00025,0.00025
COLarimer County,0.00025,0.00025,0.00025
COLas Animas County,0.00025,0.00025,0.00025
COLincoln County,0.00025,0.00025,0.00025
COLogan County,0.00025,0.00025,0.00025
COMesa County,0.00025,0.00025,0.00025
COMineral County,0.00025,0.00025,0.00025
COMoffat County,0.00025,0.00025,0.00025
COMontezuma County,0.00025,0.00025,0.00025
COMontrose County,0.00025,0.00025,0.00025
COMorgan County,0.00025,0.00025,0.00025
COOtero County,0.00025,0.00025,0.00025
COOuray County,0.00025,0.00025,0.00025
COPark County,0.00025,0.00025,0.00025
COPhillips County,0.00025,0.00025,0.00025
COPitkin County,0.00025,0.00025,0.00025
COProwers County,0.00025,0.00025,0.00025
COPueblo County,0.00025,0.00025,0.00025
CORio Blanco County,0.00025,0.00025,0.00025
CORio Grande County,0.00025,0.00025,0.00025
CORoutt County,0.00025,0.00025,0.00025
COSaguache County,0.00025,0.00025,0.00025
COSan Juan County,0.00025,0.00025,0.00025
COSan Miguel County,0.00025,0.00025,0.00025
COSedgwick County,0.00025,0.00025,0.00025
COSummit County,0.00025,0.00025,0.00025
COTeller County,0.00025,0.00025,0.00025
COWashington County,0.00025,0.00025,0.00025
COWeld County,0.00025,0.00025,0.00025
COYuma County,0.00025,0.00025,0.00025
CTFairfield County,0.000262,0.000262,0.000262
CTHartford County,0.000262,0.000262,0.000262
CTLitchfield County,0.000262,0.000262,0.000262
CTMiddlesex County,0.000262,0.000262,0.000262
CTNew Haven County,0.000262,0.000262,0.000262
CTNew London County,0.000262,0.000262,0.000262
CTTolland County,0.000262,0.000262,0.000262
CTWindham County,0.000262,0.000262,0.000262
DCDistrict Of Columbia,0.000263,0.000263,0.000263
DEKent County,0.000282,0.000282,0.000282
DENew Castle County,0.000282,0.000282,0.000282
DESussex County,0.000282,0.000282,0.000282
FLAlachua County,0.000153,0.000153,0.000153
FLBaker County,0.000153,0.000153,0.000153
FLBay County,0.000153,0.000153,0.000153
FLBradford County,0.000153,0.000153,0.000153
FLBrevard County,0.000153,0.000153,0.000153
FLBroward County,0.000153,0.000153,0.000153
FLCalhoun County,0.000153,0.000153,0.000153
FLCharlotte County,0.000153,0.000153,0.000153
FLCitrus County,0.000153,0.000153,0.000153
FLClay County,0.000153,0.000153,0.000153
FLCollier County,0.000153,0.000153,0.000153
FLColumbia County,0.000153,0.000153,0.000153
FLDesoto County,0.000153,0.000153,0.000153
FLDixie County,0.000153,0.000153,0.000153
FLDuval County,0.000153,0.000153,0.000153
FLEscambia County,0.000153,0.000153,0.000153
FLFlagler County,0.000153,0.000153,0.000153
FLFranklin County,0.000153,0.000153,0.000153
FLGadsden County,0.000153,0.000153,0.000153
FLGilchrist County,0.000153,0.000153,0.000153
FLGlades County,0.000153,0.000153,0.000153
FLGulf County,0.000153,0.000153,0.000153
FLHamilton County,0.000153,0.000153,0.000153
FLHardee County,0.000153,0.000153,0.000153
FLHendry County,0.000153,0.000153,0.000153
FLHernando County,0.000153,0.000153,0.000153
FLHighlands County,0.000153,0.000153,0.000153
FLHillsborough County,0.000153,0.000153,0.000153
FLHolmes County,0.000153,0.000153,0.000153
FLIndian River County,0.000153,0.000153,0.000153
FLJackson County,0.000153,0.000153,0.000153
FLJefferson County,0.000153,0.000153,0.000153
FLLafayette County,0.000153,0.000153,0.000153
FLLake County,0.000153,0.000153,0.000153
FLLee County,0.000153,0.000153,0.000153
FLLeon County,0.000153,0.000153,0.000153
FLLevy County,0.000153,0.000153,0.000153
FLLiberty County,0.000153,0.000153,0.000153
FLMadison County,0.000153,0.000153,0.000153
FLManatee County,0.000153,0.000153,0.000153
FLMarion County,0.000153,0.000153,0.000153
FLMartin County,0.000153,0.000153,0.000153
FLMiami-Dade County,0.000153,0.000153,0.000153
FLMonroe County,0.000153,0.000153,0.000153
FLNassau County,0.000153,0.000153,0.000153
FLOkaloosa County,0.000153,0.000153,0.000153
FLOkeechobee County,0.000153,0.000153,0.000153
