Country,Statecode,County,StateCounty,HA Buildings,HA Contents,HA BI
US,AR,Monroe County,ARMonroe County,0.000120894,1.20894E-06,3.14324E-05
US,AR,Montgomery County,ARMontgomery County,8.46676E-05,8.46676E-07,2.20136E-05
US,AR,Nevada County,ARNevada County,7.44737E-05,7.44737E-07,1.93632E-05
US,AR,Newton County,ARNewton County,0.000119565,1.19565E-06,3.1087E-05
US,AR,Ouachita County,AROuachita County,6.66714E-05,6.66714E-07,1.73346E-05
US,AR,Perry County,ARPerry County,8.51707E-05,8.51707E-07,2.21444E-05
US,AR,Phillips County,ARPhillips County,0.000106583,1.06583E-06,2.77117E-05
US,AR,Pike County,ARPike County,7.54246E-05,7.54246E-07,1.96104E-05
US,AR,Poinsett County,ARPoinsett County,7.56267E-05,7.56267E-07,1.96629E-05
US,AR,Polk County,ARPolk County,9.57903E-05,9.57903E-07,2.49055E-05
US,AR,Pope County,ARPope County,8.90632E-05,8.90632E-07,2.31564E-05
US,AR,Prairie County,ARPrairie County,0.000114353,1.14353E-06,2.97318E-05
US,AR,Pulaski County,ARPulaski County,9.27955E-05,9.27955E-07,2.41268E-05
US,AR,Randolph County,ARRandolph County,0.000103754,1.03754E-06,2.69762E-05
US,AR,Saline County,ARSaline County,8.22478E-05,8.22478E-07,2.13844E-05
US,AR,Scott County,ARScott County,0.000120421,1.20421E-06,3.13093E-05
US,AR,Searcy County,ARSearcy County,0.000103837,1.03837E-06,2.69977E-05
US,AR,Sebastian County,ARSebastian County,0.000161703,1.61703E-06,4.20427E-05
US,AR,Sevier County,ARSevier County,9.01989E-05,9.01989E-07,2.34517E-05
US,AR,Sharp County,ARSharp County,0.000102922,1.02922E-06,2.67597E-05
US,AR,St. Francis County,ARSt. Francis County,9.13988E-05,9.13988E-07,2.37637E-05
US,AR,Stone County,ARStone County,0.000154235,1.54235E-06,4.01012E-05
US,AR,Union County,ARUnion County,6.87978E-05,6.87978E-07,1.78874E-05
US,AR,Van Buren County,ARVan Buren County,0.000102879,1.02879E-06,2.67485E-05
US,AR,Washington County,ARWashington County,0.000215706,2.15706E-06,5.60835E-05
US,AR,White County,ARWhite County,0.000135342,1.35342E-06,3.51889E-05
US,AR,Woodruff County,ARWoodruff County,0.000107448,1.07448E-06,2.79366E-05
US,AR,Yell County,ARYell County,8.43737E-05,8.43737E-07,2.19372E-05
US,AZ,Apache County,AZApache County,0.000279277,2.79277E-06,7.2612E-05
US,AZ,Cochise County,AZCochise County,0.000454137,4.54137E-06,0.000118076
US,AZ,Coconino County,AZCoconino County,0.00020444,2.0444E-06,5.31544E-05
US,AZ,Gila County,AZGila County,0.000376101,3.76101E-06,9.77863E-05
US,AZ,Graham County,AZGraham County,0.000428443,4.28443E-06,0.000111395
US,AZ,Greenlee County,AZGreenlee County,0.000440573,4.40573E-06,0.000114549
US,AZ,La Paz County,AZLa Paz County,0.000152348,1.52348E-06,3.96106E-05
US,AZ,Maricopa County,AZMaricopa County,0.000293111,2.93111E-06,7.62088E-05
US,AZ,Mohave County,AZMohave County,0.000135918,1.35918E-06,3.53387E-05
US,AZ,Navajo County,AZNavajo County,0.000274787,2.74787E-06,7.14447E-05
US,AZ,Pima County,AZPima County,0.000338164,3.38164E-06,8.79226E-05
US,AZ,Pinal County,AZPinal County,0.00040801,4.0801E-06,0.000106083
US,AZ,Santa Cruz County,AZSanta Cruz County,0.000361192,3.61192E-06,9.391E-05
US,AZ,Yavapai County,AZYavapai County,0.000291566,2.91566E-06,7.58072E-05
US,AZ,Yuma County,AZYuma County,0.000187873,1.87873E-06,4.88471E-05
US,CA,Alameda County,CAAlameda County,2.66835E-05,2.66835E-07,6.9377E-06
US,CA,Alpine County,CAAlpine County,6.26911E-05,6.26911E-07,1.62997E-05
US,CA,Amador County,CAAmador County,5.01931E-05,5.01931E-07,1.30502E-05
US,CA,Butte County,CAButte County,3.68148E-05,3.68148E-07,9.57186E-06
US,CA,Calaveras County,CACalaveras County,5.42606E-05,5.42606E-07,1.41078E-05
US,CA,Colusa County,CAColusa County,3.35263E-05,3.35263E-07,8.71684E-06
US,CA,Contra Costa County,CAContra Costa County,2.78866E-05,2.78866E-07,7.25052E-06
US,CA,Del Norte County,CADel Norte County,4.28067E-05,4.28067E-07,1.11297E-05
US,CA,El Dorado County,CAEl Dorado County,4.82759E-05,4.82759E-07,1.25517E-05
US,CA,Fresno County,CAFresno County,0.000100165,1.00165E-06,2.60429E-05
US,CA,Glenn County,CAGlenn County,3.2078E-05,3.2078E-07,8.34028E-06
US,CA,Humboldt County,CAHumboldt County,3.71966E-05,3.71966E-07,9.67113E-06
US,CA,Imperial County,CAImperial County,0.000103635,1.03635E-06,2.69452E-05
US,CA,Inyo County,CAInyo County,0.000149967,1.49967E-06,3.89913E-05
US,CA,Kern County,CAKern County,0.00010403,1.0403E-06,2.70478E-05
US,CA,Kings County,CAKings County,0.000163931,1.63931E-06,4.26221E-05
US,CA,Lake County,CALake County,3.31637E-05,3.31637E-07,8.62257E-06
US,CA,Lassen County,CALassen County,4.51166E-05,4.51166E-07,1.17303E-05
US,CA,Los Angeles County,CALos Angeles County,8.13569E-05,8.13569E-07,2.11528E-05
US,CA,Madera County,CAMadera County,9.7782E-05,9.7782E-07,2.54233E-05
US,CA,Marin County,CAMarin County,2.57458E-05,2.57458E-07,6.69391E-06
US,CA,Mariposa County,CAMariposa County,9.83865E-05,9.83865E-07,2.55805E-05
US,CA,Mendocino County,CAMendocino County,3.37262E-05,3.37262E-07,8.76881E-06
US,CA,Merced County,CAMerced County,5.53213E-05,5.53213E-07,1.43835E-05
US,CA,Modoc County,CAModoc County,9.17783E-05,9.17783E-07,2.38624E-05
US,CA,Mono County,CAMono County,9.19598E-05,9.19598E-07,2.39096E-05
US,CA,Monterey County,CAMonterey County,4.74697E-05,4.74697E-07,1.23421E-05
US,CA,Napa County,CANapa County,2.95714E-05,2.95714E-07,7.68855E-06
