Industry,Occupancy,Key,LiveIndicator,Buildings,MB,Contents,BI,BaseTIV,BaseConstruction,BaseSprinkler,BasePCCode,ATC Occupancy Group,ATC Code,Wildfire Load,Waiting Period Base (Days) - NACP,Waiting Period Base (Days) - OM,EB Code,Bpro risk class,OccupancyDescription
Agriculture/Farming,Veterinary Services,Agriculture/FarmingVeterinary Services,Live,0.000402859,0.000402859,0.000402859,0.000503574,5000000,2,No,0,Health Care Service,9,0.25,3,2,C,Medium-High,Placeholder - Description to follow
Communications,"Data Processing, Hosting, Cloud","CommunicationsData Processing, Hosting, Cloud",Live,0.00018632,0.00018632,0.00018632,0.0002329,50000000,6,Yes,0,Telephone & Telegraph,34,-0.25,3,2,C,Unknown,Placeholder - Description to follow
Communications,Telecoms - Aerial and Transmission,CommunicationsTelecoms - Aerial and Transmission,Old,0.00018632,0.00018632,0.00018632,0.0002329,5000000,4,Yes,0,High Technology,17,-0.25,3,2,D,Surch Fire,Placeholder - Description to follow
Communications,Telecoms - Cable,CommunicationsTelecoms - Cable,Old,0.00027948,0.00027948,0.00027948,0.00034935,20000000,4,Yes,0,Telephone & Telegraph,34,-0.25,3,2,C,Unknown,Placeholder - Description to follow
Communications,Telecoms - Cable - Above,CommunicationsTelecoms - Cable - Above,Live,0.00027948,0.00027948,0.00027948,0.00034935,20000000,4,Yes,0,Telephone & Telegraph,34,-0.25,3,2,C,Unknown,Placeholder - Description to follow
Communications,Telecoms - Cable - Below,CommunicationsTelecoms - Cable - Below,Live,0.00018632,0.00018632,0.00018632,0.0002329,20000000,4,Yes,0,Telephone & Telegraph,34,-0.25,3,2,C,Unknown,Placeholder - Description to follow
Communications,Telecoms - Cable - Sub-Sea,CommunicationsTelecoms - Cable - Sub-Sea,Live,0.00018632,0.00018632,0.00018632,0.0002329,20000000,4,Yes,0,Telephone & Telegraph,34,-0.25,3,2,C,Unknown,Placeholder - Description to follow
Communications,Telecoms - Mobile,CommunicationsTelecoms - Mobile,Old,0.00027948,0.00027948,0.00027948,0.00034935,20000000,3,Yes,0,Telephone & Telegraph,34,-0.25,3,2,C,Unknown,Placeholder - Description to follow
Communications,Telecoms - Transmission Towers,CommunicationsTelecoms - Transmission Towers,Live,0.00018632,0.00018632,0.00018632,0.0002329,5000000,4,Yes,0,High Technology,17,-0.25,3,2,D,Surch Fire,Placeholder - Description to follow
Communications,Tv and Radio Stations,CommunicationsTv and Radio Stations,Live,0.00027948,0.00027948,0.00027948,0.00034935,20000000,3,Yes,0,Communication (Radio and TV),35,-0.25,3,2,C,Surch Fire,Placeholder - Description to follow
Education,Miscellaneous Schools,EducationMiscellaneous Schools,Old,0.000298083,0.000298083,0.000298083,0.000372603,25000000,4,No,0,Education,25,-0.25,3,2,A,Medium,Placeholder - Description to follow
Education,Schools,EducationSchools,Live,0.000298083,0.000298083,0.000298083,0.000372603,25000000,4,No,0,Education,25,-0.25,3,2,A,Medium,Placeholder - Description to follow
Education,Technical and Trade Schools,EducationTechnical and Trade Schools,Live,0.000433151,0.000433151,0.000433151,0.000541439,15000000,4,No,0,Education,25,-0.25,3,2,A,Medium,Placeholder - Description to follow
Education,Universities and Colleges,EducationUniversities and Colleges,Live,0.000251507,0.000251507,0.000251507,0.000314384,30000000,4,No,0,Universities and Colleges,54,-0.25,3,2,D,Unknown,Placeholder - Description to follow
Food,Bakeries - Commercial,FoodBakeries - Commercial,Live,0.000470252,0.000470252,0.000470252,0.000587815,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium-High,Placeholder - Description to follow
Food,Beef and Pork Processing,FoodBeef and Pork Processing,Live,0.001881009,0.001881009,0.001881009,0.002351261,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Bottling,FoodBottling,Live,0.000282151,0.000282151,0.000282151,0.000352689,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Breweries,FoodBreweries,Live,0.000282151,0.000470252,0.000282151,0.000352689,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Candy Manufacturing,FoodCandy Manufacturing,Live,0.000564303,0.000564303,0.000564303,0.000705378,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium-High,Placeholder - Description to follow
Food,Cannery - Fruits and Vegetables,FoodCannery - Fruits and Vegetables,Live,0.000282151,0.000282151,0.000282151,0.000352689,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,B,Unknown,Placeholder - Description to follow
Food,Cheese Manufacturing,FoodCheese Manufacturing,Live,0.000470252,0.000940505,0.000470252,0.000587815,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium-High,Placeholder - Description to follow
Food,Chocolate Manufacturing,FoodChocolate Manufacturing,Live,0.000376202,0.000376202,0.000376202,0.000470252,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium-High,Placeholder - Description to follow
Food,Coffee and Tea Roasting,FoodCoffee and Tea Roasting,Live,0.000940505,0.000940505,0.000940505,0.001175631,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Distilleries,FoodDistilleries,Live,0.000705378,0.000940505,0.000705378,0.000881723,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Fats and Oils Refining and Blending,FoodFats and Oils Refining and Blending,Live,0.000705378,0.000705378,0.000705378,0.000881723,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Surch Fire,Placeholder - Description to follow
Food,Flour Mill,FoodFlour Mill,Live,0.000705378,0.000705378,0.000705378,0.000881723,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,D,Medium,Placeholder - Description to follow
Food,Food Dehydration Manufacturing,FoodFood Dehydration Manufacturing,Live,0.000705378,0.000705378,0.000705378,0.000881723,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,B,Unknown,Placeholder - Description to follow
Food,Food Manufacturing,FoodFood Manufacturing,Old,0.000752404,0.000752404,0.000752404,0.000940505,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Fruit and Vegetable Manufacturing - Frozen,FoodFruit and Vegetable Manufacturing - Frozen,Live,0.000376202,0.000376202,0.000376202,0.000470252,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium-High,Placeholder - Description to follow
Food,Ice Cream and Frozen Desserts,FoodIce Cream and Frozen Desserts,Live,0.000376202,0.000376202,0.000376202,0.000470252,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium-High,Placeholder - Description to follow
Food,Ice Plant,FoodIce Plant,Live,0.000376202,0.000376202,0.000376202,0.000470252,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Milk Manufacturing,FoodMilk Manufacturing,Live,0.000470252,0.000940505,0.000470252,0.000587815,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium-High,Placeholder - Description to follow
Food,Milk Manufacturing - Dry and Evaporated,FoodMilk Manufacturing - Dry and Evaporated,Live,0.000705378,0.001881009,0.000705378,0.000881723,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium-High,Placeholder - Description to follow
Food,Nut Roasting - Including Peanut Butter,FoodNut Roasting - Including Peanut Butter,Live,0.000940505,0.000940505,0.000940505,0.001175631,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Surch Fire,Placeholder - Description to follow
Food,Oilseed Processing,FoodOilseed Processing,Live,0.001316706,0.001316706,0.001316706,0.001645883,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,D,Medium,Placeholder - Description to follow
Food,Pet Food - Dry,FoodPet Food - Dry,Live,0.000705378,0.000705378,0.000705378,0.000881723,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Pet Food - Wet,FoodPet Food - Wet,Live,0.000376202,0.000376202,0.000376202,0.000470252,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Poultry Processing,FoodPoultry Processing,Live,0.001881009,0.001881009,0.001881009,0.002351261,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Processed Food Manufacturing - Frozen,FoodProcessed Food Manufacturing - Frozen,Live,0.000940505,0.000940505,0.000940505,0.001175631,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Processed Food Manufacturing - Non-Frozen,FoodProcessed Food Manufacturing - Non-Frozen,Live,0.000940505,0.000940505,0.000940505,0.001175631,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Rendering Plant,FoodRendering Plant,Live,0.002821514,0.002821514,0.002821514,0.003526892,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Surch Fire,Placeholder - Description to follow
Food,Rice Mill,FoodRice Mill,Live,0.000705378,0.000705378,0.000705378,0.000881723,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,D,Surch Fire,Placeholder - Description to follow
Food,Seafood Canning,FoodSeafood Canning,Live,0.000376202,0.000376202,0.000376202,0.000470252,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Surch Fire,Placeholder - Description to follow
Food,Seafood Processing - Fresh and Frozen,FoodSeafood Processing - Fresh and Frozen,Live,0.000752404,0.000752404,0.000752404,0.000940505,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Surch Fire,Placeholder - Description to follow
Food,Slaughterhouse - Not Poultry,FoodSlaughterhouse - Not Poultry,Live,0.002821514,0.002821514,0.002821514,0.003526892,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,D,Surch Fire,Placeholder - Description to follow
Food,Slaughterhouse - Poultry,FoodSlaughterhouse - Poultry,Live,0.002351261,0.002351261,0.002351261,0.002939077,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Soybean Processing,FoodSoybean Processing,Live,0.001316706,0.001316706,0.001316706,0.001645883,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,D,Medium,Placeholder - Description to follow
Food,Sugar Mill,FoodSugar Mill,Live,0.000470252,0.000940505,0.000470252,0.000587815,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,D,Surch Fire,Placeholder - Description to follow
Food,Sugar Refining,FoodSugar Refining,Live,0.000705378,0.001881009,0.000705378,0.000881723,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,0,3,2,C,Medium,Placeholder - Description to follow
Food,Wineries,FoodWineries,Live,0.000282151,0.000470252,0.000282151,0.000352689,25000000,4,Partial,0,Food and Drugs Processing Food manufacturing,14,1,3,2,C,Medium,Placeholder - Description to follow
Govermental/Municipal,Correctional Institutions and Prisons,Govermental/MunicipalCorrectional Institutions and Prisons,Live,0.000223093,0.000223093,0.000223093,0.000278867,25000000,4,Yes,0,General Services,23,-0.25,3,2,D,Surch Fire,Placeholder - Description to follow
Govermental/Municipal,Courts,Govermental/MunicipalCourts,Live,0.000148729,0.000148729,0.000148729,0.000185911,25000000,4,Yes,0,General Services,23,-0.25,3,2,A,Medium,Placeholder - Description to follow
Govermental/Municipal,Emergency Response Services,Govermental/MunicipalEmergency Response Services,Live,0.000176977,0.000176977,0.000176977,0.000221222,5000000,4,Yes,0,General Services,23,-0.25,3,2,A,Medium,Placeholder - Description to follow
Govermental/Municipal,Governmental Office & Administration,Govermental/MunicipalGovernmental Office & Administration,Live,0.000148729,0.000148729,0.000148729,0.000185911,25000000,4,Yes,0,General Services,23,-0.25,3,2,A,Low,Placeholder - Description to follow
Govermental/Municipal,Governmental Services - Other,Govermental/MunicipalGovernmental Services - Other,Old,0.000148729,0.000148729,0.000148729,0.000185911,25000000,4,Yes,0,General Services,23,-0.25,3,2,A,Low,Placeholder - Description to follow
Govermental/Municipal,Library,Govermental/MunicipalLibrary,Live,0.000280575,0.000280575,0.000280575,0.000350719,6000000,4,Yes,0,Education,25,-0.25,3,2,A,Medium,Placeholder - Description to follow
Govermental/Municipal,Municipal Stadiums,Govermental/MunicipalMunicipal Stadiums,Live,0.000148729,0.000148729,0.000148729,0.000185911,5000000,4,Yes,0,General Services,23,-0.25,3,2,A,Medium,Placeholder - Description to follow
Govermental/Municipal,Municipal/County/State Authority,Govermental/MunicipalMunicipal/County/State Authority,Old,0.000148729,0.000148729,0.000148729,0.000185911,25000000,4,Yes,0,General Services,23,-0.25,3,2,A,Medium,Placeholder - Description to follow
Govermental/Municipal,Public Institutions,Govermental/MunicipalPublic Institutions,Old,0.000148729,0.000148729,0.000148729,0.000185911,25000000,4,Yes,0,General Services,23,-0.25,3,2,A,Medium,Placeholder - Description to follow
Habitational,Apartments,HabitationalApartments,Old,0.000752082,0.000752082,0.000752082,0.000940103,15000000,2,Yes,0,Permanent Dwelling (multi family housing),2,-0.25,3,2,B,Unknown,Placeholder - Description to follow
Habitational,Condominiums,HabitationalCondominiums,Old,0.000501388,0.000501388,0.000501388,0.000626735,15000000,2,Yes,0,Permanent Dwelling (multi family housing),2,-0.25,3,2,A,Medium,Placeholder - Description to follow
Habitational,Fraternity or Sorority House,HabitationalFraternity or Sorority House,Live,0.00207109,0.00207109,0.00207109,0.002588863,20000000,1,No,0,Multi Family Units,2,-0.25,3,2,D,Medium-High,Placeholder - Description to follow
Habitational,High Rise Apartments - 10+ stories,HabitationalHigh Rise Apartments - 10+ stories,Live,0.000246805,0.000246805,0.000246805,0.000308506,25000000,4,Yes,0,Permanent Dwelling (multi family housing),2,-0.25,3,2,B,Unknown,Placeholder - Description to follow
Habitational,High Rise Condos - 10+ stories,HabitationalHigh Rise Condos - 10+ stories,Live,0.000164536,0.000164536,0.000164536,0.000205671,25000000,4,Yes,0,Permanent Dwelling (multi family housing),2,-0.25,3,2,A,Medium,Placeholder - Description to follow
Habitational,High Rise Student Housing - 10+ stories,HabitationalHigh Rise Student Housing - 10+ stories,Live,0.000230351,0.000230351,0.000230351,0.000287939,25000000,4,Yes,0,Multi Family Units,2,-0.25,3,2,D,Medium-High,Placeholder - Description to follow
Habitational,Inns/Bed and Breakfasts,HabitationalInns/Bed and Breakfasts,Old,0.002074577,0.002074577,0.002074577,0.002593221,5000000,1,No,0,Temporary Lodging,3,-0.25,3,2,A,Medium-High,Placeholder - Description to follow
Habitational,Low Rise Apartments - <5 stories,HabitationalLow Rise Apartments - <5 stories,Live,0.003111866,0.003111866,0.003111866,0.003889833,5000000,1,No,0,Permanent Dwelling (multi family housing),2,-0.25,3,2,B,Unknown,Placeholder - Description to follow
Habitational,Low Rise Condos - <5 stories,HabitationalLow Rise Condos - <5 stories,Live,0.00184097,0.00184097,0.00184097,0.002301212,15000000,1,No,0,Permanent Dwelling (multi family housing),2,-0.25,3,2,A,Medium,Placeholder - Description to follow
Habitational,Low Rise Student Housing - <5 stories,HabitationalLow Rise Student Housing - <5 stories,Live,0.001495788,0.001495788,0.001495788,0.001869735,20000000,1,Yes,0,Multi Family Units,2,-0.25,3,2,D,Medium-High,Placeholder - Description to follow
Habitational,Mid Rise Apartments - 5-9 stories,HabitationalMid Rise Apartments - 5-9 stories,Live,0.000752082,0.000752082,0.000752082,0.000940103,15000000,2,Yes,0,Permanent Dwelling (multi family housing),2,-0.25,3,2,B,Unknown,Placeholder - Description to follow
Habitational,Mid Rise Condos - 5-9 stories,HabitationalMid Rise Condos - 5-9 stories,Live,0.000501388,0.000501388,0.000501388,0.000626735,15000000,2,Yes,0,Permanent Dwelling (multi family housing),2,-0.25,3,2,A,Medium,Placeholder - Description to follow
Habitational,Mid Rise Student Housing - 5-9 stories,HabitationalMid Rise Student Housing - 5-9 stories,Live,0.000626735,0.000626735,0.000626735,0.000783419,15000000,2,Yes,0,Multi Family Units,2,-0.25,3,2,D,Medium-High,Placeholder - Description to follow
Habitational,Military Housing,HabitationalMilitary Housing,Live,0.00184097,0.00184097,0.00184097,0.002301212,15000000,1,No,0,Permanent Dwelling (single family housing),1,-0.25,3,2,B,Unknown,Placeholder - Description to follow
Habitational,Single Family Dwellings,HabitationalSingle Family Dwellings,Live,0.002301212,0.002301212,0.002301212,0.002876515,15000000,1,No,0,Permanent Dwelling (single family housing),1,-0.25,3,2,A,Surch Fire,Placeholder - Description to follow
Habitational,Student Housing,HabitationalStudent Housing,Old,0.000626735,0.000626735,0.000626735,0.000783419,15000000,2,Yes,0,Multi Family Units,2,-0.25,3,2,D,Medium-High,Placeholder - Description to follow
Habitational,Vacant,HabitationalVacant,Old,0.000752082,0.000752082,0.000752082,0.000940103,15000000,2,Yes,0,General Commercial,37,-0.25,3,2,A,Surch Fire,Placeholder - Description to follow
Health Services,Assisted Living,Health ServicesAssisted Living,Live,0.000923165,0.000923165,0.000923165,0.001153956,5000000,2,Yes,0,Group Institutional Housing,4,-0.25,3,2,A,Medium-High,Placeholder - Description to follow
Health Services,Day Care,Health ServicesDay Care,Live,0.000369266,0.000369266,0.000369266,0.000461583,5000000,4,Yes,0,Health Care Service,9,-0.25,3,2,A,Medium,Placeholder - Description to follow
Health Services,Health Care Service,Health ServicesHealth Care Service,Old,0.000184633,0.000184633,0.000184633,0.000230791,2000000,4,Yes,0,Health Care Service,9,-0.25,3,2,C,Low,Placeholder - Description to follow
Health Services,Home Health Care Service,Health ServicesHome Health Care Service,Live,0.000184633,0.000184633,0.000184633,0.000230791,2000000,4,Yes,0,Health Care Service,9,-0.25,3,2,C,Low,Placeholder - Description to follow
Health Services,Hospital,Health ServicesHospital,Live,0.000184633,0.000184633,0.000184633,0.000230791,25000000,4,Yes,0,Health Care Service,9,-0.25,3,2,C,Low,Placeholder - Description to follow
Health Services,Laboratories,Health ServicesLaboratories,Live,0.00027695,0.00027695,0.00027695,0.000346187,5000000,4,Yes,0,Health Care Service,9,-0.25,3,2,B,Unknown,Placeholder - Description to follow
Health Services,Medical Office,Health ServicesMedical Office,Live,0.000184633,0.000184633,0.000184633,0.000230791,5000000,4,Yes,0,Health Care Service,9,-0.25,3,2,B,Unknown,Placeholder - Description to follow
Health Services,Nursing Home,Health ServicesNursing Home,Live,0.000461583,0.000461583,0.000461583,0.000576978,5000000,4,Yes,0,Group Institutional Housing,4,-0.25,3,2,A,Medium-High,Placeholder - Description to follow
Health Services,Outpatient Care Centers,Health ServicesOutpatient Care Centers,Live,0.00027695,0.00027695,0.00027695,0.000346187,10000000,4,Yes,0,Health Care Service,9,-0.25,3,2,B,Unknown,Placeholder - Description to follow
Health Services,Rehabilitation Facility,Health ServicesRehabilitation Facility,Live,0.000184633,0.000184633,0.000184633,0.000230791,5000000,4,Yes,0,Group Institutional Housing,4,-0.25,3,2,A,Medium-High,Placeholder - Description to follow
Health Services,Residential Care,Health ServicesResidential Care,Live,0.000553899,0.000553899,0.000553899,0.000692374,5000000,2,Yes,0,Group Institutional Housing,4,-0.25,3,2,A,Medium-High,Placeholder - Description to follow
Health Services,Vacant,Health ServicesVacant,Old,0.00027695,0.00027695,0.00027695,0.000346187,10000000,4,Yes,0,General Commercial,37,-0.25,3,2,A,Surch Fire,Placeholder - Description to follow
Heavy Industry,Alkalies and Chlorine Manufacturing,Heavy IndustryAlkalies and Chlorine Manufacturing,Live,0.000533966,0.000667457,0.000533966,0.000667457,60000000,4,Yes,0,Chemicals Processing,15,0.25,3,30,D,Surch Fire,Placeholder - Description to follow
Heavy Industry,Aluminium Rolling (Cold),Heavy IndustryAluminium Rolling (Cold),Live,0.000500593,0.001001185,0.000500593,0.000625741,100000000,4,Yes,0,Heavy Fabrication and Assembly,12,-0.25,3,30,D,Medium,Placeholder - Description to follow
Heavy Industry,Aluminium Smelting,Heavy IndustryAluminium Smelting,Live,0.001001185,0.002002371,0.001001185,0.001251482,100000000,4,Yes,0,Heavy Fabrication and Assembly,12,-0.25,3,30,D,Medium,Placeholder - Description to follow
Heavy Industry,Aluminum Die-Casting Foundries,Heavy IndustryAluminum Die-Casting Foundries,Old,0.001001185,0.001001185,0.001001185,0.001251482,100000000,4,Yes,0,Heavy Fabrication and Assembly,12,-0.25,3,30,D,Medium,Placeholder - Description to follow
Heavy Industry,Aluminum Foundries (Except Die-Casting),Heavy IndustryAluminum Foundries (Except Die-Casting),Live,0.001001185,0.002002371,0.001001185,0.001251482,100000000,4,Yes,0,Heavy Fabrication and Assembly,12,-0.25,3,30,D,Medium,Placeholder - Description to follow
Heavy Industry,"Aluminum Sheet, Plate, and Foil Manufacturing","Heavy IndustryAluminum Sheet, Plate, and Foil Manufacturing",Live,0.000500593,0.001001185,0.000500593,0.000625741,100000000,4,Yes,0,Heavy Fabrication and Assembly,12,-0.25,3,30,D,Medium,Placeholder - Description to follow
Heavy Industry,Ammunition (Except Small Arms) Manufacturing,Heavy IndustryAmmunition (Except Small Arms) Manufacturing,Live,0.000834321,0.000834321,0.000834321,0.001042902,100000000,4,Yes,0,Heavy Fabrication and Assembly,12,-0.25,3,30,C,Surch Fire,Placeholder - Description to follow
Heavy Industry,Battery Manufacturing,Heavy IndustryBattery Manufacturing,Old,0.001251044,0.001251044,0.001251044,0.001563804,280000000,5,Yes,0,Heavy Fabrication and Assembly,12,-0.25,3,30,B,Medium-High,Placeholder - Description to follow
Heavy Industry,Battery Manufacturing (excluding Lithium),Heavy IndustryBattery Manufacturing (excluding Lithium),Live,0.000955724,0.000955724,0.000955724,0.001194656,280000000,5,Yes,0,Heavy Fabrication and Assembly,12,-0.25,3,30,B,Medium-High,Placeholder - Description to follow
Heavy Industry,Battery Manufacturing (Lithium),Heavy IndustryBattery Manufacturing (Lithium),Live,0.001251044,0.001251044,0.001251044,0.001563804,280000000,5,Yes,0,Heavy Fabrication and Assembly,12,-0.25,3,30,B,Medium-High,Placeholder - Description to follow
Heavy Industry,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing","Heavy IndustryBolt, Nut, Screw, Rivet, and Washer Manufacturing",Live,0.000266982,0.000266982,0.000266982,0.000333729,100000000,4,Yes,0,Heavy Fabrication and Assembly,12,-0.25,3,30,C,Medium-High,Placeholder - Description to follow
Heavy Industry,Brick and Structural Clay Tile Manufacturing,Heavy IndustryBrick and Structural Clay Tile Manufacturing,Live,0.000561565,0.000701956,0.000561565,0.000701956,50000000,3,Yes,0,Heavy Fabrication and Assembly,12,-0.25,3,30,C,Medium,Placeholder - Description to follow
Heavy Industry,Cement Manufacturing,Heavy IndustryCement Manufacturing,Live,0.000318575,0.000955724,0.000318582,0.000397982,50000000,5,Yes,0,Heavy Fabrication and Assembly,12,0.25,3,30,D,Unknown,Placeholder - Description to follow
Heavy Industry,Chemicals Miscellaneous Manufacturing,Heavy IndustryChemicals Miscellaneous Manufacturing,Old,0.002135862,0.002135862,0.002135862,0.002669828,60000000,4,Yes,0,Chemicals Processing,15,0.25,3,30,D,Surch Fire,Placeholder - Description to follow
