policy_id,model_version_id,datafix,status,time,error_step,error_message,error_detail,time_taken,policy_id_new
790376,5581,yes,,,,,,,
790392,5581,yes,,,,,,,
791141,5581,yes,,,,,,,
792650,5581,yes,,,,,,,
799927,5581,yes,,,,,,,
801753,5581,yes,,,,,,,
801791,5581,yes,,,,,,,
801961,5581,yes,,,,,,,
803075,5581,yes,,,,,,,
823573,5581,yes,,,,,,,
824285,5581,yes,,,,,,,
825742,5581,yes,,,,,,,
827027,5581,yes,,,,,,,
827426,5581,yes,,,,,,,
827518,5581,yes,,,,,,,
827563,5581,yes,,,,,,,
827767,5581,yes,,,,,,,
837846,5581,yes,,,,,,,
838071,5581,yes,,,,,,,
849269,5581,yes,,,,,,,
850787,5581,yes,,,,,,,
851692,5581,yes,,,,,,,
854140,5581,yes,,,,,,,
854346,5581,yes,,,,,,,
865808,5581,yes,,,,,,,
865813,5581,yes,,,,,,,
886187,5581,yes,,,,,,,
887974,5581,yes,,,,,,,
887996,5581,yes,,,,,,,
888819,5581,yes,,,,,,,
898200,5581,yes,,,,,,,
899349,5581,yes,,,,,,,
904361,5581,yes,,,,,,,
904386,5581,yes,,,,,,,
904427,5581,yes,,,,,,,
904524,5581,yes,,,,,,,
904580,5581,yes,,,,,,,
914077,5581,yes,,,,,,,
914189,5581,yes,,,,,,,
914264,5581,yes,,,,,,,
914516,5581,yes,,,,,,,
916074,5581,yes,,,,,,,
916417,5581,yes,,,,,,,
916932,5581,yes,,,,,,,
917536,5581,yes,,,,,,,
917731,5581,yes,,,,,,,
918002,5581,yes,,,,,,,
920747,5581,yes,,,,,,,
923098,5581,yes,,,,,,,
923856,5581,yes,,,,,,,
924433,5581,yes,,,,,,,
924515,5581,yes,,,,,,,
925085,5581,yes,,,,,,,
925708,5581,yes,,,,,,,
926381,5581,yes,,,,,,,
926517,5581,yes,,,,,,,
926554,5581,yes,,,,,,,
926577,5581,yes,,,,,,,
936304,5581,yes,,,,,,,
936379,5581,yes,,,,,,,
936650,5581,yes,,,,,,,
936878,5581,yes,,,,,,,
936893,5581,yes,,,,,,,
937775,5581,yes,,,,,,,
937960,5581,yes,,,,,,,
938939,5581,yes,,,,,,,
939056,5581,yes,,,,,,,
939377,5581,yes,,,,,,,
939401,5581,yes,,,,,,,
940340,5581,yes,,,,,,,
940345,5581,yes,,,,,,,
941242,5581,yes,,,,,,,
941349,5581,yes,,,,,,,
