Grade,Score,Tenor,Value
B,7,8,1.122925974
B-,6,8,1.010106692
CCC+,5,8,1
CCC,4,8,1
CCC-,3,8,1
CC,2,8,1
C,1,8,1
AAA,21,9,6.600351288
AA+,20,9,4.310889186
AA,19,9,2.815572196
AA-,18,9,2.922274992
A+,17,9,3.033021544
A,16,9,3.1479651
A-,15,9,2.832066161
BBB+,14,9,2.547867744
BBB,13,9,2.292188697
BBB-,12,9,2.04671158
BB+,11,9,1.827523317
BB,10,9,1.63180856
BB-,9,9,1.423784059
B+,8,9,1.243560967
B,7,9,1.122925974
B-,6,9,1.010106692
CCC+,5,9,1
CCC,4,9,1
CCC-,3,9,1
CC,2,9,1
C,1,9,1
AAA,21,10,7.571153577
AA+,20,10,4.81931646
AA,19,10,3.06767138
AA-,18,10,3.172919971
A+,17,10,3.281779531
A,16,10,3.394373948
A-,15,10,3.035259916
BBB+,14,10,2.714139013
BBB,13,10,2.426991687
BBB-,12,10,2.140853839
BB+,11,10,1.888451116
BB,10,10,1.665806209
BB-,9,10,1.435184765
B+,8,10,1.243560967
B,7,10,1.122925974
B-,6,10,1.010106692
CCC+,5,10,1
CCC,4,10,1
CCC-,3,10,1
CC,2,10,1
C,1,10,1
AAA,21,11,8.594217135
AA+,20,11,5.343305188
AA,19,11,3.322107166
AA-,18,11,3.423512086
A+,17,11,3.528012318
A,16,11,3.635702344
A-,15,11,3.232234673
BBB+,14,11,2.873541339
BBB,13,11,2.554653564
BBB-,12,11,2.226670412
BB+,11,11,1.940795884
BB,10,11,1.691623801
BB-,9,11,1.440806365
B+,8,11,1.243560967
B,7,11,1.122925974
B-,6,11,1.010106692
CCC+,5,11,1
CCC,4,11,1
CCC-,3,11,1
CC,2,11,1
C,1,11,1
AAA,21,12,9.666472267
AA+,20,12,5.881154524
AA,19,12,3.578138702
AA-,18,12,3.673442988
A+,17,12,3.771285719
A,16,12,3.871734506
A-,15,12,3.422802704
BBB+,14,12,3.025925029
BBB,13,12,2.675065751
BBB-,12,12,2.304488755
BB+,11,12,1.985247809
BB,10,12,1.710231328
BB-,9,12,1.441588997
B+,8,12,1.243560967
B,7,12,1.122925974
B-,6,12,1.010106692
CCC+,5,12,1
CCC,4,12,1
CCC-,3,12,1
CC,2,12,1
C,1,12,1
AAA,21,13,10.78472732
AA+,20,13,6.431192863
AA,19,13,3.835075325
AA-,18,13,3.922140383
A+,17,13,4.011182018
A,16,13,4.102245105
A-,15,13,3.606810699
BBB+,14,13,3.171210663
BBB,13,13,2.788218708
BBB-,12,13,2.374704047
BB+,11,13,2.022516847
BB,10,13,1.722561766
BB-,9,13,1.441588997
B+,8,13,1.243560967
B,7,13,1.122925974
B-,6,13,1.010106692
CCC+,5,13,1
CCC,4,13,1
CCC-,3,13,1
CC,2,13,1
C,1,13,1
AAA,21,14,11.94570169
AA+,20,14,6.991783539
AA,19,14,4.092270033
AA-,18,14,4.169067733
A+,17,14,4.247306659
A,16,14,4.327013859
A-,15,14,3.784145447
BBB+,14,14,3.309385463
BBB,13,14,2.894189005
BBB-,12,14,2.43775664
BB+,11,14,2.053306618
BB,10,14,1.729486856
BB-,9,14,1.441588997
B+,8,14,1.243560967
B,7,14,1.122925974
B-,6,14,1.010106692
CCC+,5,14,1
CCC,4,14,1
CCC-,3,14,1
CC,2,14,1
C,1,14,1
AAA,21,15,13.14605357
AA+,20,15,7.561329455
AA,19,15,4.34911533
AA-,18,15,4.413724551
A+,17,15,4.479293588
A,16,15,4.545836701
A-,15,15,3.954736193
BBB+,14,15,3.440497182
BBB,13,15,2.993125275
BBB-,12,15,2.494113388
BB+,11,15,2.078296437
BB,10,15,1.731804215
BB-,9,15,1.441588997
B+,8,15,1.243560967
B,7,15,1.122925974
B-,6,15,1.010106692
CCC+,5,15,1
CCC,4,15,1
CCC-,3,15,1
CC,2,15,1
C,1,15,1
