Country,IHS Country,Credit score,Rating
Tunisia,Tunisia,4,CCC
Turkey,Turkey,7,B
Turkmenistan,Turkmenistan,9,BB-
Uganda,Uganda,7,B
Ukraine,Ukraine,4,CC
United Arab Emirates,United Arab Emirates,20,AA
United Kingdom,United Kingdom,18,AA-
United States,United States,21,AAA
Uruguay,Uruguay,12,BBB
Uzbekistan,Uzbekistan,9,BB-
Vanuatu,Vanuatu,7,B
Venezuela,Venezuela,2,CC
Vietnam,Vietnam,10,BB
Yemen,Yemen,4,CCC
Zambia,Zambia,2,CC
Zimbabwe,Zimbabwe,4,CCC
