country,risk_name,historic_updated_value,historic_updated_date
AE,ContractAlteration,2.9,2019-10-21
AE,ContractAlteration,3.1,2017-06-12
AE,ContractAlteration,3,2016-10-31
AE,ContractEnforcement,2.1,2023-08-03
AE,ContractEnforcement,2.2,2023-01-25
AE,ContractEnforcement,2.3,2022-09-14
AE,ContractEnforcement,2.4,2020-11-30
AE,ContractEnforcement,2.4,2019-10-21
AE,ContractEnforcement,2.4,2018-09-24
AE,ContractEnforcement,2.4,2016-10-31
AE,CurrencyDepreciation,0.5,2024-11-12
AE,CurrencyDepreciation,0.6,2024-05-13
AE,CurrencyDepreciation,0.5,2022-08-04
AE,CurrencyDepreciation,0.4,2021-05-06
AE,CurrencyDepreciation,0.6,2020-08-06
AE,CurrencyDepreciation,0.8,2020-05-05
AE,CurrencyDepreciation,0.6,2016-02-09
AE,Economic,1.1,2025-02-05
AE,Economic,1,2024-11-12
AE,Economic,1.1,2024-08-13
AE,Economic,1.2,2024-05-13
AE,Economic,1,2023-05-04
AE,Economic,1.1,2023-02-07
AE,Economic,1.2,2022-08-04
AE,Economic,1,2022-07-20
AE,Economic,1.1,2022-05-06
AE,Economic,1.2,2022-02-02
AE,Economic,0.8,2021-11-05
AE,Economic,0.6,2021-05-06
AE,Economic,0.8,2021-02-03
AE,Economic,0.9,2020-08-06
AE,Economic,1.7,2020-05-05
AE,Economic,1.8,2020-04-23
AE,Economic,0.8,2020-02-25
AE,Economic,0.7,2019-08-13
AE,Economic,0.6,2019-07-09
AE,Economic,0.7,2019-05-15
AE,Economic,0.8,2019-02-13
AE,Economic,0.9,2018-02-14
AE,Economic,1.1,2017-08-16
AE,Economic,1,2017-05-09
AE,Economic,1.2,2016-08-09
AE,Economic,1.1,2016-02-09
AE,Economic,0.9,2015-11-10
AE,Economic,0.8,2015-05-13
AE,Expropriation,0.6,2023-01-25
AE,Expropriation,0.7,2022-09-14
AE,Expropriation,0.8,2020-11-30
AE,Expropriation,0.8,2019-10-21
AE,Expropriation,0.9,2017-06-12
AE,Expropriation,0.7,2016-10-31
AE,GovernmentStability,0.8,2023-04-03
AE,GovernmentStability,0.9,2023-03-10
AE,GovernmentStability,1,2023-01-25
AE,GovernmentStability,1.2,2022-05-13
AE,GovernmentStability,1.2,2021-09-28
AE,GovernmentStability,1.3,2021-02-22
AE,GovernmentStability,1.5,2020-11-30
AE,GovernmentStability,1.5,2020-07-13
AE,GovernmentStability,1.5,2020-06-15
AE,GovernmentStability,1.4,2020-04-14
AE,GovernmentStability,1.5,2020-03-31
AE,GovernmentStability,1.3,2020-03-09
AE,GovernmentStability,1.2,2019-11-11
AE,GovernmentStability,1.3,2018-09-24
AE,GovernmentStability,1.3,2016-08-29
AE,GovernmentStability,1,2016-06-22
AE,Inflation,3,2025-02-05
AE,Inflation,2.8,2024-11-12
AE,Inflation,2.9,2024-08-13
AE,Inflation,3.1,2024-05-13
AE,Inflation,2.8,2024-02-08
AE,Inflation,2.6,2023-11-06
AE,Inflation,2.1,2023-08-02
AE,Inflation,2.8,2023-05-04
AE,Inflation,2.9,2023-02-07
AE,Inflation,3.1,2022-11-03
