attachment,salzman_a_primary,salzman_b_primary,salzman_average
46,87,71,79
46.125,87.0625,71.075,79.06875
46.25,87.125,71.15,79.1375
46.375,87.1875,71.225,79.20625
46.5,87.25,71.3,79.275
46.625,87.3125,71.375,79.34375
46.75,87.375,71.45,79.4125
46.875,87.4375,71.525,79.48125
47,87.5,71.6,79.55
47.125,87.5625,71.6875,79.625
47.25,87.625,71.775,79.7
47.375,87.6875,71.8625,79.775
47.5,87.75,71.95,79.85
47.625,87.8125,72.0375,79.925
47.75,87.875,72.125,80
47.875,87.9375,72.2125,80.075
48,88,72.3,80.15
48.125,88.0625,72.375,80.21875
48.25,88.125,72.45,80.2875
48.375,88.1875,72.525,80.35625
48.5,88.25,72.6,80.425
48.625,88.3125,72.675,80.49375
48.75,88.375,72.75,80.5625
48.875,88.4375,72.825,80.63125
49,88.5,72.9,80.7
49.125,88.5625,72.9875,80.775
49.25,88.625,73.075,80.85
49.375,88.6875,73.1625,80.925
49.5,88.75,73.25,81
49.625,88.8125,73.3375,81.075
49.75,88.875,73.425,81.15
49.875,88.9375,73.5125,81.225
50,89,73.6,81.3
50.125,89.05,73.6875,81.36875
50.25,89.1,73.775,81.4375
50.375,89.15,73.8625,81.50625
50.5,89.2,73.95,81.575
50.625,89.25,74.0375,81.575
50.75,89.3,74.125,81.575
50.875,89.35,74.2125,81.575
51,89.4,74.3,81.575
51.125,89.4375,74.375,81.7
51.25,89.475,74.45,81.825
51.375,89.5125,74.525,81.95
51.5,89.55,74.6,82.075
51.625,89.5875,74.675,82.13125
51.75,89.625,74.75,82.1875
51.875,89.6625,74.825,82.24375
52,89.7,74.9,82.3
52.125,89.7375,74.9875,82.3625
52.25,89.775,75.075,82.425
52.375,89.8125,75.1625,82.4875
52.5,89.85,75.25,82.55
52.625,89.8875,75.3375,82.6125
52.75,89.925,75.425,82.675
52.875,89.9625,75.5125,82.7375
53,90,75.6,82.8
53.125,90.0625,75.6875,82.875
53.25,90.125,75.775,82.95
53.375,90.1875,75.8625,83.025
53.5,90.25,75.95,83.1
53.625,90.3125,76.0375,83.175
53.75,90.375,76.125,83.25
53.875,90.4375,76.2125,83.325
54,90.5,76.3,83.4
54.125,90.5375,76.375,83.45625
54.25,90.575,76.45,83.5125
54.375,90.6125,76.525,83.56875
54.5,90.65,76.6,83.625
54.625,90.6875,76.675,83.68125
54.75,90.725,76.75,83.7375
54.875,90.7625,76.825,83.79375
55,90.8,76.9,83.85
55.125,90.85,76.9875,83.91875
55.25,90.9,77.075,83.9875
55.375,90.95,77.1625,84.05625
55.5,91,77.25,84.125
55.625,91.05,77.3375,84.19375
55.75,91.1,77.425,84.2625
55.875,91.15,77.5125,84.33125
56,91.2,77.6,84.4
56.125,91.25,77.6875,84.46875
56.25,91.3,77.775,84.5375
56.375,91.35,77.8625,84.60625
56.5,91.4,77.95,84.675
56.625,91.45,78.0375,84.74375
56.75,91.5,78.125,84.8125
56.875,91.55,78.2125,84.88125
57,91.6,78.3,84.95
57.125,91.65,78.3875,85.01875
57.25,91.7,78.475,85.0875
57.375,91.75,78.5625,85.15625
57.5,91.8,78.65,85.225
57.625,91.85,78.7375,85.29375
57.75,91.9,78.825,85.3625
57.875,91.95,78.9125,85.43125
58,92,79,85.5
58.125,92.0375,79.075,85.55625
58.25,92.075,79.15,85.6125
58.375,92.1125,79.225,85.66875
58.5,92.15,79.3,85.725
58.625,92.1875,79.375,85.78125
58.75,92.225,79.45,85.8375
58.875,92.2625,79.525,85.89375
59,92.3,79.6,85.95
59.125,92.35,79.6875,86.01875
59.25,92.4,79.775,86.0875
59.375,92.45,79.8625,86.15625
59.5,92.5,79.95,86.225
59.625,92.55,80.0375,86.29375
59.75,92.6,80.125,86.3625
59.875,92.65,80.2125,86.43125
60,92.7,80.3,86.5
60.125,92.7375,80.375,86.55625
60.25,92.775,80.45,86.6125
60.375,92.8125,80.525,86.66875
60.5,92.85,80.6,86.725
60.625,92.8875,80.675,86.78125
60.75,92.925,80.75,86.8375
60.875,92.9625,80.825,86.89375
61,93,80.9,86.95
61.125,93.025,80.975,87
61.25,93.05,81.05,87.05
61.375,93.075,81.125,87.1
61.5,93.1,81.2,87.15
61.625,93.125,81.275,87.2
61.75,93.15,81.35,87.25
61.875,93.175,81.425,87.3
62,93.2,81.5,87.35
62.125,93.2375,81.5625,87.4
62.25,93.275,81.625,87.45
62.375,93.3125,81.6875,87.5
62.5,93.35,81.75,87.55
62.625,93.3875,81.8125,87.6
62.75,93.425,81.875,87.65
62.875,93.4625,81.9375,87.7
63,93.5,82,87.75
63.125,93.5375,82.0875,87.8125
63.25,93.575,82.175,87.875
63.375,93.6125,82.2625,87.9375
63.5,93.65,82.35,88
63.625,93.6875,82.4375,88.0625
63.75,93.725,82.525,88.125
63.875,93.7625,82.6125,88.1875
64,93.8,82.7,88.25
64.125,93.825,82.7625,88.29375
64.25,93.85,82.825,88.3375
64.375,93.875,82.8875,88.38125
64.5,93.9,82.95,88.425
64.625,93.925,83.0125,88.46875
64.75,93.95,83.075,88.5125
64.875,93.975,83.1375,88.55625
65,94,83.2,88.6
65.125,94.0375,83.275,88.65625
65.25,94.075,83.35,88.7125
65.375,94.1125,83.425,88.76875
65.5,94.15,83.5,88.825
65.625,94.1875,83.575,88.88125
65.75,94.225,83.65,88.9375
65.875,94.2625,83.725,88.99375
66,94.3,83.8,89.05
66.125,94.3375,83.875,89.10625
66.25,94.375,83.95,89.1625
66.375,94.4125,84.025,89.21875
66.5,94.45,84.1,89.275
66.625,94.4875,84.175,89.33125
66.75,94.525,84.25,89.3875
66.875,94.5625,84.325,89.44375
67,94.6,84.4,89.5
67.125,94.6375,84.475,89.55625
67.25,94.675,84.55,89.6125
67.375,94.7125,84.625,89.66875
67.5,94.75,84.7,89.725
67.625,94.7875,84.775,89.78125
67.75,94.825,84.85,89.8375
67.875,94.8625,84.925,89.89375
68,94.9,85,89.95
68.125,94.925,85.075,90
68.25,94.95,85.15,90.05
68.375,94.975,85.225,90.1
68.5,95,85.3,90.15
68.625,95.025,85.375,90.2
68.75,95.05,85.45,90.25
68.875,95.075,85.525,90.3
69,95.1,85.6,90.35
69.125,95.1375,85.675,90.40625
69.25,95.175,85.75,90.4625
69.375,95.2125,85.825,90.51875
69.5,95.25,85.9,90.575
69.625,95.2875,85.975,90.63125
69.75,95.325,86.05,90.6875
69.875,95.3625,86.125,90.74375
70,95.4,86.2,90.8
70.125,95.425,86.2625,90.84375
70.25,95.45,86.325,90.8875
70.375,95.475,86.3875,90.93125
70.5,95.5,86.45,90.975
70.625,95.525,86.5125,91.01875
70.75,95.55,86.575,91.0625
70.875,95.575,86.6375,91.10625
71,95.6,86.7,91.15
71.125,95.625,86.7625,91.19375
71.25,95.65,86.825,91.2375
71.375,95.675,86.8875,91.28125
71.5,95.7,86.95,91.325
71.625,95.725,87.0125,91.36875
71.75,95.75,87.075,91.4125
71.875,95.775,87.1375,91.45625
72,95.8,87.2,91.5
72.125,95.825,87.275,91.55
72.25,95.85,87.35,91.6
72.375,95.875,87.425,91.65
72.5,95.9,87.5,91.7
72.625,95.925,87.575,91.75
72.75,95.95,87.65,91.8
72.875,95.975,87.725,91.85
73,96,87.8,91.9
73.125,96.025,87.8625,91.94375
73.25,96.05,87.925,91.9875
73.375,96.075,87.9875,92.03125
73.5,96.1,88.05,92.075
73.625,96.125,88.1125,92.11875
73.75,96.15,88.175,92.1625
73.875,96.175,88.2375,92.20625
74,96.2,88.3,92.25
74.125,96.225,88.3625,92.29375
74.25,96.25,88.425,92.3375
74.375,96.275,88.4875,92.38125
74.5,96.3,88.55,92.425
74.625,96.325,88.6125,92.46875
74.75,96.35,88.675,92.5125
74.875,96.375,88.7375,92.55625
75,96.4,88.8,92.6
75.125,96.425,88.8625,92.64375
75.25,96.45,88.925,92.6875
75.375,96.475,88.9875,92.73125
75.5,96.5,89.05,92.775
75.625,96.525,89.1125,92.81875
75.75,96.55,89.175,92.8625
75.875,96.575,89.2375,92.90625
76,96.6,89.3,92.95
76.125,96.625,89.3625,92.99375
76.25,96.65,89.425,93.0375
76.375,96.675,89.4875,93.08125
76.5,96.7,89.55,93.125
76.625,96.725,89.6125,93.16875
