"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/florida_rest/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/florida_rest/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/florida_rest/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/florida_rest/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/florida_rest","florida_rest","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/georgia/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/georgia/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/georgia/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/georgia/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/georgia/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/georgia/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/georgia","georgia","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/hawaii/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/hawaii/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/hawaii/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/hawaii/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/hawaii/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/hawaii/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/hawaii","hawaii","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/iowa/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/iowa/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/iowa/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/iowa/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/iowa/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/iowa/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/iowa","iowa","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/idaho/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/idaho/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/idaho/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/idaho/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/idaho/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/idaho/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/idaho","idaho","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/illinois_counties/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/illinois_counties/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/illinois_counties/selection","selection","bool","input","required","Venue Selection","False"
