StateCode,StateName,ZIP,County
AL,Alabama,35593,Franklin
AL,Alabama,35594,Marion
AL,Alabama,35601,Morgan
AL,Alabama,35602,Morgan
AL,Alabama,35603,Morgan
AL,Alabama,35609,Morgan
AL,Alabama,35610,Lauderdale
AL,Alabama,35611,Limestone
AL,Alabama,35612,Limestone
AL,Alabama,35613,Limestone
AL,Alabama,35614,Limestone
AL,Alabama,35615,Limestone
AL,Alabama,35616,Colbert
AL,Alabama,35617,Lauderdale
AL,Alabama,35618,Lawrence
AL,Alabama,35619,Lawrence
AL,Alabama,35620,Limestone
AL,Alabama,35621,Morgan
AL,Alabama,35622,Morgan
AL,Alabama,35630,Lauderdale
AL,Alabama,35631,Lauderdale
AL,Alabama,35632,Lauderdale
AL,Alabama,35633,Lauderdale
AL,Alabama,35634,Lauderdale
AL,Alabama,35640,Morgan
AL,Alabama,35643,Lawrence
AL,Alabama,35645,Lauderdale
AL,Alabama,35646,Colbert
AL,Alabama,35647,Limestone
AL,Alabama,35648,Lauderdale
AL,Alabama,35649,Limestone
AL,Alabama,35650,Lawrence
AL,Alabama,35651,Lawrence
AL,Alabama,35652,Lauderdale
AL,Alabama,35653,Franklin
AL,Alabama,35654,Franklin
AL,Alabama,35660,Colbert
AL,Alabama,35661,Colbert
AL,Alabama,35662,Colbert
AL,Alabama,35670,Morgan
AL,Alabama,35671,Limestone
AL,Alabama,35672,Lawrence
AL,Alabama,35673,Lawrence
AL,Alabama,35674,Colbert
AL,Alabama,35677,Lauderdale
AL,Alabama,35699,Morgan
AL,Alabama,35739,Limestone
AL,Alabama,35740,Jackson
AL,Alabama,35741,Madison
AL,Alabama,35742,Limestone
AL,Alabama,35744,Jackson
AL,Alabama,35745,Jackson
AL,Alabama,35746,Jackson
AL,Alabama,35747,Marshall
AL,Alabama,35748,Madison
AL,Alabama,35749,Madison
AL,Alabama,35750,Madison
AL,Alabama,35751,Jackson
AL,Alabama,35752,Jackson
AL,Alabama,35754,Morgan
AL,Alabama,35755,Marshall
AL,Alabama,35756,Limestone
AL,Alabama,35757,Madison
AL,Alabama,35758,Madison
