CountrySex,l(20-24),l(65-69),logit (l(20-24)),logit (l(65-69)),alpha,beta,Affluence flag
LiechtensteinFemale,0.9953,0.94327,5.355481691,2.811049391,1.459229338,1.201126086,X
MacaoMale,0.98708,0.81888,4.335974591,1.508777758,0.006729001,1.334608065,X
MacaoFemale,0.99,0.90523,4.59511985,2.256736152,1.014386738,1.103858672,X
Marshall IslandsMale,0.93553,0.57606,2.674913214,0.306619886,-0.95162008,1.117977828,X
Marshall IslandsFemale,0.94694,0.66482,2.881812384,0.684848626,-0.482366419,1.037099898,X
MartiniqueMale,0.9679,0.73588,3.406272746,1.024663517,-0.240650995,1.124263739,X
MartiniqueFemale,0.97541,0.84075,3.680518039,1.663819056,0.592376076,0.952004011,X
MayotteMale,0.91535,0.66502,2.380781397,0.685746287,-0.214801333,0.80015919,X
MayotteFemale,0.92864,0.71899,2.565983662,0.939457194,0.075307223,0.767818963,X
MonacoMale,0.99276,0.85601,4.920867737,1.782538206,0.11518915,1.481481534,X
MonacoFemale,0.99455,0.92628,5.206674765,2.530902432,1.109303321,1.263126533,X
MontserratMale,0.98811,0.79832,4.420096317,1.375827237,-0.241548863,1.437079307,X
MontserratFemale,0.99076,0.85521,4.67493044,1.776062636,0.23593613,1.368441101,X
NauruMale,0.93553,0.57606,2.674913214,0.306619886,-0.95162008,1.117977828,X
NauruFemale,0.94694,0.66482,2.881812384,0.684848626,-0.482366419,1.037099898,X
Netherlands AntillesMale,0.95108,0.71393,2.96741187,0.914548382,-0.176108276,0.969075847,X
Netherlands AntillesFemale,0.96867,0.84171,3.431347892,1.671006743,0.73576297,0.830987594,X
New CaledoniaMale,0.95855,0.53413,3.140933844,0.13673263,-1.459355992,1.418164848,X
New CaledoniaFemale,0.96717,0.67399,3.38303155,0.726287218,-0.685202591,1.254144164,X
NiueMale,0.9777,0.69644,3.780616196,0.83040236,-0.73700355,1.392679537,X
NiueFemale,0.97728,0.80394,3.761527609,1.411103905,0.162357811,1.109542283,X
Norfolk IslandMale,0.95855,0.53413,3.140933844,0.13673263,-1.459355992,1.418164848,X
Norfolk IslandFemale,0.96717,0.67399,3.38303155,0.726287218,-0.685202591,1.254144164,X
Northern Mariana IslandsMale,0.95958,0.67606,3.167170977,0.735723516,-0.556069327,1.147790402,X
Northern Mariana IslandsFemale,0.96807,0.80204,3.411758392,1.399093492,0.329793762,0.95009968,X
PalauMale,0.95958,0.67606,3.167170977,0.735723516,-0.556069327,1.147790402,X
PalauFemale,0.96807,0.80204,3.411758392,1.399093492,0.329793762,0.95009968,X
"Palestinian Territory, OccupiedMale",0.99318,0.88832,4.981052445,2.073694399,0.529057151,1.372449009,X
"Palestinian Territory, OccupiedFemale",0.9955,0.93769,5.399167727,2.711297477,1.283270918,1.268837482,X
PitcairnMale,0.9777,0.69644,3.780616196,0.83040236,-0.73700355,1.392679537,X
PitcairnFemale,0.97728,0.80394,3.761527609,1.411103905,0.162357811,1.109542283,X
Puerto RicoMale,0.9606,0.69209,3.193792273,0.809908472,-0.456614486,1.125337475,X
Puerto RicoFemale,0.96974,0.81441,3.467201286,1.478923985,0.422581034,0.938587257,X
RéunionMale,0.9774,0.71289,3.766946079,0.909461713,-0.608678371,1.348905613,X
RéunionFemale,0.9826,0.83982,4.033731914,1.6568894,0.394107376,1.122013561,X
Saint BarthélemyMale,0.98811,0.79832,4.420096317,1.375827237,-0.241548863,1.437079307,X
Saint BarthélemyFemale,0.99076,0.85521,4.67493044,1.776062636,0.23593613,1.368441101,X
Saint HelenaMale,0.9774,0.71289,3.766946079,0.909461713,-0.608678371,1.348905613,X
Saint HelenaFemale,0.9826,0.83982,4.033731914,1.6568894,0.394107376,1.122013561,X
Saint Kitts and NevisMale,0.98811,0.79832,4.420096317,1.375827237,-0.241548863,1.437079307,X
Saint Kitts and NevisFemale,0.99076,0.85521,4.67493044,1.776062636,0.23593613,1.368441101,X
Saint MartinMale,0.98811,0.79832,4.420096317,1.375827237,-0.241548863,1.437079307,X
Saint MartinFemale,0.99076,0.85521,4.67493044,1.776062636,0.23593613,1.368441101,X
Saint Pierre And MiquelonMale,0.99202,0.87634,4.822804857,1.958218279,0.436304893,1.352258287,X
Saint Pierre And MiquelonFemale,0.99374,0.91947,5.067295418,2.435167631,1.036756236,1.242523665,X
San MarinoMale,0.99433,0.89908,5.166880026,2.187043895,0.603900088,1.406663054,X
San MarinoFemale,0.99582,0.94013,5.473255272,2.753842619,1.309058037,1.283727406,X
South Georgia and the South Sandwich IslandsMale,0.98328,0.78228,4.074288314,1.279002899,-0.206091783,1.319543943,X
South Georgia and the South Sandwich IslandsFemale,0.98812,0.87106,4.420947834,1.910363681,0.576526659,1.185147712,X
Svalbard And Jan MayenMale,0.99435,0.89579,5.170433712,2.151297917,0.547274767,1.425214875,X
Svalbard And Jan MayenFemale,0.99665,0.93645,5.695439309,2.690269133,1.093665715,1.418622257,X
"Taiwan, Province Of ChinaMale",0.98708,0.81888,4.335974591,1.508777758,0.006729001,1.334608065,X
"Taiwan, Province Of ChinaFemale",0.99,0.90523,4.59511985,2.256736152,1.014386738,1.103858672,X
TuvaluMale,0.93553,0.57606,2.674913214,0.306619886,-0.95162008,1.117977828,X
TuvaluFemale,0.94694,0.66482,2.881812384,0.684848626,-0.482366419,1.037099898,X
TokelauMale,0.97783,0.67508,3.786595807,0.731252204,-0.892007629,1.442307152,X
TokelauFemale,0.98294,0.73366,4.053811539,1.013272018,-0.60212262,1.435318729,X
Turks and Caicos IslandsMale,0.91334,0.59823,2.355115794,0.39809551,-0.641641041,0.923832052,X
Turks and Caicos IslandsFemale,0.92645,0.62092,2.533394631,0.493454985,-0.590335423,0.962975011,X
United States Minor Outlying IslandsMale,0.9777,0.69644,3.780616196,0.83040236,-0.73700355,1.392679537,X
United States Minor Outlying IslandsFemale,0.97728,0.80394,3.761527609,1.411103905,0.162357811,1.109542283,X
"Virgin Islands, BritishMale",0.98811,0.79832,4.420096317,1.375827237,-0.241548863,1.437079307,X
"Virgin Islands, BritishFemale",0.99076,0.85521,4.67493044,1.776062636,0.23593613,1.368441101,X
"Virgin Islands, U.S.Male",0.98811,0.79832,4.420096317,1.375827237,-0.241548863,1.437079307,X
"Virgin Islands, U.S.Female",0.99076,0.85521,4.67493044,1.776062636,0.23593613,1.368441101,X
Wallis and FutunaMale,0.9777,0.69644,3.780616196,0.83040236,-0.73700355,1.392679537,X
Wallis and FutunaFemale,0.97728,0.80394,3.761527609,1.411103905,0.162357811,1.109542283,X
Western SaharaMale,0.91048,0.71749,2.319509869,0.932045062,0.194905092,0.654967386,X
Western SaharaFemale,0.92272,0.72157,2.47989064,0.952262712,0.140656105,0.721132865,X
Åland IslandsMale,0.99458,0.86656,5.212224722,1.870879412,0.095671012,1.577317272,X
Åland IslandsFemale,0.99619,0.93255,5.566308813,2.626536187,1.064677541,1.387750654,X
