Lookup,Country,Region,Sex,Factor
Puerto RicoNoneF,Puerto Rico,None,F,1
QatarNoneF,Qatar,None,F,1
RomaniaNoneF,Romania,None,F,1
Russian FederationNoneF,Russian Federation,None,F,1
RwandaNoneF,Rwanda,None,F,1
RéunionNoneF,Réunion,None,F,1
Saint BarthélemyNoneF,Saint Barthélemy,None,F,1
Saint HelenaNoneF,Saint Helena,None,F,1
Saint Kitts And NevisNoneF,Saint Kitts And Nevis,None,F,1
Saint LuciaNoneF,Saint Lucia,None,F,1
Saint MartinNoneF,Saint Martin,None,F,1
Saint Pierre And MiquelonNoneF,Saint Pierre And Miquelon,None,F,1
Saint Vincent And The GrenadinesNoneF,Saint Vincent And The Grenadines,None,F,1
SamoaNoneF,Samoa,None,F,1
San MarinoNoneF,San Marino,None,F,1
Sao Tome and PrincipeNoneF,Sao Tome and Principe,None,F,1
Saudi ArabiaNoneF,Saudi Arabia,None,F,1
SenegalNoneF,Senegal,None,F,1
SerbiaNoneF,Serbia,None,F,1
SeychellesNoneF,Seychelles,None,F,1
Sierra LeoneNoneF,Sierra Leone,None,F,1
SingaporeNoneF,Singapore,None,F,1
SlovakiaNoneF,Slovakia,None,F,1
SloveniaNoneF,Slovenia,None,F,1
Solomon IslandsNoneF,Solomon Islands,None,F,1
SomaliaNoneF,Somalia,None,F,1
South AfricaNoneF,South Africa,None,F,1
South Georgia and the South Sandwich IslandsNoneF,South Georgia and the South Sandwich Islands,None,F,1
South SudanNoneF,South Sudan,None,F,1
SpainNoneF,Spain,None,F,1
Sri LankaNoneF,Sri Lanka,None,F,1
SudanNoneF,Sudan,None,F,1
SurinameNoneF,Suriname,None,F,1
Svalbard And Jan MayenNoneF,Svalbard And Jan Mayen,None,F,1
SwazilandNoneF,Swaziland,None,F,1
SwedenNoneF,Sweden,None,F,1
SwitzerlandNoneF,Switzerland,None,F,1
Syrian Arab RepublicNoneF,Syrian Arab Republic,None,F,1
"Taiwan, Province Of ChinaNoneF","Taiwan, Province Of China",None,F,1
TajikistanNoneF,Tajikistan,None,F,1
"Tanzania, United Republic ofNoneF","Tanzania, United Republic of",None,F,1
ThailandNoneF,Thailand,None,F,1
Timor-LesteNoneF,Timor-Leste,None,F,1
TogoNoneF,Togo,None,F,1
TokelauNoneF,Tokelau,None,F,1
TongaNoneF,Tonga,None,F,1
Trinidad and TobagoNoneF,Trinidad and Tobago,None,F,1
TunisiaNoneF,Tunisia,None,F,1
TurkeyNoneF,Turkey,None,F,1
TurkmenistanNoneF,Turkmenistan,None,F,1
Turks and Caicos IslandsNoneF,Turks and Caicos Islands,None,F,1
TuvaluNoneF,Tuvalu,None,F,1
UgandaNoneF,Uganda,None,F,1
UkraineNoneF,Ukraine,None,F,1
United Arab EmiratesNoneF,United Arab Emirates,None,F,1
United StatesNoneF,United States,None,F,1
United States Minor Outlying IslandsNoneF,United States Minor Outlying Islands,None,F,1
UruguayNoneF,Uruguay,None,F,1
UzbekistanNoneF,Uzbekistan,None,F,1
VanuatuNoneF,Vanuatu,None,F,1
VenezuelaNoneF,Venezuela,None,F,1
VietnamNoneF,Vietnam,None,F,1
"Virgin Islands, BritishNoneF","Virgin Islands, British",None,F,1
"Virgin Islands, U.S.NoneF","Virgin Islands, U.S.",None,F,1
Wallis and FutunaNoneF,Wallis and Futuna,None,F,1
Western SaharaNoneF,Western Sahara,None,F,1
YemenNoneF,Yemen,None,F,1
ZambiaNoneF,Zambia,None,F,1
ZimbabweNoneF,Zimbabwe,None,F,1
Åland IslandsNoneF,Åland Islands,None,F,1
