Age [x],PTD Acc Only Own Occ M 1,PTD Acc Only Own Occ F 1,PTD Acc Only Own Occ M 2,PTD Acc Only Own Occ F 2,PTD Acc Only Own Occ M 3,PTD Acc Only Own Occ F 3,PTD Acc Only Own Occ M 4,PTD Acc Only Own Occ F 4,PTD Sick Only Own Occ M 1,PTD Sick Only Own Occ F 1,PTD Sick Only Own Occ M 2,PTD Sick Only Own Occ F 2,PTD Sick Only Own Occ M 3,PTD Sick Only Own Occ F 3,PTD Sick Only Own Occ M 4,PTD Sick Only Own Occ F 4,PTD Acc Sick Own Occ M 1,PTD Acc Sick Own Occ F 1,PTD Acc Sick Own Occ M 2,PTD Acc Sick Own Occ F 2,PTD Acc Sick Own Occ M 3,PTD Acc Sick Own Occ F 3,PTD Acc Sick Own Occ M 4,PTD Acc Sick Own Occ F 4,PTD Acc Only Any Occ M 1,PTD Acc Only Any Occ F 1,PTD Acc Only Any Occ M 2,PTD Acc Only Any Occ F 2,PTD Acc Only Any Occ M 3,PTD Acc Only Any Occ F 3,PTD Acc Only Any Occ M 4,PTD Acc Only Any Occ F 4,PTD Sick Only Any Occ M 1,PTD Sick Only Any Occ F 1,PTD Sick Only Any Occ M 2,PTD Sick Only Any Occ F 2,PTD Sick Only Any Occ M 3,PTD Sick Only Any Occ F 3,PTD Sick Only Any Occ M 4,PTD Sick Only Any Occ F 4,PTD Acc Sick Any Occ M 1,PTD Acc Sick Any Occ F 1,PTD Acc Sick Any Occ M 2,PTD Acc Sick Any Occ F 2,PTD Acc Sick Any Occ M 3,PTD Acc Sick Any Occ F 3,PTD Acc Sick Any Occ M 4,PTD Acc Sick Any Occ F 4,PPD Acc Only Full Contl Scale M 1,PPD Acc Only Full Contl Scale F 1,PPD Acc Only Full Contl Scale M 2,PPD Acc Only Full Contl Scale F 2,PPD Acc Only Full Contl Scale M 3,PPD Acc Only Full Contl Scale F 3,PPD Acc Only Full Contl Scale M 4,PPD Acc Only Full Contl Scale F 4,PPD Sick Only Full Contl Scale M 1,PPD Sick Only Full Contl Scale F 1,PPD Sick Only Full Contl Scale M 2,PPD Sick Only Full Contl Scale F 2,PPD Sick Only Full Contl Scale M 3,PPD Sick Only Full Contl Scale F 3,PPD Sick Only Full Contl Scale M 4,PPD Sick Only Full Contl Scale F 4,PPD Acc Sick Full Contl Scale M 1,PPD Acc Sick Full Contl Scale F 1,PPD Acc Sick Full Contl Scale M 2,PPD Acc Sick Full Contl Scale F 2,PPD Acc Sick Full Contl Scale M 3,PPD Acc Sick Full Contl Scale F 3,PPD Acc Sick Full Contl Scale M 4,PPD Acc Sick Full Contl Scale F 4,PPD Acc Only Ltd Scale M 1,PPD Acc Only Ltd Scale F 1,PPD Acc Only Ltd Scale M 2,PPD Acc Only Ltd Scale F 2,PPD Acc Only Ltd Scale M 3,PPD Acc Only Ltd Scale F 3,PPD Acc Only Ltd Scale M 4,PPD Acc Only Ltd Scale F 4,PPD Sick Only Ltd Scale M 1,PPD Sick Only Ltd Scale F 1,PPD Sick Only Ltd Scale M 2,PPD Sick Only Ltd Scale F 2,PPD Sick Only Ltd Scale M 3,PPD Sick Only Ltd Scale F 3,PPD Sick Only Ltd Scale M 4,PPD Sick Only Ltd Scale F 4,PPD Acc Sick Ltd Scale M 1,PPD Acc Sick Ltd Scale F 1,PPD Acc Sick Ltd Scale M 2,PPD Acc Sick Ltd Scale F 2,PPD Acc Sick Ltd Scale M 3,PPD Acc Sick Ltd Scale F 3,PPD Acc Sick Ltd Scale M 4,PPD Acc Sick Ltd Scale F 4,TTD Acc Only M 1,TTD Acc Only F 1,TTD Acc Only M 2,TTD Acc Only F 2,TTD Acc Only M 3,TTD Acc Only F 3,TTD Acc Only M 4,TTD Acc Only F 4,TTD Sick Only M 1,TTD Sick Only F 1,TTD Sick Only M 2,TTD Sick Only F 2,TTD Sick Only M 3,TTD Sick Only F 3,TTD Sick Only M 4,TTD Sick Only F 4,TTD Acc Sick M 1,TTD Acc Sick F 1,TTD Acc Sick M 2,TTD Acc Sick F 2,TTD Acc Sick M 3,TTD Acc Sick F 3,TTD Acc Sick M 4,TTD Acc Sick F 4
27,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
28,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
29,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
30,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.054,0.0405,0.0594,0.04455,0.0648,0.0486,0.0756,0.0567,0.09,0.0675,0.099,0.07425,0.108,0.081,0.126,0.0945,0.028,0.021,0.0308,0.0231,0.0336,0.0252,0.0392,0.0294,0.042,0.0315,0.0462,0.03465,0.0504,0.0378,0.0588,0.0441,0.07,0.0525,0.077,0.05775,0.084,0.063,0.098,0.0735,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.112325542679809,0.074883695119873,0.12355809694779,0.0823720646318603,0.134790651215771,0.0898604341438476,0.157255759751733,0.104837173167822,0.0726993439945654,0.0484662293297103,0.079969278394022,0.0533128522626813,0.0872392127934785,0.0581594751956524,0.101779081592392,0.0678527210615944,0.185024886674375,0.123349924449583,0.203527375341812,0.135684916894542,0.22202986400925,0.1480199093395,0.259034841344125,0.172689894229417
31,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.054,0.0405,0.0594,0.04455,0.0648,0.0486,0.0756,0.0567,0.09,0.0675,0.099,0.07425,0.108,0.081,0.126,0.0945,0.028,0.021,0.0308,0.0231,0.0336,0.0252,0.0392,0.0294,0.042,0.0315,0.0462,0.03465,0.0504,0.0378,0.0588,0.0441,0.07,0.0525,0.077,0.05775,0.084,0.063,0.098,0.0735,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.112325542679809,0.074883695119873,0.12355809694779,0.0823720646318603,0.134790651215771,0.0898604341438476,0.157255759751733,0.104837173167822,0.0726993439945654,0.0484662293297103,0.079969278394022,0.0533128522626813,0.0872392127934785,0.0581594751956524,0.101779081592392,0.0678527210615944,0.185024886674375,0.123349924449583,0.203527375341812,0.135684916894542,0.22202986400925,0.1480199093395,0.259034841344125,0.172689894229417
32,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.054,0.0405,0.0594,0.04455,0.0648,0.0486,0.0756,0.0567,0.09,0.0675,0.099,0.07425,0.108,0.081,0.126,0.0945,0.028,0.021,0.0308,0.0231,0.0336,0.0252,0.0392,0.0294,0.042,0.0315,0.0462,0.03465,0.0504,0.0378,0.0588,0.0441,0.07,0.0525,0.077,0.05775,0.084,0.063,0.098,0.0735,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.112325542679809,0.074883695119873,0.12355809694779,0.0823720646318603,0.134790651215771,0.0898604341438476,0.157255759751733,0.104837173167822,0.0726993439945654,0.0484662293297103,0.079969278394022,0.0533128522626813,0.0872392127934785,0.0581594751956524,0.101779081592392,0.0678527210615944,0.185024886674375,0.123349924449583,0.203527375341812,0.135684916894542,0.22202986400925,0.1480199093395,0.259034841344125,0.172689894229417
33,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.054,0.0405,0.0594,0.04455,0.0648,0.0486,0.0756,0.0567,0.09,0.0675,0.099,0.07425,0.108,0.081,0.126,0.0945,0.028,0.021,0.0308,0.0231,0.0336,0.0252,0.0392,0.0294,0.042,0.0315,0.0462,0.03465,0.0504,0.0378,0.0588,0.0441,0.07,0.0525,0.077,0.05775,0.084,0.063,0.098,0.0735,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.112325542679809,0.074883695119873,0.12355809694779,0.0823720646318603,0.134790651215771,0.0898604341438476,0.157255759751733,0.104837173167822,0.0726993439945654,0.0484662293297103,0.079969278394022,0.0533128522626813,0.0872392127934785,0.0581594751956524,0.101779081592392,0.0678527210615944,0.185024886674375,0.123349924449583,0.203527375341812,0.135684916894542,0.22202986400925,0.1480199093395,0.259034841344125,0.172689894229417
34,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.054,0.0405,0.0594,0.04455,0.0648,0.0486,0.0756,0.0567,0.09,0.0675,0.099,0.07425,0.108,0.081,0.126,0.0945,0.028,0.021,0.0308,0.0231,0.0336,0.0252,0.0392,0.0294,0.042,0.0315,0.0462,0.03465,0.0504,0.0378,0.0588,0.0441,0.07,0.0525,0.077,0.05775,0.084,0.063,0.098,0.0735,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.112325542679809,0.074883695119873,0.12355809694779,0.0823720646318603,0.134790651215771,0.0898604341438476,0.157255759751733,0.104837173167822,0.0726993439945654,0.0484662293297103,0.079969278394022,0.0533128522626813,0.0872392127934785,0.0581594751956524,0.101779081592392,0.0678527210615944,0.185024886674375,0.123349924449583,0.203527375341812,0.135684916894542,0.22202986400925,0.1480199093395,0.259034841344125,0.172689894229417
35,0.056,0.042,0.0616,0.0462,0.0672,0.0504,0.0784,0.0588,0.084,0.063,0.0924,0.0693,0.1008,0.0756,0.1176,0.0882,0.14,0.105,0.154,0.1155,0.168,0.126,0.196,0.147,0.044,0.033,0.0484,0.0363,0.0528,0.0396,0.0616,0.0462,0.066,0.0495,0.0726,0.05445,0.0792,0.0594,0.0924,0.0693,0.11,0.0825,0.121,0.09075,0.132,0.099,0.154,0.1155,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.145406833165144,0.097370647208802,0.159947516481659,0.107107711929682,0.174488199798173,0.116844776650562,0.203569566431202,0.136318906092323,0.0902546697843465,0.0604383949448749,0.0992801367627812,0.0664822344393624,0.108305603741216,0.0725260739338499,0.126356537698085,0.0846137529228249,0.235661502949491,0.157809042153677,0.25922765324444,0.173589946369045,0.282793803539389,0.189370850584412,0.329926104129287,0.220932659015148
36,0.056,0.042,0.0616,0.0462,0.0672,0.0504,0.0784,0.0588,0.084,0.063,0.0924,0.0693,0.1008,0.0756,0.1176,0.0882,0.14,0.105,0.154,0.1155,0.168,0.126,0.196,0.147,0.044,0.033,0.0484,0.0363,0.0528,0.0396,0.0616,0.0462,0.066,0.0495,0.0726,0.05445,0.0792,0.0594,0.0924,0.0693,0.11,0.0825,0.121,0.09075,0.132,0.099,0.154,0.1155,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.145406833165144,0.097370647208802,0.159947516481659,0.107107711929682,0.174488199798173,0.116844776650562,0.203569566431202,0.136318906092323,0.0902546697843465,0.0604383949448749,0.0992801367627812,0.0664822344393624,0.108305603741216,0.0725260739338499,0.126356537698085,0.0846137529228249,0.235661502949491,0.157809042153677,0.25922765324444,0.173589946369045,0.282793803539389,0.189370850584412,0.329926104129287,0.220932659015148
37,0.056,0.042,0.0616,0.0462,0.0672,0.0504,0.0784,0.0588,0.084,0.063,0.0924,0.0693,0.1008,0.0756,0.1176,0.0882,0.14,0.105,0.154,0.1155,0.168,0.126,0.196,0.147,0.044,0.033,0.0484,0.0363,0.0528,0.0396,0.0616,0.0462,0.066,0.0495,0.0726,0.05445,0.0792,0.0594,0.0924,0.0693,0.11,0.0825,0.121,0.09075,0.132,0.099,0.154,0.1155,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.145406833165144,0.097370647208802,0.159947516481659,0.107107711929682,0.174488199798173,0.116844776650562,0.203569566431202,0.136318906092323,0.0902546697843465,0.0604383949448749,0.0992801367627812,0.0664822344393624,0.108305603741216,0.0725260739338499,0.126356537698085,0.0846137529228249,0.235661502949491,0.157809042153677,0.25922765324444,0.173589946369045,0.282793803539389,0.189370850584412,0.329926104129287,0.220932659015148
38,0.056,0.042,0.0616,0.0462,0.0672,0.0504,0.0784,0.0588,0.084,0.063,0.0924,0.0693,0.1008,0.0756,0.1176,0.0882,0.14,0.105,0.154,0.1155,0.168,0.126,0.196,0.147,0.044,0.033,0.0484,0.0363,0.0528,0.0396,0.0616,0.0462,0.066,0.0495,0.0726,0.05445,0.0792,0.0594,0.0924,0.0693,0.11,0.0825,0.121,0.09075,0.132,0.099,0.154,0.1155,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.145406833165144,0.097370647208802,0.159947516481659,0.107107711929682,0.174488199798173,0.116844776650562,0.203569566431202,0.136318906092323,0.0902546697843465,0.0604383949448749,0.0992801367627812,0.0664822344393624,0.108305603741216,0.0725260739338499,0.126356537698085,0.0846137529228249,0.235661502949491,0.157809042153677,0.25922765324444,0.173589946369045,0.282793803539389,0.189370850584412,0.329926104129287,0.220932659015148
39,0.056,0.042,0.0616,0.0462,0.0672,0.0504,0.0784,0.0588,0.084,0.063,0.0924,0.0693,0.1008,0.0756,0.1176,0.0882,0.14,0.105,0.154,0.1155,0.168,0.126,0.196,0.147,0.044,0.033,0.0484,0.0363,0.0528,0.0396,0.0616,0.0462,0.066,0.0495,0.0726,0.05445,0.0792,0.0594,0.0924,0.0693,0.11,0.0825,0.121,0.09075,0.132,0.099,0.154,0.1155,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.145406833165144,0.097370647208802,0.159947516481659,0.107107711929682,0.174488199798173,0.116844776650562,0.203569566431202,0.136318906092323,0.0902546697843465,0.0604383949448749,0.0992801367627812,0.0664822344393624,0.108305603741216,0.0725260739338499,0.126356537698085,0.0846137529228249,0.235661502949491,0.157809042153677,0.25922765324444,0.173589946369045,0.282793803539389,0.189370850584412,0.329926104129287,0.220932659015148
40,0.0875,0.065625,0.09625,0.0721875,0.105,0.07875,0.1225,0.091875,0.1625,0.121875,0.17875,0.1340625,0.195,0.14625,0.2275,0.170625,0.25,0.1875,0.275,0.20625,0.3,0.225,0.35,0.2625,0.07,0.0525,0.077,0.05775,0.084,0.063,0.098,0.0735,0.13,0.0975,0.143,0.10725,0.156,0.117,0.182,0.1365,0.2,0.15,0.22,0.165,0.24,0.18,0.28,0.21,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.184422477906799,0.124485172587089,0.202864725697479,0.136933689845798,0.221306973488159,0.149382207104507,0.258191469069519,0.174279241621925,0.140113663846222,0.0945767230961996,0.154125030230844,0.10403439540582,0.168136396615466,0.11349206771544,0.19615912938471,0.132407412334679,0.324536141753021,0.219061895683289,0.356989755928323,0.240968085251618,0.389443370103625,0.262874274819947,0.454350598454229,0.306686653956604
41,0.0875,0.065625,0.09625,0.0721875,0.105,0.07875,0.1225,0.091875,0.1625,0.121875,0.17875,0.1340625,0.195,0.14625,0.2275,0.170625,0.25,0.1875,0.275,0.20625,0.3,0.225,0.35,0.2625,0.07,0.0525,0.077,0.05775,0.084,0.063,0.098,0.0735,0.13,0.0975,0.143,0.10725,0.156,0.117,0.182,0.1365,0.2,0.15,0.22,0.165,0.24,0.18,0.28,0.21,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.184422477906799,0.124485172587089,0.202864725697479,0.136933689845798,0.221306973488159,0.149382207104507,0.258191469069519,0.174279241621925,0.140113663846222,0.0945767230961996,0.154125030230844,0.10403439540582,0.168136396615466,0.11349206771544,0.19615912938471,0.132407412334679,0.324536141753021,0.219061895683289,0.356989755928323,0.240968085251618,0.389443370103625,0.262874274819947,0.454350598454229,0.306686653956604
42,0.0875,0.065625,0.09625,0.0721875,0.105,0.07875,0.1225,0.091875,0.1625,0.121875,0.17875,0.1340625,0.195,0.14625,0.2275,0.170625,0.25,0.1875,0.275,0.20625,0.3,0.225,0.35,0.2625,0.07,0.0525,0.077,0.05775,0.084,0.063,0.098,0.0735,0.13,0.0975,0.143,0.10725,0.156,0.117,0.182,0.1365,0.2,0.15,0.22,0.165,0.24,0.18,0.28,0.21,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.184422477906799,0.124485172587089,0.202864725697479,0.136933689845798,0.221306973488159,0.149382207104507,0.258191469069519,0.174279241621925,0.140113663846222,0.0945767230961996,0.154125030230844,0.10403439540582,0.168136396615466,0.11349206771544,0.19615912938471,0.132407412334679,0.324536141753021,0.219061895683289,0.356989755928323,0.240968085251618,0.389443370103625,0.262874274819947,0.454350598454229,0.306686653956604
43,0.0875,0.065625,0.09625,0.0721875,0.105,0.07875,0.1225,0.091875,0.1625,0.121875,0.17875,0.1340625,0.195,0.14625,0.2275,0.170625,0.25,0.1875,0.275,0.20625,0.3,0.225,0.35,0.2625,0.07,0.0525,0.077,0.05775,0.084,0.063,0.098,0.0735,0.13,0.0975,0.143,0.10725,0.156,0.117,0.182,0.1365,0.2,0.15,0.22,0.165,0.24,0.18,0.28,0.21,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.184422477906799,0.124485172587089,0.202864725697479,0.136933689845798,0.221306973488159,0.149382207104507,0.258191469069519,0.174279241621925,0.140113663846222,0.0945767230961996,0.154125030230844,0.10403439540582,0.168136396615466,0.11349206771544,0.19615912938471,0.132407412334679,0.324536141753021,0.219061895683289,0.356989755928323,0.240968085251618,0.389443370103625,0.262874274819947,0.454350598454229,0.306686653956604
44,0.0875,0.065625,0.09625,0.0721875,0.105,0.07875,0.1225,0.091875,0.1625,0.121875,0.17875,0.1340625,0.195,0.14625,0.2275,0.170625,0.25,0.1875,0.275,0.20625,0.3,0.225,0.35,0.2625,0.07,0.0525,0.077,0.05775,0.084,0.063,0.098,0.0735,0.13,0.0975,0.143,0.10725,0.156,0.117,0.182,0.1365,0.2,0.15,0.22,0.165,0.24,0.18,0.28,0.21,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.184422477906799,0.124485172587089,0.202864725697479,0.136933689845798,0.221306973488159,0.149382207104507,0.258191469069519,0.174279241621925,0.140113663846222,0.0945767230961996,0.154125030230844,0.10403439540582,0.168136396615466,0.11349206771544,0.19615912938471,0.132407412334679,0.324536141753021,0.219061895683289,0.356989755928323,0.240968085251618,0.389443370103625,0.262874274819947,0.454350598454229,0.306686653956604
45,0.161,0.12075,0.1771,0.132825,0.1932,0.1449,0.2254,0.16905,0.299,0.22425,0.3289,0.246675,0.3588,0.2691,0.4186,0.31395,0.46,0.345,0.506,0.3795,0.552,0.414,0.644,0.483,0.1295,0.097125,0.14245,0.1068375,0.1554,0.11655,0.1813,0.135975,0.2405,0.180375,0.26455,0.1984125,0.2886,0.21645,0.3367,0.252525,0.37,0.2775,0.407,0.30525,0.444,0.333,0.518,0.3885,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.269869426291356,0.182601867246053,0.296856368920492,0.200862053970659,0.323843311549627,0.219122240695264,0.377817196807898,0.255642614144475,0.207000834791813,0.140063064845547,0.227700918270994,0.154069371330102,0.248401001750175,0.168075677814657,0.289801168708538,0.196088290783766,0.476870261083169,0.322664932091601,0.524557287191486,0.354931425300761,0.572244313299802,0.387197918509921,0.667618365516436,0.451730904928241
