Index,Buildings,Contents
AUVERGNE-RHÔNE-ALPESNA,0.0000000000000000000,0.000000000000000000
HAMBURGNA,0.0000000000000000000,0.000000000000000000
BERLINNA,0.0000000000000000000,0.000000000000000000
BAVARIANA,0.0000000000000000000,0.000000000000000000
BRANDENBURGNA,0.0000000000000000000,0.000000000000000000
SAXONYNA,0.0000000000000000000,0.000000000000000000
SAARLANDNA,0.0000000000000000000,0.000000000000000000
THURINGIANA,0.0000000000000000000,0.000000000000000000
SCHLESWIG-HOLSTEINNA,0.0000000000000000000,0.000000000000000000
NORTH RHINE-WESTPHALIANA,0.0000000000000000000,0.000000000000000000
BADEN-WÜRTTEMBERGNA,0.0000000000000000000,0.000000000000000000
MECKLENBURG-VORPOMMERNNA,0.0000000000000000000,0.000000000000000000
LOWER SAXONYNA,0.0000000000000000000,0.000000000000000000
HESSENA,0.0000000000000000000,0.000000000000000000
SAXONY-ANHALTNA,0.0000000000000000000,0.000000000000000000
RHINELAND-PALATINATENA,0.0000000000000000000,0.000000000000000000
BREMENNA,0.0000000000000000000,0.000000000000000000
