StateCounty,Occ.0,Occ.1,Occ.2,Occ.3,Occ.4,Occ.5,Occ.6,Occ.7,Occ.8,Occ.9,Occ.10,Occ.11,Occ.12,Occ.13,Occ.14,Occ.15,Occ.16,Occ.17,Occ.18,Occ.19,Occ.20,Occ.21,Occ.22,Occ.23,Occ.24,Occ.25,Occ.26,Occ.27,Occ.28,Occ.29,Occ.30,Occ.31,Occ.32,Occ.33,Occ.34,Occ.35,Occ.36,Occ.37,Occ.38,Occ.39,Occ.40,Occ.41,Occ.42,Occ.43,Occ.44,Occ.47,Occ.48,Occ.49,Occ.50,Occ.51,Occ.52,Occ.53,Occ.54
ARLogan County,0.37630,0.29514,0.51756,0.68024,0.51756,0.02033,0.02033,-0.02522,-0.02522,-0.02522,0.02033,-0.15957,0.16444,0.16444,0.16444,0.16444,0.16444,0.16444,0.16444,0.16444,0.81571,0.16444,0.47372,-0.02522,-0.02522,0.63862,0.16444,0.16615,0.16615,0.16615,0.16615,0.16615,0.16615,0.16615,0.16615,0.13339,0.16615,0.00000,0.16615,0.44101,0.44101,0.44101,0.52881,0.47399,1.28944,0.51545,0.02033,-0.02522,-0.02522,0.68024,0.68024,0.00000,-0.02522
ARLonoke County,0.36848,0.28579,0.51285,0.67847,0.51285,0.02026,0.02026,-0.02512,-0.02512,-0.02512,0.02026,-0.15303,0.16520,0.16520,0.16520,0.16520,0.16520,0.16520,0.16520,0.16520,0.80865,0.16520,0.47031,-0.02512,-0.02512,0.63685,0.16520,0.16767,0.16767,0.16767,0.16767,0.16767,0.16767,0.16767,0.16767,0.13447,0.16767,0.00000,0.16767,0.42904,0.42904,0.42904,0.52392,0.46995,1.27865,0.51286,0.02026,-0.02512,-0.02512,0.67847,0.67847,0.00000,-0.02512
ARMadison County,0.34871,0.27827,0.48559,0.63615,0.48559,0.01895,0.01895,-0.02351,-0.02351,-0.02351,0.01895,-0.16649,0.15199,0.15199,0.15199,0.15199,0.15199,0.15199,0.15199,0.15199,0.76528,0.15199,0.44525,-0.02351,-0.02351,0.59682,0.15199,0.15597,0.15597,0.15597,0.15597,0.15597,0.15597,0.15597,0.15597,0.11886,0.15597,0.00000,0.15597,0.41407,0.41407,0.41407,0.49607,0.44503,1.20838,0.48412,0.01895,-0.02351,-0.02351,0.63615,0.63615,0.00000,-0.02351
ARMarion County,0.33307,0.26836,0.46648,0.61051,0.46648,0.01803,0.01803,-0.02238,-0.02238,-0.02238,0.01803,-0.16528,0.14351,0.14351,0.14351,0.14351,0.14351,0.14351,0.14351,0.14351,0.74293,0.14351,0.42714,-0.02238,-0.02238,0.56856,0.14351,0.14496,0.14496,0.14496,0.14496,0.14496,0.14496,0.14496,0.14496,0.11269,0.14496,0.00000,0.14496,0.39738,0.39738,0.39738,0.47653,0.42777,1.17414,0.46447,0.01803,-0.02238,-0.02238,0.61051,0.61051,0.00000,-0.02238
ARMiller County,0.62793,0.43238,0.83321,1.13942,0.83321,0.03512,0.03512,-0.04351,-0.04351,-0.04351,0.03512,-0.10705,0.30351,0.30351,0.30351,0.30351,0.30351,0.30351,0.30351,0.30351,1.28651,0.30351,0.76433,-0.04351,-0.04351,1.08924,0.30351,0.30334,0.30334,0.30334,0.30334,0.30334,0.30334,0.30334,0.30334,0.26285,0.30334,0.00000,0.30334,0.67757,0.67757,0.67757,0.85192,0.75994,2.03778,0.83771,0.03512,-0.04351,-0.04351,1.13942,1.13942,0.00000,-0.04351
ARMississippi County,0.38304,0.29564,0.52969,0.70000,0.52969,0.02102,0.02102,-0.02610,-0.02610,-0.02610,0.02102,-0.15989,0.17111,0.17111,0.17111,0.17111,0.17111,0.17111,0.17111,0.17111,0.82919,0.17111,0.48469,-0.02610,-0.02610,0.66004,0.17111,0.17518,0.17518,0.17518,0.17518,0.17518,0.17518,0.17518,0.17518,0.13431,0.17518,0.00000,0.17518,0.44514,0.44514,0.44514,0.54133,0.48459,1.30840,0.52746,0.02102,-0.02610,-0.02610,0.70000,0.70000,0.00000,-0.02610
ARMonroe County,0.26898,0.23358,0.38725,0.49438,0.38725,0.01433,0.01433,-0.01776,-0.01776,-0.01776,0.01433,-0.17647,0.10956,0.10956,0.10956,0.10956,0.10956,0.10956,0.10956,0.10956,0.62204,0.10956,0.35573,-0.01776,-0.01776,0.45645,0.10956,0.11284,0.11284,0.11284,0.11284,0.11284,0.11284,0.11284,0.11284,0.08360,0.11284,0.00000,0.11284,0.33728,0.33728,0.33728,0.39526,0.35653,0.97867,0.38583,0.01433,-0.01776,-0.01776,0.49438,0.49438,0.00000,-0.01776
ARMontgomery County,0.40859,0.31020,0.56072,0.74512,0.56072,0.02241,0.02241,-0.02781,-0.02781,-0.02781,0.02241,-0.14881,0.18456,0.18456,0.18456,0.18456,0.18456,0.18456,0.18456,0.18456,0.87965,0.18456,0.51343,-0.02781,-0.02781,0.70238,0.18456,0.18625,0.18625,0.18625,0.18625,0.18625,0.18625,0.18625,0.18625,0.15211,0.18625,0.00000,0.18625,0.46908,0.46908,0.46908,0.57299,0.51308,1.39164,0.55994,0.02241,-0.02781,-0.02781,0.74512,0.74512,0.00000,-0.02781
ARNevada County,0.41832,0.31444,0.57744,0.76828,0.57744,0.02313,0.02313,-0.02871,-0.02871,-0.02871,0.02313,-0.14463,0.19177,0.19177,0.19177,0.19177,0.19177,0.19177,0.19177,0.19177,0.90263,0.19177,0.52776,-0.02871,-0.02871,0.72524,0.19177,0.19356,0.19356,0.19356,0.19356,0.19356,0.19356,0.19356,0.19356,0.15987,0.19356,0.00000,0.19356,0.47722,0.47722,0.47722,0.59007,0.52834,1.42865,0.57632,0.02313,-0.02871,-0.02871,0.76828,0.76828,0.00000,-0.02871
ARNewton County,0.30787,0.25412,0.43576,0.56497,0.43576,0.01668,0.01668,-0.02070,-0.02070,-0.02070,0.01668,-0.17164,0.13110,0.13110,0.13110,0.13110,0.13110,0.13110,0.13110,0.13110,0.69054,0.13110,0.39952,-0.02070,-0.02070,0.52753,0.13110,0.13515,0.13515,0.13515,0.13515,0.13515,0.13515,0.13515,0.13515,0.09948,0.13515,0.00000,0.13515,0.37405,0.37405,0.37405,0.44504,0.39994,1.08795,0.43387,0.01668,-0.02070,-0.02070,0.56497,0.56497,0.00000,-0.02070
