Index,OccupancyGroup,BUILDING,CONTENTS
GEORGIARES APTS AND CONDOS,2.0,0.00000,0.23125
GEORGIASERVICE - HIGH,12.0,0.00000,0.23875
GEORGIASERVICE - LOW,13.0,0.00000,0.17500
ILLINOISBUILDINGS,1.0,0.03200,0.00000
ILLINOISCONTRACTORS,14.0,0.00000,0.15400
ILLINOISINDUST-PROC - HIGH,10.0,0.00000,0.15000
ILLINOISINDUST-PROC - LOW,11.0,0.00000,0.14300
ILLINOISINSTITUTIONAL - HIGH,8.0,0.00000,0.04200
ILLINOISINSTITUTIONAL - LOW,0.0,0.00000,0.02300
ILLINOISMERCANTILE - HIGH,4.0,0.00000,0.11200
ILLINOISMERCANTILE - LOW,6.0,0.00000,0.08600
ILLINOISMERCANTILE - MEDIUM,5.0,0.00000,0.09600
ILLINOISMOTELS AND HOTELS,7.0,0.00000,0.06000
ILLINOISOFFICES,3.0,0.00000,0.07700
ILLINOISRES APTS AND CONDOS,2.0,0.00000,0.08200
ILLINOISSERVICE - HIGH,12.0,0.00000,0.15100
ILLINOISSERVICE - LOW,13.0,0.00000,0.07200
INDIANABUILDINGS,1.0,0.03800,0.00000
INDIANACONTRACTORS,14.0,0.00000,0.19400
INDIANAINDUST-PROC - HIGH,10.0,0.00000,0.12700
INDIANAINDUST-PROC - LOW,11.0,0.00000,0.12100
INDIANAINSTITUTIONAL - HIGH,8.0,0.00000,0.03500
INDIANAINSTITUTIONAL - LOW,0.0,0.00000,0.04200
INDIANAMERCANTILE - HIGH,4.0,0.00000,0.11700
INDIANAMERCANTILE - LOW,6.0,0.00000,0.09200
INDIANAMERCANTILE - MEDIUM,5.0,0.00000,0.10500
INDIANAMOTELS AND HOTELS,7.0,0.00000,0.06800
INDIANAOFFICES,3.0,0.00000,0.10300
INDIANARES APTS AND CONDOS,2.0,0.00000,0.13100
INDIANASERVICE - HIGH,12.0,0.00000,0.09400
INDIANASERVICE - LOW,13.0,0.00000,0.08900
IOWABUILDINGS,1.0,0.09400,0.00000
IOWACONTRACTORS,14.0,0.00000,0.51400
IOWAINDUST-PROC - HIGH,10.0,0.00000,0.36200
IOWAINDUST-PROC - LOW,11.0,0.00000,0.25800
IOWAINSTITUTIONAL - HIGH,8.0,0.00000,0.26600
IOWAINSTITUTIONAL - LOW,0.0,0.00000,0.17000
IOWAMERCANTILE - HIGH,4.0,0.00000,0.43600
IOWAMERCANTILE - LOW,6.0,0.00000,0.31000
IOWAMERCANTILE - MEDIUM,5.0,0.00000,0.55800
IOWAMOTELS AND HOTELS,7.0,0.00000,0.25800
IOWAOFFICES,3.0,0.00000,0.25800
IOWARES APTS AND CONDOS,2.0,0.00000,0.38200
IOWASERVICE - HIGH,12.0,0.00000,0.32600
IOWASERVICE - LOW,13.0,0.00000,0.22200
KANSASBUILDINGS,1.0,0.07500,0.00000
KANSASCONTRACTORS,14.0,0.00000,0.27400
KANSASINDUST-PROC - HIGH,10.0,0.00000,0.27300
KANSASINDUST-PROC - LOW,11.0,0.00000,0.16600
KANSASINSTITUTIONAL - HIGH,8.0,0.00000,0.10900
KANSASINSTITUTIONAL - LOW,0.0,0.00000,0.08300
KANSASMERCANTILE - HIGH,4.0,0.00000,0.24100
KANSASMERCANTILE - LOW,6.0,0.00000,0.15200
