Version,Benchmark Class,written_premium,num_yr_data,Value
11,US Marine,3000,6,0.5
11,US Marine,3000,7,0.6
11,US Marine,3000,8,0.7
11,US Marine,3000,9,0.8
11,US Marine,3000,10,0.9
11,Cargo,500,1,0.0
11,Cargo,500,2,0.0
11,Cargo,500,3,0.0
11,Cargo,500,4,0.0
11,Cargo,500,5,0.05
11,Cargo,500,6,0.1
11,Cargo,500,7,0.15
11,Cargo,500,8,0.25
11,Cargo,500,9,0.35
11,Cargo,500,10,0.45
11,Cargo,1000,1,0.0
11,Cargo,1000,2,0.0
11,Cargo,1000,3,0.0
11,Cargo,1000,4,0.05
11,Cargo,1000,5,0.1
11,Cargo,1000,6,0.15
11,Cargo,1000,7,0.25
11,Cargo,1000,8,0.5
11,Cargo,1000,9,0.6
11,Cargo,1000,10,0.7
11,Cargo,2000,1,0.0
11,Cargo,2000,2,0.0
11,Cargo,2000,3,0.05
11,Cargo,2000,4,0.1
11,Cargo,2000,5,0.15
11,Cargo,2000,6,0.25
11,Cargo,2000,7,0.5
11,Cargo,2000,8,0.6
11,Cargo,2000,9,0.7
11,Cargo,2000,10,0.8
11,Cargo,3000,1,0.05
11,Cargo,3000,2,0.05
11,Cargo,3000,3,0.1
11,Cargo,3000,4,0.15
11,Cargo,3000,5,0.25
11,Cargo,3000,6,0.5
11,Cargo,3000,7,0.6
11,Cargo,3000,8,0.7
11,Cargo,3000,9,0.8
11,Cargo,3000,10,0.9
11,Downhole,500,1,0.0
11,Downhole,500,2,0.0
11,Downhole,500,3,0.0
11,Downhole,500,4,0.0
11,Downhole,500,5,0.05
11,Downhole,500,6,0.1
11,Downhole,500,7,0.15
11,Downhole,500,8,0.25
11,Downhole,500,9,0.35
11,Downhole,500,10,0.45
11,Downhole,1000,1,0.0
11,Downhole,1000,2,0.0
11,Downhole,1000,3,0.0
11,Downhole,1000,4,0.05
11,Downhole,1000,5,0.1
11,Downhole,1000,6,0.15
11,Downhole,1000,7,0.25
11,Downhole,1000,8,0.5
11,Downhole,1000,9,0.6
11,Downhole,1000,10,0.7
11,Downhole,2000,1,0.0
11,Downhole,2000,2,0.0
11,Downhole,2000,3,0.05
11,Downhole,2000,4,0.1
11,Downhole,2000,5,0.15
11,Downhole,2000,6,0.25
11,Downhole,2000,7,0.5
11,Downhole,2000,8,0.6
11,Downhole,2000,9,0.7
11,Downhole,2000,10,0.8
11,Downhole,3000,1,0.05
11,Downhole,3000,2,0.05
11,Downhole,3000,3,0.1
11,Downhole,3000,4,0.15
11,Downhole,3000,5,0.25
11,Downhole,3000,6,0.5
11,Downhole,3000,7,0.6
11,Downhole,3000,8,0.7
11,Downhole,3000,9,0.8
11,Downhole,3000,10,0.9
11,Energy Liab and Cas,500,1,0.0
11,Energy Liab and Cas,500,2,0.0
11,Energy Liab and Cas,500,3,0.0
11,Energy Liab and Cas,500,4,0.0
11,Energy Liab and Cas,500,5,0.05
11,Energy Liab and Cas,500,6,0.1
11,Energy Liab and Cas,500,7,0.15
11,Energy Liab and Cas,500,8,0.25
11,Energy Liab and Cas,500,9,0.35
11,Energy Liab and Cas,500,10,0.45
11,Energy Liab and Cas,1000,1,0.0
11,Energy Liab and Cas,1000,2,0.0
11,Energy Liab and Cas,1000,3,0.0
11,Energy Liab and Cas,1000,4,0.05
11,Energy Liab and Cas,1000,5,0.1
11,Energy Liab and Cas,1000,6,0.15
11,Energy Liab and Cas,1000,7,0.25
11,Energy Liab and Cas,1000,8,0.5
11,Energy Liab and Cas,1000,9,0.6
11,Energy Liab and Cas,1000,10,0.7
11,Energy Liab and Cas,2000,1,0.0
11,Energy Liab and Cas,2000,2,0.0
11,Energy Liab and Cas,2000,3,0.05
11,Energy Liab and Cas,2000,4,0.1
11,Energy Liab and Cas,2000,5,0.15
11,Energy Liab and Cas,2000,6,0.25
11,Energy Liab and Cas,2000,7,0.5
11,Energy Liab and Cas,2000,8,0.6
11,Energy Liab and Cas,2000,9,0.7
11,Energy Liab and Cas,2000,10,0.8
11,Energy Liab and Cas,3000,1,0.05
11,Energy Liab and Cas,3000,2,0.05
11,Energy Liab and Cas,3000,3,0.1
11,Energy Liab and Cas,3000,4,0.15
11,Energy Liab and Cas,3000,5,0.25
11,Energy Liab and Cas,3000,6,0.5
11,Energy Liab and Cas,3000,7,0.6
11,Energy Liab and Cas,3000,8,0.7
11,Energy Liab and Cas,3000,9,0.8
11,Energy Liab and Cas,3000,10,0.9
11,Energy PD,500,1,0.0
11,Energy PD,500,2,0.0
11,Energy PD,500,3,0.0
11,Energy PD,500,4,0.0
11,Energy PD,500,5,0.05
11,Energy PD,500,6,0.1
11,Energy PD,500,7,0.15
11,Energy PD,500,8,0.25
11,Energy PD,500,9,0.35
11,Energy PD,500,10,0.45
11,Energy PD,1000,1,0.0
11,Energy PD,1000,2,0.0
11,Energy PD,1000,3,0.0
11,Energy PD,1000,4,0.05
11,Energy PD,1000,5,0.1
11,Energy PD,1000,6,0.15
11,Energy PD,1000,7,0.25
11,Energy PD,1000,8,0.5
11,Energy PD,1000,9,0.6
11,Energy PD,1000,10,0.7
11,Energy PD,2000,1,0.0
11,Energy PD,2000,2,0.0
11,Energy PD,2000,3,0.05
11,Energy PD,2000,4,0.1
11,Energy PD,2000,5,0.15
11,Energy PD,2000,6,0.25
11,Energy PD,2000,7,0.5
11,Energy PD,2000,8,0.6
11,Energy PD,2000,9,0.7
11,Energy PD,2000,10,0.8
11,Energy PD,3000,1,0.05
11,Energy PD,3000,2,0.05
11,Energy PD,3000,3,0.1
11,Energy PD,3000,4,0.15
11,Energy PD,3000,5,0.25
11,Energy PD,3000,6,0.5
11,Energy PD,3000,7,0.6
11,Energy PD,3000,8,0.7
11,Energy PD,3000,9,0.8
11,Energy PD,3000,10,0.9
11,Hull,500,1,0.0
11,Hull,500,2,0.0
11,Hull,500,3,0.0
11,Hull,500,4,0.0
11,Hull,500,5,0.05
11,Hull,500,6,0.1
11,Hull,500,7,0.15
11,Hull,500,8,0.25
11,Hull,500,9,0.35
11,Hull,500,10,0.45
11,Hull,1000,1,0.0
11,Hull,1000,2,0.0
11,Hull,1000,3,0.0
11,Hull,1000,4,0.05
11,Hull,1000,5,0.1
11,Hull,1000,6,0.15
11,Hull,1000,7,0.25
11,Hull,1000,8,0.5
11,Hull,1000,9,0.6
11,Hull,1000,10,0.7
11,Hull,2000,1,0.0
11,Hull,2000,2,0.0
11,Hull,2000,3,0.05
11,Hull,2000,4,0.1
11,Hull,2000,5,0.15
11,Hull,2000,6,0.25
11,Hull,2000,7,0.5
11,Hull,2000,8,0.6
11,Hull,2000,9,0.7
11,Hull,2000,10,0.8
11,Hull,3000,1,0.05
11,Hull,3000,2,0.05
11,Hull,3000,3,0.1
11,Hull,3000,4,0.15
11,Hull,3000,5,0.25
11,Hull,3000,6,0.5
11,Hull,3000,7,0.6
11,Hull,3000,8,0.7
11,Hull,3000,9,0.8
11,Hull,3000,10,0.9
11,Marine Libs,500,1,0.0
11,Marine Libs,500,2,0.0
11,Marine Libs,500,3,0.0
11,Marine Libs,500,4,0.0
11,Marine Libs,500,5,0.05
11,Marine Libs,500,6,0.1
11,Marine Libs,500,7,0.15
11,Marine Libs,500,8,0.25
11,Marine Libs,500,9,0.35
11,Marine Libs,500,10,0.45
11,Marine Libs,1000,1,0.0
11,Marine Libs,1000,2,0.0
11,Marine Libs,1000,3,0.0
11,Marine Libs,1000,4,0.05
11,Marine Libs,1000,5,0.1
11,Marine Libs,1000,6,0.15
11,Marine Libs,1000,7,0.25
11,Marine Libs,1000,8,0.5
11,Marine Libs,1000,9,0.6
11,Marine Libs,1000,10,0.7
11,Marine Libs,2000,1,0.0
11,Marine Libs,2000,2,0.0
11,Marine Libs,2000,3,0.05
11,Marine Libs,2000,4,0.1
11,Marine Libs,2000,5,0.15
11,Marine Libs,2000,6,0.25
11,Marine Libs,2000,7,0.5
11,Marine Libs,2000,8,0.6
11,Marine Libs,2000,9,0.7
11,Marine Libs,2000,10,0.8
11,Marine Libs,3000,1,0.05
11,Marine Libs,3000,2,0.05
11,Marine Libs,3000,3,0.1
11,Marine Libs,3000,4,0.15
11,Marine Libs,3000,5,0.25
11,Marine Libs,3000,6,0.5
11,Marine Libs,3000,7,0.6
11,Marine Libs,3000,8,0.7
11,Marine Libs,3000,9,0.8
11,Marine Libs,3000,10,0.9
11,Marine Misc,500,1,0.0
11,Marine Misc,500,2,0.0
11,Marine Misc,500,3,0.0
11,Marine Misc,500,4,0.0
11,Marine Misc,500,5,0.05
11,Marine Misc,500,6,0.1
11,Marine Misc,500,7,0.15
11,Marine Misc,500,8,0.25
11,Marine Misc,500,9,0.35
11,Marine Misc,500,10,0.45
11,Marine Misc,1000,1,0.0
11,Marine Misc,1000,2,0.0
11,Marine Misc,1000,3,0.0
11,Marine Misc,1000,4,0.05
11,Marine Misc,1000,5,0.1
11,Marine Misc,1000,6,0.15
11,Marine Misc,1000,7,0.25
11,Marine Misc,1000,8,0.5
11,Marine Misc,1000,9,0.6
11,Marine Misc,1000,10,0.7
11,Marine Misc,2000,1,0.0
11,Marine Misc,2000,2,0.0
11,Marine Misc,2000,3,0.05
11,Marine Misc,2000,4,0.1
11,Marine Misc,2000,5,0.15
11,Marine Misc,2000,6,0.25
11,Marine Misc,2000,7,0.5
11,Marine Misc,2000,8,0.6
11,Marine Misc,2000,9,0.7
11,Marine Misc,2000,10,0.8
11,Marine Misc,3000,1,0.05
11,Marine Misc,3000,2,0.05
11,Marine Misc,3000,3,0.1
11,Marine Misc,3000,4,0.15
11,Marine Misc,3000,5,0.25
11,Marine Misc,3000,6,0.5
11,Marine Misc,3000,7,0.6
11,Marine Misc,3000,8,0.7
11,Marine Misc,3000,9,0.8
11,Marine Misc,3000,10,0.9
11,Satellite,500,1,0.0
11,Satellite,500,2,0.0
11,Satellite,500,3,0.0
11,Satellite,500,4,0.0
11,Satellite,500,5,0.05
11,Satellite,500,6,0.1
11,Satellite,500,7,0.15
11,Satellite,500,8,0.25
11,Satellite,500,9,0.35
11,Satellite,500,10,0.45
11,Satellite,1000,1,0.0
11,Satellite,1000,2,0.0
11,Satellite,1000,3,0.0
11,Satellite,1000,4,0.05
11,Satellite,1000,5,0.1
11,Satellite,1000,6,0.15
11,Satellite,1000,7,0.25
11,Satellite,1000,8,0.5
11,Satellite,1000,9,0.6
11,Satellite,1000,10,0.7
11,Satellite,2000,1,0.0
11,Satellite,2000,2,0.0
11,Satellite,2000,3,0.05
11,Satellite,2000,4,0.1
11,Satellite,2000,5,0.15
11,Satellite,2000,6,0.25
11,Satellite,2000,7,0.5
11,Satellite,2000,8,0.6
11,Satellite,2000,9,0.7
11,Satellite,2000,10,0.8
11,Satellite,3000,1,0.05
11,Satellite,3000,2,0.05
11,Satellite,3000,3,0.1
11,Satellite,3000,4,0.15
11,Satellite,3000,5,0.25
11,Satellite,3000,6,0.5
11,Satellite,3000,7,0.6
11,Satellite,3000,8,0.7
11,Satellite,3000,9,0.8
11,Satellite,3000,10,0.9
11,War,500,1,0.0
11,War,500,2,0.0
11,War,500,3,0.0
11,War,500,4,0.0
11,War,500,5,0.05
11,War,500,6,0.1
11,War,500,7,0.15
11,War,500,8,0.25
11,War,500,9,0.35
11,War,500,10,0.45
11,War,1000,1,0.0
11,War,1000,2,0.0
11,War,1000,3,0.0
11,War,1000,4,0.05
11,War,1000,5,0.1
11,War,1000,6,0.15
11,War,1000,7,0.25
11,War,1000,8,0.5
11,War,1000,9,0.6
11,War,1000,10,0.7
11,War,2000,1,0.0
11,War,2000,2,0.0
11,War,2000,3,0.05
11,War,2000,4,0.1
11,War,2000,5,0.15
11,War,2000,6,0.25
11,War,2000,7,0.5
11,War,2000,8,0.6
11,War,2000,9,0.7
11,War,2000,10,0.8
11,War,3000,1,0.05
11,War,3000,2,0.05
11,War,3000,3,0.1
11,War,3000,4,0.15
11,War,3000,5,0.25
11,War,3000,6,0.5
11,War,3000,7,0.6
11,War,3000,8,0.7
11,War,3000,9,0.8
11,War,3000,10,0.9
11,Contingency,500,1,0.0
11,Contingency,500,2,0.0
11,Contingency,500,3,0.0
11,Contingency,500,4,0.0
11,Contingency,500,5,0.05
11,Contingency,500,6,0.1
11,Contingency,500,7,0.15
11,Contingency,500,8,0.25
11,Contingency,500,9,0.35
11,Contingency,500,10,0.45
11,Contingency,1000,1,0.0
11,Contingency,1000,2,0.0
11,Contingency,1000,3,0.0
11,Contingency,1000,4,0.05
11,Contingency,1000,5,0.1
11,Contingency,1000,6,0.15
11,Contingency,1000,7,0.25
11,Contingency,1000,8,0.5
11,Contingency,1000,9,0.6
11,Contingency,1000,10,0.7
11,Contingency,2000,1,0.0
11,Contingency,2000,2,0.0
11,Contingency,2000,3,0.05
11,Contingency,2000,4,0.1
11,Contingency,2000,5,0.15
11,Contingency,2000,6,0.25
11,Contingency,2000,7,0.5
11,Contingency,2000,8,0.6
11,Contingency,2000,9,0.7
11,Contingency,2000,10,0.8
11,Contingency,3000,1,0.05
11,Contingency,3000,2,0.05
11,Contingency,3000,3,0.1
11,Contingency,3000,4,0.15
11,Contingency,3000,5,0.25
11,Contingency,3000,6,0.5
11,Contingency,3000,7,0.6
11,Contingency,3000,8,0.7
11,Contingency,3000,9,0.8
11,Contingency,3000,10,0.9
11,Political,500,1,0.0
11,Political,500,2,0.0
11,Political,500,3,0.0
11,Political,500,4,0.0
11,Political,500,5,0.05
11,Political,500,6,0.1
11,Political,500,7,0.15
11,Political,500,8,0.25
11,Political,500,9,0.35
11,Political,500,10,0.45
11,Political,1000,1,0.0
11,Political,1000,2,0.0
11,Political,1000,3,0.0
11,Political,1000,4,0.05
11,Political,1000,5,0.1
11,Political,1000,6,0.15
11,Political,1000,7,0.25
11,Political,1000,8,0.5
11,Political,1000,9,0.6
11,Political,1000,10,0.7
11,Political,2000,1,0.0
11,Political,2000,2,0.0
11,Political,2000,3,0.05
11,Political,2000,4,0.1
11,Political,2000,5,0.15
11,Political,2000,6,0.25
11,Political,2000,7,0.5
11,Political,2000,8,0.6
11,Political,2000,9,0.7
11,Political,2000,10,0.8
11,Political,3000,1,0.05
11,Political,3000,2,0.05
11,Political,3000,3,0.1
11,Political,3000,4,0.15
11,Political,3000,5,0.25
11,Political,3000,6,0.5
11,Political,3000,7,0.6
11,Political,3000,8,0.7
11,Political,3000,9,0.8
11,Political,3000,10,0.9
11,Terrorism,500,1,0.0
11,Terrorism,500,2,0.0
11,Terrorism,500,3,0.0
11,Terrorism,500,4,0.0
11,Terrorism,500,5,0.05
11,Terrorism,500,6,0.1
11,Terrorism,500,7,0.15
11,Terrorism,500,8,0.25
11,Terrorism,500,9,0.35
11,Terrorism,500,10,0.45
11,Terrorism,1000,1,0.0
11,Terrorism,1000,2,0.0
11,Terrorism,1000,3,0.0
11,Terrorism,1000,4,0.05
11,Terrorism,1000,5,0.1
11,Terrorism,1000,6,0.15
11,Terrorism,1000,7,0.25
11,Terrorism,1000,8,0.5
11,Terrorism,1000,9,0.6
11,Terrorism,1000,10,0.7
11,Terrorism,2000,1,0.0
11,Terrorism,2000,2,0.0
11,Terrorism,2000,3,0.05
11,Terrorism,2000,4,0.1
11,Terrorism,2000,5,0.15
11,Terrorism,2000,6,0.25
11,Terrorism,2000,7,0.5
11,Terrorism,2000,8,0.6
11,Terrorism,2000,9,0.7
11,Terrorism,2000,10,0.8
11,Terrorism,3000,1,0.05
11,Terrorism,3000,2,0.05
11,Terrorism,3000,3,0.1
11,Terrorism,3000,4,0.15
11,Terrorism,3000,5,0.25
11,Terrorism,3000,6,0.5
11,Terrorism,3000,7,0.6
11,Terrorism,3000,8,0.7
11,Terrorism,3000,9,0.8
11,Terrorism,3000,10,0.9
11,BICI A&H PA,500,1,0.0
11,BICI A&H PA,500,2,0.0
11,BICI A&H PA,500,3,0.0
11,BICI A&H PA,500,4,0.0
11,BICI A&H PA,500,5,0.05
11,BICI A&H PA,500,6,0.1
11,BICI A&H PA,500,7,0.15
11,BICI A&H PA,500,8,0.25
11,BICI A&H PA,500,9,0.35
11,BICI A&H PA,500,10,0.45
11,BICI A&H PA,1000,1,0.0
11,BICI A&H PA,1000,2,0.0
11,BICI A&H PA,1000,3,0.0
11,BICI A&H PA,1000,4,0.05
11,BICI A&H PA,1000,5,0.1
11,BICI A&H PA,1000,6,0.15
11,BICI A&H PA,1000,7,0.25
11,BICI A&H PA,1000,8,0.5
11,BICI A&H PA,1000,9,0.6
11,BICI A&H PA,1000,10,0.7
11,BICI A&H PA,2000,1,0.0
11,BICI A&H PA,2000,2,0.0
11,BICI A&H PA,2000,3,0.05
11,BICI A&H PA,2000,4,0.1
11,BICI A&H PA,2000,5,0.15
11,BICI A&H PA,2000,6,0.25
11,BICI A&H PA,2000,7,0.5
11,BICI A&H PA,2000,8,0.6
11,BICI A&H PA,2000,9,0.7
11,BICI A&H PA,2000,10,0.8
11,BICI A&H PA,3000,1,0.05
11,BICI A&H PA,3000,2,0.05
11,BICI A&H PA,3000,3,0.1
11,BICI A&H PA,3000,4,0.15
11,BICI A&H PA,3000,5,0.25
11,BICI A&H PA,3000,6,0.5
11,BICI A&H PA,3000,7,0.6
11,BICI A&H PA,3000,8,0.7
11,BICI A&H PA,3000,9,0.8
11,BICI A&H PA,3000,10,0.9
11,Life Direct,500,1,0.0
11,Life Direct,500,2,0.0
11,Life Direct,500,3,0.0
11,Life Direct,500,4,0.0
11,Life Direct,500,5,0.05
11,Life Direct,500,6,0.1
11,Life Direct,500,7,0.15
11,Life Direct,500,8,0.25
11,Life Direct,500,9,0.35
11,Life Direct,500,10,0.45
11,Life Direct,1000,1,0.0
11,Life Direct,1000,2,0.0
11,Life Direct,1000,3,0.0
11,Life Direct,1000,4,0.05
11,Life Direct,1000,5,0.1
11,Life Direct,1000,6,0.15
11,Life Direct,1000,7,0.25
11,Life Direct,1000,8,0.5
11,Life Direct,1000,9,0.6
11,Life Direct,1000,10,0.7
11,Life Direct,2000,1,0.0
11,Life Direct,2000,2,0.0
11,Life Direct,2000,3,0.05
11,Life Direct,2000,4,0.1
11,Life Direct,2000,5,0.15
11,Life Direct,2000,6,0.25
11,Life Direct,2000,7,0.5
11,Life Direct,2000,8,0.6
11,Life Direct,2000,9,0.7
11,Life Direct,2000,10,0.8
11,Life Direct,3000,1,0.05
11,Life Direct,3000,2,0.05
11,Life Direct,3000,3,0.1
11,Life Direct,3000,4,0.15
11,Life Direct,3000,5,0.25
11,Life Direct,3000,6,0.5
11,Life Direct,3000,7,0.6
11,Life Direct,3000,8,0.7
11,Life Direct,3000,9,0.8
11,Life Direct,3000,10,0.9
11,Life Reinsurance,500,1,0.0
11,Life Reinsurance,500,2,0.0
11,Life Reinsurance,500,3,0.0
11,Life Reinsurance,500,4,0.0
11,Life Reinsurance,500,5,0.05
11,Life Reinsurance,500,6,0.1
11,Life Reinsurance,500,7,0.15
11,Life Reinsurance,500,8,0.25
11,Life Reinsurance,500,9,0.35
11,Life Reinsurance,500,10,0.45
11,Life Reinsurance,1000,1,0.0
11,Life Reinsurance,1000,2,0.0
11,Life Reinsurance,1000,3,0.0
11,Life Reinsurance,1000,4,0.05
11,Life Reinsurance,1000,5,0.1
11,Life Reinsurance,1000,6,0.15
11,Life Reinsurance,1000,7,0.25
11,Life Reinsurance,1000,8,0.5
11,Life Reinsurance,1000,9,0.6
11,Life Reinsurance,1000,10,0.7
11,Life Reinsurance,2000,1,0.0
11,Life Reinsurance,2000,2,0.0
11,Life Reinsurance,2000,3,0.05
11,Life Reinsurance,2000,4,0.1
11,Life Reinsurance,2000,5,0.15
11,Life Reinsurance,2000,6,0.25
11,Life Reinsurance,2000,7,0.5
11,Life Reinsurance,2000,8,0.6
11,Life Reinsurance,2000,9,0.7
11,Life Reinsurance,2000,10,0.8
11,Life Reinsurance,3000,1,0.05
11,Life Reinsurance,3000,2,0.05
11,Life Reinsurance,3000,3,0.1
11,Life Reinsurance,3000,4,0.15
11,Life Reinsurance,3000,5,0.25
11,Life Reinsurance,3000,6,0.5
11,Life Reinsurance,3000,7,0.6
11,Life Reinsurance,3000,8,0.7
11,Life Reinsurance,3000,9,0.8
11,Life Reinsurance,3000,10,0.9
11,PA Direct,500,1,0.0
11,PA Direct,500,2,0.0
11,PA Direct,500,3,0.0
11,PA Direct,500,4,0.0
11,PA Direct,500,5,0.05
11,PA Direct,500,6,0.1
11,PA Direct,500,7,0.15
11,PA Direct,500,8,0.25
11,PA Direct,500,9,0.35
11,PA Direct,500,10,0.45
11,PA Direct,1000,1,0.0
11,PA Direct,1000,2,0.0
11,PA Direct,1000,3,0.0
11,PA Direct,1000,4,0.05
11,PA Direct,1000,5,0.1
11,PA Direct,1000,6,0.15
11,PA Direct,1000,7,0.25
11,PA Direct,1000,8,0.5
11,PA Direct,1000,9,0.6
11,PA Direct,1000,10,0.7
11,PA Direct,2000,1,0.0
11,PA Direct,2000,2,0.0
11,PA Direct,2000,3,0.05
11,PA Direct,2000,4,0.1
11,PA Direct,2000,5,0.15
11,PA Direct,2000,6,0.25
11,PA Direct,2000,7,0.5
11,PA Direct,2000,8,0.6
11,PA Direct,2000,9,0.7
11,PA Direct,2000,10,0.8
11,PA Direct,3000,1,0.05
11,PA Direct,3000,2,0.05
11,PA Direct,3000,3,0.1
11,PA Direct,3000,4,0.15
11,PA Direct,3000,5,0.25
11,PA Direct,3000,6,0.5
11,PA Direct,3000,7,0.6
11,PA Direct,3000,8,0.7
11,PA Direct,3000,9,0.8
11,PA Direct,3000,10,0.9
11,PA Reinsurance,500,1,0.0
11,PA Reinsurance,500,2,0.0
11,PA Reinsurance,500,3,0.0
11,PA Reinsurance,500,4,0.0
11,PA Reinsurance,500,5,0.05
11,PA Reinsurance,500,6,0.1
11,PA Reinsurance,500,7,0.15
11,PA Reinsurance,500,8,0.25
11,PA Reinsurance,500,9,0.35
11,PA Reinsurance,500,10,0.45
11,PA Reinsurance,1000,1,0.0
11,PA Reinsurance,1000,2,0.0
11,PA Reinsurance,1000,3,0.0
11,PA Reinsurance,1000,4,0.05
11,PA Reinsurance,1000,5,0.1
11,PA Reinsurance,1000,6,0.15
11,PA Reinsurance,1000,7,0.25
11,PA Reinsurance,1000,8,0.5
11,PA Reinsurance,1000,9,0.6
11,PA Reinsurance,1000,10,0.7
11,PA Reinsurance,2000,1,0.0
11,PA Reinsurance,2000,2,0.0
11,PA Reinsurance,2000,3,0.05
11,PA Reinsurance,2000,4,0.1
11,PA Reinsurance,2000,5,0.15
11,PA Reinsurance,2000,6,0.25
11,PA Reinsurance,2000,7,0.5
11,PA Reinsurance,2000,8,0.6
11,PA Reinsurance,2000,9,0.7
11,PA Reinsurance,2000,10,0.8
11,PA Reinsurance,3000,1,0.05
11,PA Reinsurance,3000,2,0.05
11,PA Reinsurance,3000,3,0.1
11,PA Reinsurance,3000,4,0.15
11,PA Reinsurance,3000,5,0.25
11,PA Reinsurance,3000,6,0.5
11,PA Reinsurance,3000,7,0.6
11,PA Reinsurance,3000,8,0.7
11,PA Reinsurance,3000,9,0.8
11,PA Reinsurance,3000,10,0.9
11,Sports,500,1,0.0
11,Sports,500,2,0.0
11,Sports,500,3,0.0
11,Sports,500,4,0.0
11,Sports,500,5,0.05
11,Sports,500,6,0.1
11,Sports,500,7,0.15
11,Sports,500,8,0.25
11,Sports,500,9,0.35
11,Sports,500,10,0.45
11,Sports,1000,1,0.0
11,Sports,1000,2,0.0
11,Sports,1000,3,0.0
11,Sports,1000,4,0.05
11,Sports,1000,5,0.1
11,Sports,1000,6,0.15
11,Sports,1000,7,0.25
11,Sports,1000,8,0.5
11,Sports,1000,9,0.6
11,Sports,1000,10,0.7
11,Sports,2000,1,0.0
11,Sports,2000,2,0.0
11,Sports,2000,3,0.05
