TIV,ISO.1,ISO.2,ISO.3,ISO.4,ISO.5,ISO.6
850000,1.133053221288520,1.133053221288520,1.133053221288520,1.198697068403910,1.198697068403910,1.198697068403910
900000,1.121848739495800,1.121848739495800,1.121848739495800,1.180781758957650,1.180781758957650,1.180781758957650
950000,1.110644257703080,1.110644257703080,1.110644257703080,1.166123778501630,1.166123778501630,1.166123778501630
1000000,1.100840336134450,1.100840336134450,1.100840336134450,1.149837133550490,1.149837133550490,1.149837133550490
1250000,1.060224089635850,1.060224089635850,1.060224089635850,1.087947882736160,1.087947882736160,1.087947882736160
1500000,1.026610644257700,1.026610644257700,1.026610644257700,1.039087947882740,1.039087947882740,1.039087947882740
1750000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
2000000,0.976190476190476,0.976190476190476,0.976190476190476,0.967426710097720,0.967426710097720,0.967426710097720
2250000,0.956582633053221,0.956582633053221,0.956582633053221,0.939739413680782,0.939739413680782,0.939739413680782
2500000,0.939775910364146,0.939775910364146,0.939775910364146,0.913680781758958,0.913680781758958,0.913680781758958
2750000,0.924369747899160,0.924369747899160,0.924369747899160,0.892508143322476,0.892508143322476,0.892508143322476
3000000,0.910364145658263,0.910364145658263,0.910364145658263,0.872964169381108,0.872964169381108,0.872964169381108
3250000,0.897759103641457,0.897759103641457,0.897759103641457,0.856677524429967,0.856677524429967,0.856677524429967
3500000,0.886554621848740,0.886554621848740,0.886554621848740,0.840390879478827,0.840390879478827,0.840390879478827
3750000,0.875350140056022,0.875350140056022,0.875350140056022,0.825732899022801,0.825732899022801,0.825732899022801
4000000,0.865546218487395,0.865546218487395,0.865546218487395,0.812703583061889,0.812703583061889,0.812703583061889
4250000,0.857142857142857,0.857142857142857,0.857142857142857,0.801302931596091,0.801302931596091,0.801302931596091
4500000,0.848739495798319,0.848739495798319,0.848739495798319,0.789902280130293,0.789902280130293,0.789902280130293
4750000,0.840336134453782,0.840336134453782,0.840336134453782,0.778501628664495,0.778501628664495,0.778501628664495
5000000,0.833333333333333,0.833333333333333,0.833333333333333,0.768729641693811,0.768729641693811,0.768729641693811
5500000,0.819327731092437,0.819327731092437,0.819327731092437,0.750814332247557,0.750814332247557,0.750814332247557
6000000,0.806722689075630,0.806722689075630,0.806722689075630,0.734527687296417,0.734527687296417,0.734527687296417
6500000,0.796918767507003,0.796918767507003,0.796918767507003,0.719869706840391,0.719869706840391,0.719869706840391
7000000,0.785714285714286,0.785714285714286,0.785714285714286,0.706840390879479,0.706840390879479,0.706840390879479
7500000,0.777310924369748,0.777310924369748,0.777310924369748,0.693811074918567,0.693811074918567,0.693811074918567
8000000,0.767507002801120,0.767507002801120,0.767507002801120,0.682410423452769,0.682410423452769,0.682410423452769
8500000,0.760504201680672,0.760504201680672,0.760504201680672,0.672638436482085,0.672638436482085,0.672638436482085
9000000,0.752100840336135,0.752100840336135,0.752100840336135,0.662866449511401,0.662866449511401,0.662866449511401
9500000,0.745098039215686,0.745098039215686,0.745098039215686,0.654723127035831,0.654723127035831,0.654723127035831
10000000,0.739495798319328,0.739495798319328,0.739495798319328,0.646579804560261,0.646579804560261,0.646579804560261
9E+12,0.739495798319328,0.739495798319328,0.739495798319328,0.646579804560261,0.646579804560261,0.646579804560261
