StateCounty,TN Buildings,TN Contents,TN BI,HA Buildings,HA Contents,HA BI,WTS Buildings,WTS Contents,WTS BI,FL Buildings,FL Contents,FL BI,WF Buildings,WF Contents,WF BI
ALCalhoun County,0.000225213,0.000191687,0.000215211,1.80411E-05,1.80411E-07,4.69067E-06,8.16569E-05,8.16569E-05,8.16569E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALChambers County,0.000171489,0.000146965,0.000163744,2.29346E-05,2.29346E-07,5.96299E-06,3.29112E-05,3.29112E-05,3.29112E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALCherokee County,0.000132682,0.000111435,0.000124978,1.87096E-05,1.87096E-07,4.86448E-06,6.18342E-05,6.18342E-05,6.18342E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALChilton County,0.000319452,0.000271799,0.000304277,1.49447E-05,1.49447E-07,3.88561E-06,5.69743E-05,5.69743E-05,5.69743E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALChoctaw County,0.000282496,0.000239091,0.000268388,1.46243E-05,1.46243E-07,3.80231E-06,5.08054E-05,5.08054E-05,5.08054E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALClarke County,0.000130133,0.000108472,0.000121633,4.3112E-06,4.3112E-08,1.12091E-06,5.62452E-05,5.62452E-05,5.62452E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALClay County,0.000221027,0.000188813,0.000210493,1.53396E-05,1.53396E-07,3.98829E-06,9.19647E-05,9.19647E-05,9.19647E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALCleburne County,0.000144593,0.00012447,0.000138916,2.45992E-05,2.45992E-07,6.39578E-06,0.000104684,0.000104684,0.000104684,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALCoffee County,8.56754E-05,7.23791E-05,8.13326E-05,1.50325E-06,1.50325E-08,3.90844E-07,3.53023E-05,3.53023E-05,3.53023E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALColbert County,0.00025055,0.000204295,0.000232214,9.64639E-06,9.64639E-08,2.50806E-06,4.89659E-05,4.89659E-05,4.89659E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALConecuh County,6.76674E-05,5.50742E-05,6.21422E-05,1.66813E-06,1.66813E-08,4.33714E-07,4.94786E-05,4.94786E-05,4.94786E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALCoosa County,0.000245924,0.00020973,0.000234317,1.41252E-05,1.41252E-07,3.67254E-06,4.89746E-05,4.89746E-05,4.89746E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALCovington County,6.60321E-05,5.51412E-05,6.21638E-05,1.58263E-06,1.58263E-08,4.11483E-07,4.2061E-05,4.2061E-05,4.2061E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALCrenshaw County,9.90063E-05,8.5534E-05,9.57473E-05,4.53261E-06,4.53261E-08,1.17848E-06,4.44702E-05,4.44702E-05,4.44702E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALCullman County,0.000451292,0.000364457,0.00041439,1.05082E-05,1.05082E-07,2.73214E-06,4.82116E-05,4.82116E-05,4.82116E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALDale County,9.07622E-05,7.6606E-05,8.59242E-05,1.46077E-06,1.46077E-08,3.79801E-07,4.0558E-05,4.0558E-05,4.0558E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALDallas County,0.000189523,0.000159394,0.000178387,8.87964E-06,8.87964E-08,2.30871E-06,6.25496E-05,6.25496E-05,6.25496E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALDekalb County,0.000126398,0.000104825,0.000117896,7.54923E-06,7.54923E-08,1.9628E-06,5.97106E-05,5.97106E-05,5.97106E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALElmore County,0.00014486,0.00012248,0.000136239,1.08619E-05,1.08619E-07,2.82408E-06,5.67516E-05,5.67516E-05,5.67516E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALEscambia County,4.75186E-05,3.81862E-05,4.31796E-05,1.43821E-06,1.43821E-08,3.73936E-07,3.51059E-05,3.51059E-05,3.51059E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALEtowah County,0.000263904,0.000220544,0.000247707,1.17353E-05,1.17353E-07,3.05119E-06,5.73071E-05,5.73071E-05,5.73071E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALFayette County,0.000485349,0.000410102,0.000463984,1.76004E-05,1.76004E-07,4.57611E-06,7.81535E-05,7.81535E-05,7.81535E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALFranklin County,0.000235882,0.00019785,0.000223156,1.11592E-05,1.11592E-07,2.9014E-06,4.52628E-05,4.52628E-05,4.52628E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALGeneva County,8.19171E-05,6.87312E-05,7.72191E-05,8.52792E-07,8.52792E-09,2.21726E-07,3.19773E-05,3.19773E-05,3.19773E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALGreene County,0.00041969,0.000354781,0.000397023,1.70021E-05,1.70021E-07,4.42054E-06,7.04629E-05,7.04629E-05,7.04629E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALHale County,0.000367353,0.000309191,0.000346232,1.19654E-05,1.19654E-07,3.11101E-06,6.07297E-05,6.07297E-05,6.07297E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALHenry County,0.000108878,9.31693E-05,0.000104579,1.9921E-06,1.9921E-08,5.17945E-07,3.93021E-05,3.93021E-05,3.93021E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALHouston County,9.82446E-05,8.26357E-05,9.30096E-05,9.44726E-07,9.44726E-09,2.45629E-07,2.72279E-05,2.72279E-05,2.72279E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALJackson County,0.000108161,8.76279E-05,9.9054E-05,4.21122E-06,4.21122E-08,1.09492E-06,6.3689E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALJefferson County,0.00044378,0.000375657,0.000430243,1.52468E-05,1.52468E-07,3.96417E-06,8.5842E-05,8.5842E-05,8.5842E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALLamar County,0.000283607,0.000243795,0.000273872,1.77156E-05,1.77156E-07,4.60605E-06,6.26739E-05,6.26739E-05,6.26739E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALLauderdale County,0.00026365,0.0002124,0.000241753,6.29916E-06,6.29916E-08,1.63778E-06,5.08822E-05,5.08822E-05,5.08822E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALLawrence County,0.000377961,0.000303839,0.000346269,9.6086E-06,9.6086E-08,2.49824E-06,5.00306E-05,5.00306E-05,5.00306E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALLee County,0.000149719,0.000128026,0.000142764,1.38896E-05,1.38896E-07,3.6113E-06,7.97709E-05,7.97709E-05,7.97709E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALLimestone County,0.000246304,0.00018957,0.000215497,4.75623E-06,4.75623E-08,1.23662E-06,5.60039E-05,5.60039E-05,5.60039E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALLowndes County,0.000121222,0.000103086,0.000115337,6.25459E-06,6.25459E-08,1.62619E-06,5.8125E-05,5.8125E-05,5.8125E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALMacon County,0.000133562,0.000115215,0.000128668,1.17989E-05,1.17989E-07,3.06772E-06,7.04389E-05,7.04389E-05,7.04389E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALMadison County,0.000220562,0.000182108,0.00020231,3.64183E-06,3.64183E-08,9.46877E-07,5.76069E-05,5.76069E-05,5.76069E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALMarengo County,0.000266003,0.000223961,0.000249827,1.34276E-05,1.34276E-07,3.49117E-06,5.45816E-05,5.45816E-05,5.45816E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALMarion County,0.000308478,0.000259254,0.000292707,1.45512E-05,1.45512E-07,3.78331E-06,4.43365E-05,4.43365E-05,4.43365E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALMarshall County,0.00027255,0.000223671,0.000252087,6.2017E-06,6.2017E-08,1.61244E-06,5.12704E-05,5.12704E-05,5.12704E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALMobile County,3.99621E-05,3.26359E-05,3.66449E-05,1.73398E-06,1.73398E-08,4.50835E-07,2.63169E-05,2.63169E-05,2.63169E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALMonroe County,7.17473E-05,5.9809E-05,6.7021E-05,3.5455E-06,3.5455E-08,9.21831E-07,4.11868E-05,4.11868E-05,4.11868E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALMontgomery County,0.000114607,9.87546E-05,0.000109,7.71014E-06,7.71014E-08,2.00464E-06,4.54791E-05,4.54791E-05,4.54791E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALMorgan County,0.000332876,0.000266417,0.000301632,7.03025E-06,7.03025E-08,1.82787E-06,5.68979E-05,5.68979E-05,5.68979E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALPerry County,0.000281441,0.00023397,0.000261412,1.21796E-05,1.21796E-07,3.16669E-06,6.64978E-05,6.64978E-05,6.64978E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALPickens County,0.000413849,0.000351787,0.000394344,1.85225E-05,1.85225E-07,4.81585E-06,8.07973E-05,8.07973E-05,8.07973E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALPike County,0.000122818,0.000105502,0.00011797,3.337E-06,3.337E-08,8.6762E-07,5.44006E-05,5.44006E-05,5.44006E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALRandolph County,0.000151008,0.000130162,0.000144978,2.85629E-05,2.85629E-07,7.42635E-06,6.09438E-05,6.09438E-05,6.09438E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALRussell County,0.000123912,0.000107349,0.00011972,8.19592E-06,8.19592E-08,2.13094E-06,6.50948E-05,6.50948E-05,6.50948E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALShelby County,0.00052012,0.000433624,0.000496308,1.70459E-05,1.70459E-07,4.43194E-06,9.50516E-05,9.50516E-05,9.50516E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALSt. Clair County,0.000364837,0.000308379,0.000345537,1.25491E-05,1.25491E-07,3.26277E-06,7.89487E-05,7.89487E-05,7.89487E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALSumter County,0.000366702,0.000312944,0.000350069,2.14443E-05,2.14443E-07,5.57552E-06,6.19525E-05,6.19525E-05,6.19525E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALTalladega County,0.000298573,0.000253918,0.000284403,1.35414E-05,1.35414E-07,3.52078E-06,8.01496E-05,8.01496E-05,8.01496E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALTallapoosa County,0.000173554,0.000147606,0.000165081,1.54814E-05,1.54814E-07,4.02516E-06,3.91017E-05,3.91017E-05,3.91017E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALTuscaloosa County,0.000545849,0.000462446,0.000520394,1.60808E-05,1.60808E-07,4.18101E-06,6.49625E-05,6.49625E-05,6.49625E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALWalker County,0.000492572,0.000415112,0.000469974,1.57672E-05,1.57672E-07,4.09947E-06,7.4251E-05,7.4251E-05,7.4251E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALWashington County,8.37477E-05,6.9059E-05,7.83388E-05,3.29361E-06,3.29361E-08,8.56339E-07,5.70693E-05,5.70693E-05,5.70693E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALWilcox County,0.000111048,9.35204E-05,0.000104526,7.30007E-06,7.30007E-08,1.89802E-06,5.83397E-05,5.83397E-05,5.83397E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALWinston County,0.000425275,0.000353614,0.000400972,1.2612E-05,1.2612E-07,3.27912E-06,4.484E-05,4.484E-05,4.484E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARArkansas County,0.000412543,0.000346515,0.000390461,9.84016E-05,9.84016E-07,2.55844E-05,0.000130382,0.000130382,0.000130382,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARAshley County,0.000420332,0.000350516,0.0003962,6.76418E-05,6.76418E-07,1.75869E-05,0.000206608,0.000206608,0.000206608,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARBaxter County,0.00072857,0.000606643,0.000682965,4.92377E-05,4.92377E-07,1.28018E-05,6.90421E-05,6.90421E-05,6.90421E-05,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARBenton County,0.000306189,0.000241102,0.000273291,0.000177928,1.77928E-06,4.62614E-05,3.09353E-05,3.09353E-05,3.09353E-05,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARBoone County,0.000324859,0.000268767,0.000303335,7.62848E-05,7.62848E-07,1.98341E-05,4.32086E-05,4.32086E-05,4.32086E-05,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARBradley County,0.000533426,0.000437109,0.00049385,3.99948E-05,3.99948E-07,1.03987E-05,0.000190532,0.000190532,0.000190532,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARCalhoun County,0.000634949,0.000530164,0.000597336,2.01066E-05,2.01066E-07,5.22771E-06,0.000162843,0.000162843,0.000162843,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARCarroll County,0.000200579,0.000163544,0.000185536,0.000112168,1.12168E-06,2.91636E-05,3.69917E-05,3.69917E-05,3.69917E-05,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARChicot County,0.00039172,0.000325202,0.000366725,0.000294337,2.94337E-06,7.65277E-05,0.000121677,0.000121677,0.000121677,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARClark County,0.000747428,0.000601353,0.00067691,1.31239E-05,1.31239E-07,3.41222E-06,0.000138857,0.000138857,0.000138857,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARClay County,0.000550957,0.000455019,0.00051427,5.50535E-05,5.50535E-07,1.43139E-05,2.82971E-05,2.82971E-05,2.82971E-05,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARCleburne County,0.001060518,0.000886059,0.0009981,0.000102902,1.02902E-06,2.67545E-05,0.000116637,0.000116637,0.000116637,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARCleveland County,0.000785659,0.000656002,0.000739117,5.039E-05,5.039E-07,1.31014E-05,0.000173094,0.000173094,0.000173094,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARColumbia County,0.000514173,0.000395218,0.000447452,2.59756E-05,2.59756E-07,6.75366E-06,0.000164389,0.000164389,0.000164389,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARConway County,0.000661679,0.000546173,0.000618387,4.01572E-05,4.01572E-07,1.04409E-05,0.000107855,0.000107855,0.000107855,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARCraighead County,0.000521711,0.00043616,0.000493237,3.627E-05,3.627E-07,9.4302E-06,5.72804E-05,5.72804E-05,5.72804E-05,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARCrawford County,0.000176669,0.000143387,0.000162038,0.00013519,1.3519E-06,3.51493E-05,5.52233E-05,5.52233E-05,5.52233E-05,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARCrittenden County,0.000334033,0.000280736,0.000319345,2.45792E-05,2.45792E-07,6.39059E-06,9.34455E-05,9.34455E-05,9.34455E-05,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARCross County,0.000435311,0.00036458,0.000410856,3.35733E-05,3.35733E-07,8.72905E-06,0.000109767,0.000109767,0.000109767,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARDallas County,0.000620955,0.000514668,0.000579967,2.49656E-05,2.49656E-07,6.49105E-06,0.000167575,0.000167575,0.000167575,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARDesha County,0.000387357,0.000327166,0.000367383,0.000151519,1.51519E-06,3.93949E-05,0.000111273,0.000111273,0.000111273,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARDrew County,0.00048308,0.000407746,0.00045887,0.000123598,1.23598E-06,3.21355E-05,0.000217124,0.000217124,0.000217124,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARFaulkner County,0.000879505,0.000716923,0.000807917,4.26221E-05,4.26221E-07,1.10818E-05,0.000126637,0.000126637,0.000126637,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARFranklin County,0.000178205,0.000144193,0.000163442,0.000118306,1.18306E-06,3.07596E-05,6.27424E-05,6.27424E-05,6.27424E-05,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARFulton County,0.000770472,0.000645917,0.000726181,4.8854E-05,4.8854E-07,1.2702E-05,6.77535E-05,6.77535E-05,6.77535E-05,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARGarland County,0.000608115,0.000488132,0.000551382,2.28958E-05,2.28958E-07,5.95292E-06,0.000146576,0.000146576,0.000146576,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARGrant County,0.000788253,0.000656293,0.000736837,3.66615E-05,3.66615E-07,9.532E-06,0.000143516,0.000143516,0.000143516,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
ARGreene County,0.000490196,0.000405429,0.000457746,4.34485E-05,4.34485E-07,1.12966E-05,6.33204E-05,6.33204E-05,6.33204E-05,5.28614E-05,5.28614E-05,5.28614E-05,6.13766E-06,6.13766E-06,6.13766E-06
