Version,Benchmark Class,Item,Value
13,Marine Libs,Att COV,0.216277351
13,Marine Libs,Large COV,0.502001604
13,Marine Libs,Cat COV,1.509445364
13,Marine Libs,Large Loss Threshold,1000000
13,Marine Libs,Decay Factor,0.9
13,Marine Libs,Target NLR,0.7
13,Marine Libs,NML,0.025
13,Marine Libs,LAE,0
13,Marine Libs,RoC,0.15
13,Marine Libs,Variable Expense,0
13,Marine Libs,Fixed Expense,0
13,Marine Libs,Climate Load,0
13,Marine Misc,Gross Net Att ULR,0.403843411
13,Marine Misc,Gross Net Cat ULR,0.043
13,Marine Misc,Total ULR,0.446843411
13,Marine Misc,BP GN Premium,2132101.51
13,Marine Misc,BP NN Premium,2132101.51
13,Marine Misc,Net Premium,2132101.51
13,Marine Misc,Net Expense/ GN Premium,0.140194881
13,Marine Misc,Investment Income /GN Premium,8.51E-02
13,Marine Misc,RI Premium/GN Premium,0
13,Marine Misc,RI Recoveries/ GN Premium,0
13,Marine Misc,Capital Required / GN Premium,0.54088559
13,Marine Misc,Att LR,0.140259723
13,Marine Misc,Large LR,0.215113497
13,Marine Misc,Cat LR,0.302248557
13,Marine Misc,Att COV,0.13610699
13,Marine Misc,Large COV,0.274485343
13,Marine Misc,Cat COV,1.552831084
13,Marine Misc,Large Loss Threshold,1000000
13,Marine Misc,Decay Factor,0.9
13,Marine Misc,Target NLR,0.7
13,Marine Misc,NML,0.025
13,Marine Misc,LAE,0
13,Marine Misc,RoC,0.15
13,Marine Misc,Variable Expense,0
13,Marine Misc,Fixed Expense,0
13,Marine Misc,Climate Load,0
13,Satellite,Gross Net Att ULR,0.681579592
13,Satellite,Gross Net Cat ULR,0.077781102
13,Satellite,Total ULR,0.759360694
13,Satellite,BP GN Premium,24183233.45
13,Satellite,BP NN Premium,24183233.45
13,Satellite,Net Premium,23151910.78
13,Satellite,Net Expense/ GN Premium,0.227065373
13,Satellite,Investment Income /GN Premium,8.14E-02
13,Satellite,RI Premium/GN Premium,4.26E-02
13,Satellite,RI Recoveries/ GN Premium,3.32E-02
13,Satellite,Capital Required / GN Premium,0.851950696
13,Satellite,Att LR,0.133594469
13,Satellite,Large LR,0.160343797
13,Satellite,Cat LR,0.285524633
13,Satellite,Att COV,0.64639543
13,Satellite,Large COV,0.975236298
13,Satellite,Cat COV,1.098529248
13,Satellite,Large Loss Threshold,1000000
13,Satellite,Decay Factor,0.9
13,Satellite,Target NLR,0.7
13,Satellite,NML,0.025
13,Satellite,LAE,0
13,Satellite,RoC,0.15
13,Satellite,Variable Expense,0
13,Satellite,Fixed Expense,0
13,Satellite,Climate Load,0
13,War,Gross Net Att ULR,0.267109421
13,War,Gross Net Cat ULR,0.232890579
13,War,Total ULR,0.5
13,War,BP GN Premium,56508530.22
13,War,BP NN Premium,56508530.22
13,War,Net Premium,48792358.79
13,War,Net Expense/ GN Premium,8.99E-02
13,War,Investment Income /GN Premium,7.34E-02
13,War,RI Premium/GN Premium,0.13654879
13,War,RI Recoveries/ GN Premium,6.44E-02
13,War,Capital Required / GN Premium,1.082852165
13,War,Att LR,6.51E-02
13,War,Large LR,9.64E-02
13,War,Cat LR,0.250132399
13,War,Att COV,0.702422471
13,War,Large COV,1.66902431
13,War,Cat COV,3.316483897
13,War,Large Loss Threshold,1000000
13,War,Decay Factor,0.9
13,War,Target NLR,0.7
13,War,NML,0.025
13,War,LAE,0
13,War,RoC,0.15
13,War,Variable Expense,0
13,War,Fixed Expense,0
13,War,Climate Load,0
13,Contingency,Gross Net Att ULR,0.43238863
13,Contingency,Gross Net Cat ULR,0.11625
13,Contingency,Total ULR,0.54863863
13,Contingency,BP GN Premium,66593972.62
13,Contingency,BP NN Premium,66593972.62
13,Contingency,Net Premium,60036675.4
13,Contingency,Net Expense/ GN Premium,0.235592216
