Limit as proportion of TIV,WS1,EQ1
0.197000,0.923500,0.419000
0.198000,0.924000,0.419800
0.199000,0.924500,0.420500
0.200000,0.925000,0.421300
0.201000,0.925400,0.422000
0.202000,0.925900,0.422700
0.203000,0.926300,0.423400
0.204000,0.926800,0.424200
0.205000,0.927200,0.424900
0.206000,0.927700,0.425600
0.207000,0.928100,0.426300
0.208000,0.928600,0.427100
0.209000,0.929000,0.427800
0.210000,0.929500,0.428500
0.211000,0.929900,0.429200
0.212000,0.930300,0.430000
0.213000,0.930700,0.430700
0.214000,0.931100,0.431400
0.215000,0.931500,0.432100
0.216000,0.931900,0.432900
0.217000,0.932300,0.433600
0.218000,0.932700,0.434300
0.219000,0.933100,0.435000
0.220000,0.933500,0.435800
0.221000,0.933900,0.436500
0.222000,0.934300,0.437200
0.223000,0.934700,0.437900
0.224000,0.935100,0.438700
0.225000,0.935500,0.439400
0.226000,0.935900,0.440100
0.227000,0.936300,0.440800
0.228000,0.936700,0.441600
0.229000,0.937100,0.442300
0.230000,0.937500,0.443000
0.231000,0.937800,0.443700
0.232000,0.938200,0.444500
0.233000,0.938500,0.445200
0.234000,0.938900,0.445900
0.235000,0.939200,0.446600
0.236000,0.939600,0.447300
0.237000,0.939900,0.448100
0.238000,0.940300,0.448800
0.239000,0.940600,0.449500
0.240000,0.941000,0.450200
0.241000,0.941300,0.451000
0.242000,0.941700,0.451700
0.243000,0.942000,0.452400
0.244000,0.942400,0.453100
0.245000,0.942700,0.453900
0.246000,0.943100,0.454600
0.247000,0.943400,0.455300
0.248000,0.943800,0.456000
0.249000,0.944100,0.456800
0.250000,0.944500,0.457500
0.251000,0.944800,0.458200
0.252000,0.945200,0.458900
0.253000,0.945500,0.459600
0.254000,0.945900,0.460400
0.255000,0.946200,0.461100
0.256000,0.946600,0.461800
0.257000,0.946900,0.462500
0.258000,0.947300,0.463200
0.259000,0.947600,0.464000
0.260000,0.948000,0.464700
0.261000,0.948300,0.465400
0.262000,0.948600,0.466100
0.263000,0.948900,0.466800
0.264000,0.949200,0.467600
0.265000,0.949500,0.468300
0.266000,0.949800,0.469000
0.267000,0.950100,0.469700
0.268000,0.950400,0.470500
0.269000,0.950700,0.471200
0.270000,0.951000,0.471900
0.271000,0.951300,0.472600
0.272000,0.951600,0.473300
0.273000,0.951900,0.474100
0.274000,0.952200,0.474800
0.275000,0.952500,0.475500
0.276000,0.952800,0.476200
0.277000,0.953100,0.476900
0.278000,0.953400,0.477700
0.279000,0.953700,0.478400
0.280000,0.954000,0.479100
0.281000,0.954300,0.479800
0.282000,0.954600,0.480500
0.283000,0.954900,0.481300
0.284000,0.955200,0.482000
0.285000,0.955500,0.482700
0.286000,0.955800,0.483400
0.287000,0.956100,0.484200
0.288000,0.956400,0.484900
0.289000,0.956700,0.485600
0.290000,0.957000,0.486300
0.291000,0.957300,0.487000
0.292000,0.957600,0.487800
0.293000,0.957900,0.488500
0.294000,0.958200,0.489200
0.295000,0.958500,0.489900
0.296000,0.958800,0.490700
0.297000,0.959100,0.491400
0.298000,0.959400,0.492100
0.299000,0.959700,0.492800
0.300000,0.960000,0.493500
0.301000,0.960200,0.494300
0.302000,0.960500,0.495000
0.303000,0.960700,0.495700
0.304000,0.961000,0.496400
0.305000,0.961200,0.497100
0.306000,0.961500,0.497900
0.307000,0.961700,0.498600
0.308000,0.962000,0.499300
0.309000,0.962200,0.500000
0.310000,0.962500,0.500700
0.311000,0.962700,0.501500
0.312000,0.963000,0.502200
0.313000,0.963200,0.502900
0.314000,0.963500,0.503600
0.315000,0.963700,0.504400
0.316000,0.964000,0.505100
0.317000,0.964200,0.505800
0.318000,0.964500,0.506500
0.319000,0.964700,0.507200
0.320000,0.965000,0.508000
0.321000,0.965200,0.508700
0.322000,0.965500,0.509400
0.323000,0.965700,0.510100
0.324000,0.966000,0.510900
0.325000,0.966200,0.511600
0.326000,0.966500,0.512300
0.327000,0.966700,0.513000
0.328000,0.967000,0.513700
0.329000,0.967200,0.514500
0.330000,0.967500,0.515200
0.331000,0.967700,0.515900
0.332000,0.968000,0.516600
0.333000,0.968200,0.517400
0.334000,0.968500,0.518100
0.335000,0.968700,0.518800
0.336000,0.969000,0.519500
0.337000,0.969200,0.520200
0.338000,0.969500,0.521000
0.339000,0.969700,0.521700
0.340000,0.970000,0.522400
0.341000,0.970200,0.523100
0.342000,0.970500,0.523900
0.343000,0.970700,0.524600
0.344000,0.971000,0.525300
0.345000,0.971200,0.526000
0.346000,0.971500,0.526700
0.347000,0.971700,0.527500
0.348000,0.972000,0.528200
0.349000,0.972200,0.528900
0.350000,0.972500,0.529600
0.351000,0.972700,0.530400
0.352000,0.972900,0.531100
0.353000,0.973100,0.531800
0.354000,0.973300,0.532500
0.355000,0.973500,0.533300
0.356000,0.973700,0.534000
0.357000,0.973900,0.534700
0.358000,0.974100,0.535400
0.359000,0.974300,0.536100
0.360000,0.974500,0.536900
0.361000,0.974700,0.537600
0.362000,0.974900,0.538300
0.363000,0.975100,0.539000
0.364000,0.975300,0.539800
0.365000,0.975500,0.540500
0.366000,0.975700,0.541200
0.367000,0.975900,0.541900
0.368000,0.976100,0.542700
0.369000,0.976300,0.543400
0.370000,0.976500,0.544100
0.371000,0.976700,0.544800
0.372000,0.976900,0.545500
0.373000,0.977100,0.546300
0.374000,0.977300,0.547000
0.375000,0.977500,0.547700
0.376000,0.977700,0.548400
0.377000,0.977900,0.549200
0.378000,0.978100,0.549900
0.379000,0.978300,0.550600
0.380000,0.978500,0.551300
0.381000,0.978700,0.552100
0.382000,0.978900,0.552800
0.383000,0.979100,0.553500
0.384000,0.979300,0.554200
0.385000,0.979500,0.555000
0.386000,0.979700,0.555700
0.387000,0.979900,0.556400
0.388000,0.980100,0.557100
0.389000,0.980300,0.557900
0.390000,0.980500,0.558600
0.391000,0.980700,0.559300
0.392000,0.980900,0.560000
0.393000,0.981100,0.560700
0.394000,0.981300,0.561500
0.395000,0.981500,0.562200
0.396000,0.981700,0.562900
0.397000,0.981900,0.563600
0.398000,0.982100,0.564400
0.399000,0.982300,0.565100
0.400000,0.982500,0.565800
0.401000,0.982600,0.566500
0.402000,0.982700,0.567300
0.403000,0.982800,0.568000
0.404000,0.982900,0.568700
0.405000,0.983000,0.569400
0.406000,0.983100,0.570200
0.407000,0.983200,0.570900
0.408000,0.983300,0.571600
0.409000,0.983400,0.572300
0.410000,0.983500,0.573100
0.411000,0.983600,0.573800
0.412000,0.983700,0.574500
0.413000,0.983800,0.575200
0.414000,0.983900,0.576000
0.415000,0.984000,0.576700
0.416000,0.984100,0.577400
0.417000,0.984200,0.578100
0.418000,0.984300,0.578900
0.419000,0.984400,0.579600
0.420000,0.984500,0.580300
0.421000,0.984600,0.581000
0.422000,0.984700,0.581700
0.423000,0.984800,0.582500
0.424000,0.984900,0.583200
0.425000,0.985000,0.583900
0.426000,0.985100,0.584600
0.427000,0.985200,0.585400
0.428000,0.985300,0.586100
0.429000,0.985400,0.586800
0.430000,0.985500,0.587500
0.431000,0.985600,0.588300
0.432000,0.985700,0.589000
0.433000,0.985800,0.589700
0.434000,0.985900,0.590400
0.435000,0.986000,0.591200
0.436000,0.986100,0.591900
0.437000,0.986200,0.592600
0.438000,0.986300,0.593300
0.439000,0.986400,0.594100
0.440000,0.986500,0.594800
0.441000,0.986600,0.595500
0.442000,0.986700,0.596200
0.443000,0.986800,0.597000
0.444000,0.986900,0.597700
0.445000,0.987000,0.598400
0.446000,0.987100,0.599100
0.447000,0.987200,0.599900
0.448000,0.987300,0.600600
0.449000,0.987400,0.601300
0.450000,0.987500,0.602000
0.451000,0.987500,0.602800
0.452000,0.987600,0.603500
0.453000,0.987600,0.604200
0.454000,0.987700,0.604900
0.455000,0.987700,0.605600
0.456000,0.987800,0.606400
0.457000,0.987800,0.607100
0.458000,0.987900,0.607800
0.459000,0.987900,0.608500
0.460000,0.988000,0.609300
0.461000,0.988000,0.610000
0.462000,0.988100,0.610700
0.463000,0.988100,0.611400
0.464000,0.988200,0.612200
0.465000,0.988200,0.612900
0.466000,0.988300,0.613600
0.467000,0.988300,0.614300
0.468000,0.988400,0.615100
0.469000,0.988400,0.615800
0.470000,0.988500,0.616500
0.471000,0.988500,0.617200
0.472000,0.988600,0.618000
0.473000,0.988600,0.618700
0.474000,0.988700,0.619400
0.475000,0.988700,0.620100
0.476000,0.988800,0.620900
0.477000,0.988800,0.621600
0.478000,0.988900,0.622300
0.479000,0.989000,0.623000
0.480000,0.989000,0.623800
0.481000,0.989100,0.624500
0.482000,0.989100,0.625200
0.483000,0.989100,0.625900
0.484000,0.989200,0.626700
0.485000,0.989200,0.627400
0.486000,0.989300,0.628100
0.487000,0.989300,0.628800
0.488000,0.989400,0.629500
0.489000,0.989400,0.630300
0.490000,0.989500,0.631000
0.491000,0.989500,0.631700
0.492000,0.989600,0.632400
0.493000,0.989600,0.633200
0.494000,0.989700,0.633900
0.495000,0.989700,0.634600
0.496000,0.989800,0.635300
0.497000,0.989800,0.636100
0.498000,0.989900,0.636800
