StateCounty,FL,WF,TN,HA
CASan Diego County,2.75879396984926,12.81030150753770,1.00000000000000,1.00000000000000
CASan Francisco County,3.11267605633803,1.00000000000000,1.00000000000000,1.00000000000000
CASan Joaquin County,3.61159420289855,10.59782608695650,1.00000000000000,1.00000000000000
CASan Luis Obispo County,2.87407407407408,4.79166666666667,1.00000000000000,1.00000000000000
CASan Mateo County,4.84523809523809,1.07142857142857,1.00000000000000,1.00000000000000
CASanta Barbara County,2.62370370370370,13.87222222222220,1.00000000000000,1.00000000000000
CASanta Clara County,5.45378151260505,5.13445378151261,1.00000000000000,1.00000000000000
CASanta Cruz County,3.18095238095238,9.98809523809524,1.00000000000000,1.00000000000000
CAShasta County,4.24166666666667,12.66406250000000,1.00000000000000,1.00000000000000
CASierra County,6.17777777777778,3.11111111111111,1.00000000000000,1.00000000000000
CASiskiyou County,7.45333333333334,7.43000000000000,1.00000000000000,1.00000000000000
CASolano County,2.91666666666667,2.79687500000000,1.00000000000000,1.00000000000000
CASonoma County,5.26013071895425,2.06372549019608,1.00000000000000,1.00000000000000
CAStanislaus County,2.63111111111111,7.89166666666667,1.00000000000000,1.00000000000000
CASutter County,4.46666666666667,18.87500000000000,1.00000000000000,1.00000000000000
CATehama County,3.17948717948718,10.00000000000000,1.00000000000000,1.00000000000000
CATrinity County,3.92156862745098,14.29411764705880,1.00000000000000,1.00000000000000
CATulare County,2.90317460317460,5.91666666666667,1.00000000000000,1.00000000000000
CATuolumne County,5.09019607843137,12.36764705882350,1.00000000000000,1.00000000000000
CAVentura County,4.17692307692308,17.12500000000000,1.00000000000000,1.00000000000000
CAYolo County,5.03492063492063,12.89285714285710,1.00000000000000,1.00000000000000
CAYuba County,2.69047619047619,11.91071428571430,1.00000000000000,1.00000000000000
COAdams County,1.17500000000000,3.86458333333333,1.00000000000000,1.00000000000000
COAlamosa County,3.33333333333333,7.37500000000000,1.00000000000000,1.00000000000000
COArapahoe County,1.94583333333333,1.00000000000000,1.00000000000000,1.00000000000000
COArchuleta County,7.84000000000000,4.80000000000000,1.00000000000000,1.00000000000000
COBaca County,2.42222222222222,1.00000000000000,1.00000000000000,1.00000000000000
COBent County,1.38333333333333,6.68750000000000,1.00000000000000,1.00000000000000
COBoulder County,3.10833333333333,9.14843749999999,1.00000000000000,1.00000000000000
COBroomfield County,2.55555555555556,3.25000000000000,1.00000000000000,1.00000000000000
COChaffee County,5.66666666666667,1.00000000000000,1.00000000000000,1.00000000000000
COCheyenne County,1.00000000000000,3.12500000000000,1.00000000000000,1.00000000000000
COClear Creek County,1.30666666666667,1.00000000000000,1.00000000000000,1.00000000000000
COConejos County,3.60952380952381,6.14285714285714,1.00000000000000,1.00000000000000
COCostilla County,1.24166666666667,2.78125000000000,1.00000000000000,1.00000000000000
COCrowley County,0.92000000000000,1.40000000000000,1.00000000000000,1.00000000000000
COCuster County,6.17777777777778,5.08333333333333,1.00000000000000,1.00000000000000
CODelta County,5.01481481481482,1.44444444444444,1.00000000000000,1.00000000000000
CODenver County,2.34777777777778,1.55000000000000,1.00000000000000,1.00000000000000
CODolores County,0.60000000000000,1.33333333333333,1.00000000000000,1.00000000000000
CODouglas County,1.30666666666667,1.13333333333333,1.00000000000000,1.00000000000000
COEagle County,10.27179487179490,1.00000000000000,1.00000000000000,1.00000000000000
COEl Paso County,1.48638497652582,5.91197183098592,1.00000000000000,1.00000000000000
COElbert County,1.71111111111111,1.00000000000000,1.00000000000000,1.00000000000000
COFremont County,4.25641025641026,2.61538461538462,1.00000000000000,1.00000000000000
