State,CA_TN Buildings,CA_TN Contents,CA_TN BI,CA_HA Buildings,CA_HA Contents,CA_HA BI,CA_WS Rate All,CA_FL Rate,CA_WF Rate,CA_FL Rel,CA_WF Rel,CA_TN Rel,CA_HA Rel
YORKSHIRE AND HUMBERSIDENA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
SCOTLANDNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
WALESNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
AUCKLANDNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
TARANAKINA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
HAWKE'S BAYNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
WELLINGTONNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
NELSONNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
CANTERBURYNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
OTAGONA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
NORTHLAND REGIONNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
WAIKATONA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
