State Code,Occ.0,Occ.1,Occ.2,Occ.3,Occ.4,Occ.5,Occ.6,Occ.7,Occ.8,Occ.9,Occ.10,Occ.11,Occ.12,Occ.13,Occ.14,Occ.15,Occ.16,Occ.17,Occ.18,Occ.19,Occ.20,Occ.21,Occ.22,Occ.23,Occ.24,Occ.25,Occ.26,Occ.27,Occ.28,Occ.29,Occ.30,Occ.31,Occ.32,Occ.33,Occ.34,Occ.35,Occ.36,Occ.37,Occ.38,Occ.39,Occ.40,Occ.41,Occ.42,Occ.43,Occ.44,Occ.47,Occ.48,Occ.49,Occ.50,Occ.51,Occ.52,Occ.53,Occ.54
MD,0.7228724823,0.6600453060,1.1580101277,1.1948633182,1.1580101277,0.0416526599,0.0416526599,-0.1666778722,-0.1666778722,-0.1666778722,0.0416526599,-0.8845267581,-0.1634992030,-0.1634992030,-0.1634992030,-0.1634992030,-0.1634992030,-0.1634992030,-0.1634992030,-0.1634992030,5.6622062211,-0.1634992030,1.3631797012,-0.1666778722,-0.1666778722,-0.4032564973,-0.1634992030,-0.1634992030,-0.1634992030,-0.1634992030,-0.1634992030,-0.1634992030,-0.1634992030,-0.1634992030,-0.1634992030,-0.2889693496,-0.1634992030,0.0000000000,-0.1634992030,0.9964170892,0.9964170892,0.9964170892,1.2779151884,1.0381354779,2.2424318419,1.5241035973,0.0416526599,-0.1666778722,-0.1666778722,1.1948633182,1.1948633182,0.0000000000,-0.1666778722
ME,0.8713846173,0.7971335817,1.2998353187,1.1948412371,1.2998353187,0.0416458030,0.0416458030,-0.1666833636,-0.1666833636,-0.1666833636,0.0416458030,-0.8978582157,-0.2384199603,-0.2384199603,-0.2384199603,-0.2384199603,-0.2384199603,-0.2384199603,-0.2384199603,-0.2384199603,5.5360806621,-0.2384199603,1.2594564568,-0.1666833636,-0.1666833636,-0.4734918493,-0.2384199603,-0.2384199603,-0.2384199603,-0.2384199603,-0.2384199603,-0.2384199603,-0.2384199603,-0.2384199603,-0.2384199603,-0.3526495070,-0.2384199603,0.0000000000,-0.2384199603,1.1631897981,1.1631897981,1.1631897981,1.4276282950,1.1720906459,2.2424088036,1.5240828473,0.0416458030,-0.1666833636,-0.1666833636,1.1948412371,1.1948412371,0.0000000000,-0.1666833636
MI,0.9997313146,0.9599584386,1.5270485473,1.4875898004,1.5270485473,0.0416660797,0.0416660797,-0.1666604316,-0.1666604316,-0.1666604316,0.0416660797,-0.8767580588,-0.0948447101,-0.0948447101,-0.0948447101,-0.0948447101,-0.0948447101,-0.0948447101,-0.0948447101,-0.0948447101,6.4518314534,-0.0948447101,1.6189499906,-0.1666604316,-0.1666604316,-0.3639064549,-0.0948447101,-0.0948447101,-0.0948447101,-0.0948447101,-0.0948447101,-0.0948447101,-0.0948447101,-0.0948447101,-0.0948447101,-0.2306104729,-0.0948447101,0.0000000000,-0.0948447101,1.3563293457,1.3563293457,1.3563293457,1.6674401603,1.3866570118,2.6748588534,1.8607405034,0.0416660797,-0.1666604316,-0.1666604316,1.4875898004,1.4875898004,0.0000000000,-0.1666604316
MN,1.0544445589,1.1777277556,1.8522170538,1.9850921322,1.8522170538,0.0416671485,0.0416671485,-0.1666624324,-0.1666624324,-0.1666624324,0.0416671485,-0.8351741852,0.1813827921,0.1813827921,0.1813827921,0.1813827921,0.1813827921,0.1813827921,0.1813827921,0.1813827921,8.0623711742,0.1813827921,2.2745031666,-0.1666624324,-0.1666624324,-0.1474441687,0.1813827921,0.1813827921,0.1813827921,0.1813827921,0.1813827921,0.1813827921,0.1813827921,0.1813827921,0.1813827921,0.0041600138,0.1813827921,0.0000000000,0.1813827921,1.6161462660,1.6161462660,1.6161462660,2.0106687957,1.6937438583,3.4098004899,2.4328742913,0.0416671485,-0.1666624324,-0.1666624324,1.9850921322,1.9850921322,0.0000000000,-0.1666624324
MO,0.7564777701,0.7872248814,1.3483390362,1.4875785997,1.3483390362,0.0416673513,0.0416673513,-0.1666628121,-0.1666628121,-0.1666628121,0.0416673513,-0.8599689329,-0.0004699563,-0.0004699563,-0.0004699563,-0.0004699563,-0.0004699563,-0.0004699563,-0.0004699563,-0.0004699563,6.6106294243,-0.0004699563,1.7495873149,-0.1666628121,-0.1666628121,-0.2754255150,-0.0004699563,-0.0004699563,-0.0004699563,-0.0004699563,-0.0004699563,-0.0004699563,-0.0004699563,-0.0004699563,-0.0004699563,-0.1503947671,-0.0004699563,0.0000000000,-0.0004699563,1.1467832515,1.1467832515,1.1467832515,1.4788023942,1.2178758082,2.6748376942,1.8607220260,0.0416673513,-0.1666628121,-0.1666628121,1.4875785997,1.4875785997,0.0000000000,-0.1666628121
MS,0.7245859815,0.6867592751,1.2111200001,1.3217334114,1.2111200001,0.0416593019,0.0416593019,-0.1666620556,-0.1666620556,-0.1666620556,0.0416593019,-0.8711214607,-0.0773149911,-0.0773149911,-0.0773149911,-0.0773149911,-0.0773149911,-0.0773149911,-0.0773149911,-0.0773149911,6.0993622091,-0.0773149911,1.5521266500,-0.1666620556,-0.1666620556,-0.3333249588,-0.0773149911,-0.0773149911,-0.0773149911,-0.0773149911,-0.0773149911,-0.0773149911,-0.0773149911,-0.0773149911,-0.0773149911,-0.2157394800,-0.0773149911,0.0000000000,-0.0773149911,1.0274372671,1.0274372671,1.0274372671,1.3339552997,1.0882598320,2.4298158607,1.6699824516,0.0416593019,-0.1666620556,-0.1666620556,1.3217334114,1.3217334114,0.0000000000,-0.1666620556
MT,0.9959669274,1.0100497426,1.6621479625,1.9024524805,1.6621479625,0.0416678212,0.0416678212,-0.1666636918,-0.1666636918,-0.1666636918,0.0416678212,-0.8292982783,0.2073506902,0.2073506902,0.2073506902,0.2073506902,0.2073506902,0.2073506902,0.2073506902,0.2073506902,7.9157643512,0.2073506902,2.2650779042,-0.1666636918,-0.1666636918,-0.1160365963,0.2073506902,0.2073506902,0.2073506902,0.2073506902,0.2073506902,0.2073506902,0.2073506902,0.2073506902,0.2073506902,0.0262428559,0.2073506902,0.0000000000,0.2073506902,1.4148409432,1.4148409432,1.4148409432,1.8100406042,1.5142431108,3.2877172150,2.3378302221,0.0416678212,-0.1666636918,-0.1666636918,1.9024524805,1.9024524805,0.0000000000,-0.1666636918
NC,0.7261526800,0.6159693941,1.0998318781,1.1321878900,1.0998318781,0.0416765373,0.0416765373,-0.1666662791,-0.1666662791,-0.1666662791,0.0416765373,-0.8881520781,-0.1892140488,-0.1892140488,-0.1892140488,-0.1892140488,-0.1892140488,-0.1892140488,-0.1892140488,-0.1892140488,5.4745346792,-0.1892140488,1.2931410613,-0.1666662791,-0.1666662791,-0.4220250467,-0.1892140488,-0.1892140488,-0.1892140488,-0.1892140488,-0.1892140488,-0.1892140488,-0.1892140488,-0.1892140488,-0.1892140488,-0.3108271233,-0.1892140488,0.0000000000,-0.1892140488,0.9411426281,0.9411426281,0.9411426281,1.2164647122,0.9831589917,2.1497984378,1.4519901368,0.0416765373,-0.1666662791,-0.1666662791,1.1321878900,1.1321878900,0.0000000000,-0.1666662791
ND,1.0921622138,1.0848360235,1.7561087483,1.9850875424,1.7561087483,0.0416677184,0.0416677184,-0.1666634992,-0.1666634992,-0.1666634992,0.0416677184,-0.8261451452,0.2321321996,0.2321321996,0.2321321996,0.2321321996,0.2321321996,0.2321321996,0.2321321996,0.2321321996,8.1477664145,0.2321321996,2.3447566116,-0.1666634992,-0.1666634992,-0.0998613629,0.2321321996,0.2321321996,0.2321321996,0.2321321996,0.2321321996,0.2321321996,0.2321321996,0.2321321996,0.2321321996,0.0473019764,0.2321321996,0.0000000000,0.2321321996,1.5041965045,1.5041965045,1.5041965045,1.9092227193,1.6029804888,3.4097919194,2.4328629618,0.0416677184,-0.1666634992,-0.1666634992,1.9850875424,1.9850875424,0.0000000000,-0.1666634992
NE,1.0611006478,1.0820002550,1.7531747853,1.9850874023,1.7531747853,0.0416677358,0.0416677358,-0.1666635318,-0.1666635318,-0.1666635318,0.0416677358,-0.8258695096,0.2336814609,0.2336814609,0.2336814609,0.2336814609,0.2336814609,0.2336814609,0.2336814609,0.2336814609,8.1503733325,0.2336814609,2.3469012858,-0.1666635318,-0.1666635318,-0.0984087706,0.2336814609,0.2336814609,0.2336814609,0.2336814609,0.2336814609,0.2336814609,0.2336814609,0.2336814609,0.2336814609,0.0486190002,0.2336814609,0.0000000000,0.2336814609,1.5008968850,1.5008968850,1.5008968850,1.9061258067,1.6002096943,3.4097916578,2.4328626159,0.0416677358,-0.1666635318,-0.1666635318,1.9850874023,1.9850874023,0.0000000000,-0.1666635318
