State,State Code,County,Lookup,AOP,WS,EQ,FL,Wildfire,PAF,Equipment Breakdown
Alabama,AL,Marengo County,ALMarengo County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Marion County,ALMarion County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Marshall County,ALMarshall County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Mobile County,ALMobile County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Monroe County,ALMonroe County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Montgomery County,ALMontgomery County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Morgan County,ALMorgan County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Perry County,ALPerry County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Pickens County,ALPickens County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Pike County,ALPike County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Randolph County,ALRandolph County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Russell County,ALRussell County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Shelby County,ALShelby County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,St. Clair County,ALSt. Clair County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Sumter County,ALSumter County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Talladega County,ALTalladega County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Tallapoosa County,ALTallapoosa County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Tuscaloosa County,ALTuscaloosa County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Walker County,ALWalker County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Washington County,ALWashington County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Wilcox County,ALWilcox County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Winston County,ALWinston County,Include,Include,Include,Include,Include,Include,Include
Alaska,AK,Aleutians East Borough,AKAleutians East Borough,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Aleutians West Census Area,AKAleutians West Census Area,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,"Anchorage, Municipality of","AKAnchorage, Municipality of",Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Bethel Census Area,AKBethel Census Area,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Bristol Bay Borough,AKBristol Bay Borough,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Denali Borough,AKDenali Borough,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Dillingham Census Area,AKDillingham Census Area,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Fairbanks Excluderth Star Borough,AKFairbanks Excluderth Star Borough,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Haines Borough,AKHaines Borough,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Hoonah-Angoon Census Area,AKHoonah-Angoon Census Area,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,"Juneau, City and Borough","AKJuneau, City and Borough",Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Kenai Peninsula Borough,AKKenai Peninsula Borough,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Ketchikan Gateway Borough,AKKetchikan Gateway Borough,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Kodiak Island Borough,AKKodiak Island Borough,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Lake and Peninsula Borough,AKLake and Peninsula Borough,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Matanuska-Susitna Borough,AKMatanuska-Susitna Borough,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Excludeme Census Area,AKExcludeme Census Area,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Excluderth Slope Borough,AKExcluderth Slope Borough,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Excluderthwest Arctic Borough,AKExcluderthwest Arctic Borough,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Petersburg Census Area,AKPetersburg Census Area,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Prince of Wales-Hyder Census Area,AKPrince of Wales-Hyder Census Area,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,"Sitka, City and Borough of","AKSitka, City and Borough of",Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,"Skagway Borough, Municipality of","AKSkagway Borough, Municipality of",Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Southeast Fairbanks Census Area,AKSoutheast Fairbanks Census Area,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Valdez-Cordova Census Area,AKValdez-Cordova Census Area,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Wade Hampton Census Area,AKWade Hampton Census Area,Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,"Wrangell, City and Borough of","AKWrangell, City and Borough of",Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,"Yakutat, City and Borough of","AKYakutat, City and Borough of",Exclude,Include,Include,Include,Include,Include,Include
Alaska,AK,Yukon-Koyukuk Census Area,AKYukon-Koyukuk Census Area,Exclude,Include,Include,Include,Include,Include,Include
Arizona,AZ,Apache County,AZApache County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,Cochise County,AZCochise County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,CoconiExclude County,AZCoconiExclude County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,Gila County,AZGila County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,Graham County,AZGraham County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,Greenlee County,AZGreenlee County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,La Paz County,AZLa Paz County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,Maricopa County,AZMaricopa County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,Mohave County,AZMohave County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,Navajo County,AZNavajo County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,Pima County,AZPima County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,Pinal County,AZPinal County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,Santa Cruz County,AZSanta Cruz County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,Yavapai County,AZYavapai County,Include,Include,Include,Include,Include,Include,Include
Arizona,AZ,Yuma County,AZYuma County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Arkansas County,ARArkansas County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Ashley County,ARAshley County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Baxter County,ARBaxter County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Benton County,ARBenton County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Boone County,ARBoone County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Bradley County,ARBradley County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Calhoun County,ARCalhoun County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Carroll County,ARCarroll County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Chicot County,ARChicot County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Clark County,ARClark County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Clay County,ARClay County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Cleburne County,ARCleburne County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Cleveland County,ARCleveland County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Columbia County,ARColumbia County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Conway County,ARConway County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Craighead County,ARCraighead County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Crawford County,ARCrawford County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Crittenden County,ARCrittenden County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Cross County,ARCross County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Dallas County,ARDallas County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Desha County,ARDesha County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Drew County,ARDrew County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Faulkner County,ARFaulkner County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Franklin County,ARFranklin County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Fulton County,ARFulton County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Garland County,ARGarland County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Grant County,ARGrant County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Greene County,ARGreene County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Hempstead County,ARHempstead County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Hot Spring County,ARHot Spring County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Howard County,ARHoward County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Independence County,ARIndependence County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Izard County,ARIzard County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Jackson County,ARJackson County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Jefferson County,ARJefferson County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Johnson County,ARJohnson County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Lafayette County,ARLafayette County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Lawrence County,ARLawrence County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Lee County,ARLee County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Lincoln County,ARLincoln County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Little River County,ARLittle River County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Logan County,ARLogan County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,LoExcludeke County,ARLoExcludeke County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Madison County,ARMadison County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Marion County,ARMarion County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Miller County,ARMiller County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Mississippi County,ARMississippi County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Monroe County,ARMonroe County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Montgomery County,ARMontgomery County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Nevada County,ARNevada County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Newton County,ARNewton County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Ouachita County,AROuachita County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Perry County,ARPerry County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Phillips County,ARPhillips County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Pike County,ARPike County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Poinsett County,ARPoinsett County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Polk County,ARPolk County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Pope County,ARPope County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Prairie County,ARPrairie County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Pulaski County,ARPulaski County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Randolph County,ARRandolph County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Saline County,ARSaline County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Scott County,ARScott County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Searcy County,ARSearcy County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Sebastian County,ARSebastian County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Sevier County,ARSevier County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Sharp County,ARSharp County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,St. Francis County,ARSt. Francis County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Stone County,ARStone County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Union County,ARUnion County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Van Buren County,ARVan Buren County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Washington County,ARWashington County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,White County,ARWhite County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Woodruff County,ARWoodruff County,Include,Include,Include,Include,Include,Include,Include
Arkansas,AR,Yell County,ARYell County,Include,Include,Include,Include,Include,Include,Include
California,CA,Alameda County,CAAlameda County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Alpine County,CAAlpine County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Amador County,CAAmador County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Butte County,CAButte County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Calaveras County,CACalaveras County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Colusa County,CAColusa County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Contra Costa County,CAContra Costa County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Del Excluderte County,CADel Excluderte County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,El Dorado County,CAEl Dorado County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,FresExclude County,CAFresExclude County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Glenn County,CAGlenn County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Humboldt County,CAHumboldt County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Imperial County,CAImperial County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Inyo County,CAInyo County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Kern County,CAKern County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Kings County,CAKings County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Lake County,CALake County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Lassen County,CALassen County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Los Angeles County,CALos Angeles County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Madera County,CAMadera County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Marin County,CAMarin County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Mariposa County,CAMariposa County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,MendociExclude County,CAMendociExclude County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Merced County,CAMerced County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Modoc County,CAModoc County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,MoExclude County,CAMoExclude County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Monterey County,CAMonterey County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Napa County,CANapa County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Nevada County,CANevada County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Orange County,CAOrange County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Placer County,CAPlacer County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Plumas County,CAPlumas County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Riverside County,CARiverside County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Sacramento County,CASacramento County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,San Benito County,CASan Benito County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,San BernardiExclude County,CASan BernardiExclude County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,San Diego County,CASan Diego County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,"San Francisco, City and County of","CASan Francisco, City and County of",Exclude,Include,Include,Include,Include,Include,Include
California,CA,San Joaquin County,CASan Joaquin County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,San Luis Obispo County,CASan Luis Obispo County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,San Mateo County,CASan Mateo County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Santa Barbara County,CASanta Barbara County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Santa Clara County,CASanta Clara County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Santa Cruz County,CASanta Cruz County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Shasta County,CAShasta County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Sierra County,CASierra County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Siskiyou County,CASiskiyou County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,SolaExclude County,CASolaExclude County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,SoExcludema County,CASoExcludema County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Stanislaus County,CAStanislaus County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Sutter County,CASutter County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Tehama County,CATehama County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Trinity County,CATrinity County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Tulare County,CATulare County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Tuolumne County,CATuolumne County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Ventura County,CAVentura County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Yolo County,CAYolo County,Exclude,Include,Include,Include,Include,Include,Include
California,CA,Yuba County,CAYuba County,Exclude,Include,Include,Include,Include,Include,Include
Colorado,CO,Adams County,COAdams County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Alamosa County,COAlamosa County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Arapahoe County,COArapahoe County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Archuleta County,COArchuleta County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Baca County,COBaca County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Bent County,COBent County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Boulder County,COBoulder County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Broomfield County,COBroomfield County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,"Broomfield, City and County of","COBroomfield, City and County of",Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Chaffee County,COChaffee County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Cheyenne County,COCheyenne County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Clear Creek County,COClear Creek County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Conejos County,COConejos County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Costilla County,COCostilla County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Crowley County,COCrowley County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Custer County,COCuster County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Delta County,CODelta County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Denver County,CODenver County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,"Denver, City and County of","CODenver, City and County of",Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Dolores County,CODolores County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Douglas County,CODouglas County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Eagle County,COEagle County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,El Paso County,COEl Paso County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Elbert County,COElbert County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Fremont County,COFremont County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Garfield County,COGarfield County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Gilpin County,COGilpin County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Grand County,COGrand County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Gunnison County,COGunnison County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Hinsdale County,COHinsdale County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,HuerfaExclude County,COHuerfaExclude County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Jackson County,COJackson County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Jefferson County,COJefferson County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Kiowa County,COKiowa County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Kit Carson County,COKit Carson County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,La Plata County,COLa Plata County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Lake County,COLake County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Larimer County,COLarimer County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Las Animas County,COLas Animas County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Lincoln County,COLincoln County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Logan County,COLogan County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Mesa County,COMesa County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Mineral County,COMineral County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Moffat County,COMoffat County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Montezuma County,COMontezuma County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Montrose County,COMontrose County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Morgan County,COMorgan County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Otero County,COOtero County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Ouray County,COOuray County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Park County,COPark County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Phillips County,COPhillips County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Pitkin County,COPitkin County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Prowers County,COProwers County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Pueblo County,COPueblo County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Rio Blanco County,CORio Blanco County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Rio Grande County,CORio Grande County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Routt County,CORoutt County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Saguache County,COSaguache County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,San Juan County,COSan Juan County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,San Miguel County,COSan Miguel County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Sedgwick County,COSedgwick County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Summit County,COSummit County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Teller County,COTeller County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Washington County,COWashington County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Weld County,COWeld County,Include,Include,Include,Include,Include,Include,Include
Colorado,CO,Yuma County,COYuma County,Include,Include,Include,Include,Include,Include,Include
Connecticut,CT,Fairfield County,CTFairfield County,Include,Include,Include,Include,Include,Include,Include
Connecticut,CT,Hartford County,CTHartford County,Include,Include,Include,Include,Include,Include,Include
Connecticut,CT,Litchfield County,CTLitchfield County,Include,Include,Include,Include,Include,Include,Include
Connecticut,CT,Middlesex County,CTMiddlesex County,Include,Include,Include,Include,Include,Include,Include
