Lookup code,Values,AOP,WS,EQ,Excess FL,Equipment breakdown,PAF,Wildfire
0.096,-999,0.4538,0.17900000000000005,0.6718,0.4538,-999,-999,0.4538
0.097,-999,0.45189999999999997,0.17679999999999996,0.6704,0.45189999999999997,-999,-999,0.45189999999999997
0.098,-999,0.44999999999999996,0.1745,0.669,0.44999999999999996,-999,-999,0.44999999999999996
0.099,-999,0.44820000000000004,0.1723,0.6677,0.44820000000000004,-999,-999,0.44820000000000004
0.1,-999,0.44630000000000003,0.17000000000000004,0.6663,0.44630000000000003,-999,-999,0.44630000000000003
0.101,-999,0.4445,0.16849999999999998,0.6652,0.4445,-999,-999,0.4445
0.102,-999,0.4427,0.16700000000000004,0.6639999999999999,0.4427,-999,-999,0.4427
0.103,-999,0.44089999999999996,0.16549999999999998,0.6629,0.44089999999999996,-999,-999,0.44089999999999996
0.104,-999,0.43910000000000005,0.16400000000000003,0.6617999999999999,0.43910000000000005,-999,-999,0.43910000000000005
0.105,-999,0.4373,0.16249999999999998,0.6606000000000001,0.4373,-999,-999,0.4373
0.106,-999,0.4356,0.16100000000000003,0.6595,0.4356,-999,-999,0.4356
0.107,-999,0.43379999999999996,0.15949999999999998,0.6584,0.43379999999999996,-999,-999,0.43379999999999996
0.108,-999,0.43210000000000004,0.15800000000000003,0.6572,0.43210000000000004,-999,-999,0.43210000000000004
0.109,-999,0.4304,0.15649999999999997,0.6561,0.4304,-999,-999,0.4304
0.11,-999,0.42869999999999997,0.15500000000000003,0.655,0.42869999999999997,-999,-999,0.42869999999999997
0.111,-999,0.42700000000000005,0.15380000000000005,0.6538999999999999,0.42700000000000005,-999,-999,0.42700000000000005
0.112,-999,0.4254,0.15249999999999997,0.6528,0.4254,-999,-999,0.4254
0.113,-999,0.42369999999999997,0.1513,0.6517,0.42369999999999997,-999,-999,0.42369999999999997
0.114,-999,0.42210000000000003,0.15000000000000002,0.6506000000000001,0.42210000000000003,-999,-999,0.42210000000000003
0.115,-999,0.4205,0.14880000000000004,0.6495,0.4205,-999,-999,0.4205
0.116,-999,0.41890000000000005,0.14749999999999996,0.6484,0.41890000000000005,-999,-999,0.41890000000000005
0.117,-999,0.4173,0.14629999999999999,0.6473,0.4173,-999,-999,0.4173
0.118,-999,0.41569999999999996,0.14500000000000002,0.6462,0.41569999999999996,-999,-999,0.41569999999999996
0.119,-999,0.4141,0.14380000000000004,0.6451,0.4141,-999,-999,0.4141
0.12,-999,0.4125,0.14249999999999996,0.644,0.4125,-999,-999,0.4125
0.121,-999,0.41100000000000003,0.14139999999999997,0.6431,0.41100000000000003,-999,-999,0.41100000000000003
