type,region,country,1000000,3000000,5000000,10000000,20000000,50000000,100000000,>100m
Static Art,North America,Belize,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Benin,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Bermuda,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Bhutan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Bolivia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,"Bonaire, Sint Eustatius and Saba",0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Bosnia and Herzegovina,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Botswana,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Antarctica,Bouvet Island (Bouvetoya),0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Brazil,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,British Indian Ocean Territory (Chagos Archipelago),0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,British Virgin Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Brunei,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Bulgaria,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Burkina Faso,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Burundi,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Cambodia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Cameroon,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Canada,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Cape Verde,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Cayman Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Central African Republic,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Chad,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Chile,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,China,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Christmas Island,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Cocos (Keeling) Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Colombia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Comoros,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Congo,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Congo the,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Cook Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Costa Rica,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Cote d'Ivoire,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Croatia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Cuba,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Curacao,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Cyprus,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Czech Republic,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Denmark,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Disputed Territory,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Djibouti,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Dominica,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Dominican Republic,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Ecuador,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Egypt,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,El Salvador,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Equatorial Guinea,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Eritrea,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Estonia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Ethiopia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Falkland Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Faroe Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Fiji,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Finland,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,France,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,French Guiana,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,French Polynesia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Antarctica,French Southern Territories,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Gabon,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Gambia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Georgia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Germany,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Ghana,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Gibraltar,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Greece,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Greenland,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Grenada,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Guadeloupe,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Guam,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Guatemala,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Guernsey,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Guinea,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Guinea-Bissau,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Guyana,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Haiti,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Antarctica,Heard Island and McDonald Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Vatican City,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Honduras,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Hong Kong,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Hungary,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Iceland,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,India,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Indonesia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Iran,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Iraq,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Iraq-Saudi Arabia Neutral Zone,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Ireland,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Isle of Man,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Israel,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Italy,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Jamaica,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Japan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Jersey,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Jordan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Kazakhstan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Kenya,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Kiribati,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Korea,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Kuwait,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Kyrgyz Republic,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Laos,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Latvia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Lebanon,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Lesotho,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Liberia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Libya,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Liechtenstein,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Lithuania,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Luxembourg,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Macao,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Macedonia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Madagascar,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Malawi,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Malaysia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Maldives,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Mali,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Malta,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Marshall Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Martinique,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Mauritania,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Mauritius,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Mayotte,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Mexico,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Micronesia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Moldova,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Monaco,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Mongolia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Montenegro,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Montserrat,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Morocco,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Mozambique,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Myanmar,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Namibia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Nauru,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Nepal,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Netherlands Antilles,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Netherlands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,New Caledonia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,New Zealand,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Nicaragua,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Niger,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Nigeria,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Niue,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Norfolk Island,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Northern Mariana Islands the,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Norway,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Oman,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Pakistan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Palau,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,"Palestinian Territory, Occupied",0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Panama,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Papua New Guinea,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Paraguay,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Peru,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Philippines,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Pitcairn Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Poland,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Portugal,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Puerto Rico,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Qatar,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Reunion,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Romania,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Russia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Rwanda,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Saint Barthelemy,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Saint Helena,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Saint Kitts and Nevis,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Saint Lucia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Saint Martin,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Saint Pierre and Miquelon,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Saint Vincent and the Grenadines,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,"Samoa, Independent State of",0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,San Marino,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Sao Tome and Principe,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Saudi Arabia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Senegal,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Serbia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Seychelles,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Sierra Leone,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Singapore,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Sint Maarten (Netherlands),0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Slovakia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Slovenia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Solomon Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Slomalia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,South Africa,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Antarctica,South Georgia and the South Sandwich Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,South Sudan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Spain,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Spratly Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Sri Lanka,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Sudan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Suriname,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Svalbard & Jan Mayen Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Swaziland,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Sweden,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Switzerland,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Syria,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Taiwan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Tajikistan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Tanzania,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Thailand,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Timor-Leste,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Togo,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Tokelau,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Tonga,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Trinidad and Tobago,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Tunisia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Turkey,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Turkmenistan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Turks and Caicos Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Tuvalu,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Uganda,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Ukraine,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,UAE,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,UK,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,United Nations Neutral Zone,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,United States Minor Outlying Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,USA,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,United States Virgin Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Uruguay,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Uzbekistan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Vanuatu,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Venezuela,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Vietnam,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Wallis and Futuna,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Western Sahara,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Yemen,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Zambia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Zimbabwe,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
