PolicyReference,SectionReference,YOA,CoverageName,TriFocusName,Division,RateChangeDivisor,SettlementCurrency,WrittenOrEstimatPrem,TotalIncurred,RateChangeReformat,WEPOnLevel,Index,TotalWrittenIfNotSignedMultiplier,TotalWEP
B0952F93,B0952F93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,23315.9356,17764.2316,1,23315.9356,B0952FANFM,0.11407,204400.242
F7867F93,F7867F93ANFR,1993,Fine Art,Fine Art and Specie,Property Risks,0,GBP,1073.5831,0,1,1073.5831,F7867FANFR,0.07299,14708.63269
L0668X93,L0668X93ANFR,1993,Fine Art,Fine Art and Specie,Property Risks,0,GBP,15363.2136,3589.4263,1,15363.2136,L0668XANFR,0.123967,123929.8652
B0959D93,B0959D93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,31012.3544,47039.3043,1,31012.3544,B0959DANFD,0.18308,169392.3662
L0615D93,L0615D93ANFR,1993,Fine Art,Fine Art and Specie,Property Risks,0,GBP,7909.5782,4229.5509,1,7909.5782,L0615DANFR,0.01261,627246.4869
B0938D93,B0938D93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,53368.7153,88736.4164,1,53368.7153,B0938DANFM,0.1818,293557.2899
B1502D93,B1502D93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,698.6416,0,1,698.6416,B1502DANFD,0.0457,15287.56236
F7901Q93,F7901Q93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,15529.1602,1482.152,1,15529.1602,F7901QANFJ,0.09091,170819.054
B0886D93,B0886D93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,CAD,2249.8794,581.4837,1,2249.8794,B0886DANFJ,0.0316,71198.71519
B0867A93,B0867A93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,230.0863,0,1,230.0863,B0867AANFM,0.08929,2576.842872
B0915G93,B0915G93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,21665.8447,2816.9608,1,21665.8447,B0915GANFJ,0.080645,268657.0116
B0956Z93,B0956Z93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,8014.6126,403.0961,1,8014.6126,B0956ZANFM,0.1383,57950.92263
B0994F93,B0994F93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,114455.0537,62281.7698,1,114455.0537,B0994FANFM,0.3134,365204.3832
B1012E93,B1012E93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,21401.3598,26151.0976,1,21401.3598,B1012EANFM,0.1898,112757.4278
L0972N93,L0972N93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,8069.3533,8242.563,1,8069.3533,L0972NANFJ,0.099502,81097.39804
