type,region,country,0_1m,1_3m,3_5m,5_10m,10_20m,20m_plus
General,North America,Jamaica,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Japan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Jersey,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Jordan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Kazakhstan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Kenya,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Kiribati,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Korea,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Kuwait,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Kyrgyz Republic,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Laos,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Latvia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Lebanon,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Lesotho,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Liberia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Libya,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Liechtenstein,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Lithuania,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Luxembourg,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Macao,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Macedonia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Madagascar,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Malawi,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Malaysia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Maldives,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Mali,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Malta,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Marshall Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Martinique,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Mauritania,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Mauritius,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Mayotte,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Mexico,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Micronesia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Moldova,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Monaco,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Mongolia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Montenegro,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Montserrat,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Morocco,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Mozambique,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Myanmar,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Namibia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Nauru,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Nepal,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Netherlands Antilles,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Netherlands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,New Caledonia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,New Zealand,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Nicaragua,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Niger,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Nigeria,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Niue,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Norfolk Island,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Northern Mariana Islands the,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Norway,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Oman,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Pakistan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Palau,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,"Palestinian Territory, Occupied",0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Panama,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Papua New Guinea,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Paraguay,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Peru,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Philippines,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Pitcairn Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Poland,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Portugal,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Puerto Rico,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Qatar,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Reunion,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Romania,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Russia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Rwanda,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Saint Barthelemy,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Saint Helena,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Saint Kitts and Nevis,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Saint Lucia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Saint Martin,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Saint Pierre and Miquelon,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Saint Vincent and the Grenadines,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,"Samoa, Independent State of",0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,San Marino,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Sao Tome and Principe,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Saudi Arabia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Senegal,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Serbia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Seychelles,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Sierra Leone,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Singapore,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Sint Maarten (Netherlands),0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Slovakia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Slovenia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Solomon Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Slomalia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,South Africa,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Antarctica,South Georgia and the South Sandwich Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,South Sudan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Spain,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Spratly Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Sri Lanka,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Sudan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Suriname,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Svalbard & Jan Mayen Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Swaziland,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Sweden,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Switzerland,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Syria,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Taiwan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Tajikistan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Tanzania,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Thailand,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Timor-Leste,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Togo,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Tokelau,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Tonga,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Trinidad and Tobago,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Tunisia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Turkey,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Turkmenistan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Turks and Caicos Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Tuvalu,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Uganda,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Ukraine,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,UAE,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,UK,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,United Nations Neutral Zone,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,United States Minor Outlying Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,USA,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,United States Virgin Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Uruguay,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Uzbekistan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Vanuatu,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Venezuela,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Vietnam,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Wallis and Futuna,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Western Sahara,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Yemen,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Zambia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Zimbabwe,0.006,0.0045,0.0035,0.0025,0.0015,0.001
