limded,jbpremises,jbtravel,jbadditional,fapremises,fatravel,faadditional,gsmetals,gscash,gssecurities,gsadditional,citpremises,citadditional,cit3
0.65,0.802921493,0.802917287,0.802921066,0.998689883,0.998689883,0.998689883,0.538206242,0.555054922,0.555054922,0.555054922,0.623629382,0.623629376,0.623629376
0.66,0.804343113,0.804338902,0.804342686,0.998790106,0.998790106,0.998790106,0.539052753,0.555954357,0.555954357,0.555954357,0.624585695,0.624585689,0.624585689
0.67,0.805743354,0.805739138,0.805742927,0.998883232,0.998883232,0.998883232,0.539886534,0.556840267,0.556840267,0.556840267,0.625527628,0.625527622,0.625527622
0.68,0.80712285,0.80711863,0.807122423,0.998969766,0.998969766,0.998969766,0.540707962,0.557713051,0.557713051,0.557713051,0.626455605,0.626455599,0.626455599
0.69,0.808482207,0.808477982,0.80848178,0.999050179,0.999050179,0.999050179,0.541517398,0.558573094,0.558573094,0.558573094,0.627370035,0.627370029,0.627370029
0.7,0.809822004,0.809817774,0.809821577,0.999124906,0.999124906,0.999124906,0.542315187,0.559420761,0.559420761,0.559420761,0.628271307,0.628271301,0.628271301
0.71,0.811142796,0.811138561,0.811142369,0.999194352,0.999194352,0.999194352,0.54310166,0.560256405,0.560256405,0.560256405,0.629159794,0.629159789,0.629159789
0.72,0.812445114,0.812440876,0.812444688,0.999258891,0.999258891,0.999258891,0.543877133,0.561080361,0.561080361,0.561080361,0.630035855,0.630035849,0.630035849
0.73,0.81372947,0.813725226,0.813729043,0.999318873,0.999318873,0.999318873,0.544641909,0.561892951,0.561892951,0.561892951,0.630899832,0.630899826,0.630899826
0.74,0.81499635,0.814992103,0.814995924,0.99937462,0.99937462,0.99937462,0.545396279,0.562694486,0.562694486,0.562694486,0.631752054,0.631752048,0.631752048
0.75,0.816246225,0.816241973,0.816245799,0.999426434,0.999426434,0.999426434,0.546140524,0.563485261,0.563485261,0.563485261,0.632592836,0.63259283,0.63259283
0.76,0.817479545,0.817475289,0.817479119,0.999474592,0.999474592,0.999474592,0.546874911,0.564265562,0.564265562,0.564265562,0.633422481,0.633422476,0.633422476
0.77,0.818696742,0.818692482,0.818696316,0.999519353,0.999519353,0.999519353,0.547599697,0.565035663,0.565035663,0.565035663,0.634241282,0.634241276,0.634241276
0.78,0.819898233,0.819893969,0.819897807,0.999560958,0.999560958,0.999560958,0.548315132,0.565795827,0.565795827,0.565795827,0.635049516,0.635049511,0.635049511
0.79,0.821084418,0.82108015,0.821083993,0.999599631,0.999599631,0.999599631,0.549021452,0.566546307,0.566546307,0.566546307,0.635847455,0.635847449,0.635847449
0.8,0.822255683,0.82225141,0.822255257,0.999635577,0.999635577,0.999635577,0.549718888,0.567287347,0.567287347,0.567287347,0.636635356,0.63663535,0.63663535
0.81,0.823412396,0.82340812,0.823411971,0.999668991,0.999668991,0.999668991,0.550407659,0.568019181,0.568019181,0.568019181,0.63741347,0.637413464,0.637413464
0.82,0.824554917,0.824550637,0.824554492,0.999700052,0.999700052,0.999700052,0.551087979,0.568742035,0.568742035,0.568742035,0.638182035,0.63818203,0.63818203
0.83,0.825683589,0.825679305,0.825683164,0.999728924,0.999728924,0.999728924,0.551760053,0.569456127,0.569456127,0.569456127,0.638941285,0.638941279,0.638941279
0.84,0.826798743,0.826794455,0.826798318,0.999755763,0.999755763,0.999755763,0.552424077,0.570161667,0.570161667,0.570161667,0.639691442,0.639691436,0.639691436
0.85,0.8279007,0.827896408,0.827900275,0.999780713,0.999780713,0.999780713,0.553080244,0.570858857,0.570858857,0.570858857,0.64043272,0.640432715,0.640432715
0.86,0.828989769,0.828985473,0.828989344,0.999803906,0.999803906,0.999803906,0.553728735,0.571547893,0.571547893,0.571547893,0.641165329,0.641165323,0.641165323
0.87,0.830066246,0.830061947,0.830065821,0.999825466,0.999825466,0.999825466,0.554369729,0.572228962,0.572228962,0.572228962,0.641889468,0.641889462,0.641889462
0.88,0.831130421,0.831126118,0.831129996,0.999845509,0.999845509,0.999845509,0.555003398,0.572902248,0.572902248,0.572902248,0.642605331,0.642605325,0.642605325
0.89,0.832182571,0.832178264,0.832182146,0.999864142,0.999864142,0.999864142,0.555629906,0.573567926,0.573567926,0.573567926,0.643313105,0.643313099,0.643313099
0.9,0.833222965,0.833218655,0.83322254,0.999881463,0.999881463,0.999881463,0.556249414,0.574226167,0.574226167,0.574226167,0.644012971,0.644012965,0.644012965
0.91,0.834251862,0.834247548,0.834251437,0.999897566,0.999897566,0.999897566,0.556862077,0.574877133,0.574877133,0.574877133,0.644705103,0.644705097,0.644705097
0.92,0.835269515,0.835265197,0.83526909,0.999912536,0.999912536,0.999912536,0.557468043,0.575520985,0.575520985,0.575520985,0.645389671,0.645389665,0.645389665
0.93,0.836276165,0.836271845,0.836275741,0.999926453,0.999926453,0.999926453,0.558067459,0.576157877,0.576157877,0.576157877,0.646066837,0.646066832,0.646066832
0.94,0.837272049,0.837267725,0.837271625,0.999939391,0.999939391,0.999939391,0.558660463,0.576787956,0.576787956,0.576787956,0.646736762,0.646736756,0.646736756
0.95,0.838257395,0.838253067,0.83825697,0.999951419,0.999951419,0.999951419,0.559247193,0.577411368,0.577411368,0.577411368,0.647399597,0.647399591,0.647399591
0.96,0.839232422,0.839228092,0.839231998,0.999962601,0.999962601,0.999962601,0.559827778,0.578028252,0.578028252,0.578028252,0.648055491,0.648055485,0.648055485
0.97,0.840197346,0.840193012,0.840196921,0.999972997,0.999972997,0.999972997,0.560402347,0.578638743,0.578638743,0.578638743,0.648704588,0.648704583,0.648704583
0.98,0.841152372,0.841148035,0.841151948,0.999982661,0.999982661,0.999982661,0.560971022,0.579242973,0.579242973,0.579242973,0.649347028,0.649347022,0.649347022
0.99,0.842097703,0.842093362,0.842097279,0.999991647,0.999991647,0.999991647,0.561533925,0.579841068,0.579841068,0.579841068,0.649982945,0.64998294,0.64998294
1,0.843033533,0.843029189,0.843033109,1,1,1,0.562091169,0.580433152,0.580433152,0.580433152,0.650612472,0.650612466,0.650612466
