Version,tail_desc,tail_code,basis,tail_df,num_yr_developed,percent_develop,incurred_dev_factor
11,Long Tailed,LT,incremental,1.2,1,0.15,1.176470588
11,Long Tailed,LT,incremental,1.2,2,0.075,1.081081081
11,Long Tailed,LT,incremental,1.2,3,0.0375,1.038961039
11,Long Tailed,LT,incremental,1.2,4,0.01875,1.01910828
11,Long Tailed,LT,incremental,1.2,5,0.009375,1.009463722
11,Long Tailed,LT,incremental,1.2,6,0.0046875,1.004709576
11,Long Tailed,LT,incremental,1.2,7,0.00234375,1.002349256
11,Long Tailed,LT,cumulative,1.2,all,0.269549592,1.369018332
11,Long Tailed,LT,incremental,1.3,1,0.2,1.25
11,Long Tailed,LT,incremental,1.3,2,0.1,1.111111111
11,Long Tailed,LT,incremental,1.3,3,0.05,1.052631579
11,Long Tailed,LT,incremental,1.3,4,0.025,1.025641026
11,Long Tailed,LT,incremental,1.3,5,0.0125,1.012658228
11,Long Tailed,LT,incremental,1.3,6,0.00625,1.006289308
11,Long Tailed,LT,incremental,1.3,7,0.003125,1.003134796
11,Long Tailed,LT,cumulative,1.3,all,0.347597423,1.532795906
11,Long Tailed,LT,incremental,1.4,1,0.25,1.333333333
11,Long Tailed,LT,incremental,1.4,2,0.125,1.142857143
11,Long Tailed,LT,incremental,1.4,3,0.0625,1.066666667
11,Long Tailed,LT,incremental,1.4,4,0.03125,1.032258065
11,Long Tailed,LT,incremental,1.4,5,0.015625,1.015873016
11,Long Tailed,LT,incremental,1.4,6,0.0078125,1.007874016
11,Long Tailed,LT,incremental,1.4,7,0.00390625,1.003921569
11,Long Tailed,LT,cumulative,1.4,all,0.420161764,1.724618934
11,Long Tailed,LT,incremental,1.5,1,0.3,1.428571429
11,Long Tailed,LT,incremental,1.5,2,0.15,1.176470588
11,Long Tailed,LT,incremental,1.5,3,0.075,1.081081081
11,Long Tailed,LT,incremental,1.5,4,0.0375,1.038961039
11,Long Tailed,LT,incremental,1.5,5,0.01875,1.01910828
11,Long Tailed,LT,incremental,1.5,6,0.009375,1.009463722
11,Long Tailed,LT,incremental,1.5,7,0.0046875,1.004709576
11,Long Tailed,LT,cumulative,1.5,all,0.487483504,1.951156708
11,Short Tailed,ST,incremental,1,1,0,1
11,Short Tailed,ST,incremental,1,2,0,1
11,Short Tailed,ST,incremental,1,3,0,1
11,Short Tailed,ST,incremental,1,4,0,1
11,Short Tailed,ST,incremental,1,5,0,1
11,Short Tailed,ST,incremental,1,6,0,1
11,Short Tailed,ST,incremental,1,7,0,1
11,Short Tailed,ST,cumulative,1,all,0,1
11,Short Tailed,ST,incremental,1.025,1,0,1
11,Short Tailed,ST,incremental,1.025,2,0,1
11,Short Tailed,ST,incremental,1.025,3,0,1
11,Short Tailed,ST,incremental,1.025,4,0,1
11,Short Tailed,ST,incremental,1.025,5,0,1
11,Short Tailed,ST,incremental,1.025,6,0,1
11,Short Tailed,ST,incremental,1.025,7,0,1
11,Short Tailed,ST,cumulative,1.025,all,0,1
11,Short Tailed,ST,incremental,1.05,1,0.025,1.025641026
11,Short Tailed,ST,incremental,1.05,2,0.0125,1.012658228
11,Short Tailed,ST,incremental,1.05,3,0.00625,1.006289308
11,Short Tailed,ST,incremental,1.05,4,0.003125,1.003134796
11,Short Tailed,ST,incremental,1.05,5,0.0015625,1.001564945
11,Short Tailed,ST,incremental,1.05,6,0.00078125,1.000781861
11,Short Tailed,ST,incremental,1.05,7,0.000390625,1.000390778
11,Short Tailed,ST,cumulative,1.05,all,0.048801086,1.051304816
11,Short Tailed,ST,incremental,1.1,1,0.05,1.052631579
11,Short Tailed,ST,incremental,1.1,2,0.025,1.025641026
11,Short Tailed,ST,incremental,1.1,3,0.0125,1.012658228
11,Short Tailed,ST,incremental,1.1,4,0.00625,1.006289308
11,Short Tailed,ST,incremental,1.1,5,0.003125,1.003134796
11,Short Tailed,ST,incremental,1.1,6,0.0015625,1.001564945
11,Short Tailed,ST,incremental,1.1,7,0.00078125,1.000781861
11,Short Tailed,ST,cumulative,1.1,all,0.096007909,1.106204369
11,Short Tailed,ST,incremental,1.2,1,0.075,1.081081081
11,Short Tailed,ST,incremental,1.2,2,0.0375,1.038961039
11,Short Tailed,ST,incremental,1.2,3,0.01875,1.01910828
11,Short Tailed,ST,incremental,1.2,4,0.009375,1.009463722
11,Short Tailed,ST,incremental,1.2,5,0.0046875,1.004709576
11,Short Tailed,ST,incremental,1.2,6,0.00234375,1.002349256
11,Short Tailed,ST,incremental,1.2,7,0.001171875,1.00117325
11,Short Tailed,ST,cumulative,1.2,all,0.141653633,1.165030853
11,Short Tailed,ST,incremental,1.3,1,0.1,1.111111111
11,Short Tailed,ST,incremental,1.3,2,0.05,1.052631579
11,Short Tailed,ST,incremental,1.3,3,0.025,1.025641026
11,Short Tailed,ST,incremental,1.3,4,0.0125,1.012658228
11,Short Tailed,ST,incremental,1.3,5,0.00625,1.006289308
11,Short Tailed,ST,incremental,1.3,6,0.003125,1.003134796
11,Short Tailed,ST,incremental,1.3,7,0.0015625,1.001564945
11,Short Tailed,ST,cumulative,1.3,all,0.185771002,1.228155718
11,Short Tailed,ST,incremental,1.4,1,0.15,1.176470588
11,Short Tailed,ST,incremental,1.4,2,0.075,1.081081081
11,Short Tailed,ST,incremental,1.4,3,0.0375,1.038961039
11,Short Tailed,ST,incremental,1.4,4,0.01875,1.01910828
11,Short Tailed,ST,incremental,1.4,5,0.009375,1.009463722
11,Short Tailed,ST,incremental,1.4,6,0.0046875,1.004709576
11,Short Tailed,ST,incremental,1.4,7,0.00234375,1.002349256
11,Short Tailed,ST,cumulative,1.4,all,0.269549592,1.369018332
11,Short Tailed,ST,incremental,1.5,1,0.2,1.25
11,Short Tailed,ST,incremental,1.5,2,0.1,1.111111111
11,Short Tailed,ST,incremental,1.5,3,0.05,1.052631579
11,Short Tailed,ST,incremental,1.5,4,0.025,1.025641026
11,Short Tailed,ST,incremental,1.5,5,0.0125,1.012658228
11,Short Tailed,ST,incremental,1.5,6,0.00625,1.006289308
11,Short Tailed,ST,incremental,1.5,7,0.003125,1.003134796
11,Short Tailed,ST,cumulative,1.5,all,0.347597423,1.532795906
