Version,Benchmark Class,Year,Value
11,Digital US Cyber,2026,1.05
11,Digital US Cyber,2027,1.05
11,Digital US Cyber,2028,1.05
11,Digital US Cyber,2029,1.05
11,Digital US Cyber,2030,1.05
11,Digital US Tech,2000,1.206603373
11,Digital US Tech,2001,1.9
11,Digital US Tech,2002,1.513539536
11,Digital US Tech,2003,1.364564166
11,Digital US Tech,2004,1.033735147
11,Digital US Tech,2005,1.017040704
11,Digital US Tech,2006,0.922950585
11,Digital US Tech,2007,0.969484379
11,Digital US Tech,2008,0.916893897
11,Digital US Tech,2009,0.958226454
11,Digital US Tech,2010,0.974780228
11,Digital US Tech,2011,0.977242504
11,Digital US Tech,2012,0.999244997
11,Digital US Tech,2013,1.042269197
11,Digital US Tech,2014,1.001490716
11,Digital US Tech,2015,1.03049694
11,Digital US Tech,2016,0.988598021
11,Digital US Tech,2017,1.034915326
11,Digital US Tech,2018,1.164209254
11,Digital US Tech,2019,1.109456614
11,Digital US Tech,2020,1.080334335
11,Digital US Tech,2021,1.477348353
11,Digital US Tech,2022,1.349684152
11,Digital US Tech,2023,1.1
11,Digital US Tech,2024,1.1
11,Digital US Tech,2025,1.1
11,Digital US Tech,2026,1.1
11,Digital US Tech,2027,1.1
11,Digital US Tech,2028,1.1
11,Digital US Tech,2029,1.1
11,Digital US Tech,2030,1.1
11,DIN US Lawyers,2000,1.039842072
11,DIN US Lawyers,2001,1.179199038
11,DIN US Lawyers,2002,1.9
11,DIN US Lawyers,2003,1.9
11,DIN US Lawyers,2004,1.170955408
11,DIN US Lawyers,2005,1.038862002
11,DIN US Lawyers,2006,0.939982438
11,DIN US Lawyers,2007,0.901193796
11,DIN US Lawyers,2008,0.957107958
11,DIN US Lawyers,2009,0.987547506
11,DIN US Lawyers,2010,1.05796979
11,DIN US Lawyers,2011,1.005948112
11,DIN US Lawyers,2012,1.172257077
11,DIN US Lawyers,2013,1.092294299
11,DIN US Lawyers,2014,0.973850092
11,DIN US Lawyers,2015,1.024694767
11,DIN US Lawyers,2016,0.970754871
11,DIN US Lawyers,2017,0.976503586
11,DIN US Lawyers,2018,1.13021154
11,DIN US Lawyers,2019,1.018962268
11,DIN US Lawyers,2020,1.021310702
11,DIN US Lawyers,2021,1.130957648
11,DIN US Lawyers,2022,1.012136332
11,DIN US Lawyers,2023,1
11,DIN US Lawyers,2024,1
11,DIN US Lawyers,2025,1
11,DIN US Lawyers,2026,1
11,DIN US Lawyers,2027,1
11,DIN US Lawyers,2028,1
11,DIN US Lawyers,2029,1
11,DIN US Lawyers,2030,1
11,Downhole,2000,0.971930811
11,Downhole,2001,1.198947377
11,Downhole,2002,1.15
11,Downhole,2003,1.05
11,Downhole,2004,1
11,Downhole,2005,1.11
11,Downhole,2006,1
11,Downhole,2007,1
11,Downhole,2008,1
11,Downhole,2009,1
11,Downhole,2010,1
11,Downhole,2011,1.02040802
11,Downhole,2012,1
11,Downhole,2013,1
11,Downhole,2014,1
11,Downhole,2015,1
11,Downhole,2016,1
11,Downhole,2017,1
11,Downhole,2018,1
11,Downhole,2019,1.010101013
11,Downhole,2020,1.12
11,Downhole,2021,1.00990097
11,Downhole,2022,1
11,Downhole,2023,1
11,Downhole,2024,1
11,Downhole,2025,1
11,Downhole,2026,1
11,Downhole,2027,1
11,Downhole,2028,1
11,Downhole,2029,1
11,Downhole,2030,1
11,E&S Homeowners,2000,1.05025632
11,E&S Homeowners,2001,1.211221558
11,E&S Homeowners,2002,1.213417917
11,E&S Homeowners,2003,1.038331194
11,E&S Homeowners,2004,0.941566725
11,E&S Homeowners,2005,0.988038909
11,E&S Homeowners,2006,1.247314465
11,E&S Homeowners,2007,1.009569669
11,E&S Homeowners,2008,0.877482682
11,E&S Homeowners,2009,1.01
11,E&S Homeowners,2010,1
11,E&S Homeowners,2011,1
11,E&S Homeowners,2012,1.053512396
11,E&S Homeowners,2013,1.001218554
11,E&S Homeowners,2014,0.964463643
11,E&S Homeowners,2015,0.952489026
11,E&S Homeowners,2016,0.955676912
11,E&S Homeowners,2017,1.013638386
11,E&S Homeowners,2018,1.070085982
11,E&S Homeowners,2019,1.032181629
11,E&S Homeowners,2020,1.11729235
11,E&S Homeowners,2021,1.119275251
11,E&S Homeowners,2022,1.10763167
11,E&S Homeowners,2023,1.18
11,E&S Homeowners,2024,1.18
11,E&S Homeowners,2025,1.18
11,E&S Homeowners,2026,1.18
11,E&S Homeowners,2027,1.18
11,E&S Homeowners,2028,1.18
11,E&S Homeowners,2029,1.18
11,E&S Homeowners,2030,1.18
11,E&S Property,2000,1.05025632
11,E&S Property,2001,1.211221558
11,E&S Property,2002,1.213417917
11,E&S Property,2003,1.038331194
11,E&S Property,2004,0.941566725
11,E&S Property,2005,0.988038909
11,E&S Property,2006,1.15544966
11,E&S Property,2007,0.975189134
11,E&S Property,2008,0.906527285
11,E&S Property,2009,1.030066265
11,E&S Property,2010,0.97969061
11,E&S Property,2011,0.988515421
11,E&S Property,2012,1.028712403
11,E&S Property,2013,0.953074742
11,E&S Property,2014,0.964463643
11,E&S Property,2015,0.929065433
