"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/vessels/vessels_defaults/loh/loh_vessel_type","loh_vessel_type","str","input","optional","Type","None"
"cds/exposure/granular/vessels/vessels_defaults/loh/loh_year_built","loh_year_built","int","input","optional","Year built","None"
"cds/exposure/granular/vessels/vessels_defaults/loh/loh_gross_tonnage","loh_gross_tonnage","float","input","optional","Gross Tonnage","None"
"cds/exposure/granular/vessels/vessels_defaults/loh/loh_agreed_value","loh_agreed_value","float","input","optional","Hull Value (USD)","None"
"cds/exposure/granular/vessels/vessels_defaults/loh/loh_daily_rate","loh_daily_rate","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/vessels_defaults/loh/loh_xs_days","loh_xs_days","int","input","optional","XS (Days)","None"
"cds/exposure/granular/vessels/vessels_defaults/loh/loh_cover","loh_cover","str","input","optional","Cover","None"
"cds/exposure/granular/vessels/vessels_defaults/loh/loh_uw_adjustment","loh_uw_adjustment","float","input","optional","UW Adjustment","None"
"cds/exposure/granular/vessels/vessels_defaults/loh","loh","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/vessels_defaults","vessels_defaults","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_unique_identifier","loh_unique_identifier","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_imo","loh_imo","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_name","loh_name","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_vessel_type","loh_vessel_type","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_year_built","loh_year_built","int","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_dwt","loh_dwt","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_inception_date","loh_inception_date","date","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_expiry_date","loh_expiry_date","date","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_xs_days","loh_xs_days","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_sum_insured","loh_sum_insured","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_vessel_achieved_rate","loh_vessel_achieved_rate","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_policy_reference","loh_policy_reference","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_written_line","loh_written_line","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list/loh_currency","loh_currency","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/data_mart_temp_vessels_list","data_mart_temp_vessels_list","list","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_unique_identifier","loh_unique_identifier","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_vessel_achieved_rate","loh_vessel_achieved_rate","float","input","optional","Achieved Rate %","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_vessel_details/loh_imo","loh_imo","str","input","optional","IMO","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_vessel_details/loh_name","loh_name","str","input","optional","Vessel Name","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_vessel_details/loh_vessel_type","loh_vessel_type","str","input","optional","Type","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_vessel_details/loh_year_built","loh_year_built","int","input","optional","Build Year","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_vessel_details/loh_gross_tonnage","loh_gross_tonnage","float","input","optional","Gross Tonnage","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_vessel_details/loh_dwt","loh_dwt","float","input","optional","DWT","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_vessel_details","loh_vessel_details","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_benchmark_premium","loh_benchmark_premium","float","output","n/a","Benchmark Premium","n/a"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_number_of_vessels","loh_number_of_vessels","int","input","optional","Number of Vessels","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_agreed_value","loh_agreed_value","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_achieved_premium","loh_achieved_premium","float","input","optional","Achieved Premium","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_daily_rate","loh_daily_rate","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_xs_days","loh_xs_days","int","input","optional","XS (Days)","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_cover","loh_cover","str","input","optional","Cover","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_conditions","loh_conditions","str","output","n/a","Conditions","n/a"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_sum_insured","loh_sum_insured","float","output","n/a","Sum Insured","n/a"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_vessel_base_rate","loh_vessel_base_rate","float","output","n/a"," Gross Benchmark Rate %","n/a"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_vessel_daily_rate","loh_vessel_daily_rate","float","output","n/a","Gross Benchmark Day Rate (per Vessel)","n/a"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list/loh_uw_adjustment","loh_uw_adjustment","float","input","optional","UW Adjustment","None"
"cds/exposure/granular/vessels/loh_rating/loh_vessels_list","loh_vessels_list","list","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/loh_rating","loh_rating","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_index","ship_building_index","int","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_benchmark_premium","ship_building_benchmark_premium","float","output","n/a","Benchmark Premium","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_vessel_type","ship_building_vessel_type","str","input","optional","Vessel Type","None"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_vessel_name","ship_building_vessel_name","str","input","optional","Vessel Name","None"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_attachment_date","ship_building_attachment_date","date","input","optional","Attachment Date","None"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_delivery_date","ship_building_delivery_date","date","input","optional","Delivery Date","None"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_number_of_vessels","ship_building_number_of_vessels","int","input","optional","Number of Vessels","None"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_total_months_steel_cutting_keel_laying","ship_building_total_months_steel_cutting_keel_laying","float","input","optional","Total Months Steel
Cutting-Keel Laying","None"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_total_months_keel_laying_launch","ship_building_total_months_keel_laying_launch","float","input","optional","Total Months Keel
Laying-Launch","None"
