firm_id,firm_name,master_firm_id
4892,9310-8942 QUEBEC INC. FASRS 5STAR 4MULA,4892
11556,9310-9056 QUÉBEC INC. FASLRS LAUNCHLEAP.COM,11556
12652,9317-7780 QUÉBEC INC,12652
12938,9319-6715 QC INC.,12938
4136,9320-1028 QUÉBEC INC. O/A TRAILBLAZER GAMES,4136
9124,9320-2109 QU/BEC INC O/A EMBLEME COMMUNICATION,9124
10795,9322-8310 QUÉBEC INC.,10795
2577,9323-4151 QUEBEC INC,2577
6656,9329-9139 QUBEC INC,6656
11909,9332-6817 QUÉBEC INC,11909
2428,9334-0511 QUEBEC INC. DBA ELUCX,2428
13007,9337-7935 QUÉBEC INC. FASLRS TRANS VERSIONS,13007
11341,9338 TAP MEDICAL,11341
13209,9342-8928 QUÉBEC INC.,13209
1795,9344101 CANADA INC.,1795
13049,9344-6977 QUÉBEC INC,13049
6519,9348-1117 QUEBEC INC FASLRS WENOVIO,6519
6181,9348-117 QU/BEC INC. FASLRS WENOVIO,6181
6916,9348-6609  QUEBEC INC. FASLRS DEMCA TECHNOLOGIES,6916
12964,9349-3377 QUÉBEC INC,12964
2547,9350-3456 QUEBEC IN. O/A XPEDIGO,2547
11146,9351-0998 QUEBEC INC.,11146
3237,9361-1051 QUEBEC INC,3237
12109,9363-9573 QUEBEC INC. O/A R TECHNOLOGIES,12109
9429,936872 ONTARIO INC. O/A MEDICAL SYSTEMS INTERNATIONAL,9429
4767,9371-3378 QUBEC INC,4767
3815,9372-1728 QUEBEC INC.,3815
1822,9375-5726 QUÉBEC INC.,1822
3669,9376-0965 QUEBEC INC,3669
2429,9376-9198 QUEBEC INC. DBA KAMUMI NOOR,2429
2359,9377077 CANADA CORP.,2359
3343,9377-2523 QUEBEC INC,3343
3995,9378-5244 QUEBEC INC. DBA CLINIQUE VACCINATIONS VAUDREUIL-SSOULANGES,3995
5727,9382-9398 QUÉBEC INC.,5727
5385,9385-3935 QUBEC INC,5385
5906,9385-8918 QUÉBEC INC.,5906
9396,9388-3981 QUEBEC INC.,9396
10393,9390-7962 QUÉBEC INC.O/A CLINIQUE MÉDICO-ESTHÉTIQUE DETHETFORD,10393
13050,9392-5477 QUÉBEC INC.,13050
13908,9398-5414 QUÉBEC INC.,13908
9416,9420860 CANADA INC. O/A MERJ MEDIA,9416
1323,9437436 CANADA INC. O/A REVIV TORONTO,1323
2699,9452451 CANADA INC. O/B ANUJ MISTRY,2699
2038,9475818 CANADA CORP,2038
11046,9556028 CANADA INC.,11046
11082,9556028 CANADA INC. O/A JOSEE BOUCHARD PHARMA,11082
5935,95781 CANADA INC. DBA RESTAURANT L'EXPRESS INC,5935
1325,9644008 CANADA INC,1325
1018,9652205 CANADA INC. O/A KETOLIFE/ARBONNE,1018
12235,9661271 CANADA INC. O/A BLACKCREEK,12235
2581,9705147 CANADA LTD,2581
2549,9717021 CANADA INC,2549
6490,9750215 CANADA INC,6490
31444,99% Invisible Inc.,31444
2210,9930388 CANADA INC.,2210
13357,9930906 CANADA INC,13357
2293,9943129 CANADA INC,2293
10512,9986782 CANADA INC. FASLRS GIC CONSULTING SERVICES,10512
10780,9997911 CANADA INC O/A DIRECT SOLUTIONS MARKETING,10780
23934,A & L industries LLC dba Lone Wolf Custom Gear,23934
3650,A BANK,3650
4470,A CLEAN CIGARETTE,4470
9590,A CULTIVATED ART INC.,9590
11787,A LIGN COMPLIANCE AND SECURITY INC,11787
24354,A P Tool Inc Swivel Link LLC dba APT Manufacturing Solutions,24354
26947,A SHA FOODS USA CO INC,26947
1362,A SYSTEMS 365 INC,1362
9236,A T KEARNEY HOLDINGS LTD,9236
10188,A T KEARNEY MIDDLE EAST LLC,10188
12284,A TO B ROAD TO RAIL ENGINEERING LTD.,12284
2054,A TODA HORA S.A.,2054
26422,A&A Global Imports LLC,26422
22202,A&B Staffing Services Group,22202
26360,A&M Precision Measuring Services Inc,26360
13792,A&R SOLUTIONS (2104300 ONTARIO INC. & 1691275 ALBERTA LTD OA A&R WEST,13792
2825,A&S DIVERTISSEMENT,2825
26754,A&Y Nutrition LLC,26754
20400,A&Y NUTRITIONS,20400
