no_of_locations,band,decile,band_decile,value
301,301-500,0.9,301-500_0.9,0.05541927935043097
501,501-1000,0.9,501-1000_0.9,0.041602997328844746
1001,1001-5000,0.9,1001-5000_0.9,0.031231178157324804
5001,5001-10000,0.9,5001-10000_0.9,0.023445101356153845
10001,10000,0.9,10000_0.9,0.017600129422956447
1,1,1,1_1,1.0
2,2-5,1,2-5_1,1.0
6,6-10,1,6-10_1,1.0
11,11-20,1,11-20_1,1.0
21,21-30,1,21-30_1,1.0
31,31-40,1,31-40_1,1.0
41,41-50,1,41-50_1,1.0
51,51-100,1,51-100_1,1.0
101,101-150,1,101-150_1,1.0
151,151-200,1,151-200_1,1.0
201,201-250,1,201-250_1,1.0
251,251-300,1,251-300_1,1.0
301,301-500,1,301-500_1,1.0
501,501-1000,1,501-1000_1,1.0
1001,1001-5000,1,1001-5000_1,1.0
5001,5001-10000,1,5001-10000_1,1.0
10001,10000,1,10000_1,1.0
1,1,Assumption,1_Assumption,0.0
2,2-5,Assumption,2-5_Assumption,0.5356633953436363
6,6-10,Assumption,6-10_Assumption,0.5525705704276539
11,11-20,Assumption,11-20_Assumption,0.5694777455116716
21,21-30,Assumption,21-30_Assumption,0.5863849205956893
31,31-40,Assumption,31-40_Assumption,0.603292095679707
41,41-50,Assumption,41-50_Assumption,0.6201992707637247
51,51-100,Assumption,51-100_Assumption,0.6371064458477423
101,101-150,Assumption,101-150_Assumption,0.6540136209317601
151,151-200,Assumption,151-200_Assumption,0.6709207960157777
201,201-250,Assumption,201-250_Assumption,0.6878279710997954
251,251-300,Assumption,251-300_Assumption,0.7047351461838132
301,301-500,Assumption,301-500_Assumption,0.7216423212678309
501,501-1000,Assumption,501-1000_Assumption,0.7385494963518485
1001,1001-5000,Assumption,1001-5000_Assumption,0.7554566714358663
5001,5001-10000,Assumption,5001-10000_Assumption,0.7723638465198839
10001,10000,Assumption,10000_Assumption,0.7892710216039016
