vessel_type,age_lower_bound,age_upper_bound,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Combined Chemical And Oil Tanker - TCO,9,14,4633719.944077230000000000000000,1945346744.185400000000000000000000,118,0.002381950651176880000000
Combined Lng And Lpg Gas Carrier - LNP,20,24,14331.488325000000000000000000,2318800,1,0.006180562500000000000000
Combined Lng And Lpg Gas Carrier - LNP,25,29,72225.492800000000000000000000,19488800,1,0.003706000000000000000000
Combined Lng And Lpg Gas Carrier - LNP,30,999,62255.802000000000000000000000,18768000,1,0.003317125000000000000000
Crane Barge - OCX,0,1,21945.937500000000000000000000,3750000,1,0.005852250000000000000000
Crane Barge - OCX,15,19,249008.911599000000000000000000,39810384,7,0.006254873391801500000000
Crane Barge - OCX,2,4,734219.884797604000000000000000,323238045.611120000000000000000000,5,0.002271452555683770000000
Crane Barge - OCX,20,24,413813.773201633000000000000000,162207417.405889000000000000000000,13,0.002551139644657270000000
Crane Barge - OCX,25,29,248054.299806177000000000000000,44133501.839707000000000000000000,21,0.005620544245664240000000
Crane Barge - OCX,30,999,36977.749235608300000000000000,3052689.600000000000000000000000,5,0.012113170377888500000000
Crane Barge - OCX,35,39,55287.059858500000000000000000,7185641,4,0.007694102705451050000000
Crane Barge - OCX,40,44,6784.497230400000000000000000,2059760,3,0.003293829004544220000000
Crane Barge - OCX,45,49,10523.250000000000000000000000,187500,1,0.056124000000000000000000
Crane Barge - OCX,5,8,1359743.475436620000000000000000,309392358.096306000000000000000000,13,0.004394883842002850000000
Crane Barge - OCX,50,999,602752.680000000000000000000000,51000000,2,0.011818680000000000000000
Crane Barge - OCX,9,14,1054433.340397750000000000000000,165500947.079129000000000000000000,19,0.006371161972224910000000
Crane Ship - OCS,0,1,8223505,7500000000,3,0.001096467333333330000000
Crane Ship - OCS,15,19,1173276.900000000000000000000000,180000000,2,0.006518205000000000000000
Crane Ship - OCS,2,4,3431147.952780000000000000000000,1109907800,5,0.003091381061363840000000
Crane Ship - OCS,20,24,15953.139150000000000000000000,6500000,1,0.002454329100000000000000
Crane Ship - OCS,30,999,9825680,2900000000,5,0.003388165517241380000000
Crane Ship - OCS,35,39,2678838.725000000000000000000000,801000000,3,0.003344367946317100000000
Crane Ship - OCS,40,44,985513.950000000000000000000000,250250000,2,0.003938117682317680000000
Crane Ship - OCS,5,8,25643.939805000000000000000000,3307800,2,0.007752566601668780000000
Crude Oil Tanker - TCR,0,0,255548.961000000000000000000000,219000000,4,0.001166890232876710000000
Crude Oil Tanker - TCR,0,1,2491025.920697210000000000000000,3107045060,40,0.000801734726273075000000
Crude Oil Tanker - TCR,15,19,5278559.931177360000000000000000,2998073104,89,0.001760650840746600000000
Crude Oil Tanker - TCR,2,4,3162206.681408450000000000000000,3227484772,43,0.000979774314922299000000
Crude Oil Tanker - TCR,20,24,2973999.196429590000000000000000,774426232.397790000000000000000000,58,0.003840261437453450000000
Crude Oil Tanker - TCR,25,29,544789.688669448000000000000000,131538708.949609000000000000000000,28,0.004141668205654590000000
Crude Oil Tanker - TCR,30,999,540125.376962680000000000000000,78273572.090000000000000000000000,11,0.006900482021462330000000
Crude Oil Tanker - TCR,35,39,862847.634504895000000000000000,106997472.460000000000000000000000,23,0.008064187075329860000000
Crude Oil Tanker - TCR,40,44,441116.288000000000000000000000,39108000,8,0.011279438682622500000000
Crude Oil Tanker - TCR,5,8,3666942.077781790000000000000000,3523603616.049410000000000000000000,75,0.001040679508069380000000
Crude Oil Tanker - TCR,9,14,7761929.143078480000000000000000,5277675553.091040000000000000000000,152,0.001470709797333500000000
Cutter Suction Dredger - DCS,5,8,156349.924668021000000000000000,18780748.179821000000000000000000,1,0.008325010440000000000000
Cutter Suction Dredger - DCS,9,14,269909.274057721000000000000000,30642273.346024000000000000000000,2,0.008808395872258070000000
Depot Ship - ODE,2,4,25838.686655616900000000000000,2055308.423742000000000000000000,4,0.012571683333333300000000
Depot Ship - ODE,9,14,4712.265310085130000000000000,295839.848871000000000000000000,2,0.015928433333333300000000
Diving Support - ODS,0,1,336967.002240000000000000000000,312302000,4,0.001078978047659000000000
Diving Support - ODS,15,19,1488014.253000000000000000000000,182700000,3,0.008144577192118230000000
Diving Support - ODS,2,4,638295.023380814000000000000000,206812470.416791000000000000000000,8,0.003086346882731260000000
Diving Support - ODS,35,39,125878.320000000000000000000000,8400000,3,0.014985514285714300000000
Diving Support - ODS,40,44,167313.280000000000000000000000,19200000,3,0.008714233333333330000000
Diving Support - ODS,5,8,106448.910000000000000000000000,23600000,2,0.004510547033898310000000
Diving Support - ODS,9,14,295869.105000000000000000000000,227000000,5,0.001303388127753300000000
Dredger - DDR,0,1,180982.639644843000000000000000,30690166.988801000000000000000000,2,0.005897088787782890000000
Dredger - DDR,15,19,18684.422119528900000000000000,1329343.815640000000000000000000,2,0.014055372206725500000000
Dredger - DDR,30,999,258026.944487256000000000000000,25000731,1,0.010320776000000000000000
Dredger - DDR,35,39,265961.176477416000000000000000,25000731,1,0.010638136000000000000000
Dredger - DDR,5,8,37804.444564207800000000000000,9249708.771315000000000000000000,5,0.004087095658778600000000
Dredger - DDR,9,14,390785.641519656000000000000000,29826419.911425000000000000000000,8,0.013101996239581100000000
Ferry - OFY,15,19,2180376.387000000000000000000000,63930000,3,0.034105684138901900000000
Ferry - OFY,20,24,610345.063800000000000000000000,24800000,2,0.024610688056451600000000
Ferry - OFY,25,29,80301.285000000000000000000000,3100000,4,0.025903640322580700000000
Ferry - OFY,30,999,51570.959996000000000000000000,11926679,2,0.004324000000000000000000
Ferry - OFY,9,14,21470.796000000000000000000000,5360000,2,0.004005745522388060000000
Fire Fighting Tug - XFF,15,19,113508.786160000000000000000000,46816000,4,0.002424572500000000000000
