vessel_type,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Maintenance - OMT,188714.828328000000000000000000,80291250,4,0.002350378507346690000000
Naval Auxiliary Vessel - NAX,1944.684000000000000000000000,69453,1,0.028000000000000000000000
Oceanographic Research - ROR,182524.396620000000000000000000,8530000,3,0.021397936297772600000000
Offshore Safety - OOS,438517.132644000000000000000000,95267250,15,0.004603020793021740000000
Passenger (Cruise) - MPR,43834106.492984000000000000000000,30413873235,115,0.001441253672437230000000
Passenger Ro/Ro - PRR,11886049.000584900000000000000000,7422330609.138400000000000000000000,96,0.001601390402355670000000
Passenger Vessel (Unspecified) - PZZ,58981.274772515100000000000000,6731490.115406000000000000000000,14,0.008761993817316580000000
Patrol Ship - OPA,307516.469275416000000000000000,87752016.366879000000000000000000,21,0.003504380662772830000000
Pilot Ship - OPI,781874.712141255000000000000000,718905596.800000000000000000000000,39,0.001087590242198060000000
Pipe Carrier - OPP,807736.205400000000000000000000,1059400000,4,0.000762446861808571000000
Pipe Layer - OPL,7444413.540290470000000000000000,2570028964.318910000000000000000000,23,0.002896626319642800000000
Pontoon - OPO,12393681.133802000000000000000000,2950167528.997890000000000000000000,95,0.004201009268789510000000
Product Tanker - TPD,14552779.971282100000000000000000,5978919448.724260000000000000000000,339,0.002434015058421180000000
Pusher Tug - XPT,1856318.207460000000000000000000,978730000,18,0.001896660169260160000000
Reefer - GRF,878563.671482296000000000000000,67025977.626390000000000000000000,9,0.013107808384079100000000
Repair Barge - ORX,66957.144632149700000000000000,17781296.069316000000000000000000,2,0.003765594159792050000000
Repair Ship - ORP,273556.752017566000000000000000,64855882.469232000000000000000000,6,0.004217917351557780000000
Research - RRE,5057202.265219610000000000000000,2871527461.227290000000000000000000,73,0.001761154066434790000000
Research/Buoy Ship - RRB,463.845690000000000000000000,102564,2,0.004522500000000000000000
Ro/Ro Pontoon - ORN,418444.976053870000000000000000,120125815.986218000000000000000000,2,0.003483389250000000000000
Roll On Roll Off - URR,797850.744757704000000000000000,495177415.871800000000000000000000,7,0.001611242191554760000000
Roll On Roll Off With Container Capacity - URC,1315842.400000000000000000000000,690400000,6,0.001905913093858630000000
Salvage - OSV,897834.221562000000000000000000,439209000,19,0.002044207248854190000000
Salvage Tug - XST,7895.625000000000000000000000,500000,2,0.015791250000000000000000
Sand Suction Dredger - DSS,8591.080274283020000000000000,2050349.350158000000000000000000,3,0.004190056818181250000000
Seismographic Research - RSR,3746621.920000000000000000000000,2207200000,19,0.001697454657484600000000
Semi-Sub Hl Vessel - OHL,998919.740250000000000000000000,278345000,12,0.003588782770482670000000
Semi-Sub Pontoon - OSP,1662422.732728460000000000000000,383580343,5,0.004333962266487820000000
Sludge Carrier - OSC,129616.261084547000000000000000,3460115.191485000000000000000000,3,0.037460100000000000000000
Standby Safety Vessel - OSZ,496748.020680000000000000000000,80975250,21,0.006134566064075130000000
Storage Barge - OSB,188470.498780093000000000000000,48930793.113136000000000000000000,18,0.003851776903438260000000
Submarine - OSM,112083.056972190000000000000000,45000000,3,0.002490734599382000000000
Suction Dredger - DSD,760621.236834279000000000000000,597802332.935151000000000000000000,10,0.001272362443116780000000
Supply - OSY,40007317.611327500000000000000000,16331877936.155300000000000000000000,1192,0.002449645886879910000000
Support - OSU,11652382.168434700000000000000000,3811033679.804800000000000000000000,344,0.003057538491507520000000
Tank Barge - OTB,1516834.134304000000000000000000,608022125,22,0.002494702202331860000000
Tanker (Unspecified) - TTA,3345246.116934860000000000000000,591421490.362413000000000000000000,66,0.005656280962812080000000
Tanker With Ro/Ro For Road Tankers. - TRR,17656.613915976000000000000000,12004528,1,0.001470829500000000000000
Tender - OTN,78648.504288000000000000000000,16965000,6,0.004635927161096370000000
Training - OTR,116537.336467146000000000000000,39627232.811772000000000000000000,4,0.002940839624626190000000
Trawler (All Types) - FTR,5724060.736799990000000000000000,399440699.999999000000000000000000,28,0.014330189028809500000000
Tug - XTG,16983925.819935400000000000000000,5590043624.160610000000000000000000,1938,0.003038245667087370000000
Tug/Icebreaker - XTI,68356.600000000000000000000000,26000000,2,0.002629100000000000000000
Tug/Pilot Ship - XTP,157083.479129458000000000000000,74083188.240000000000000000000000,35,0.002120366075776470000000
Tug/Supply - XTS,5796409.705837130000000000000000,1804205047.300170000000000000000000,171,0.003212722253776490000000
Tug/Support - XTX,827268.507947510000000000000000,192126086.075166000000000000000000,51,0.004305862492945680000000
Vehicle Carrier - MVE,7304943.749827760000000000000000,5223671546.648840000000000000000000,123,0.001398430909101500000000
Vessel Type (Unspecified) - ZZZ,1679669.003926820000000000000000,1071766852.703200000000000000000000,12,0.001567196260726270000000
Wood-Chip Carrier - BWC,94797.750000000000000000000000,60000000,2,0.001579962500000000000000
Work Ship - OWO,918203.956907656000000000000000,173874578.900657000000000000000000,69,0.005280840722738830000000
Yacht - OYT,14346714.795637800000000000000000,5391178618.561590000000000000000000,50,0.002661146255893420000000
