vessel_type,age_lower_bound,age_upper_bound,dwt_lower_bound,dwt_upper_bound,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Research - RRE,9,14,1001,2500,383438.7211928950,231366063.108622,3,0.001657281608378660000000
Research/Buoy Ship - RRB,9,14,0,1000,463.845690,102564,2,0.004522500
Ro/Ro Pontoon - ORN,0,1,25001,35000,418444.9760538700,120125815.986218,2,0.003483389250
Roll On Roll Off - URR,15,19,10001,15000,202970.697930,28600000,2,0.007096877550
Roll On Roll Off - URR,15,19,20001,25000,496355.6007636240,433333334,2,0.001145436000
Roll On Roll Off - URR,15,19,7501,10000,48876.059400,28000000,1,0.001745573550
Roll On Roll Off - URR,20,24,0,1000,1520.5830948000,230769,1,0.006589200
Roll On Roll Off - URR,20,24,1001,2500,48127.8035692800,5013312.871800,1,0.009600000
Roll On Roll Off With Container Capacity - URC,0,1,25001,35000,590304,344000000,2,0.001716000
Roll On Roll Off With Container Capacity - URC,2,4,25001,35000,714419.200000,344000000,2,0.002076800
Roll On Roll Off With Container Capacity - URC,9,14,7501,10000,11119.200000,2400000,2,0.004633000
Salvage - OSV,2,4,5001,7500,79666.125000,35000000,1,0.002276175000
Salvage - OSV,5,8,2501,5000,383411.131600,226731000,10,0.001691039741367520000000
Salvage - OSV,5,8,5001,7500,27440,24500000,1,0.001120000
Salvage - OSV,5,8,7501,10000,268790.546220,121100000,3,0.002219575113294800000000
Salvage - OSV,9,14,1001,2500,44064.169737,3260000,2,0.013516616483742300000000
Salvage - OSV,9,14,2501,5000,94462.249005,28618000,2,0.003300798413760570000000
Salvage Tug - XST,50,999,0,1000,7895.625000,500000,2,0.015791250
Sand Suction Dredger - DSS,20,24,1001,2500,1961.599724361240,610021.294262,1,0.003215625000
Sand Suction Dredger - DSS,25,29,0,1000,2633.629259559370,819010.071000,1,0.003215625000
Sand Suction Dredger - DSS,30,999,0,1000,3995.8512903624,621317.984896,1,0.006431250
Seismographic Research - RSR,15,19,2501,5000,84240,16000000,1,0.005265000
Seismographic Research - RSR,2,4,7501,10000,710305.600000,491200000,3,0.001446061889250810000000
Seismographic Research - RSR,20,24,2501,5000,656500,210080000,2,0.003125000
Seismographic Research - RSR,20,24,5001,7500,805571.520000,424320000,4,0.001898500
Seismographic Research - RSR,25,29,2501,5000,69888,104000000,1,0.000672000
Seismographic Research - RSR,5,8,2501,5000,84240,16000000,1,0.005265000
Seismographic Research - RSR,5,8,5001,7500,710305.600000,491200000,3,0.001446061889250810000000
Seismographic Research - RSR,9,14,2501,5000,625571.200000,454400000,4,0.001376697183098590000000
Semi-Sub Hl Vessel - OHL,0,1,10001,15000,117123.030000,64600000,1,0.001813050
Semi-Sub Hl Vessel - OHL,15,19,5001,7500,151671,8000000,2,0.018958875000
Semi-Sub Hl Vessel - OHL,2,4,10001,15000,277503.750000,60000000,4,0.004625062500
Semi-Sub Hl Vessel - OHL,5,8,10001,15000,106120.800000,54400000,1,0.001950750
Semi-Sub Hl Vessel - OHL,5,8,2501,5000,75938.362500,44200000,1,0.001718062500
Semi-Sub Hl Vessel - OHL,9,14,10001,15000,270562.797750,47145000,3,0.005738950
Semi-Sub Pontoon - OSP,2,4,10001,15000,191210.7567020560,18526781,1,0.010320776000
Semi-Sub Pontoon - OSP,2,4,1001,2500,216649.5601061840,18526781,1,0.011693858750
Semi-Sub Pontoon - OSP,2,4,35001,50000,528736,164000000,1,0.003224000
Semi-Sub Pontoon - OSP,5,8,10001,15000,197090.4159202160,18526781,1,0.010638136000
Semi-Sub Pontoon - OSP,5,8,35001,50000,528736,164000000,1,0.003224000
Sludge Carrier - OSC,15,19,0,1000,83321.3615371411,2306743.460990,2,0.036120775000
Sludge Carrier - OSC,20,24,0,1000,46294.8995474062,1153371.730495,1,0.040138750
Standby Safety Vessel - OSZ,2,4,0,1000,8378.287680,2890500,1,0.002898560
Standby Safety Vessel - OSZ,20,24,1001,2500,35170.800000,1600000,1,0.021981750
Standby Safety Vessel - OSZ,25,29,1001,2500,56183.047500,1900000,2,0.029570025000
Standby Safety Vessel - OSZ,35,39,0,1000,18587.100000,500000,1,0.037174200
Standby Safety Vessel - OSZ,35,39,1001,2500,18587.100000,500000,1,0.037174200
Standby Safety Vessel - OSZ,5,8,0,1000,153031.975500,33584750,7,0.004556591176054610000000
Standby Safety Vessel - OSZ,5,8,1001,2500,122592.180000,27800000,4,0.004409790647482020000000
Standby Safety Vessel - OSZ,9,14,0,1000,84217.530000,12200000,4,0.006903076229508200000000
Storage Barge - OSB,20,24,1001,2500,6314.650000,1000000,2,0.006314650
Storage Barge - OSB,25,29,0,1000,3157.325000,500000,1,0.006314650
Storage Barge - OSB,25,29,1001,2500,52148.8813996000,4365596,8,0.011945420831336700000000
Storage Barge - OSB,5,8,2501,5000,17888.7138561240,8664661.650000,3,0.002064560
Storage Barge - OSB,9,14,10001,15000,108960.9285243690,34400535.463136,4,0.003167419549068740000000
Submarine - OSM,5,8,10001,15000,36156,15000000,1,0.002410400
Submarine - OSM,9,14,10001,15000,75927.0569721900,30000000,2,0.002530901899073000000000
Suction Dredger - DSD,2,4,2501,5000,122564.3478814960,131188341.479505,1,0.000934262500
Suction Dredger - DSD,35,39,0,1000,700.367702179817000000000000,749647.665597,1,0.000934262500
Suction Dredger - DSD,35,39,2501,5000,178685.5145924820,4518676.253791,1,0.039543774450
Suction Dredger - DSD,45,49,0,1000,175.091925544721000000000000,187411.916399,1,0.000934262500
Suction Dredger - DSD,45,49,2501,5000,116.727950363770,124941.277600,1,0.000934262500
Suction Dredger - DSD,5,8,2501,5000,237767.7179225770,236139014.663109,3,0.001006897222222220000000
Suction Dredger - DSD,9,14,2501,5000,220611.4688596350,224894299.679150,2,0.000980956250
Supply - OSY,0,1,0,1000,73127.533750,35925000,4,0.002035561134307590000000
Supply - OSY,0,1,20001,25000,161596,127000000,2,0.001272409448818900000000
Supply - OSY,0,1,2501,5000,69384.875000,74900000,2,0.000926366822429907000000
Supply - OSY,0,1,5001,7500,262223.9997492900,165000000,7,0.001589236362116910000000
Supply - OSY,15,19,0,1000,314052.6816920110,130882850,24,0.002399494522712570000000
Supply - OSY,15,19,1001,2500,968940.4425848620,372740000,30,0.002599507545701730000000
Supply - OSY,15,19,15001,20000,93632,56000000,2,0.001672000
Supply - OSY,15,19,2501,5000,1934095.0677050400,814083464,48,0.002375794563129750000000
Supply - OSY,15,19,35001,50000,40980.450000,2000000,1,0.020490225000
Supply - OSY,15,19,5001,7500,196065.940000,139570000,6,0.001404785698932440000000
Supply - OSY,15,19,7501,10000,39771.0572229000,15000000,1,0.002651403814860000000000
Supply - OSY,2,4,0,1000,957924.8493321220,405646500,34,0.002361476924692120000000
Supply - OSY,2,4,10001,15000,83196,57000000,2,0.001459578947368420000000
Supply - OSY,2,4,1001,2500,242497.1584245190,160510000,8,0.001510791591953890000000
Supply - OSY,2,4,20001,25000,100567.0569721900,52000000,3,0.001933981864849810000000
Supply - OSY,2,4,2501,5000,2595407.3379306200,1447229714,67,0.001793362389414440000000
Supply - OSY,2,4,5001,7500,798996.0491616540,436378704,21,0.001830969389289110000000
Supply - OSY,20,24,0,1000,534146.4931143630,187990000,47,0.002841355886559720000000
Supply - OSY,20,24,10001,15000,40964,24500000,1,0.001672000
Supply - OSY,20,24,1001,2500,1831137.9338803600,736965000,67,0.002484701354718830000000
Supply - OSY,20,24,15001,20000,100320,60000000,2,0.001672000
Supply - OSY,20,24,2501,5000,716442.4813032900,348762500,24,0.002054241729839910000000
Supply - OSY,20,24,35001,50000,37807.770000,2000000,1,0.018903885000
Supply - OSY,20,24,5001,7500,47250.720000,28260000,1,0.001672000
Supply - OSY,25,29,0,1000,62812.0746852760,10785837,12,0.005823569805966470000000
Supply - OSY,25,29,1001,2500,181431.8436501510,89050000,7,0.002037415425605280000000
Supply - OSY,25,29,2501,5000,5567.9480112060,2100000,2,0.002651403814860000000000
Supply - OSY,30,999,0,1000,26233.1199883002,3200000,5,0.008197849996343810000000
Supply - OSY,30,999,2501,5000,89432.551284,4040000,2,0.022136770119802000000000
Supply - OSY,35,39,0,1000,333970.8044870320,32793126.314763,16,0.010184170953431900000000
Supply - OSY,35,39,1001,2500,50246.406625,7699600,5,0.006525846358901760000000
Supply - OSY,35,39,2501,5000,112083.0569721900,45000000,3,0.002490734599382000000000
Supply - OSY,35,39,5001,7500,112083.0569721900,45000000,3,0.002490734599382000000000
Supply - OSY,40,44,0,1000,88897.0532806720,9818750,8,0.009053805553728530000000
Supply - OSY,40,44,2501,5000,280070.550000,15000000,2,0.018671370
Supply - OSY,45,49,0,1000,20567.768750,850000,2,0.024197375000
Supply - OSY,5,8,0,1000,3942680.3469970600,1248058171,132,0.003159051748235430000000
Supply - OSY,5,8,10001,15000,306319.7389443800,184950000,8,0.001656230002402700000000
Supply - OSY,5,8,1001,2500,769371.1748647990,242713410.880000,23,0.003169875006392550000000
Supply - OSY,5,8,2501,5000,9184521.8365306900,3539861957.416320,182,0.002594598870526100000000
Supply - OSY,5,8,5001,7500,1041775.9330383400,683125780,31,0.001525013348256800000000
Supply - OSY,5,8,7501,10000,170273.600000,152030000,4,0.001120000
Supply - OSY,50,999,0,1000,48384.1239770250,2010235,8,0.024068889446768700000000
Supply - OSY,9,14,0,1000,2635542.3562171200,593964677,115,0.004437203857860260000000
Supply - OSY,9,14,10001,15000,112000,100000000,1,0.001120000
Supply - OSY,9,14,1001,2500,1831116.9341699300,449596875.324208,50,0.004072797287235370000000
Supply - OSY,9,14,15001,20000,76243.200000,60800000,2,0.001254000
Supply - OSY,9,14,2501,5000,5786933.4406842800,2597770293.690000,148,0.002227654021119870000000
Supply - OSY,9,14,5001,7500,425918.7936253900,301315490.530000,14,0.001413531023168500000000
Supply - OSY,9,14,7501,10000,72311.9997492900,30000000,2,0.002410399991643000000000
Support - OSU,0,1,0,1000,33031.241250,2550675,1,0.012950000
Support - OSU,0,1,2501,5000,559849.993200,173200000,5,0.003232390260969980000000
Support - OSU,15,19,0,1000,54515.2526076376,10972113.115406,11,0.004968528125279030000000
Support - OSU,15,19,1001,2500,114889.933125,50475000,3,0.002276175000
Support - OSU,15,19,2501,5000,78967.4077381567,14392969.478559,1,0.005486526450
Support - OSU,15,19,7501,10000,161484.375000,2500000,1,0.064593750
Support - OSU,2,4,0,1000,159200.4319107500,46761739,12,0.003404501956412490000000
Support - OSU,2,4,1001,2500,606684.8823650880,147515915.597446,24,0.004112674079322130000000
Support - OSU,2,4,2501,5000,823386.945960,257100000,16,0.003202594111085180000000
Support - OSU,2,4,35001,50000,89466,65000000,1,0.001376400
Support - OSU,2,4,5001,7500,533201.689545,241151500,9,0.002211065199863990000000
Support - OSU,20,24,0,1000,6850.401600,1531500,3,0.004473001371204700000000
Support - OSU,20,24,1001,2500,107094.033750,47050000,3,0.002276175000
Support - OSU,20,24,2501,5000,156007.5694503750,13576360.740000,3,0.011491118454942800000000
Support - OSU,20,24,5001,7500,128099.542500,45000000,1,0.002846656500
Support - OSU,20,24,7501,10000,184092.187500,2000000,1,0.092046093750
Support - OSU,25,29,0,1000,14180.139456,2377250,7,0.005964934043958360000000
Support - OSU,25,29,1001,2500,79355.2665764712,20913821.206170,4,0.003794393468041120000000
Support - OSU,25,29,2501,5000,2672.628000,95451,1,0.028000000
Support - OSU,30,999,0,1000,585.998400,100000,1,0.005859984000
Support - OSU,35,39,0,1000,82119.0371433675,9615671.578691,4,0.008540124989849800000000
Support - OSU,35,39,1001,2500,233706.150000,15000000,2,0.015580410
Support - OSU,40,44,0,1000,19500,1000000,1,0.019500000
Support - OSU,45,49,0,1000,1139.743750,50000,1,0.022794875000
Support - OSU,5,8,0,1000,511639.0918962500,119127008.110000,45,0.004294904237197080000000
Support - OSU,5,8,10001,15000,672316,517000000,3,0.001300417794970990000000
Support - OSU,5,8,1001,2500,345281.5583539370,90090878.803803,7,0.003832591744452620000000
Support - OSU,5,8,2501,5000,1646022.6893690500,558430972.926258,37,0.002947584874713620000000
Support - OSU,5,8,5001,7500,704506.668670,249900000,11,0.002819154336414570000000
Support - OSU,5,8,7501,10000,501943.680000,192000000,2,0.002614290
Support - OSU,9,14,0,1000,553206.256305,122784018.910000,69,0.004505523285652480000000
Support - OSU,9,14,1001,2500,979204.7914719250,227297177.934540,23,0.004308037611245350000000
Support - OSU,9,14,2501,5000,1508180.5815407300,564473656.403931,31,0.002671835194486900000000
Tank Barge - OTB,15,19,1001,2500,31631.157780,15550000,5,0.002034158056591640000000
Tank Barge - OTB,5,8,35001,50000,1035272.655000,434550000,6,0.002382401691404900000000
Tank Barge - OTB,50,999,1001,2500,2020.650000,1350000,3,0.001496777777777780000000
Tank Barge - OTB,9,14,1001,2500,19670.123200,4142125,2,0.004748800
Tank Barge - OTB,9,14,2501,5000,10473.441300,6000000,1,0.001745573550
Tank Barge - OTB,9,14,35001,50000,370845.090000,119550000,2,0.003102008281053950000000
Tank Barge - OTB,9,14,5001,7500,46921.017024,26880000,3,0.001745573550
Tanker (Unspecified) - TTA,0,1,1001,2500,30931.797160,7693520,1,0.004020500
Tanker (Unspecified) - TTA,15,19,0,1000,1245.781250,250000,1,0.004983125000
Tanker (Unspecified) - TTA,15,19,10001,15000,38013.9302812500,5527500,1,0.006877237500
Tanker (Unspecified) - TTA,15,19,35001,50000,72813.841600,28000000,2,0.002600494342857140000000
Tanker (Unspecified) - TTA,15,19,50001,999999999,92411.220000,13040000,1,0.007086750
Tanker (Unspecified) - TTA,15,19,7501,10000,78502.5187426214,13434568.824876,3,0.005843322533527310000000
Tanker (Unspecified) - TTA,2,4,0,1000,6765.911600,1481600,1,0.004566625000
Tanker (Unspecified) - TTA,2,4,1001,2500,45457.661424,15693520,2,0.002896587981791210000000
Tanker (Unspecified) - TTA,2,4,20001,25000,112333.500000,12000000,1,0.009361125000
Tanker (Unspecified) - TTA,2,4,2501,5000,148137.931180,45580000,7,0.003250064308468630000000
Tanker (Unspecified) - TTA,20,24,0,1000,14031.528000,2856000,1,0.004913000
Tanker (Unspecified) - TTA,20,24,25001,35000,732935.760000,116000000,6,0.006318411724137930000000
Tanker (Unspecified) - TTA,20,24,2501,5000,61150.336000,11200000,2,0.005459851428571430000000
Tanker (Unspecified) - TTA,20,24,50001,999999999,259266.009428,32012480,4,0.008098904221978430000000
Tanker (Unspecified) - TTA,20,24,7501,10000,73008.6328125000,3850000,1,0.018963281250
Tanker (Unspecified) - TTA,25,29,0,1000,13567.856400,2856000,1,0.004750650
Tanker (Unspecified) - TTA,25,29,1001,2500,3186.225000,600000,1,0.005310375000
Tanker (Unspecified) - TTA,5,8,10001,15000,29440.726200,16950000,1,0.001736916000
Tanker (Unspecified) - TTA,5,8,15001,20000,42915.6735939561,8235237.126387,1,0.005211225000
Tanker (Unspecified) - TTA,5,8,20001,25000,117950.652000,12000000,1,0.009829221000
Tanker (Unspecified) - TTA,5,8,2501,5000,54672.779000,13100000,3,0.004173494580152670000000
Tanker (Unspecified) - TTA,9,14,10001,15000,188071.578750,29355000,5,0.006406798799182420000000
Tanker (Unspecified) - TTA,9,14,15001,20000,43103.4370004377,8235237.126387,1,0.005234025000
Tanker (Unspecified) - TTA,9,14,2501,5000,26245.450000,7400000,3,0.003546682432432430000000
Tanker (Unspecified) - TTA,9,14,35001,50000,744730.655400,93600000,6,0.007956524096153850000000
Tanker (Unspecified) - TTA,9,14,50001,999999999,222234.7670130340,55394710.394162,4,0.004011840939896950000000
Tanker (Unspecified) - TTA,9,14,5001,7500,49142.8690990646,20116116.890601,3,0.002442960008948150000000
Tanker (Unspecified) - TTA,9,14,7501,10000,42977.088000,14960000,2,0.002872800
Tanker With Ro/Ro For Road Tankers. - TRR,9,14,5001,7500,17656.6139159760,12004528,1,0.001470829500
Tender - OTN,2,4,0,1000,8358.722400,2883750,1,0.002898560
Tender - OTN,5,8,0,1000,70289.781888,14081250,5,0.004991728851344870000000
Training - OTR,0,1,0,1000,20827.5959782836,796611.390000,1,0.026145240
Training - OTR,0,1,2501,5000,77079.5360817919,38118055.600725,2,0.002022126650141250000000
Training - OTR,15,19,0,1000,18630.2044070709,712565.821047,1,0.026145240
Trawler (All Types) - FTR,0,1,2501,5000,115931.471250,57500000,1,0.002016199500
Trawler (All Types) - FTR,20,24,0,1000,194096.2500000040,36000000.000001,2,0.005391562499999960000000
Trawler (All Types) - FTR,20,24,1001,2500,93084.562500,17000000,1,0.005475562500
Trawler (All Types) - FTR,25,29,0,1000,194343.7124999940,31899999.999999,3,0.006092279388714750000000
Trawler (All Types) - FTR,25,29,1001,2500,59475.9374999915,6999999.999999,1,0.008496562500
Trawler (All Types) - FTR,30,999,1001,2500,741393.125000,29300000,4,0.025303519624573400000000
Trawler (All Types) - FTR,30,999,2501,5000,1003806.480000,68400000,3,0.014675533333333300000000
Trawler (All Types) - FTR,35,39,0,1000,183737.569700,35757800,2,0.005138391335596710000000
Trawler (All Types) - FTR,35,39,1001,2500,327417.940850,60322900,2,0.005427755311001300000000
Trawler (All Types) - FTR,35,39,2501,5000,1041153.750000,32960000,4,0.031588402609223300000000
Trawler (All Types) - FTR,40,44,0,1000,323578.125000,2500000,1,0.129431250
Trawler (All Types) - FTR,40,44,1001,2500,350148.750000,7000000,1,0.050021250
Trawler (All Types) - FTR,40,44,2501,5000,679160.625000,7150000,1,0.094987500
Trawler (All Types) - FTR,45,49,1001,2500,416732.437500,6650000,2,0.062666531954887200000000
Tug - XTG,0,1,0,1000,531608.2600178410,207690452.456139,41,0.002559618190104850000000
Tug - XTG,0,1,1001,2500,54705.8128194000,17490909.100000,3,0.003127671209462750000000
Tug - XTG,15,19,0,1000,1340562.6917901800,500226168.600569,153,0.002679913159162650000000
Tug - XTG,15,19,1001,2500,12880.0921032000,5320000,3,0.002421069944210530000000
Tug - XTG,2,4,0,1000,1977914.8132527400,777253796.046976,145,0.002544747704433470000000
Tug - XTG,2,4,1001,2500,384584.4506474000,100469659.100000,12,0.003827866582732340000000
Tug - XTG,2,4,2501,5000,146087.2295890870,115346228.687946,4,0.001266510671833980000000
Tug - XTG,20,24,0,1000,1105542.6413874900,305527409.470833,161,0.003618472867302680000000
Tug - XTG,25,29,0,1000,623497.1966087430,140145140.620962,115,0.004448939105887800000000
Tug - XTG,25,29,1001,2500,111516.5119044260,26200000,5,0.004256355416199480000000
Tug - XTG,30,999,0,1000,770555.4179186450,167284618.090992,115,0.004606253860707700000000
Tug - XTG,30,999,2501,5000,611.568000,720000,1,0.000849400
Tug - XTG,35,39,0,1000,588733.8904394790,200086698.778865,83,0.002942393942388670000000
Tug - XTG,40,44,0,1000,240531.6119616950,108806114.068260,54,0.002210644264078730000000
Tug - XTG,45,49,0,1000,251371.8001368210,45859767.328332,47,0.005481314336750350000000
Tug - XTG,5,8,0,1000,3411529.0162528500,1030974444.587470,405,0.003309033540223130000000
Tug - XTG,5,8,1001,2500,586985.1622018340,313841069.951802,12,0.001870326156777310000000
Tug - XTG,5,8,2501,5000,207289.7034431360,109824659.692843,7,0.001887460466737460000000
Tug - XTG,50,999,0,1000,314463.1953169750,22118694.820268,26,0.014217077357965200000000
Tug - XTG,9,14,0,1000,4006483.7107368200,1293209014.036960,520,0.003098094482213620000000
Tug - XTG,9,14,1001,2500,242617.7439786600,85814812.951802,20,0.002827224527249470000000
Tug - XTG,9,14,2501,5000,73853.2994279740,15833965.769579,6,0.004664232606203090000000
Tug/Icebreaker - XTI,9,14,0,1000,68356.600000,26000000,2,0.002629100
Tug/Pilot Ship - XTP,0,1,0,1000,5944.2945930060,403087.740000,3,0.014746900
Tug/Pilot Ship - XTP,2,4,0,1000,77997.3029207125,39221056.250000,17,0.001988658908713420000000
Tug/Pilot Ship - XTP,30,999,0,1000,1911.596000,520000,3,0.003676146153846150000000
Tug/Pilot Ship - XTP,35,39,0,1000,202.161600,160000,1,0.001263510
Tug/Pilot Ship - XTP,40,44,0,1000,2296.383750,125000,1,0.018371070
Tug/Pilot Ship - XTP,5,8,0,1000,68731.7402657400,33654044.250000,10,0.002042302546319970000000
Tug/Supply - XTS,15,19,0,1000,20024.640000,4960000,2,0.004037225806451610000000
Tug/Supply - XTS,15,19,1001,2500,86855.6384833957,13541952.181109,5,0.006413819611958100000000
Tug/Supply - XTS,15,19,7501,10000,93100,70000000,1,0.001330000
Tug/Supply - XTS,2,4,1001,2500,198380.0377364890,39177724.628087,5,0.005063592631264460000000
Tug/Supply - XTS,2,4,2501,5000,403657.9555501720,185055810.396345,10,0.002181276852024440000000
Tug/Supply - XTS,20,24,0,1000,5860.486500,330000,1,0.017759050
Tug/Supply - XTS,5,8,0,1000,59391.654510,11373750,5,0.005221818178700960000000
Tug/Supply - XTS,5,8,1001,2500,1500001.9205193500,491199990.521347,43,0.003053749897118870000000
Tug/Supply - XTS,5,8,2501,5000,1024361.6993242800,445492517.688280,19,0.002299391479434550000000
Tug/Supply - XTS,9,14,0,1000,62439.1380383660,13180900.320000,6,0.004737092043980040000000
Tug/Supply - XTS,9,14,1001,2500,1902428.3414319300,397046791.035360,65,0.004791446208319830000000
Tug/Supply - XTS,9,14,2501,5000,374738.1937431450,83845610.529645,8,0.004469383565531440000000
Tug/Supply - XTS,9,14,7501,10000,65170,49000000,1,0.001330000
Tug/Support - XTX,15,19,0,1000,5327.715000,300000,1,0.017759050
Tug/Support - XTX,15,19,2501,5000,66945.994410,2540000,2,0.026356690712598400000000
Tug/Support - XTX,20,24,0,1000,14386.1970311915,896333.977604,5,0.016050040934125300000000
Tug/Support - XTX,25,29,0,1000,4439.762500,250000,1,0.017759050
Tug/Support - XTX,35,39,0,1000,3551.810000,200000,1,0.017759050
Tug/Support - XTX,45,49,0,1000,1945.364174093220,91055.662934,1,0.021364560
Tug/Support - XTX,5,8,0,1000,200403.756180,51735200,11,0.003873644176112200000000
Tug/Support - XTX,5,8,1001,2500,170218.292070,29949240,6,0.005683559651931070000000
Tug/Support - XTX,5,8,2501,5000,57822.253000,14484000,2,0.003992146713615020000000
Tug/Support - XTX,9,14,0,1000,151444.1705583530,37661290.804628,15,0.004021215612178200000000
Tug/Support - XTX,9,14,1001,2500,48847.0960215000,22569336,1,0.002164312500
Tug/Support - XTX,9,14,2501,5000,101936.0970023710,31449629.630000,5,0.003241249521906420000000
Vehicle Carrier - MVE,0,1,15001,20000,98778.400000,112000000,2,0.000881950
Vehicle Carrier - MVE,0,1,20001,25000,198156.906990,217980000,3,0.000909060037572254000000
Vehicle Carrier - MVE,0,1,25001,35000,199768.304970,221940000,3,0.000900100500
Vehicle Carrier - MVE,15,19,10001,15000,151009.680000,57600000,4,0.002621695833333330000000
Vehicle Carrier - MVE,15,19,15001,20000,453150,24000000,1,0.018881250
Vehicle Carrier - MVE,15,19,5001,7500,448177.4554547820,154637020.938687,6,0.002898254588288290000000
Vehicle Carrier - MVE,2,4,15001,20000,1012077.090480,955160000,16,0.001059589064114910000000
Vehicle Carrier - MVE,2,4,20001,25000,397598.8347375000,422600000,6,0.000940839646799574000000
Vehicle Carrier - MVE,20,24,10001,15000,98226.786000,56000000,2,0.001754049750
Vehicle Carrier - MVE,20,24,20001,25000,180335.525000,110000000,3,0.001639413863636360000000
Vehicle Carrier - MVE,20,24,2501,5000,105149.396000,26240000,3,0.004007217835365850000000
Vehicle Carrier - MVE,30,999,5001,7500,95827.7585294088,9751884.203340,2,0.009826589050
Vehicle Carrier - MVE,5,8,10001,15000,1063687.7204810800,849462694.584920,22,0.001252188856864200000000
Vehicle Carrier - MVE,5,8,20001,25000,666805.760750,625860000,10,0.001065423194883840000000
Vehicle Carrier - MVE,5,8,25001,35000,65547.562500,70000000,1,0.000936393750
Vehicle Carrier - MVE,5,8,2501,5000,94929.750000,90000000,3,0.001054775000
Vehicle Carrier - MVE,9,14,10001,15000,1396787.7468796100,825655515.387084,22,0.001691731867405710000000
Vehicle Carrier - MVE,9,14,15001,20000,132416.872000,107440000,3,0.001232472747580040000000
Vehicle Carrier - MVE,9,14,2501,5000,325780.674000,227440000,9,0.001432380733380230000000
Vehicle Carrier - MVE,9,14,5001,7500,120731.5250553760,59904431.534807,2,0.002015402232558140000000
Vessel Type (Unspecified) - ZZZ,2,4,0,1000,1474.0364097000,145454.550000,1,0.010134000
Vessel Type (Unspecified) - ZZZ,2,4,20001,25000,1528860.750000,1065000000,2,0.001435550
Vessel Type (Unspecified) - ZZZ,5,8,0,1000,2627.1206224000,73915.040000,2,0.035542436592065700000000
Vessel Type (Unspecified) - ZZZ,9,14,0,1000,146707.0968947180,6547483.113198,7,0.022406639980330100000000
Wood-Chip Carrier - BWC,2,4,35001,50000,94797.750000,60000000,2,0.001579962500
Work Ship - OWO,0,1,0,1000,14647.3107006078,5003651,5,0.002927324607693010000000
Work Ship - OWO,0,1,1001,2500,7019.381226,2860000,2,0.002454329100
Work Ship - OWO,15,19,0,1000,1227.164550,500000,1,0.002454329100
Work Ship - OWO,2,4,0,1000,45672.2413955088,9735063.226120,8,0.004691519750274070000000
Work Ship - OWO,2,4,1001,2500,7721.3193486000,2860000,2,0.002699762010
Work Ship - OWO,2,4,5001,7500,71298.057600,25200000,1,0.002829288000
Work Ship - OWO,20,24,0,1000,36119.9966365466,3564775.283292,8,0.010132475055535700000000
Work Ship - OWO,25,29,0,1000,11902.1210172240,1054452,5,0.011287494373593100000000
Work Ship - OWO,30,999,0,1000,5343.868048,466000,1,0.011467528000
Work Ship - OWO,35,39,0,1000,1224.143777553320,322950.475545,1,0.003790500
Work Ship - OWO,40,44,0,1000,5353.307820249020,2551308.756802,3,0.002098259493672280000000
Work Ship - OWO,45,49,0,1000,7664.566733275040,1554814.283292,3,0.004929570570349340000000
Work Ship - OWO,5,8,0,1000,115292.1063012220,21087886.987199,14,0.005467219469224560000000
Work Ship - OWO,5,8,2501,5000,161346.882000,36200000,2,0.004457096187845300000000
Work Ship - OWO,5,8,5001,7500,77764.124000,23600000,1,0.003295090
Work Ship - OWO,5,8,7501,10000,303993.7611269200,29454545,1,0.010320776000
Work Ship - OWO,9,14,0,1000,44613.6046259495,7859131.888407,11,0.005676658091431060000000
Yacht - OYT,0,1,0,1000,768074.5998244660,342484473.607222,6,0.002242655241374040000000
Yacht - OYT,0,1,1001,2500,2403142.8929661100,835875788.857776,2,0.002875000
Yacht - OYT,0,1,7501,10000,384000,80000000,1,0.004800000
Yacht - OYT,2,4,0,1000,647043.5618411660,212175157.771555,4,0.003049572667398820000000
Yacht - OYT,2,4,2501,5000,52080,46500000,2,0.001120000
Yacht - OYT,20,24,0,1000,187735.8887005640,75293030.097521,5,0.002493403286564570000000
Yacht - OYT,30,999,0,1000,81328.8662211149,7626735.922214,3,0.010663653108039600000000
Yacht - OYT,35,39,0,1000,4827.862500,750000,1,0.006437150
Yacht - OYT,5,8,0,1000,2666213.2485851500,1014845539.403310,7,0.002627210885858340000000
Yacht - OYT,5,8,1001,2500,1872361.7670414200,585113052.200443,2,0.003200000
Yacht - OYT,50,999,0,1000,66207.369360,17515680,5,0.003779891466388970000000
Yacht - OYT,9,14,0,1000,1217500.6416083900,319434951.509704,6,0.003811419620346110000000
Yacht - OYT,9,14,1001,2500,3948598.0969894600,1811064209.191850,4,0.002180264000
Yacht - OYT,9,14,5001,7500,47600,42500000,2,0.001120000
