vessel_type,age_lower_bound,age_upper_bound,dwt_lower_bound,dwt_upper_bound,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Landing Craft - OLC,2,4,2501,5000,27361.920000,3000000,1,0.009120640
Landing Craft - OLC,20,24,0,1000,8237.9816154816,969032.459946,2,0.008501244236896530000000
Landing Craft - OLC,40,44,0,1000,10523.250000,187500,1,0.056124000
Landing Craft - OLC,5,8,0,1000,6871.567716086650,518511.051959,1,0.013252500
Landing Craft - OLC,5,8,1001,2500,31440.5760497159,7898296.110136,3,0.003980678314828910000000
Landing Craft - OLC,5,8,2501,5000,34056.0964976047,4844257.133169,1,0.007030200
Landing Craft - OLC,9,14,0,1000,38019.0716930579,6032607.836629,10,0.006302261430324110000000
Landing Craft - OLC,9,14,1001,2500,25508.3040655091,4266054.973367,2,0.005979366000850340000000
Landing Craft - OLC,9,14,2501,5000,28674.4105970685,4079033.303302,1,0.007029707400
Liquid Natural Gas Carrier - LNG,0,1,25001,35000,124524.680000,75950000,2,0.001639561290322580000000
Liquid Natural Gas Carrier - LNG,0,1,50001,999999999,1909414.742790,2694660000,15,0.000708592083153348000000
Liquid Natural Gas Carrier - LNG,0,1,7501,10000,187241.580000,228000000,1,0.000821235000
Liquid Natural Gas Carrier - LNG,15,19,15001,20000,51881.616430,29750000,2,0.001743919880
Liquid Natural Gas Carrier - LNG,15,19,50001,999999999,617941.240000,571800000,14,0.001080694718433020000000
Liquid Natural Gas Carrier - LNG,2,4,25001,35000,152697.608000,75530000,2,0.002021681556997220000000
Liquid Natural Gas Carrier - LNG,2,4,50001,999999999,3130710.776275,6100100000,35,0.000513222861309651000000
Liquid Natural Gas Carrier - LNG,20,24,15001,20000,98051.184000,35200000,1,0.002785545000
Liquid Natural Gas Carrier - LNG,20,24,2501,5000,139409.1119233740,16580676.690000,4,0.008407926559924640000000
Liquid Natural Gas Carrier - LNG,20,24,35001,50000,124587.040000,21800000,2,0.005715001834862390000000
Liquid Natural Gas Carrier - LNG,20,24,50001,999999999,161861.356800,213600000,7,0.000757777887640449000000
Liquid Natural Gas Carrier - LNG,25,29,2501,5000,146756.064320,11460676,3,0.012805183945519400000000
Liquid Natural Gas Carrier - LNG,25,29,50001,999999999,23940.134400,33600000,2,0.000712504000
Liquid Natural Gas Carrier - LNG,30,999,2501,5000,110651.5672498500,42151561,2,0.002625088244059340000000
Liquid Natural Gas Carrier - LNG,35,39,50001,999999999,158999.841000,42000000,2,0.003785710500
Liquid Natural Gas Carrier - LNG,40,44,50001,999999999,82680.318000,21000000,1,0.003937158000
Liquid Natural Gas Carrier - LNG,5,8,25001,35000,78084.349200,82734000,2,0.000943800
Liquid Natural Gas Carrier - LNG,5,8,2501,5000,199695.0620853000,111590727,4,0.001789530971379910000000
Liquid Natural Gas Carrier - LNG,5,8,35001,50000,252476.368000,149420000,2,0.001689709329407040000000
Liquid Natural Gas Carrier - LNG,5,8,50001,999999999,3214632.171260,5461010000,34,0.000588651581165389000000
Liquid Natural Gas Carrier - LNG,5,8,5001,7500,76273.211950,36790000,2,0.002073205000
Liquid Natural Gas Carrier - LNG,9,14,15001,20000,162158.640000,82734000,2,0.001960000
Liquid Natural Gas Carrier - LNG,9,14,2501,5000,176117.8694341000,94471561,5,0.001864242186430050000000
