"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/layers/nmp/non_modelled_perils_21","non_modelled_perils_21","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_22/gross_el","gross_el","float","output","n/a","Gross EL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_22/loss_on_line","loss_on_line","float","output","n/a","Gross LoL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_22/gross_sd","gross_sd","float","output","n/a","Gross SD","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_22/include_curve","include_curve","bool","input","required","Include Curve","True","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_22","non_modelled_perils_22","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_23/gross_el","gross_el","float","output","n/a","Gross EL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_23/loss_on_line","loss_on_line","float","output","n/a","Gross LoL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_23/gross_sd","gross_sd","float","output","n/a","Gross SD","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_23/include_curve","include_curve","bool","input","required","Include Curve","True","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_23","non_modelled_perils_23","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_24/gross_el","gross_el","float","output","n/a","Gross EL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_24/loss_on_line","loss_on_line","float","output","n/a","Gross LoL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_24/gross_sd","gross_sd","float","output","n/a","Gross SD","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_24/include_curve","include_curve","bool","input","required","Include Curve","True","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_24","non_modelled_perils_24","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_25/gross_el","gross_el","float","output","n/a","Gross EL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_25/loss_on_line","loss_on_line","float","output","n/a","Gross LoL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_25/gross_sd","gross_sd","float","output","n/a","Gross SD","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_25/include_curve","include_curve","bool","input","required","Include Curve","True","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_25","non_modelled_perils_25","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_26/gross_el","gross_el","float","output","n/a","Gross EL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_26/loss_on_line","loss_on_line","float","output","n/a","Gross LoL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_26/gross_sd","gross_sd","float","output","n/a","Gross SD","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_26/include_curve","include_curve","bool","input","required","Include Curve","True","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_26","non_modelled_perils_26","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_27/gross_el","gross_el","float","output","n/a","Gross EL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_27/loss_on_line","loss_on_line","float","output","n/a","Gross LoL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_27/gross_sd","gross_sd","float","output","n/a","Gross SD","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_27/include_curve","include_curve","bool","input","required","Include Curve","True","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_27","non_modelled_perils_27","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_28/gross_el","gross_el","float","output","n/a","Gross EL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_28/loss_on_line","loss_on_line","float","output","n/a","Gross LoL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_28/gross_sd","gross_sd","float","output","n/a","Gross SD","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_28/include_curve","include_curve","bool","input","required","Include Curve","True","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_28","non_modelled_perils_28","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_29/gross_el","gross_el","float","output","n/a","Gross EL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_29/loss_on_line","loss_on_line","float","output","n/a","Gross LoL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_29/gross_sd","gross_sd","float","output","n/a","Gross SD","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_29/include_curve","include_curve","bool","input","required","Include Curve","True","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_29","non_modelled_perils_29","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_30/gross_el","gross_el","float","output","n/a","Gross EL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_30/loss_on_line","loss_on_line","float","output","n/a","Gross LoL","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_30/gross_sd","gross_sd","float","output","n/a","Gross SD","n/a","n/a","['nmp_calc_task']"
"cds/layers/nmp/non_modelled_perils_30/include_curve","include_curve","bool","input","required","Include Curve","True","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_30","non_modelled_perils_30","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_total/gross_el","gross_el","float","output","n/a","Gross EL","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_total/loss_on_line","loss_on_line","float","output","n/a","Gross LoL","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_total/gross_sd","gross_sd","float","output","n/a","Gross SD","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_total/gross_el_uw","gross_el_uw","float","input","optional","Gross EL UW Override","None","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_total/gross_sd_uw","gross_sd_uw","float","input","optional","Gross SD UW Override","None","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_total/peril_el/el_eq","el_eq","float","output","n/a","Not set","n/a","['peril_allocation_task']","n/a"
"cds/layers/nmp/non_modelled_perils_total/peril_el/el_ws","el_ws","float","output","n/a","Not set","n/a","['peril_allocation_task']","n/a"
"cds/layers/nmp/non_modelled_perils_total/peril_el/el_scs","el_scs","float","output","n/a","Not set","n/a","['peril_allocation_task']","n/a"
"cds/layers/nmp/non_modelled_perils_total/peril_el/el_wf","el_wf","float","output","n/a","Not set","n/a","['peril_allocation_task']","n/a"
"cds/layers/nmp/non_modelled_perils_total/peril_el/el_winter","el_winter","float","output","n/a","Not set","n/a","['peril_allocation_task']","n/a"
"cds/layers/nmp/non_modelled_perils_total/peril_el/el_fl","el_fl","float","output","n/a","Not set","n/a","['peril_allocation_task']","n/a"
"cds/layers/nmp/non_modelled_perils_total/peril_el/el_other","el_other","float","output","n/a","Not set","n/a","['peril_allocation_task']","n/a"
"cds/layers/nmp/non_modelled_perils_total/peril_el","peril_el","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/nmp/non_modelled_perils_total","non_modelled_perils_total","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/nmp","nmp","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/burn/burn_coverage/coverage_1","coverage_1","bool","input","required","Coverage 1","True","n/a","n/a"
"cds/layers/burn/burn_coverage/coverage_2","coverage_2","bool","input","required","Coverage 2","True","n/a","n/a"
"cds/layers/burn/burn_coverage/coverage_3","coverage_3","bool","input","required","Coverage 3","True","n/a","n/a"
"cds/layers/burn/burn_coverage/coverage_4","coverage_4","bool","input","required","Coverage 4","True","n/a","n/a"
"cds/layers/burn/burn_coverage/coverage_5","coverage_5","bool","input","required","Coverage 5","True","n/a","n/a"
"cds/layers/burn/burn_coverage/coverage_6","coverage_6","bool","input","required","Coverage 6","True","n/a","n/a"
"cds/layers/burn/burn_coverage/coverage_7","coverage_7","bool","input","required","Coverage 7","True","n/a","n/a"
"cds/layers/burn/burn_coverage/coverage_8","coverage_8","bool","input","required","Coverage 8","True","n/a","n/a"
"cds/layers/burn/burn_coverage","burn_coverage","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/burn/burn_result/avg_3_year","avg_3_year","float","output","n/a","3 Year Average","n/a","n/a","n/a"
"cds/layers/burn/burn_result/avg_5_year","avg_5_year","float","output","n/a","5 Year Average","n/a","n/a","n/a"
"cds/layers/burn/burn_result/avg_7_year","avg_7_year","float","output","n/a","7 Year Average","n/a","n/a","n/a"
"cds/layers/burn/burn_result/avg_all_year","avg_all_year","float","output","n/a","All Year Average","n/a","n/a","n/a"
"cds/layers/burn/burn_result/selection","selection","str","input","required","Base Period","All Years","n/a","n/a"
"cds/layers/burn/burn_result/gross_burn_el","gross_burn_el","float","output","n/a","Gross Burn EL","n/a","n/a","n/a"
"cds/layers/burn/burn_result/gross_burn_sd","gross_burn_sd","float","output","n/a","Gross Burn SD","n/a","n/a","n/a"
"cds/layers/burn/burn_result/gross_burn_lol","gross_burn_lol","float","output","n/a","Gross Burn LOL","n/a","n/a","n/a"
"cds/layers/burn/burn_result/gross_burn_sd_rol","gross_burn_sd_rol","float","output","n/a","Gross Burn SD ROL","n/a","n/a","n/a"
"cds/layers/burn/burn_result","burn_result","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/burn","burn","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/peril_allocation/final_proportions/el_eq","el_eq","float","output","n/a","EQ","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/final_proportions/el_ws","el_ws","float","output","n/a","WS","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/final_proportions/el_scs","el_scs","float","output","n/a","SCS","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/final_proportions/el_wf","el_wf","float","output","n/a","WF","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/final_proportions/el_winter","el_winter","float","output","n/a","Winter","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/final_proportions/el_fl","el_fl","float","output","n/a","FL","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/final_proportions/el_other","el_other","float","output","n/a","Other","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/final_proportions","final_proportions","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/peril_allocation/rms_el_approx/el_eq","el_eq","float","output","n/a","RMS EQ PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/rms_el_approx/el_ws","el_ws","float","output","n/a","RMS WS PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/rms_el_approx/el_scs","el_scs","float","output","n/a","RMS SCS PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/rms_el_approx/el_wf","el_wf","float","output","n/a","RMS WF PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/rms_el_approx/el_winter","el_winter","float","output","n/a","RMS Winter PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/rms_el_approx/el_fl","el_fl","float","output","n/a","RMS FL PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/rms_el_approx/el_other","el_other","float","output","n/a","RMS Other PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/rms_el_approx","rms_el_approx","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/peril_allocation/air_el_approx/el_eq","el_eq","float","output","n/a","AIR EQ PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/air_el_approx/el_ws","el_ws","float","output","n/a","AIR WS PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/air_el_approx/el_scs","el_scs","float","output","n/a","AIR SCS PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/air_el_approx/el_wf","el_wf","float","output","n/a","AIR WF PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/air_el_approx/el_winter","el_winter","float","output","n/a","AIR Winter PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/air_el_approx/el_fl","el_fl","float","output","n/a","AIR FL PML Approx.","n/a","n/a","['peril_allocation_task']"
