class_exposure_measure,product,class,exposure_measure_agg_group,exposure_measure,base_rate,format,formatted_base_rate
Pharmacy/Infusion Services // Scripts - Compounding Low Acuity,Misc Med,Pharmacy/Infusion Services,Scripts,Scripts - Compounding Low Acuity,0.1,2 decimal places,0.1
Pharmacy/Infusion Services // Scripts - Compounding Medium Acuity ,Misc Med,Pharmacy/Infusion Services,Scripts,Scripts - Compounding Medium Acuity ,0.2,2 decimal places,0.2
Pharmacy/Infusion Services // Scripts - Compounding High Acuity,Misc Med,Pharmacy/Infusion Services,Scripts,Scripts - Compounding High Acuity,0.35,2 decimal places,0.35
Pharmacy/Infusion Services // Doctors,Misc Med,Pharmacy/Infusion Services,Doctors,Doctors,3500.0,Number with comma separator,"3,500"
Pharmacy/Infusion Services // Pharmacists,Misc Med,Pharmacy/Infusion Services,People,Pharmacists,1000.0,Number with comma separator,"1,000"
Pharmacy/Infusion Services // Nurses,Misc Med,Pharmacy/Infusion Services,People,Nurses,450.0,Number with comma separator,450
Pharmacy/Infusion Services // Pharmacy Technicians,Misc Med,Pharmacy/Infusion Services,People,Pharmacy Technicians,150.0,Number with comma separator,150
Product Sales/Manufacturers Representative // Receipts,Misc Med,Product Sales/Manufacturers Representative,Receipts,Receipts,0.0015,4 decimal places,0.0015
Product Sales/Manufacturers Representative // Manufacturers' Representatives,Misc Med,Product Sales/Manufacturers Representative,People,Manufacturers' Representatives,200.0,Number with comma separator,200
Product Sales/Manufacturers Representative // Surgeries/Procedures,Misc Med,Product Sales/Manufacturers Representative,Procedures,Surgeries/Procedures,1.0,2 decimal places,1
Prosthetics/Orthotics/Hearing Aids // Receipts,Misc Med,Prosthetics/Orthotics/Hearing Aids,Receipts,Receipts,0.002,4 decimal places,0.002
Prosthetics/Orthotics/Hearing Aids // Hearing Aid Fitters,Misc Med,Prosthetics/Orthotics/Hearing Aids,People,Hearing Aid Fitters,175.0,Number with comma separator,175
Research Foundations & Associations // Receipts,Misc Med,Research Foundations & Associations,Receipts,Receipts,0.001,4 decimal places,0.001
Research Foundations & Associations // Doctors,Misc Med,Research Foundations & Associations,Doctors,Doctors,1500.0,Number with comma separator,"1,500"
Residential - Developmentally Disabled/Group Home // Receipts,Misc Med,Residential - Developmentally Disabled/Group Home,Receipts,Receipts,0.0225,4 decimal places,0.0225
Residential - Developmentally Disabled/Group Home // Beds,Misc Med,Residential - Developmentally Disabled/Group Home,Beds,Beds,3000.0,Number with comma separator,"3,000"
Residential - Developmentally Disabled/Group Home // Visits,Misc Med,Residential - Developmentally Disabled/Group Home,Visits,Visits,1.5,2 decimal places,1.5
Residential - Developmentally Disabled/Group Home // Psychiatrists,Misc Med,Residential - Developmentally Disabled/Group Home,Doctors,Psychiatrists,5000.0,Number with comma separator,"5,000"
Residential - Developmentally Disabled/Group Home // Doctors,Misc Med,Residential - Developmentally Disabled/Group Home,Doctors,Doctors,5000.0,Number with comma separator,"5,000"
Residential - Developmentally Disabled/Group Home // Mid-Level Providers NP/PA,Misc Med,Residential - Developmentally Disabled/Group Home,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Residential - Developmentally Disabled/Group Home // Nurses,Misc Med,Residential - Developmentally Disabled/Group Home,People,Nurses,450.0,Number with comma separator,450
Residential - Developmentally Disabled/Group Home // Social Workers/Counselors,Misc Med,Residential - Developmentally Disabled/Group Home,People,Social Workers/Counselors,350.0,Number with comma separator,350
Residential - Developmentally Disabled/Group Home // Case Management/Case Worker,Misc Med,Residential - Developmentally Disabled/Group Home,People,Case Management/Case Worker,250.0,Number with comma separator,250
Residential - Shelters/Halfway House/Transitional Housing // Receipts,Misc Med,Residential - Shelters/Halfway House/Transitional Housing,Receipts,Receipts,0.004,4 decimal places,0.004
Residential - Shelters/Halfway House/Transitional Housing // Beds - Prison Release,Misc Med,Residential - Shelters/Halfway House/Transitional Housing,Beds,Beds - Prison Release,2000.0,Number with comma separator,"2,000"
Residential - Shelters/Halfway House/Transitional Housing // Beds - All Other,Misc Med,Residential - Shelters/Halfway House/Transitional Housing,Beds,Beds - All Other,450.0,Number with comma separator,450
Residential - Shelters/Halfway House/Transitional Housing // Visits,Misc Med,Residential - Shelters/Halfway House/Transitional Housing,Visits,Visits,0.65,2 decimal places,0.65
Residential - Shelters/Halfway House/Transitional Housing // Social Workers/Counselors,Misc Med,Residential - Shelters/Halfway House/Transitional Housing,People,Social Workers/Counselors,350.0,Number with comma separator,350
Residential - Shelters/Halfway House/Transitional Housing // Case Management/Case Worker,Misc Med,Residential - Shelters/Halfway House/Transitional Housing,People,Case Management/Case Worker,250.0,Number with comma separator,250
Schools - Allied Medical Training/Nursing/Mid-Level // Receipts - School,Misc Med,Schools - Allied Medical Training/Nursing/Mid-Level,Receipts,Receipts - School,0.0015,4 decimal places,0.0015
Schools - Allied Medical Training/Nursing/Mid-Level // Receipts - Student Clinic,Misc Med,Schools - Allied Medical Training/Nursing/Mid-Level,Receipts,Receipts - Student Clinic,0.0025,4 decimal places,0.0025
Schools - Allied Medical Training/Nursing/Mid-Level // Visits - Student Clinic (Medical),Misc Med,Schools - Allied Medical Training/Nursing/Mid-Level,Visits,Visits - Student Clinic (Medical),0.95,2 decimal places,0.95
Schools - Allied Medical Training/Nursing/Mid-Level // Visits - Student Clinic (Behavioral),Misc Med,Schools - Allied Medical Training/Nursing/Mid-Level,Visits,Visits - Student Clinic (Behavioral),1.25,2 decimal places,1.25
Schools - Allied Medical Training/Nursing/Mid-Level // Students - Low Acuity,Misc Med,Schools - Allied Medical Training/Nursing/Mid-Level,Student,Students - Low Acuity,5.0,0 decimal places,5
Schools - Allied Medical Training/Nursing/Mid-Level // Students - Medium Acuity,Misc Med,Schools - Allied Medical Training/Nursing/Mid-Level,Student,Students - Medium Acuity,10.0,0 decimal places,10
Schools - Allied Medical Training/Nursing/Mid-Level // Students - High Acuity,Misc Med,Schools - Allied Medical Training/Nursing/Mid-Level,Student,Students - High Acuity,15.0,0 decimal places,15
Schools - Beauty // Receipts,Misc Med,Schools - Beauty,Receipts,Receipts,0.002,4 decimal places,0.002
Schools - Beauty // Students,Misc Med,Schools - Beauty,Student,Students,10.0,0 decimal places,10
Schools - Physicians/Dentists // Receipts - School,Misc Med,Schools - Physicians/Dentists,Receipts,Receipts - School,0.003,4 decimal places,0.003
Schools - Physicians/Dentists // Receipts - Student Clinic,Misc Med,Schools - Physicians/Dentists,Receipts,Receipts - Student Clinic,0.0025,4 decimal places,0.0025
Schools - Physicians/Dentists // Visits - Student Clinic (Medical),Misc Med,Schools - Physicians/Dentists,Visits,Visits - Student Clinic (Medical),0.95,2 decimal places,0.95
Schools - Physicians/Dentists // Visits - Student Clinic (Behavioral),Misc Med,Schools - Physicians/Dentists,Visits,Visits - Student Clinic (Behavioral),1.25,2 decimal places,1.25
Schools - Physicians/Dentists // Students - Low Acuity,Misc Med,Schools - Physicians/Dentists,Student,Students - Low Acuity,50.0,0 decimal places,50
Schools - Physicians/Dentists // Students - Medium Acuity,Misc Med,Schools - Physicians/Dentists,Student,Students - Medium Acuity,100.0,0 decimal places,100
Schools - Physicians/Dentists // Students - High Acuity,Misc Med,Schools - Physicians/Dentists,Student,Students - High Acuity,150.0,0 decimal places,150
Social Services Agency - All Other // Receipts,Misc Med,Social Services Agency - All Other,Receipts,Receipts,0.0035,4 decimal places,0.0035
Social Services Agency - All Other // Beds - Temporary Housing,Misc Med,Social Services Agency - All Other,Beds,Beds - Temporary Housing,1000.0,Number with comma separator,"1,000"
Social Services Agency - All Other // Visits - Low Acuity,Misc Med,Social Services Agency - All Other,Visits,Visits - Low Acuity,0.45,2 decimal places,0.45
Social Services Agency - All Other // Visits - High Acuity ,Misc Med,Social Services Agency - All Other,Visits,Visits - High Acuity ,0.75,2 decimal places,0.75
Social Services Agency - All Other // Visits - Counseling Only,Misc Med,Social Services Agency - All Other,Visits,Visits - Counseling Only,0.65,2 decimal places,0.65
Social Services Agency - All Other // Social Workers/Counselors,Misc Med,Social Services Agency - All Other,People,Social Workers/Counselors,350.0,Number with comma separator,350
Social Services Agency - All Other // Case Management/Case Worker,Misc Med,Social Services Agency - All Other,People,Case Management/Case Worker,250.0,Number with comma separator,250
Social Services Agency - Foster/Adoption // Receipts,Misc Med,Social Services Agency - Foster/Adoption,Receipts,Receipts,0.0075,4 decimal places,0.0075
Social Services Agency - Foster/Adoption // Foster Placements,Misc Med,Social Services Agency - Foster/Adoption,Placements,Foster Placements,450.0,Number with comma separator,450
Social Services Agency - Foster/Adoption // Adoptions,Misc Med,Social Services Agency - Foster/Adoption,Placements,Adoptions,250.0,Number with comma separator,250
Social Services Agency - Foster/Adoption // Beds - Behavioral,Misc Med,Social Services Agency - Foster/Adoption,Beds,Beds - Behavioral,2000.0,Number with comma separator,"2,000"
Social Services Agency - Foster/Adoption // Beds - Group/Transitional Homes,Misc Med,Social Services Agency - Foster/Adoption,Beds,Beds - Group/Transitional Homes,1000.0,Number with comma separator,"1,000"
Social Services Agency - Foster/Adoption // Visits - Low Acuity,Misc Med,Social Services Agency - Foster/Adoption,Visits,Visits - Low Acuity,0.45,2 decimal places,0.45
Social Services Agency - Foster/Adoption // Visits - High Acuity,Misc Med,Social Services Agency - Foster/Adoption,Visits,Visits - High Acuity,0.75,2 decimal places,0.75
Social Services Agency - Foster/Adoption // Visits - Counseling Only,Misc Med,Social Services Agency - Foster/Adoption,Visits,Visits - Counseling Only,0.65,2 decimal places,0.65
Social Services Agency - Foster/Adoption // Social Workers/Counselors,Misc Med,Social Services Agency - Foster/Adoption,People,Social Workers/Counselors,350.0,Number with comma separator,350
Social Services Agency - Foster/Adoption // Case Management/Case Worker,Misc Med,Social Services Agency - Foster/Adoption,People,Case Management/Case Worker,250.0,Number with comma separator,250
Stem Cells // Receipts,Misc Med,Stem Cells,Receipts,Receipts,0.005,4 decimal places,0.005
Stem Cells // Procedure - Autologous Only,Misc Med,Stem Cells,Procedures,Procedure - Autologous Only,6.0,0 decimal places,6
Stem Cells // Collection - Research,Misc Med,Stem Cells,Banking,Collection - Research,3.0,0 decimal places,3
Stem Cells // Collection/Banking - Autologous Only,Misc Med,Stem Cells,Banking,Collection/Banking - Autologous Only,2.0,0 decimal places,2
Surgery Center // Receipts,Misc Med,Surgery Center,Receipts,Receipts,0.012,4 decimal places,0.012
Surgery Center // Bariatric,Misc Med,Surgery Center,Procedures,Bariatric,150.0,0 decimal places,150
Surgery Center // Cosmetics - Low Acuity,Misc Med,Surgery Center,Procedures,Cosmetics - Low Acuity,30.0,0 decimal places,30
Surgery Center // ENT,Misc Med,Surgery Center,Procedures,ENT,21.0,0 decimal places,21
Surgery Center // General,Misc Med,Surgery Center,Procedures,General,18.0,0 decimal places,18
Surgery Center // Gastrointestinal/Colonoscopy,Misc Med,Surgery Center,Procedures,Gastrointestinal/Colonoscopy,12.0,0 decimal places,12
Surgery Center // Gynecology,Misc Med,Surgery Center,Procedures,Gynecology,18.0,0 decimal places,18
Surgery Center // Ophthalmology,Misc Med,Surgery Center,Procedures,Ophthalmology,9.0,0 decimal places,9
Surgery Center // Oral/Maxi,Misc Med,Surgery Center,Procedures,Oral/Maxi,9.0,0 decimal places,9
Surgery Center // Orthopedic,Misc Med,Surgery Center,Procedures,Orthopedic,45.0,0 decimal places,45
Surgery Center // Otolaryngology,Misc Med,Surgery Center,Procedures,Otolaryngology,18.0,0 decimal places,18
Surgery Center // Pain Management,Misc Med,Surgery Center,Procedures,Pain Management,15.0,0 decimal places,15
Surgery Center // Plastics,Misc Med,Surgery Center,Procedures,Plastics,120.0,0 decimal places,120
Surgery Center // Podiatry,Misc Med,Surgery Center,Procedures,Podiatry,18.0,0 decimal places,18
Surgery Center // Spine/Neurology,Misc Med,Surgery Center,Procedures,Spine/Neurology,225.0,0 decimal places,225
Surgery Center // Urology,Misc Med,Surgery Center,Procedures,Urology,18.0,0 decimal places,18
Surgery Center // Imaging - CT Scans,Misc Med,Surgery Center,Procedures,Imaging - CT Scans,2.0,2 decimal places,2
Surgery Center // Imaging - MRIs,Misc Med,Surgery Center,Procedures,Imaging - MRIs,1.5,2 decimal places,1.5
Surgery Center // Imaging - Ultrasounds,Misc Med,Surgery Center,Procedures,Imaging - Ultrasounds,1.0,2 decimal places,1
Surgery Center // Mid-Level Providers NP/PA,Misc Med,Surgery Center,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Surgery Center // Nurses,Misc Med,Surgery Center,People,Nurses,450.0,Number with comma separator,450
Surgery Center // Medical Assistants/Technicians,Misc Med,Surgery Center,People,Medical Assistants/Technicians,175.0,Number with comma separator,175
Teleneurology // Receipts,Virtual Care,Teleneurology,Receipts,Receipts,0.009,4 decimal places,0.009
Teleneurology // Reads - High Acuity,Virtual Care,Teleneurology,Reads,Reads - High Acuity,1.4,2 decimal places,1.4
Teleneurology // Doctors,Virtual Care,Teleneurology,Doctors,Doctors,1500.0,Number with comma separator,"1,500"
Teleneurology // Neurologists,Virtual Care,Teleneurology,Doctors,Neurologists,15000.0,Number with comma separator,"15,000"
Teleneurology // Mid-Level Providers NP/PA,Virtual Care,Teleneurology,People,Mid-Level Providers NP/PA,1000.0,Number with comma separator,"1,000"
Teleneurology // Pharmacists,Virtual Care,Teleneurology,People,Pharmacists,750.0,Number with comma separator,750
Teleneurology // Nurses,Virtual Care,Teleneurology,People,Nurses,450.0,Number with comma separator,450
Teleradiology // Receipts,Virtual Care,Teleradiology,Receipts,Receipts,0.009,4 decimal places,0.009
Teleradiology // Reads - Wet/First,Virtual Care,Teleradiology,Reads,Reads - Wet/First,1.05,2 decimal places,1.05
Teleradiology // Reads - Blend,Virtual Care,Teleradiology,Reads,Reads - Blend,1.2,2 decimal places,1.2
Teleradiology // Reads - Final,Virtual Care,Teleradiology,Reads,Reads - Final,1.4,2 decimal places,1.4
Teleradiology // Doctors,Virtual Care,Teleradiology,Doctors,Doctors,10000.0,Number with comma separator,"10,000"
Live Video // Receipts - High Acuity,Virtual Care,Live Video,Receipts,Receipts - High Acuity,0.006,4 decimal places,0.006
Live Video // Receipts - Average Acuity,Virtual Care,Live Video,Receipts,Receipts - Average Acuity,0.003,4 decimal places,0.003
Live Video // Receipts - Low Acuity,Virtual Care,Live Video,Receipts,Receipts - Low Acuity,0.0015,4 decimal places,0.0015
Live Video // Visits - High Acuity,Virtual Care,Live Video,Visits,Visits - High Acuity,2.5,2 decimal places,2.5
Live Video // Visits - Average Acuity,Virtual Care,Live Video,Visits,Visits - Average Acuity,1.0,2 decimal places,1
Live Video // Visits - Low Acuity,Virtual Care,Live Video,Visits,Visits - Low Acuity,0.5,2 decimal places,0.5
Live Video // Doctors,Virtual Care,Live Video,Doctors,Doctors,1500.0,Number with comma separator,"1,500"
Live Video // Midwife,Virtual Care,Live Video,People,Midwife,1750.0,Number with comma separator,"1,750"
Live Video // Psychiatrists,Virtual Care,Live Video,Doctors,Psychiatrists,1250.0,Number with comma separator,"1,250"
Live Video // Doctors - Lifestyle/Wellness,Virtual Care,Live Video,Doctors,Doctors - Lifestyle/Wellness,1250.0,Number with comma separator,"1,250"
Live Video // Mid-Level Providers NP/PA,Virtual Care,Live Video,People,Mid-Level Providers NP/PA,1000.0,Number with comma separator,"1,000"
Live Video // Doula,Virtual Care,Live Video,People,Doula,900.0,Number with comma separator,900
Live Video // Dentists,Virtual Care,Live Video,Dentists,Dentists,750.0,Number with comma separator,750
Live Video // Psychologists,Virtual Care,Live Video,People,Psychologists,500.0,Number with comma separator,500
Live Video // Pharmacists,Virtual Care,Live Video,People,Pharmacists,450.0,Number with comma separator,450
Live Video // Nurses,Virtual Care,Live Video,People,Nurses,375.0,Number with comma separator,375
Live Video // OT/ST/PT,Virtual Care,Live Video,People,OT/ST/PT,350.0,Number with comma separator,350
Live Video // Social Workers/Mental Health Counselors,Virtual Care,Live Video,People,Social Workers/Mental Health Counselors,150.0,Number with comma separator,150
Live Video // Nutritionists/Dieticians,Virtual Care,Live Video,People,Nutritionists/Dieticians,100.0,Number with comma separator,100
Store & Forward // Receipts - Low Acuity,Virtual Care,Store & Forward,Receipts,Receipts - Low Acuity,0.0025,4 decimal places,0.0025
Store & Forward // Receipts - Average Acuity,Virtual Care,Store & Forward,Receipts,Receipts - Average Acuity,0.0045,4 decimal places,0.0045
Store & Forward // Receipts - High Acuity,Virtual Care,Store & Forward,Receipts,Receipts - High Acuity,0.009,4 decimal places,0.009
Store & Forward // Reads - Low Acuity,Virtual Care,Store & Forward,Reads,Reads - Low Acuity,1.0,2 decimal places,1
Store & Forward // Reads - Average Acuity,Virtual Care,Store & Forward,Reads,Reads - Average Acuity,1.2,2 decimal places,1.2
Store & Forward // Reads - High Acuity,Virtual Care,Store & Forward,Reads,Reads - High Acuity,1.4,2 decimal places,1.4
Store & Forward // Doctors,Virtual Care,Store & Forward,Doctors,Doctors,1500.0,Number with comma separator,"1,500"
Store & Forward // Radiologists,Virtual Care,Store & Forward,Doctors,Radiologists,10000.0,Number with comma separator,"10,000"
Store & Forward // Dentists,Virtual Care,Store & Forward,Dentists,Dentists,750.0,Number with comma separator,750
Store & Forward // Neurologists,Virtual Care,Store & Forward,Doctors,Neurologists,15000.0,Number with comma separator,"15,000"
Store & Forward // Cardiologists,Virtual Care,Store & Forward,Doctors,Cardiologists,10000.0,Number with comma separator,"10,000"
Store & Forward // Mid-Level Providers NP/PA,Virtual Care,Store & Forward,People,Mid-Level Providers NP/PA,1000.0,Number with comma separator,"1,000"
Store & Forward // Pharmacists,Virtual Care,Store & Forward,People,Pharmacists,750.0,Number with comma separator,750
Store & Forward // Nurses,Virtual Care,Store & Forward,People,Nurses,450.0,Number with comma separator,450
Day Care // Receipts,Misc Med,Day Care,Receipts,Receipts,0.0035,4 decimal places,0.0035
Day Care // Average Occupancy - Developmentally Disabled,Misc Med,Day Care,Clients,Average Occupancy - Developmentally Disabled,250.0,Number with comma separator,250
Day Care // Average Occupancy - Child,Misc Med,Day Care,Clients,Average Occupancy - Child,200.0,Number with comma separator,200
Day Care // Average Occupancy - Elderly,Misc Med,Day Care,Clients,Average Occupancy - Elderly,175.0,Number with comma separator,175
Day Care // Doctors,Misc Med,Day Care,Doctors,Doctors,2500.0,Number with comma separator,"2,500"
Day Care // Nurses,Misc Med,Day Care,People,Nurses,450.0,Number with comma separator,450
Day Care // HHA/Companions,Misc Med,Day Care,People,HHA/Companions,150.0,Number with comma separator,150
Clinic - Physical Therapy // Receipts,Misc Med,Clinic - Physical Therapy,Receipts,Receipts,0.0035,4 decimal places,0.0035
Clinic - Physical Therapy // Visits - Physical Therapy,Misc Med,Clinic - Physical Therapy,Visits,Visits - Physical Therapy,0.2,2 decimal places,0.2
Clinic - Physical Therapy // Doctors,Misc Med,Clinic - Physical Therapy,Doctors,Doctors,2500.0,Number with comma separator,"2,500"
Clinic - Physical Therapy // Chiropractors,Misc Med,Clinic - Physical Therapy,People,Chiropractors,1350.0,Number with comma separator,"1,350"
Clinic - Physical Therapy // Nurses,Misc Med,Clinic - Physical Therapy,People,Nurses,450.0,Number with comma separator,450
Clinic - Physical Therapy // Physical Therapists,Misc Med,Clinic - Physical Therapy,People,Physical Therapists,250.0,Number with comma separator,250
Clinic - Physical Therapy // Athletic Trainers,Misc Med,Clinic - Physical Therapy,People,Athletic Trainers,200.0,Number with comma separator,200
Clinic - Physical Therapy // Physical Therapist Assistants,Misc Med,Clinic - Physical Therapy,People,Physical Therapist Assistants,150.0,Number with comma separator,150
Clinic - ABA/Occupational/Speech Therapy // Receipts,Misc Med,Clinic - ABA/Occupational/Speech Therapy,Receipts,Receipts,0.0025,4 decimal places,0.0025
Clinic - ABA/Occupational/Speech Therapy // Visits – Speech Therapy,Misc Med,Clinic - ABA/Occupational/Speech Therapy,Visits,Visits – Speech Therapy,0.25,2 decimal places,0.25
Clinic - ABA/Occupational/Speech Therapy // Visits – Occupational Therapy,Misc Med,Clinic - ABA/Occupational/Speech Therapy,Visits,Visits – Occupational Therapy,0.15,2 decimal places,0.15
Clinic - ABA/Occupational/Speech Therapy // Visits – ABA,Misc Med,Clinic - ABA/Occupational/Speech Therapy,Visits,Visits – ABA,0.15,2 decimal places,0.15
Clinic - ABA/Occupational/Speech Therapy // Occupational Therapists,Misc Med,Clinic - ABA/Occupational/Speech Therapy,People,Occupational Therapists,200.0,Number with comma separator,200
Clinic - ABA/Occupational/Speech Therapy // ABA Technicians/ Therapists,Misc Med,Clinic - ABA/Occupational/Speech Therapy,People,ABA Technicians/ Therapists,200.0,Number with comma separator,200
Clinic - ABA/Occupational/Speech Therapy // Speech Therapists/Audiologists,Misc Med,Clinic - ABA/Occupational/Speech Therapy,People,Speech Therapists/Audiologists,200.0,Number with comma separator,200
Clinic - ABA/Occupational/Speech Therapy // Occupational Therapist Assistants,Misc Med,Clinic - ABA/Occupational/Speech Therapy,People,Occupational Therapist Assistants,125.0,Number with comma separator,125
Post Mortem Services // Receipts,Misc Med,Post Mortem Services,Receipts,Receipts,0.005,4 decimal places,0.005
Post Mortem Services // Units - Bodies,Misc Med,Post Mortem Services,Units,Units - Bodies,10.0,Number with comma separator,10
Post Mortem Services // Mortician/Funeral Director/Courier,Misc Med,Post Mortem Services,People,Mortician/Funeral Director/Courier,5000.0,Number with comma separator,"5,000"
Post Mortem Services // Coroner/Medical Examiner,Misc Med,Post Mortem Services,People,Coroner/Medical Examiner,1250.0,Number with comma separator,"1,250"
Wilderness/Recreational Therapy // Receipts,Misc Med,Wilderness/Recreational Therapy,Receipts,Receipts,0.005,4 decimal places,0.005
Wilderness/Recreational Therapy // Participants - Overnight,Misc Med,Wilderness/Recreational Therapy,Clients,Participants - Overnight,1000.0,Number with comma separator,"1,000"
Wilderness/Recreational Therapy // Participants - Day Camp,Misc Med,Wilderness/Recreational Therapy,Clients,Participants - Day Camp,500.0,Number with comma separator,500
Wilderness/Recreational Therapy // Doctors,Misc Med,Wilderness/Recreational Therapy,People,Doctors,1500.0,Number with comma separator,"1,500"
Wilderness/Recreational Therapy // Guides,Misc Med,Wilderness/Recreational Therapy,People,Guides,500.0,Number with comma separator,500
Wilderness/Recreational Therapy // Nurses,Misc Med,Wilderness/Recreational Therapy,People,Nurses,450.0,Number with comma separator,450
Wilderness/Recreational Therapy // Nutritionist,Misc Med,Wilderness/Recreational Therapy,People,Nutritionist,150.0,Number with comma separator,150
Remote Patient Monitoring // Receipts - Low Acuity,Virtual Care,Remote Patient Monitoring,Receipts,Receipts - Low Acuity,0.0015,4 decimal places,0.0015
Remote Patient Monitoring // Receipts - Average Acuity,Virtual Care,Remote Patient Monitoring,Receipts,Receipts - Average Acuity,0.003,4 decimal places,0.003
Remote Patient Monitoring // Receipts - High Acuity,Virtual Care,Remote Patient Monitoring,Receipts,Receipts - High Acuity,0.006,4 decimal places,0.006
Remote Patient Monitoring // Visits - Preventative,Virtual Care,Remote Patient Monitoring,Visits,Visits - Preventative,0.5,2 decimal places,0.5
Remote Patient Monitoring // Visits - Urgent,Virtual Care,Remote Patient Monitoring,Visits,Visits - Urgent,1.05,2 decimal places,1.05
Remote Patient Monitoring // Visits - Emergency,Virtual Care,Remote Patient Monitoring,Visits,Visits - Emergency,3.0,2 decimal places,3
Remote Patient Monitoring // Doctors,Virtual Care,Remote Patient Monitoring,Doctors,Doctors,1500.0,Number with comma separator,"1,500"
Remote Patient Monitoring // Dentists,Virtual Care,Remote Patient Monitoring,Dentists,Dentists,750.0,Number with comma separator,750
Remote Patient Monitoring // Mid-Level Providers NP/PA,Virtual Care,Remote Patient Monitoring,People,Mid-Level Providers NP/PA,1000.0,Number with comma separator,"1,000"
Remote Patient Monitoring // Pharmacists,Virtual Care,Remote Patient Monitoring,People,Pharmacists,750.0,Number with comma separator,750
Remote Patient Monitoring // Nurses,Virtual Care,Remote Patient Monitoring,People,Nurses,450.0,Number with comma separator,450
Mobile Health (mHealth) // Receipts - Low Acuity,Virtual Care,Mobile Health (mHealth),Receipts,Receipts - Low Acuity,0.0015,4 decimal places,0.0015
Mobile Health (mHealth) // Receipts - Average Acuity,Virtual Care,Mobile Health (mHealth),Receipts,Receipts - Average Acuity,0.003,4 decimal places,0.003
Mobile Health (mHealth) // Receipts - High Acuity,Virtual Care,Mobile Health (mHealth),Receipts,Receipts - High Acuity,0.006,4 decimal places,0.006
Mobile Health (mHealth) // Visits - Preventative,Virtual Care,Mobile Health (mHealth),Visits,Visits - Preventative,0.5,2 decimal places,0.5
Mobile Health (mHealth) // Visits - Urgent,Virtual Care,Mobile Health (mHealth),Visits,Visits - Urgent,1.05,2 decimal places,1.05
Mobile Health (mHealth) // Visits - Emergency,Virtual Care,Mobile Health (mHealth),Visits,Visits - Emergency,3.0,2 decimal places,3
Mobile Health (mHealth) // Doctors,Virtual Care,Mobile Health (mHealth),Doctors,Doctors,1500.0,Number with comma separator,"1,500"
Mobile Health (mHealth) // Dentists,Virtual Care,Mobile Health (mHealth),Dentists,Dentists,750.0,Number with comma separator,750
Mobile Health (mHealth) // Mid-Level Providers NP/PA,Virtual Care,Mobile Health (mHealth),People,Mid-Level Providers NP/PA,1000.0,Number with comma separator,"1,000"
Mobile Health (mHealth) // Pharmacists,Virtual Care,Mobile Health (mHealth),People,Pharmacists,750.0,Number with comma separator,750
Mobile Health (mHealth) // Nurses,Virtual Care,Mobile Health (mHealth),People,Nurses,450.0,Number with comma separator,450
Technology Companies/Platform Hosts // Receipts - Low Acuity,Virtual Care,Technology Companies/Platform Hosts,Receipts,Receipts - Low Acuity,0.0015,4 decimal places,0.0015
Technology Companies/Platform Hosts // Receipts - Average Acuity,Virtual Care,Technology Companies/Platform Hosts,Receipts,Receipts - Average Acuity,0.003,4 decimal places,0.003
Technology Companies/Platform Hosts // Receipts - High Acuity,Virtual Care,Technology Companies/Platform Hosts,Receipts,Receipts - High Acuity,0.006,4 decimal places,0.006
Technology Companies/Platform Hosts // Visits - Preventative,Virtual Care,Technology Companies/Platform Hosts,Visits,Visits - Preventative,0.5,2 decimal places,0.5
Technology Companies/Platform Hosts // Visits - Urgent,Virtual Care,Technology Companies/Platform Hosts,Visits,Visits - Urgent,1.05,2 decimal places,1.05
Technology Companies/Platform Hosts // Visits - Emergency,Virtual Care,Technology Companies/Platform Hosts,Visits,Visits - Emergency,3.0,2 decimal places,3
Technology Companies/Platform Hosts // Doctors,Virtual Care,Technology Companies/Platform Hosts,Doctors,Doctors,1500.0,Number with comma separator,"1,500"
Technology Companies/Platform Hosts // Dentists,Virtual Care,Technology Companies/Platform Hosts,Dentists,Dentists,750.0,Number with comma separator,750
Technology Companies/Platform Hosts // Mid-Level Providers NP/PA,Virtual Care,Technology Companies/Platform Hosts,People,Mid-Level Providers NP/PA,1000.0,Number with comma separator,"1,000"
Technology Companies/Platform Hosts // Pharmacists,Virtual Care,Technology Companies/Platform Hosts,People,Pharmacists,750.0,Number with comma separator,750
Technology Companies/Platform Hosts // Nurses,Virtual Care,Technology Companies/Platform Hosts,People,Nurses,450.0,Number with comma separator,450
