product,cob_class,cob_code,us_international,minimum_premium
Misc Med,Prosthetics/Orthotics/Hearing Aids,HO,International,11111.11111
Virtual Care,Remote Patient Monitoring,AH,International,11111.11111
Misc Med,Research Foundations & Associations,HO,International,11111.11111
Misc Med,Residential - Developmentally Disabled/Group Home,YW,International,27777.7777777778
Misc Med,Residential - Shelters/Halfway House/Transitional Housing,DA,International,27777.7777777778
Misc Med,Schools - Allied Medical Training/Nursing/Mid-Level,HO,International,11111.11111
Misc Med,Schools - Beauty,HW,International,11111.11111
Misc Med,Schools - Physicians/Dentists,HO,International,11111.11111
Misc Med,Social Services Agency - All Other,DA,International,11111.11111
Misc Med,Social Services Agency - Foster/Adoption,DA,International,11111.11111
Misc Med,Stem Cells,HB,International,55555.5555555556
Virtual Care,Store & Forward,AH,International,11111.11111
Misc Med,Surgery Center,HO,International,27777.7777777778
Virtual Care,Technology Companies/Platform Hosts,AH,International,11111.11111
Virtual Care,Teleneurology,AH,International,100000.0
Virtual Care,Teleradiology,AH,International,50000.0
Misc Med,Wilderness/Recreational Therapy,YW,International,11111.11111
