coverage_label,coverage_name,us_international,product,class,surcharge
TRIA,tria,US,Misc Med,Banking - Organ/Tissue,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Banking - Organ/Tissue,0.005
Punitive Damages,punitive_damages,US,Misc Med,Banking - Organ/Tissue,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Banking - Organ/Tissue,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Banking - Organ/Tissue,0.05
Product Liability,product_liability,International,Misc Med,Banking - Organ/Tissue,0.1
E&O/Professional Indemnity,eo,International,Misc Med,Banking - Organ/Tissue,0.05
Employers Liability,employers_liability,International,Misc Med,Banking - Organ/Tissue,0.05
Stop Gap,stop_gap,International,Misc Med,Banking - Organ/Tissue,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Banking - Organ/Tissue,0.05
TRIA,tria,International,Misc Med,Banking - Organ/Tissue,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Banking - Organ/Tissue,0.005
Punitive Damages,punitive_damages,International,Misc Med,Banking - Organ/Tissue,0.1
Professional Liability,professional_liability,US,Misc Med,Case Management,1.0
General Liability,general_liability,US,Misc Med,Case Management,0.05
Product Liability,product_liability,US,Misc Med,Case Management,0.01
E&O,eo,US,Misc Med,Case Management,0.07
Employers Liability,employers_liability,US,Misc Med,Case Management,0.05
Stop Gap,stop_gap,US,Misc Med,Case Management,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Case Management,0.05
TRIA,tria,US,Misc Med,Case Management,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Case Management,0.005
Punitive Damages,punitive_damages,US,Misc Med,Case Management,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Case Management,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Case Management,0.05
Product Liability,product_liability,International,Misc Med,Case Management,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Case Management,0.07
Employers Liability,employers_liability,International,Misc Med,Case Management,0.05
Stop Gap,stop_gap,International,Misc Med,Case Management,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Case Management,0.05
TRIA,tria,International,Misc Med,Case Management,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Case Management,0.005
Punitive Damages,punitive_damages,International,Misc Med,Case Management,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - Abortion,1.0
General Liability,general_liability,US,Misc Med,Clinic - Abortion,0.1
Product Liability,product_liability,US,Misc Med,Clinic - Abortion,0.01
E&O,eo,US,Misc Med,Clinic - Abortion,0.05
Employers Liability,employers_liability,US,Misc Med,Clinic - Abortion,0.05
Stop Gap,stop_gap,US,Misc Med,Clinic - Abortion,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - Abortion,0.05
TRIA,tria,US,Misc Med,Clinic - Abortion,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - Abortion,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - Abortion,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - Abortion,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - Abortion,0.1
Product Liability,product_liability,International,Misc Med,Clinic - Abortion,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - Abortion,0.05
Employers Liability,employers_liability,International,Misc Med,Clinic - Abortion,0.05
Stop Gap,stop_gap,International,Misc Med,Clinic - Abortion,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - Abortion,0.05
TRIA,tria,International,Misc Med,Clinic - Abortion,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - Abortion,0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - Abortion,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - AIDS/Community/FTCA,1.0
General Liability,general_liability,US,Misc Med,Clinic - AIDS/Community/FTCA,0.06
Product Liability,product_liability,US,Misc Med,Clinic - AIDS/Community/FTCA,0.01
E&O,eo,US,Misc Med,Clinic - AIDS/Community/FTCA,0.05
Employers Liability,employers_liability,US,Misc Med,Clinic - AIDS/Community/FTCA,0.05
