"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/exposure/aggregate/details/bi_indemnity_period","bi_indemnity_period","int","input","optional","BI Indemnity Period (months)","None","['rarc_task']","n/a"
"cds/exposure/aggregate/details/contingent_bi","contingent_bi","bool","input","required","Contingent BI","False","['rarc_task']","n/a"
"cds/exposure/aggregate/details/aggregate_usage","aggregate_usage","str","input","required","Aggregate Usage","Low","['rarc_task']","n/a"
"cds/exposure/aggregate/details","details","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/terrorism/is_covered_calculated","is_covered_calculated","str","output","n/a","Covered
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/terrorism/limit_calculated","limit_calculated","float","output","n/a","Limit
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/terrorism/excess_calculated","excess_calculated","float","output","n/a","Excess
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/terrorism/deductible_calculated","deductible_calculated","float","output","n/a","Deductible
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/terrorism/is_covered_override","is_covered_override","str","input","optional","Covered
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/terrorism/limit_override","limit_override","float","input","optional","Limit
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/terrorism/excess_override","excess_override","float","input","optional","Excess
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/terrorism/deductible_override","deductible_override","float","input","optional","Deductible
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/terrorism/is_covered_selected","is_covered_selected","str","output","n/a","Covered
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/terrorism/limit_selected","limit_selected","float","output","n/a","Limit
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/terrorism/excess_selected","excess_selected","float","output","n/a","Excess
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/terrorism/deductible_selected","deductible_selected","float","output","n/a","Deductible
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/terrorism","terrorism","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/sabotage/is_covered_calculated","is_covered_calculated","str","output","n/a","Covered
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/sabotage/limit_calculated","limit_calculated","float","output","n/a","Limit
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/sabotage/excess_calculated","excess_calculated","float","output","n/a","Excess
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/sabotage/deductible_calculated","deductible_calculated","float","output","n/a","Deductible
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/sabotage/is_covered_override","is_covered_override","str","input","optional","Covered
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/sabotage/limit_override","limit_override","float","input","optional","Limit
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/sabotage/excess_override","excess_override","float","input","optional","Excess
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/sabotage/deductible_override","deductible_override","float","input","optional","Deductible
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/sabotage/is_covered_selected","is_covered_selected","str","output","n/a","Covered
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/sabotage/limit_selected","limit_selected","float","output","n/a","Limit
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/sabotage/excess_selected","excess_selected","float","output","n/a","Excess
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/sabotage/deductible_selected","deductible_selected","float","output","n/a","Deductible
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/sabotage","sabotage","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/rscc/is_covered_calculated","is_covered_calculated","str","output","n/a","Covered
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/rscc/limit_calculated","limit_calculated","float","output","n/a","Limit
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/rscc/excess_calculated","excess_calculated","float","output","n/a","Excess
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/rscc/deductible_calculated","deductible_calculated","float","output","n/a","Deductible
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/rscc/is_covered_override","is_covered_override","str","input","optional","Covered
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/rscc/limit_override","limit_override","float","input","optional","Limit
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/rscc/excess_override","excess_override","float","input","optional","Excess
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/rscc/deductible_override","deductible_override","float","input","optional","Deductible
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/rscc/is_covered_selected","is_covered_selected","str","output","n/a","Covered
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/rscc/limit_selected","limit_selected","float","output","n/a","Limit
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/rscc/excess_selected","excess_selected","float","output","n/a","Excess
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/rscc/deductible_selected","deductible_selected","float","output","n/a","Deductible
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/rscc","rscc","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/damage/is_covered_calculated","is_covered_calculated","str","output","n/a","Covered
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/damage/limit_calculated","limit_calculated","float","output","n/a","Limit
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/damage/excess_calculated","excess_calculated","float","output","n/a","Excess
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/damage/deductible_calculated","deductible_calculated","float","output","n/a","Deductible
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/damage/is_covered_override","is_covered_override","str","input","optional","Covered
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/damage/limit_override","limit_override","float","input","optional","Limit
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/damage/excess_override","excess_override","float","input","optional","Excess
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/damage/deductible_override","deductible_override","float","input","optional","Deductible
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/damage/is_covered_selected","is_covered_selected","str","output","n/a","Covered
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/damage/limit_selected","limit_selected","float","output","n/a","Limit
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/damage/excess_selected","excess_selected","float","output","n/a","Excess
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/damage/deductible_selected","deductible_selected","float","output","n/a","Deductible
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/damage","damage","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/insurrection/is_covered_calculated","is_covered_calculated","str","output","n/a","Covered
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/insurrection/limit_calculated","limit_calculated","float","output","n/a","Limit
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/insurrection/excess_calculated","excess_calculated","float","output","n/a","Excess
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/insurrection/deductible_calculated","deductible_calculated","float","output","n/a","Deductible
Calculated","n/a","n/a","n/a"
