"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/aggregate/capped_productions","capped_productions","float","output","n/a","Capped Productions for Rating","n/a"
"cds/exposure/aggregate/total_base_premium","total_base_premium","float","output","n/a","Total Base Premium","n/a"
"cds/exposure/aggregate","aggregate","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/advert_agency/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/advert_agency/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/advert_agency/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/advert_agency","advert_agency","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/public_relations/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/public_relations/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/public_relations/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/public_relations","public_relations","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/market_research/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/market_research/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/market_research/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/market_research","market_research","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/misc_advert/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/misc_advert/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/misc_advert/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/misc_advert","misc_advert","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/other1/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/other1/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/other1/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/other1","other1","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/production_companies/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/production_companies/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/production_companies/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/production_companies","production_companies","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/other2/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/other2/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/other2/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/other2","other2","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/social_low/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/social_low/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/social_low/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/social_low","social_low","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/publishing_low/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/publishing_low/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/publishing_low/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/publishing_low","publishing_low","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/radio/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/radio/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/radio/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/radio","radio","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/other3/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/other3/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/other3/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/other3","other3","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/social_medium/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/social_medium/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/social_medium/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/social_medium","social_medium","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/publishing_medium/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/publishing_medium/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/publishing_medium/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/publishing_medium","publishing_medium","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/other4/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/other4/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/other4/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/other4","other4","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/social_celeb/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/social_celeb/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/social_celeb/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/social_celeb","social_celeb","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/publishing_high/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/publishing_high/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/publishing_high/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/publishing_high","publishing_high","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/other5/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/other5/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/other5/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/other5","other5","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/publishing_severe/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/publishing_severe/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/publishing_severe/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/publishing_severe","publishing_severe","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media/other6/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/media/other6/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/media/other6/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/media/other6","other6","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/media","media","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/other1/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/other1/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/other1/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/other1","other1","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/other2/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/other2/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/other2/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/other2","other2","structure","n/a","n/a","n/a","n/a"
