eventid,AL,CT,DC,DE,FL,GA,HI,LA,MA,MD,ME,MS,NC,NH,NJ,NY,PA,RI,SC,TX,VA,VT,WV,Caribbean
2895830,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2869690,0,0,0,0,0,0.010688056,0,0,0,0,0,0,0.047181234,0,0,0,0,0,0.849552073,0,0,0,0,0.092578637
2857124,0,0,0,0.000424798,0,0.000393136,0,0,0.065315113,0.004155923,0.001433647,0,0.545861318,0,0.001170282,0.001476949,0,0.003559331,0.329032164,0,0.047177339,0,0,0
2853875,0,0,0,0,0,0,0,0.000180008,0,0,0,0,0,0,0,0,0,0,0,0.999819992,0,0,0,0
2874436,0,0,0,0,0,0,0,7.01E-05,0,0,0,0,0,0,0,0,0,0,0,0.999929856,0,0,0,0
2852401,0.044194262,0,0,0,0.95356495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002240788
2895853,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2879082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2861661,0.042056973,3.46E-05,0,0.001000077,0.015224595,0.027221144,0,0.22123323,2.85E-05,0.001102044,0,0.018730732,0.046549712,0,0.00351156,0.001224847,0,0.000175546,0.063614163,0.556877507,0.001414773,0,0,0
2890380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2887131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2890048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2873068,0.002421702,0,0,0,0.940668077,0.041939042,0,0,0,0,0,0,0,0,0,0,0,0,7.58E-10,0,0,0,0,0.014971178
2864910,0.00669746,0,0,0,0.966212846,0,0,0.016982151,0,0,0,0.008942207,0,0,0,0,0,0,0,0.001165336,0,0,0,0
2862597,0.285138703,0,0,0,0.563990096,0,0,0.008936402,0,0,0,0.129291399,0,0,0,0,0,0,0,0,0,0,0,0.0126434
2888946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2870128,0,0,0,0,0.21353416,0,0,0,0,0,0,0,7.52E-06,0,0,0,0,0,0,0,0,0,0,0.786458316
2888067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2880788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2877848,0,0,0,0,0.006203316,0.006424665,0,0,0,1.66E-05,0,0,0.034903983,0,8.87E-07,0,0,0,0.875196608,0,7.27E-05,0,0,0.077181222
2893583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2860868,0.001494214,0,0,0,0.008367639,0,0,0.730877524,0,0,0,0.005743318,0,0,0,0,0,0,0,0.253517306,0,0,0,0
2859932,0,0,0,0,0.000222197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531322351,0,0,0,0.468455452
2877244,0.000202057,0,0,0,9.36E-05,0,0,0.080714352,0,0,0,0.001009866,0,0,0,0,0,0,0,0.917460709,0,0,0,0.000519452
2855518,4.30E-06,0,0,0,0.905833155,5.44E-07,0,0.06520153,0,0,0,0.000121164,0,0,0,0,0,0,0,0.000222116,0,0,0,0.028617185
2887240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2856145,0,0,0,0,0,0,0,0.045116804,0,0,0,0,0,0,0,0,0,0,0,0.954883196,0,0,0,0
2876812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2890875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2857917,0.002305588,0,0,0,0.885767226,0,0,0.075964349,0,0,0,0.011213382,0,0,0,0,0,0,0,0,0,0,0,0.024749456
2886304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2865737,0.000436145,0,0,0,0.970172817,0.011690186,0,0.000211445,0,0,0,6.90E-06,0,0,0,0,0,0,0.00010605,0.017375607,0,0,0,8.52E-07
2848425,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2894124,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2866384,0.000586494,0,0,0,0.747883576,0.000172085,0,0,0,0,0,0.00025264,0,0,0,0,0,0,0,0,0,0,0,0.251105205
2867220,0,0,0,0,0,0.020208445,0,0,0,0,0,0,0.031267295,0,0,2.05E-05,0,0,0.302114877,0,0.000583572,0,0,0.645805313
2858853,0,0,0,0,0.648305406,0,0,0.000797615,0,0,0,0,0,0,0,0,0,0,0,0.345713424,0,0,0,0.005183555
2883696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2883991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2884532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2874104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2869281,0,0,0,0,0,0,0,0,0,0,0,0,0.67985336,0,0,0,0,0,0.214924166,0,0.000294911,0,0,0.104927563
2889839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2852710,1.68E-05,0,0,0,0,0,0,0.743332724,0,0,0,0.00199873,0,0,0,0,0,0,0,0.25465171,0,0,0,0
2864612,0,0,0,0,0,0,0,0,0,0.000101912,0,0,0.781025088,0,0,0,0.027461308,0,0,0,0.16523868,0,0.026173011,0
2859889,0.054807755,0,0,0,0.003290045,0,0,0.019182599,0,0,0,0.637483663,0,0,0,0,0,0,0,0,0,0,0,0.285235938
2863676,0,0,0,0,0.000265158,0.0123948,0,0,0,5.10E-07,0,0,0.461252902,0,0,0,0,0,0.141102583,0,0.006804091,0,0,0.378179956
2851774,0,0,0,0,0.968801117,2.66E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005787768,0,0,0,0.025411088
2887801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2862829,5.84E-06,0,0,0,0.775233335,0,0,0.051370084,0,0,0,0.000156536,0,0,0,0,0,0,0,0.16137751,0,0,0,0.011856699
2870987,0,0,0,0,4.78E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00808656,0,0,0,0.991865596
2879643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2888299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2854482,6.72E-05,0,0,0,0.990495985,0,0,0.004713354,0,0,0,6.44E-06,0,0,0,0,0,0,0,3.28E-05,0,0,0,0.004684161
2861429,0,0.201329593,0,0.000561341,0.000946289,0,0,0,0.33544743,0.001508717,0.057077523,0,0.032208395,0.063007578,0.025883705,0.248449902,0,0.031026412,0,0,0.002225999,0.000180121,0,0.000146994
2853271,0.703106278,0,0,0,0.010008389,0,0,0.007960233,0,0,0,0.2789251,0,0,0,0,0,0,0,0,0,0,0,0
2864369,0,0,0,0,0.991346443,0.00048992,0,0,0,0,0,0,3.37E-07,0,0,0,0,0,4.19E-05,0,0,0,0,0.008121449
2893254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2881681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2873025,1.14E-05,0,0,0,0.708732425,0.194011565,0,2.16E-07,0,0,0,0,5.75E-05,0,0,0,0,0,0.060917811,0,0,0,0,0.036269112
2876703,0,0,0,0,0.00918506,0.000643666,0,0,0,0,0,0,0.000304542,0,0,0,0,0,0.004107968,0,0,0,0,0.985758764
2868047,0,0,0,0,0.871655756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018402589,0,0,0,0.109941656
2890314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2873002,0,0.201003395,0,0.004982842,0,0,0,0,0.055973218,0.001548436,0.00040244,0,0,0.012155533,0.117093626,0.577110431,0.012917714,0.016399792,0,0,6.52E-05,0,0,0.000347345
2861100,0.001995272,0,0,0,5.90E-05,0,0,0.696972544,0,0,0,0.082281787,0,0,0,0,0,0,0,0.21869144,0,0,0,0
2894728,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2881658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2852444,0,0,0,0,0,0,0,0.99930614,0,0,0,0,0,0,0,0,0,0,0,0.00069386,0,0,0,0
2849504,0.001270914,0,0,0,0.990102028,0.008014991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000612067
2874731,0.393222863,0,0,0,0.332019733,0.062569104,0,0.015380467,0,0,0,0.048677876,0.010279745,0,0,0,0,0,0.009118391,0,2.76E-05,0,0,0.128704259
2891545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2866075,0.004915941,0,0,0,0.636762631,0,0,0.297016635,0,0,0,0.048268397,0,0,0,0,0,0,0,9.92E-06,0,0,0,0.013026478
2883387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2892043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2866882,1.07E-05,0,0,0,0.990080089,9.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009811504
2858183,0,0.018867098,0,0.005821843,0.24435054,0.001421062,0,0,0.0489772,0.004475571,0.001581514,0,0.464823485,5.66E-05,0.021736126,0.052124906,0,0.009348816,0.080365047,0,0.034538777,0,0,0.011511406
2858226,0,0,0,0,0.912514652,0.011654649,0,0,0,0,0,0,0,0,0,0,0,0,0.001151833,0,0,0,0,0.074678866
2849527,0.494613592,0,0,0,0.404577679,0.000183633,0,0.0004595,0,0,0,0.041381734,0,0,0,0,0,0,2.95E-07,0,0,0,0,0.058783565
2849570,0,0,0,0,0.397292833,0.084702458,0,0,0,0,0,0,0,0,0,0,0,0,5.77E-05,0,0,0,0,0.517947049
2866341,0,0,0,0.000521966,0.027882779,0.066506095,0,0,0,0.000532513,0.000521528,0,0.194597013,0,0.000949103,0,0,0,0.591724559,0,0.002317171,0,0,0.114447272
2874997,0,0,0,0,0.675602041,0.022205435,0,0,0,0,0,0,0.001102159,0,0,0,0,0,0.166913128,0,0,0,0,0.134177237
2857685,0,0,0,0,0,0.019075803,0,0,0,0,0,0,0.351222528,0,0,0,0,0,0.412920105,0,0.001681887,0,0,0.215099677
2847555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2856211,0.025351054,0,0,0,0.86553485,0.000957116,0,0.078137456,0,0,0,0.028061855,0,0,0,0,0,0,0,0,0,0,0,0.00195767
2876769,0,0,0,0,0,0,0,0,0.419404437,0,0.220691468,0,0,0,0,0,0,1.72E-05,0,0,0,0,0,0.359886867
2868113,6.73E-06,0,0,0,0.260074439,0,0,0.388263682,0,0,0,0.000367907,0,0,0,0,0,0,0,0.321126852,0,0,0,0.030160395
2885425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2859457,0.152708999,0,0,0,0.834700247,0.002565162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010025591
2856188,0,0,0,0,0.938632831,0.002203544,0,0,0,2.13E-08,0,0,0.032848445,0,0,1.68E-05,9.11E-05,0,0.014457841,0,0.000748075,0,0.000600574,0.010400816
2876746,0,0,0.006549047,0,0,0,0,0,0,0.015700299,0,0,0.617325456,0,1.76E-07,0.020235466,0.091281272,0,0.007748044,0,0.227487858,0,0.013672382,0
2864303,0,0.385554177,0,6.26E-07,0,0,0,0,0.21743697,2.20E-08,0.004941304,0,0,0.067272771,0.001478153,0.289225384,0,0.023824893,0,0,0,0.009817806,0,0.000447893
2885402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2890984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2882328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2873500,0,0,0,0,0,0,0,3.55E-06,0,0,0,0,0,0,0,0,0,0,0,0.999996447,0,0,0,0
2881615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2864844,9.36E-05,0,0,0,0.993970684,0.005374551,0,0,0,0,0,0,0,0,0,0,0,0,0.000435115,0,0,0,0,0.000126025
2872959,0,0,7.99E-05,0,0.000147606,0.066174021,0,0,0,1.67E-05,0,0,0.079961773,0,0,0,0,0,0.773106216,0,0.003625922,0,0.00042685,0.07646099
2854416,0.000563067,0,0,0,9.86E-05,0,0,0.905817345,0,0,0,0.033383651,0,0,0,0,0,0,0,0.042653034,0,0,0,0.017484316
2862574,7.33E-06,0,0,0,0.001110516,0,0,1.14E-05,0,0,0,0,0,0,0,0,0,0,0,0.722862942,0,0,0,0.276007811
2863072,4.14E-05,0,0,0,0,0,0,0.139707038,0,0,0,0.000937694,0,0,0,0,0,0,0,0.857885211,0,0,0,0.00142864
2871230,0,0,0,0,0,0,0,0.473012807,4.16E-05,0,0,0.016551637,0,0,0,0,0,0,0,0,0,0,0,0.51039399
2853314,0.043853185,0,0,0,0.561949785,0.022766269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371430761
2861970,0.007051697,0,0,0,0.23687334,0.00839012,0,1.06E-06,0,0,0,0,0,0,0,0.000693989,0,0,0,0,0,0,0,0.746989792
2890071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2889169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2859955,4.10E-05,0,0,0,0,0,0,0.861893978,0,0,0,0.016595734,0,0,0,0,0,0,0,0.121469205,0,0,0,6.14E-08
2871857,0,0,0,0,0.401595181,0.118590585,0,0,0,3.04E-07,0,0,0.104381225,0,0,0,0,0,0.326824936,0,0.048576002,0,0,3.18E-05
2874774,0,0.010593068,0,0,0.362390338,0,0,0,0.408445358,0,0.019222485,0,0,0.068146254,0,0.025265637,0,0.102279496,0,0,0,0.003657365,0,0
2871528,0,0,0,0,0.945123667,0.011440165,0,0,0,3.23E-10,0,0,2.31E-05,0,0,0,0,0,0.004209491,0,0,0,0,0.039203571
2880513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2851299,0,0,0,0,0.172927107,0,0,0,0,0,0,0,0.747718126,0,0,0,0,0,0.079194918,0,0.000159849,0,0,0
2892086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2851903,0,0,0,0,3.42E-05,0,0,0.001800268,0,0,0,0,0,0,0,0,0,0,0,0.997432893,0,0,0,0.000732656
2877871,0.084665756,0,0,0,0.074096018,1.14E-05,0,0.394005544,0,0,0,0.046711773,0,0,0,0,0,0,0,0.400509525,0,0,0,0
2874170,0,0,0.000105402,0,0.09996628,0,0,0,0,0.004127667,0,0,0.013617564,0,0,0,1.79E-05,0,0,0,0.044749474,0,0,0.837415689
2865514,0,0,0,0,0.011723066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988276934
2869215,0,0.20804642,0,0,0,0,0,0,0.294473475,0,0.007674033,0,0,0.038336822,0.004275235,0.344244554,3.56E-05,0.087607047,0,0,0,0.01519371,0,0.000113111
2882826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2860559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2889773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2850672,0.075050076,0,0,0,0.44942112,0.42482709,0,2.14E-06,0,0,0,1.12E-06,0.014360478,0,0,0,0,0,0.036337946,0,0,0,0,2.17E-08
2892713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2875899,0,0,0.003846962,3.30E-05,0,0,0,0,0,0.038262082,0,0,0.676701872,0,0,0.00706132,0.011053256,0,0,0,0.263041536,0,0,0
2859328,2.24E-05,0,0,0,0.001428444,0,0,0.843613699,0,0,0,0.110754137,0,0,0,0,0,0,0,0.023499577,0,0,0.000927186,0.019754511
2858830,1.91E-05,0,0,0,0.976537411,6.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023379846
2867486,0,0,0,0,0,0,0,0.010686227,0,0,0,0,0,0,0,0,0,0,0,0.989313773,0,0,0,0
2876142,0,0,0,0,0.928492619,0,0,0.002449682,0,0,0,0,0,0,0,0,0,0,0,0.022579027,0,0,0,0.046478673
2857058,0,0,0,0,0.000150838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395732774,0,0,0,0.604116388
2848900,0,0,0,0,4.88E-07,0,0,0,0,0,0,0,0.794758301,0,0,0,0,0,0.177124086,0,0.001202586,0,0,0.026914539
2863699,0.000103728,0,0,0,0.932991911,0.004608283,0,0,0,0,0,0,0.000186725,0,0,0,0,0,0.001613255,0,0,0,0,0.060496099
2872355,0,0,0,0,0.212795088,2.96E-05,0,0,0,0,0,0,0.18858879,0,0,0,0,0,0.023497895,0,0.001054857,0,0,0.574033729
2855043,0.102369278,0,0,0,0.139126599,0,0,0.488231816,0,0,0,0.269769268,0,0,0,0.00050304,0,0,0,0,0,0,0,0
2888342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2875601,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2856815,0,0,0,0,0,0,0,0.00357128,0,0,0,0,0,0,0,0,0,0,0,0.994998071,0,0,0,0.001430649
2865471,0,0,0,0,0.233437332,0.024127528,0,0,0,0,7.91E-05,0,0.003975531,0,0,0,0,0,0.014040834,0,0,0,0,0.724339657
2895226,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2874127,0.01383661,7.34E-05,0,0.001288541,0.204118175,0.207811317,0,0,0.000533834,0.002942612,0,0,0.01202141,0,0.003296738,0.003176845,8.15E-05,0.000410437,0.549493131,0,0.000399028,0,0,0.000516399
2877914,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2869258,0,0,0,0,0.003170099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996829901
2857356,0,0,0,0,0.989082011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010917989
2886029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2886570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2894685,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2889212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2855252,0.00822848,0,0,0,0.985019362,0.00559902,0,1.72E-06,0,0,0,4.27E-05,0,0,0,0,0,0,4.18E-05,0,0,0,0,0.001066944
2852335,0,0,0.040239238,0.014176966,0.002199278,0.017895929,0,0,0,0.213351435,0,0,0.19136611,0,0.01162368,2.64E-05,0.022588329,0,0.230609682,0,0.249462889,0,0.006460032,0
2860825,0,0,0,0,0.987992993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011961831,0,0,0,4.52E-05
2880722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2863742,6.18E-06,0,0,0,0.000385536,0,0,0.00052055,0,0,0,0,0,0,0,0,0,0,0,0.999087733,0,0,0,0
2872232,0,0,0,0,0,0,0,0.9546651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453349
2889235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2872255,0,0,0,0.0010913,0.004916496,0.092668507,0,0,0.006815048,0.00237873,2.68E-06,0,0.197841904,0,0.003778115,0.00027918,5.50E-06,0.000679662,0.640335484,0,0.020234273,0,0,0.028973122
2880745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2855275,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2863765,0,0.130780998,0,0,0,0,0,0,0.443953741,0,0.003895439,0,0,0.007931519,0,0.194077904,0,0.2193604,0,0,0,0,0,0
2891250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
