eventid,region_desc_id,remetrica_description,state
2847351,18,Florida non SE WS,FL
2847352,22,Carolinas WS,NC
2847353,17,Other Wind,Other
2847354,20,Caribbean Wind,Other
2847355,17,Other Wind,Other
2847356,17,Other Wind,Other
2847357,22,Carolinas WS,NC
2847358,17,Other Wind,Other
2847359,17,Other Wind,Other
2847360,17,Other Wind,Other
2847361,17,Other Wind,Other
2847362,17,Other Wind,Other
2847363,18,Florida non SE WS,FL
2847364,22,Carolinas WS,NC
2847365,20,Caribbean Wind,Other
2847366,20,Caribbean Wind,Other
2847367,17,Other Wind,Other
2847368,17,Other Wind,Other
2847369,22,Carolinas WS,NC
2847370,17,Other Wind,Other
2847371,15,Texas WS,TX
2847372,17,Other Wind,Other
2847373,17,Other Wind,Other
2847374,17,Other Wind,Other
2847375,17,Other Wind,Other
2847376,17,Other Wind,Other
2847377,17,Other Wind,Other
2847378,17,Other Wind,Other
2847379,17,Other Wind,Other
2847380,22,Carolinas WS,NC
2847381,19,Louisiana WS,LA
2847382,17,Other Wind,Other
2847383,17,Other Wind,Other
2847384,20,Caribbean Wind,Other
2847385,17,Other Wind,Other
2847386,17,Other Wind,Other
2847387,17,Other Wind,Other
2847388,17,Other Wind,Other
2847389,17,Other Wind,Other
2847390,17,Other Wind,Other
2847391,15,Texas WS,TX
2847392,17,Other Wind,Other
2847393,16,Mexico Wind,Other
2847394,17,Other Wind,Other
2847395,17,Other Wind,Other
2847396,20,Caribbean Wind,Other
2847397,26,Florida SE - South Tip,FL
2847398,24,NE WS,NY
2847399,17,Other Wind,Other
2847400,20,Caribbean Wind,Other
2847401,17,Other Wind,Other
2847402,17,Other Wind,Other
2847403,17,Other Wind,Other
2847404,17,Other Wind,Other
2847405,20,Caribbean Wind,Other
2847406,22,Carolinas WS,NC
2847407,26,Florida SE - South Tip,FL
2847408,17,Other Wind,Other
2847409,17,Other Wind,Other
2847410,17,Other Wind,Other
2847411,17,Other Wind,Other
2847412,17,Other Wind,Other
2847413,17,Other Wind,Other
2847414,17,Other Wind,Other
2847415,17,Other Wind,Other
2847416,26,Florida SE - South Tip,FL
2847417,17,Other Wind,Other
2847418,20,Caribbean Wind,Other
2847419,22,Carolinas WS,NC
2847420,19,Louisiana WS,LA
2847421,17,Other Wind,Other
2847422,26,Florida SE - South Tip,FL
2847423,17,Other Wind,Other
2847424,17,Other Wind,Other
2847425,20,Caribbean Wind,Other
2847426,17,Other Wind,Other
2847427,17,Other Wind,Other
2847428,17,Other Wind,Other
2847429,17,Other Wind,Other
2847430,17,Other Wind,Other
2847431,20,Caribbean Wind,Other
2847432,22,Carolinas WS,NC
2847433,22,Carolinas WS,NC
2847434,17,Other Wind,Other
2847435,17,Other Wind,Other
2847436,20,Caribbean Wind,Other
2847437,17,Other Wind,Other
2847438,20,Caribbean Wind,Other
2847439,23,Central America Wind,Other
2847440,17,Other Wind,Other
2847441,17,Other Wind,Other
2847442,15,Texas WS,TX
2847443,17,Other Wind,Other
2847444,15,Texas WS,TX
2847445,17,Other Wind,Other
2847446,20,Caribbean Wind,Other
2847447,17,Other Wind,Other
2847448,19,Louisiana WS,LA
2847449,17,Other Wind,Other
2847450,20,Caribbean Wind,Other
