"Path","Name","Type","Mode","Label","Default Value"
"cds/rms/edm_summary/ws_loss_amount/coeff_var","coeff_var","float","output","Coefficient of Variation","n/a"
"cds/rms/edm_summary/ws_loss_amount/gross_lr","gross_lr","float","output","Gross Loss Ratio","n/a"
"cds/rms/edm_summary/ws_loss_amount","ws_loss_amount","structure","n/a","n/a","n/a"
"cds/rms/edm_summary/eq_loss_amount/fx","fx","str","output","Currency","n/a"
"cds/rms/edm_summary/eq_loss_amount/fxrate","fxrate","float","output","Currency Conversion Rate","n/a"
"cds/rms/edm_summary/eq_loss_amount/aal","aal","float","output","AAL ","n/a"
"cds/rms/edm_summary/eq_loss_amount/std_dev","std_dev","float","output","Standard Deviation","n/a"
"cds/rms/edm_summary/eq_loss_amount/prem","prem","float","output","Associated Premium","n/a"
"cds/rms/edm_summary/eq_loss_amount/coeff_var","coeff_var","float","output","Coefficient of Variation","n/a"
"cds/rms/edm_summary/eq_loss_amount/gross_lr","gross_lr","float","output","Gross Loss Ratio","n/a"
"cds/rms/edm_summary/eq_loss_amount","eq_loss_amount","structure","n/a","n/a","n/a"
"cds/rms/edm_summary/all_peril_calc_at_edm_fx/fx","fx","str","output","Currency","n/a"
"cds/rms/edm_summary/all_peril_calc_at_edm_fx/fxrate","fxrate","float","output","Currency Conversion Rate","n/a"
"cds/rms/edm_summary/all_peril_calc_at_edm_fx/aal","aal","float","output","AAL ","n/a"
"cds/rms/edm_summary/all_peril_calc_at_edm_fx/std_dev","std_dev","float","output","Standard Deviation","n/a"
"cds/rms/edm_summary/all_peril_calc_at_edm_fx/prem","prem","float","output","Associated Premium","n/a"
"cds/rms/edm_summary/all_peril_calc_at_edm_fx/coeff_var","coeff_var","float","output","Coefficient of Variation","n/a"
"cds/rms/edm_summary/all_peril_calc_at_edm_fx/gross_lr","gross_lr","float","output","Gross Loss Ratio","n/a"
"cds/rms/edm_summary/all_peril_calc_at_edm_fx","all_peril_calc_at_edm_fx","structure","n/a","n/a","n/a"
"cds/rms/edm_summary/all_peril_calc_at_acc_fx/fx","fx","str","output","Currency","n/a"
"cds/rms/edm_summary/all_peril_calc_at_acc_fx/fxrate","fxrate","float","output","Currency Conversion Rate","n/a"
"cds/rms/edm_summary/all_peril_calc_at_acc_fx/aal","aal","float","output","AAL ","n/a"
"cds/rms/edm_summary/all_peril_calc_at_acc_fx/std_dev","std_dev","float","output","Standard Deviation","n/a"
"cds/rms/edm_summary/all_peril_calc_at_acc_fx/prem","prem","float","output","Associated Premium","n/a"
"cds/rms/edm_summary/all_peril_calc_at_acc_fx/coeff_var","coeff_var","float","output","Coefficient of Variation","n/a"
"cds/rms/edm_summary/all_peril_calc_at_acc_fx/gross_lr","gross_lr","float","output","Gross Loss Ratio","n/a"
"cds/rms/edm_summary/all_peril_calc_at_acc_fx","all_peril_calc_at_acc_fx","structure","n/a","n/a","n/a"
"cds/rms/edm_summary/all_peril_selected_at_acc_fx/fx","fx","str","output","Currency","n/a"
"cds/rms/edm_summary/all_peril_selected_at_acc_fx/fxrate","fxrate","float","output","Currency Conversion Rate","n/a"
"cds/rms/edm_summary/all_peril_selected_at_acc_fx/aal","aal","float","output","AAL ","n/a"
"cds/rms/edm_summary/all_peril_selected_at_acc_fx/std_dev","std_dev","float","output","Standard Deviation","n/a"
"cds/rms/edm_summary/all_peril_selected_at_acc_fx/prem","prem","float","output","Associated Premium","n/a"
"cds/rms/edm_summary/all_peril_selected_at_acc_fx/coeff_var","coeff_var","float","output","Coefficient of Variation","n/a"
"cds/rms/edm_summary/all_peril_selected_at_acc_fx/gross_lr","gross_lr","float","output","Gross Loss Ratio","n/a"
"cds/rms/edm_summary/all_peril_selected_at_acc_fx","all_peril_selected_at_acc_fx","structure","n/a","n/a","n/a"
"cds/rms/edm_summary/all_peril_override_at_acc_fx/fx","fx","str","output","Currency","n/a"
"cds/rms/edm_summary/all_peril_override_at_acc_fx/fxrate","fxrate","float","output","Currency Conversion Rate","n/a"
"cds/rms/edm_summary/all_peril_override_at_acc_fx/aal","aal","float","input","AAL ","None"
"cds/rms/edm_summary/all_peril_override_at_acc_fx/std_dev","std_dev","float","input","Standard Deviation","None"
"cds/rms/edm_summary/all_peril_override_at_acc_fx/prem","prem","float","input","Associated Premium","None"
"cds/rms/edm_summary/all_peril_override_at_acc_fx/coeff_var","coeff_var","float","output","Coefficient of Variation","n/a"
"cds/rms/edm_summary/all_peril_override_at_acc_fx/gross_lr","gross_lr","float","output","Gross Loss Ratio","n/a"
"cds/rms/edm_summary/all_peril_override_at_acc_fx","all_peril_override_at_acc_fx","structure","n/a","n/a","n/a"
"cds/rms/edm_summary","edm_summary","structure","n/a","n/a","n/a"
"cds/rms/edm_epcurve/return_period_label","return_period_label","str","output","Return Period","n/a"
"cds/rms/edm_epcurve/return_period","return_period","float","output","Return Period","n/a"
"cds/rms/edm_epcurve/probability","probability","float","output","Probability","n/a"
"cds/rms/edm_epcurve/ws_loss_amount","ws_loss_amount","float","output","WindStorm","n/a"
"cds/rms/edm_epcurve/eq_loss_amount","eq_loss_amount","float","output","Earthquake","n/a"
"cds/rms/edm_epcurve/all_peril_calc_at_edm_fx","all_peril_calc_at_edm_fx","float","output","All Peril - Calc - EDM Fx","n/a"
"cds/rms/edm_epcurve/all_peril_calc_at_acc_fx","all_peril_calc_at_acc_fx","float","output","All Peril - Calc - Account Fx","n/a"
"cds/rms/edm_epcurve/all_peril_selected_at_acc_fx","all_peril_selected_at_acc_fx","float","output","All Peril - Selected - Account Fx","n/a"
"cds/rms/edm_epcurve/all_peril_override_at_acc_fx","all_peril_override_at_acc_fx","float","input","All Peril - Override - Account Fx","None"
"cds/rms/edm_epcurve","edm_epcurve","list","n/a","n/a","n/a"
"cds/rms","rms","structure","n/a","n/a","n/a"
"cds/bi_data/fetch_clm_and_mvmt_detail_task_status","fetch_clm_and_mvmt_detail_task_status","str","output","Status - Load Historic Claims","n/a"
"cds/bi_data/fetch_facility_detail_task_status","fetch_facility_detail_task_status","str","output","Status - Load Historic Binders","n/a"
"cds/bi_data/include_all_facility_references","include_all_facility_references","bool","input","Include all binder references?","True"
"cds/bi_data/triangles_loaded","triangles_loaded","bool","output","Triangles Loaded","n/a"
"cds/bi_data/facility_detail/include","include","bool","input","Include?","False"
"cds/bi_data/facility_detail/date_extracted","date_extracted","date","input","CreatedTimeStamp","None"
"cds/bi_data/facility_detail/section_reference","section_reference","str","input","Section Reference","None"
"cds/bi_data/facility_detail/insured_party","insured_party","str","input","Insured Party","None"
"cds/bi_data/facility_detail/inception_date","inception_date","date","input","Inception Date","None"
"cds/bi_data/facility_detail/expiry_date","expiry_date","date","input","Expiry Date","None"
"cds/bi_data/facility_detail/underwriter_name","underwriter_name","str","input","Underwriter Name","None"
"cds/bi_data/facility_detail/settlement_currency","settlement_currency","str","input","Settlement Currency","None"
"cds/bi_data/facility_detail/section_is_renewal","section_is_renewal","str","input","Section Is Renewal","None"
"cds/bi_data/facility_detail/division","division","str","input","Division","None"
"cds/bi_data/facility_detail/written_or_estimated_signed_line","written_or_estimated_signed_line","float","input","Written Or Estimated Signed Line","None"
"cds/bi_data/facility_detail/trifocus_name","trifocus_name","str","input","Trifocus Name","None"
"cds/bi_data/facility_detail/external_acquisition_cost_multiplier","external_acquisition_cost_multiplier","float","input","External Acquisition Cost Multiplier","None"
"cds/bi_data/facility_detail/profit_commission_multiplier","profit_commission_multiplier","float","input","Profit Commission Multiplier","None"
"cds/bi_data/facility_detail/placing_brokername","placing_brokername","str","input","Placing Brokername","None"
"cds/bi_data/facility_detail/risk_class_code","risk_class_code","str","input","Risk Class Code","None"
"cds/bi_data/facility_detail/yoa","yoa","float","input","Year of Account","None"
"cds/bi_data/facility_detail/written_or_estimated_premium","written_or_estimated_premium","float","input","AFB Net Premium","None"
"cds/bi_data/facility_detail/rate_change_divisor","rate_change_divisor","float","input","Rate Change Multiplier","None"
"cds/bi_data/facility_detail/spot_rate_usd_to_sett","spot_rate_usd_to_sett","float","input","Spot Rate USD to Settlement Fx","None"
"cds/bi_data/facility_detail/net_beazley_premium_sett_fx","net_beazley_premium_sett_fx","float","input","Net Beazley Premium @ Settlement Fx","None"
"cds/bi_data/facility_detail/net_100pct_premium_sett_fx","net_100pct_premium_sett_fx","float","input","Net 100pct Premium @ Settlement Fx","None"
"cds/bi_data/facility_detail/gross_100pct_premium_sett_fx","gross_100pct_premium_sett_fx","float","input","Gross 100pct Premium @ Settlement Fx","None"
