policy_option_id,policy_option_id_old,datafix,status,time,error_step,error_message,error_detail,time_taken
1412429,1383120,yes,succeeded,37:52.1,,,,13.23097658
1412428,1383119,yes,succeeded,37:53.2,,,,12.95810723
1412430,1383121,yes,succeeded,37:55.4,,,,14.70737553
1412431,1383122,yes,succeeded,37:58.6,,,,14.6111722
1412432,1383124,yes,succeeded,38:01.2,,,,13.29449344
1412433,1383123,yes,succeeded,38:02.1,,,,14.13515019
1412434,1383125,yes,succeeded,38:04.7,,,,14.60015392
1412435,1383126,yes,succeeded,38:05.1,,,,12.99312115
1412436,1383127,yes,succeeded,38:08.0,,,,14.86351728
1412437,1383128,yes,succeeded,38:09.8,,,,14.38883948
1412438,1383129,yes,succeeded,38:12.0,,,,13.37008119
1412439,1383130,yes,succeeded,38:12.1,,,,12.78924394
1412440,1383131,yes,succeeded,38:15.0,,,,13.78188825
1412441,1383132,yes,succeeded,38:15.7,,,,13.64825106
1412442,1383133,yes,succeeded,38:18.1,,,,13.40425992
1412443,1383134,yes,succeeded,38:18.9,,,,13.84532523
1412444,1383135,yes,succeeded,38:21.3,,,,13.22682261
1412445,1383136,yes,succeeded,38:23.8,,,,14.00065112
1412446,1383137,yes,succeeded,38:28.5,,,,16.51614165
1412447,1383138,yes,succeeded,38:28.7,,,,16.56290078
1412448,1383137,yes,succeeded,38:31.7,,,,16.76400518
1412449,1383138,yes,succeeded,38:29.1,,,,13.33651018
1412450,1383139,yes,succeeded,38:31.0,,,,12.88464808
1412451,1383140,yes,succeeded,38:32.8,,,,13.90078878
1412452,1383141,yes,succeeded,38:35.3,,,,14.06705403
1412453,1383142,yes,succeeded,38:37.7,,,,13.94147182
1412454,1383143,yes,succeeded,38:42.0,,,,13.47535729
1412455,1383144,yes,succeeded,38:45.8,,,,17.13479328
1412456,1383146,yes,succeeded,38:46.5,,,,17.39244604
1412457,1383145,yes,succeeded,38:44.6,,,,13.57398605
1412458,1383147,yes,succeeded,38:45.0,,,,13.2569077
1412459,1383148,yes,failed,39:15.9,get values,403,,43.08600307
1412460,1383149,yes,succeeded,38:48.7,,,,13.32809877
1412461,1383150,yes,succeeded,38:50.5,,,,12.80495024
1412462,1383151,yes,succeeded,38:55.7,,,,13.71485162
1412463,1383152,yes,succeeded,38:58.5,,,,13.93006635
1412464,1383153,yes,succeeded,39:02.0,,,,17.02876449
1412465,1383154,yes,succeeded,39:02.9,,,,17.02650762
1412466,1383155,yes,succeeded,39:00.7,,,,14.22542953
1412467,1383156,yes,succeeded,39:06.9,,,,18.26185632
1412468,1383157,yes,succeeded,39:03.5,,,,12.99748898
1412469,1383158,yes,succeeded,39:08.4,,,,12.75673747
1412470,1383159,yes,succeeded,39:11.8,,,,13.36165905
1412471,1383160,yes,succeeded,39:13.4,,,,12.73545814
1412472,1383161,yes,succeeded,39:18.7,,,,16.69237351
1412473,1383162,yes,succeeded,39:19.6,,,,16.73626328
1412474,1383163,yes,succeeded,39:16.9,,,,13.30754924
1412475,1383164,yes,succeeded,39:21.7,,,,14.74801874
1412476,1383165,yes,succeeded,39:22.7,,,,14.24583626
1412477,1383166,yes,succeeded,39:24.7,,,,12.86524892
1412478,1383167,yes,succeeded,39:27.5,,,,14.10345888
1412479,1383168,yes,succeeded,39:30.3,,,,14.34542203
1412480,1383169,yes,succeeded,39:30.2,,,,13.39128184
1412481,1383170,yes,succeeded,39:33.5,,,,14.7555263
1412482,1383171,yes,succeeded,39:32.3,,,,12.6716857
