"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/exposure/granular/event_cancel/base_coverages/cyber/net_prem","net_prem","float","output","n/a","GN Benchmark Premium","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/net_el_mod","net_el_mod","float","output","n/a","Expected Loss after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber/net_prem_mod","net_prem_mod","float","output","n/a","GN Benchmark Premium after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/cyber","cyber","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/covered","covered","bool","input","required","Covered","True","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/sublimit","sublimit","float","input","optional","Sublimit","None","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/trigger","trigger","str","input","optional","Trigger","None","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/uw_adj_min","uw_adj_min","float","output","n/a","Minimum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/uw_adj_max","uw_adj_max","float","output","n/a","Maximum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/uw_adj_sel","uw_adj_sel","float","input","required","Selected","0","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/uw_adj_fin","uw_adj_fin","float","output","n/a","Selected - Final","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/uw_comment","uw_comment","str","input","optional","UW Comment","None","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/net_el_usd","net_el_usd","float","output","n/a","Expected Loss USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/net_prem_usd","net_prem_usd","float","output","n/a","GN Benchmark Premium USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/net_el","net_el","float","output","n/a","Expected Loss","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/net_prem","net_prem","float","output","n/a","GN Benchmark Premium","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/net_el_mod","net_el_mod","float","output","n/a","Expected Loss after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning/net_prem_mod","net_prem_mod","float","output","n/a","GN Benchmark Premium after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/national_mourning","national_mourning","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/covered","covered","bool","input","required","Covered","True","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/sublimit","sublimit","float","input","optional","Sublimit","None","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/uw_adj_min","uw_adj_min","float","output","n/a","Minimum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/uw_adj_max","uw_adj_max","float","output","n/a","Maximum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/uw_adj_sel","uw_adj_sel","float","input","required","Selected","0","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/uw_adj_fin","uw_adj_fin","float","output","n/a","Selected - Final","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/uw_comment","uw_comment","str","input","optional","UW Comment","None","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/net_el_usd","net_el_usd","float","output","n/a","Expected Loss USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/net_prem_usd","net_prem_usd","float","output","n/a","GN Benchmark Premium USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/net_el","net_el","float","output","n/a","Expected Loss","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/net_prem","net_prem","float","output","n/a","GN Benchmark Premium","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/net_el_mod","net_el_mod","float","output","n/a","Expected Loss after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion/net_prem_mod","net_prem_mod","float","output","n/a","GN Benchmark Premium after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/riots_and_civil_commotion","riots_and_civil_commotion","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/covered","covered","bool","input","required","Covered","True","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/sublimit","sublimit","float","input","optional","Sublimit","None","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/uw_adj_min","uw_adj_min","float","output","n/a","Minimum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/uw_adj_max","uw_adj_max","float","output","n/a","Maximum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/uw_adj_sel","uw_adj_sel","float","input","required","Selected","0","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/uw_adj_fin","uw_adj_fin","float","output","n/a","Selected - Final","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/uw_comment","uw_comment","str","input","optional","UW Comment","None","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/net_el_usd","net_el_usd","float","output","n/a","Expected Loss USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/net_prem_usd","net_prem_usd","float","output","n/a","GN Benchmark Premium USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/net_el","net_el","float","output","n/a","Expected Loss","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/net_prem","net_prem","float","output","n/a","GN Benchmark Premium","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/net_el_mod","net_el_mod","float","output","n/a","Expected Loss after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike/net_prem_mod","net_prem_mod","float","output","n/a","GN Benchmark Premium after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/strike","strike","structure","n/a","n/a","n/a","n/a","n/a","n/a"
