Operator,Mapped TLO Group
Freedom Airlines,G
BRA-Braathens Regional Airlines,G
Thomas Cook Airlines Belgium,G
Cebgo,G
Wamos Air,G
Arkia,G
SKY Holding,G
Air Mediterranee,G
Canadian North,G
DAT - Danish Air Transport,G
Avianca Peru,G
Falko,G
Turkmenistan Airlines,G
Jordan Aviation,G
SmartLynx Latvia,G
Sky Airlines,G
Pacific Airlines,G
Sterling (1st),G
Suparna Airlines,G
Viva Air,G
LATAM Airlines Ecuador,G
OK Air,G
LATAM Cargo Brazil,G
Evergreen International Airlines,G
Meridiana (1st),G
Air Moldova,G
VEB-Leasing,G
Yemenia,G
Windrose Airlines,G
Orbest Espana,G
Qeshm Airlines,G
Alitalia Express (1),G
EuroAtlantic airways,G
Taban Airlines,G
Eastern Airlines,G
Kunming Airlines,G
Aeropostal,G
Air Europa Express,G
Kish Air,G
VLM Airlines,G
Norwegian Air Sweden,G
Aircastle,G
European Aviation Ltd,G
Sky Lease Cargo,G
Wind Jet,G
North American Airlines,G
Malindo Air,G
Kuban Airlines,G
USA 3000 Airlines,G
Air Jamaica,G
Donavia,G
European Air Charter,G
Astar Air Cargo,G
Eurofly,G
Arik Air,G
Tigerair Mandala,G
Belair,G
Cobham Avtn Services Australia-Regional Services,G
BA Connect,G
Baja Air Inc,G
Avior Airlines,G
Avolon,G
Airbus Asset Management,G
Eurolot,G
Azur Air Ukraine,G
Kam Air,G
SBA Airlines,G
Helvetic Airways,G
Independence Air,G
Cabo Verde Airlines,G
Blue Dart Aviation,G
Primera Air Scandinavia,G
PAL Express,G
National Airlines,G
ASL Airlines France,G
Nam Air,G
Air Austral,G
Sudan Airways,G
Fuzhou Airlines,G
ALROSA Air Company,G
Air Calin,G
Song,G
Russian Air Force,G
Air Atlanta Icelandic,G
Macquarie AirFinance,G
AWAS,G
MaxAir,G
USA Jet Airlines,G
US Marshals Service JPATS Air Operations,G
Kitty Hawk Air Cargo,G
Egyptair Express,G
GB Airways,G
MIAT - Mongolian Airlines,G
Cubana,G
Uni-top Airlines,G
Lauda Europe,G
Raya Airways,G
Amas Bolivia,G
Somon Air,G
Bombardier Services Corp,G
Caspian Airlines,G
Air Seychelles,G
Myanmar National Airlines,G
Peruvian,G
JAL Express,G
YTO Cargo Airlines,G
AeroJet-Transporte Aero Limitada,G
Lao Airlines,G
HK Express,G
German Air Force,G
Empire Airlines,G
Aloha Airlines,G
FTAI Aviation,G
Georgian Airways,G
Ifly,G
Solaseed Air,G
RwandAir,G
Dniproavia,G
VARIG - VRG Linhas Aereas,G
French Air and Space Force,G
Cargolux Italia,G
PrivatAir,G
BRA-Braathens Regional Airlines (ACMI),G
Estonian Air,G
Japan Airlines Domestic,G
Departamento de Policia Federal,G
Nile Air,G
Saratov Airlines,G
Aergo Capital,G
Titan Airways,G
Skyways,G
KrasAvia,G
Montenegro Airlines,G
Corporate Flight Management,G
Continental Micronesia,G
Clickair,G
Air Italy Fleet Management,G
Star Peru,G
Tailwind Airlines,G
Solenta Aviation,G
Yeti Airlines,G
MyTravel Airways,G
Mountain Air Cargo,G
Myanmar Airways International,G
Avianca Cargo,G
Air Peace,G
Air Next,G
Loganair,G
DHL Aero Expreso,G
Armavia,G
DANA Air,G
Red Wings Airlines,G
TAR Aerolineas,G
AeroUnion,G
Bek Air,G
AeroRescue,G
Aserca Airlines,G
Buddha Air,G
Hong Kong Airlines,G
KF Cargo,G
Sideral Air Cargo,G
Victory Air LLC,G
Bahamasair,G
Total Linhas Aereas,G
Izair,G
Trigana Air,G
Poste Air Cargo,G
Ruili Airlines,G
Air Zimbabwe,G
Private Wings Flugcharter GmbH,G
GA Telesis,G
European Air Transport (1),G
Elite Airways,G
Ariana Afghan Airlines,G
Sky Angkor Airlines,G
Star Air,G
Tiger Aircraft Trading Inc,G
Air Georgian,G
Air Arabia Maroc,G
Embraer,G
SAM Colombia,G
Air Botswana,G
Air KBZ,G
Colorful Guizhou Airlines,G
Air Cote D'Ivoire,G
ASL Airlines Switzerland,G
Adam Air,G
Deer Jet,G
Norwegian Air Norway,G
Meraj Air,G
LIAT,G
Safi Airways,G
Lineas Aereas Suramericanas,G
flyglobespan,G
Cirrus Airlines,G
LAM - Mozambique Airlines,G
CAA - Compagnie Africaine d'Aviation,G
AeroVision International LLC,G
Air Canada Jetz,G
Morningstar Air Express,G
Standard Chartered Aviation Finance,G
Frontera Flight Holdings Inc,G
Livingston Energy Flight,G
Silk Way West Airlines,G
Atlantic Airways (Faroe Islands),G
Thai AirAsia X,G
German Airways,G
Global Supply Systems,G
Contact Air,G
Donbassaero,G
SkyEurope Airlines,G
World Atlantic Airlines,G
Capital Cargo International Airlines,G
Tatarstan Air,G
Royal Air Maroc Express,G
Level (France),G
Alba Star,G
Surinam Airways,G
WOW air (1),G
Flair Airlines,G
Izhavia,G
Privilege Style,G
Alphastream Limited,G
Israir,G
West Air (China),G
Express Freighters Australia,G
Aeronaves TSM,G
Nepal Airlines,G
Atlas Blue,G
Freedom Air (New Zealand),G
Vision Airlines,G
Smartwings (1),G
Air Comet,G
Andes Lineas Aereas,G
AeroTurbine Inc,G
Centurion Air Cargo,G
Midex Airlines,G
AMC Airlines,G
CIT Aerospace,G
XL Airways UK,G
flyEgypt,G
Bural Airlines,G
Futura International Airways,G
Lauda,G
Small Planet Airlines (Lithuania),G
9 Air,G
BH Air,G
Castlelake,G
Pluna,G
Vx Capital Partners,G
Iran Airtour Airline,G
Cayman Airways,G
Grand China Air,G
Aurigny,G
Aruba Airlines,G
Hi Fly,G
Ryan International Airlines,G
MK Airlines,G
Astraeus,G
MetroJet,G
Royal Star Aviation,G
Olympic Air,G
Aviator Capital,G
Logistic Air,G
CEIBA Intercontinental,G
Mauritanian Airlines,G
Nova Airways,G
Angara Airlines,G
Hamburg International,G
Nesma Airlines,G
NewGen Airways,G
Flight Inspections & Systems JSC - Spetsavia,G
Atran,G
MasAir,G
1time Airline,G
Wizz Air UK,G
Ukrainian Air Force,G
Aero Capital Solutions,G
BADR Airlines,G
ACT Air,G
GetJet Airlines,G
Air Seoul,G
ASL Airlines Spain,G
Air Bagan,G
"Aerothrust Holdings Leasing, LLC",G
Tarco Aviation,G
BCI Aircraft Leasing,G
Almasria Universal Airlines,G
ECAir,G
JSX Air,G
Priority Air Charter LLC,G
Airnorth,G
Aerocalifornia,G
Air Antilles,G
Avion Express,G
Sunday Airlines,G
Druk Air,G
Amapola Flyg,G
Air Capital Group LLC,G
Small Planet Airlines (Poland),G
Kras Air,G
Sky Express,G
Bamboo Airways,G
Air North,G
Allied Air Cargo,G
Automatic,G
Hi Fly Malta,G
Fly2Sky,G
TAM - Transporte Aereo Militar,G
Polar Airlines,G
Skyway Airlines,G
Venezolana,G
Global Aviation Operations,G
Hapag-Lloyd Express,G
Deucalion Aviation,G
Air Thanlwin,G
Cargo Aircraft Management,G
Avianca Guatemala,G
Shanghai International Cargo Airlines,G
Avelo Airlines,G
Bluebird Nordic,G
Genesis Aircraft Services,G
Indonesia AirAsia Extra,G
Kalstar Aviation,G
UVT Aero,G
Swoop,G
ADA - Aerolinea de Antioquia,G
Dornier Aviation Marketing Support Inc,G
Rutaca,G
Aerolineas Estelar,G
SkyUp,G
Air Arabia Egypt,G
Eurowings Europe,G
Blue Wings,G
Aero Flite Inc,G
Aloha Air Cargo,G
Vallair Solutions,G
Air Iceland Connect,G
PLAAF - People's Liberation Army Air Force,G
Tronos Ltd,G
SkyExpress (Russia),G
AK Bars Aero,G
Regent Airways,G
Avia Traffic Company,G
Air Spray (1967),G
Nauru Airlines,G
KMW Leasing LLC,G
CentralWings,G
AeroSur,G
