RiskCode,High Level Class of Business,Generic Class of Business,Type of Placement,Risk Code Description,Risk Code Description - Expanded,OECD Class Mapping,Assigned Tracker,Assigned BP Class
RS,Specialty Other,Terrorism,"Direct, Facultative Proportional, Facultative Excess Loss","STRIKES, RIOTS, CIVIL COMMOTION & MALICIOUS DAMAGE (EXCL 1T TO 8T 1E TO 4E)","Direct physical loss or physical damage to tangible property caused by Civil Commotion, Malicious Damage, Riot, or Strike including post-loss Looting or a combination of any of the above perils and resultant Business Interruption if applicable.",PROPERTY DAMAGE,Tracker PAC,Terrorism
RW,Specialty Other,Terrorism,"Direct, Facultative Proportional, Facultative Excess Loss","ACTIVE ASSAILANT (LEGAL LIABILITY, PROPERTY DAMAGE, BUSINESS INTERRUPTION & CRISIS RESPONSE)","Legal liability, property damage, business interruption, loss of attraction and crisis response following an active assailant event involving an assailant actively engaged in killing or causing serious bodily injury to a person using a weapon on any insured location and/or causing physical damage to the insured location. ",GENERAL LIABILITY,Tracker PAC,Terrorism
RX,Aviation,Aviation War,Excess of Loss Treaty,XOL HULLS OF AIRCRAFT WAR AND OR CONFIS RISKS ONLY ,Excess of loss treaty in respect of aircraft hull war and confiscation risks only,AIRCRAFT DMGE & LIAB,Tracker Marine,War
RY,Casualty FinPro,Cyber,"Excess of Loss Treaty, Proportional Treaty",CYBER SECURITY DATA & PRIVACY BREACH TREATY REINSURANCE,"The ceded coverage in respect of first or third party costs, expenses or damages due to a breach (or threatened breach) of cyber security and/or privacy of data, that does not include damage to physical property.",GENERAL LIABILITY,Tracker Cyber,US Cyber
RZ,Casualty FinPro,Cyber,"Excess of Loss Treaty, Proportional Treaty",CYBER SECURITY PROPERTY DAMAGE TREATY REINSURANCE ,"The ceded coverage in respect of first or third party costs, expenses or damages due to a breach of cyber security that includes damage to physical property",PROPERTY DAMAGE,Tracker Cyber,US Cyber
SA,Accident & Health,Accident & Health (direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",SEAFARERS ABANDONMENT (authorised syndicates only),SEAFARERS ABANDONMENT,ACCIDENT AND HEALTH,Tracker PAC,PA Direct
SB,Specialty Other,"Political Risks, Credit & Financial Guarantee","Direct, Facultative Proportional, Facultative Excess Loss, Excess of Loss Treaty, Proportional Treaty","SURETY BOND REINSURANCE - From 01/01/05 also includes business previously coded ""FC"" or ""FS"" ",Surety bond reinsurance,PECUNIARY LOSS,Tracker SR,Specialty Surety
SC,Aviation,Space,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty","SPACE RISKS LAUNCH COMMISSIONING PERIOD AND TRANSPOND OP - From 01/01/08 also includes business previously coded ""CX""","Launch, commissioning and transponder operating in respect of space risks",AIRCRAFT DMGE & LIAB,Tracker Marine,Satellite
SL,Aviation,Space,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",SPACE RISK LIABILITY NO PRODUCTS LEGAL LIABILITY,Space risks liability excluding products liability,AIRCRAFT DMGE & LIAB,Tracker Marine,Satellite
SO,Aviation,Space,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",SPACE RISKS TRANSPONDER OPERATING,Space risks transponder operating,AIRCRAFT DMGE & LIAB,Tracker Marine,Satellite
SR,Marine,Marine XL,Excess of Loss Treaty,AGG STOP LOSS AND XOL MARINE OUTWARD WHOLE ACCOUNT,Marine whole account excess loss treaty and stop loss (applicable to outward reinsurance only),SHIPS DMGE & LIABILITY,Tracker Marine,Marine Misc
T,Marine,Marine Hull,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",Vessels Excl. TLO IV LOH Containers Shipbuilding and WRO,"Vessels excluding shipbuilding, air cushioned vehicles, loss of hire and containers - excluding war risks only",SHIPS DMGE & LIABILITY,Tracker Marine,Hull
TC,Casualty Other,RITC,Not applicable,COMMERCIAL RITC,Commercial reinsurance to close, ,Tracker SR,Specialty Surety
TL,Accident & Health,Term Life,"Direct, Facultative Proportional, Facultative Excess Loss, Excess of Loss Treaty, Proportional Treaty",TEMPORARY LIFE AND PERMANENT HEALTH,Term life and permanent health,LONG TERM BUSINESS,Tracker PAC,Life Direct
TO,Specialty Other,Terrorism,"Direct, Facultative Proportional, Facultative Excess Loss","OVERSEAS STAND ALONE TERROR EXCL ""1T"" to ""8T"" & ""1E"" to ""4E""",Overseas stand alone terrorism physical damage excluding business falling under risk codes 1T to 8T and 1E to 4E,PROPERTY DAMAGE,Tracker PAC,Terrorism
TR,Property Treaty,Property pro rata,Proportional Treaty,ALL RISK PHYSICAL OR LOSS DAMAGE  DIRECT PPNL RI,Property damage pro rata treaty,PROPERTY DAMAGE,Tracker Property,Open Market
TS,Marine,Marine Hull,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",SHIPBUILDING EXCL ENERGY CONSTRUCTION,Shipbuilding excluding energy construction,SHIPS DMGE & LIABILITY,Tracker Marine,Hull
TT,Accident & Health,Pecuniary,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",TITLE INSURANCE,Indemnity Insurance which insures against financial loss from defects to titles on Property and the invalidity of loans held on those properties. This will cover legal defence costs and/or monetary loss amounts incurred,PECUNIARY LOSS,Tracker PAC,Contingency
TU,Specialty Other,Terrorism,"Direct, Facultative Proportional, Facultative Excess Loss",UK STAND ALONE TERRORISM WHICH IS NON POOL RE,UK stand alone terrorism physical damage that is not covered by Pool Re.,PROPERTY DAMAGE,Tracker PAC,Terrorism
TW,Specialty Other,Terrorism,Excess of Loss Treaty,TERRORISM AND WAR ON LAND WHOLE ACCOUNT XOL TREATY RI INCL RI OF POOLS ,"Excess of loss treaty reinsurance in respect of terrorism, war, civil war and related perils including reinsurance of national pools providing such cover",PROPERTY DAMAGE,Tracker PAC,Terrorism
TX,Marine,Marine XL,Excess of Loss Treaty,"XOL VESSELS SHIPBLDG ACV LOH INCL WAR EXCL WRO - From 01/01/05 also includes business previously coded ""OX""","Excess of loss treaty in respect of vessels, shipbuilding, air cushioned vehicles, loss of hire including war but excluding war risks only",SHIPS DMGE & LIABILITY,Tracker Marine,Marine Misc
UA,Casualty Other,NM General Liability (US direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",NM GENERAL AND MISC LIABILITY ALL OTHER INCL USA - FROM 2019 EXCL BINDERS,General and miscellaneous non marine liability on any basis other than claims made including the USA - excluding binders,GENERAL LIABILITY,Tracker SR,US Specialty Programmes
UC,Casualty Other,NM General Liability (US direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",NM GENERAL AND MISC LIAB CLAIMS MADE INCL USA - FROM 2019 EXCL BINDERS,General and miscellaneous liability on a claims made basis including the USA - excluding binders,GENERAL LIABILITY,Tracker SR,London Safeguard
