lloyds_risk_code,yoa,gpi,gnpi,acquisition_cost,latest_paid_position,latest_incurred_position,gn_ulr,incurred_development,paid_development,premium_development
FM,2012,0,0,0,0,0,0,1.009958402,0,1
FM,2013,0,0,0,0,0,0,1.016746624,0,1
FM,2014,0,0,0,0,0,0,1.015899187,0,1
FM,2015,12617755.13,10081342.63,0.201019316,401923.9,401923.9,0,1.020128864,0,1
FM,2016,27001787.69,21921158.93,0.188158977,236098.013,272128.513,0,1.009287422,0,1.000244892
FM,2017,38726506.4,34070849.77,0.120218865,41878.94,66478.94,0,1.01868899,0,1.003557116
FM,2018,32496657.47,29337799.64,0.097205623,476057.7543,681353.7245,0,1.025103815,0,0.99577817
FM,2019,17268915.34,15303974.28,0.113784857,585753.9617,964372.579,0,1.031553545,0,1.010253329
FM,2020,21441508.21,18992207.19,0.114231751,145390.3305,200406.8483,0,1.031589081,0,1.007644129
FM,2021,18947559.03,16102343.39,0.150162648,82971.1907,201436.7853,0,0.994487732,0,0.975809087
FM,2022,22435619.92,20346361.24,0.093122396,222642.7142,327277.3105,0,0.939914013,0,0.942430219
FM,2023,18905111.36,16923989.94,0.104792899,182186.8192,323569.9874,0,0.774546829,0,0.872880697
FM,2024,12897541.82,11140101.75,0.136261629,0,3372.2461,0,0.39615656,0,0.748435512
FM,2025,3540359.98,3099930,0.124402598,50.81,112.3,0,0.039920924,0,0.364787512
G,2005,0,0,0,0,0,0,1,0,1
G,2006,374352271,314658718.5,0.159458235,201761900.7,203592977.9,0,1,0,1
G,2007,418129666.7,340767332.4,0.18501996,378773915.7,385221701.3,0,1,0,1
G,2008,454993223.7,372336091.5,0.181666732,168675284,168775536,0,0.999290286,0,1
G,2009,530018217.4,443270181.7,0.163669913,185427880.7,186664862.7,0,1,0,1
G,2010,572981274.5,483234362.8,0.156631492,214477192.9,222921376.4,0,1,0,1
G,2011,583739612.1,483530840.9,0.171666903,964641351.6,970306669,0,1,0,1
G,2012,647954484,541162952.8,0.164813322,265897899.9,268923210.7,0,1,0,1
G,2013,687635495.7,574967259.2,0.163848779,370188919.4,387921575.4,0,1,0,1
G,2014,699257552.8,581297383.3,0.168693451,365493291.5,372669293.3,0,1,0,1
G,2015,685842057.3,566308666.1,0.174287053,336217758.9,378387788.1,0,1,0,1
G,2016,714403819.1,586865503.6,0.178524123,280477726.8,301048504.6,0,1,0,0.999898741
G,2017,740268591.1,609670422.8,0.176419978,467651717.5,503852268.4,0,1,0,0.999795791
G,2018,691929515.1,574782756.3,0.169304469,512830280,573691892,0,1,0,0.999856362
G,2019,649535992.2,532414656.2,0.18031539,805791237.9,929996591.5,0,1,0,0.996452058
G,2020,632827595.8,517092309.1,0.182885967,279352612.6,403876733,0,1,0,0.995795323
G,2021,653215468.6,538084378.6,0.176252853,463540086.7,600373095.2,0,0.983913852,0,0.995128818
G,2022,787044988.4,652612301.9,0.170806864,122698996.8,216684477,0,0.926374439,0,0.993992314
G,2023,802227887.4,662606108.1,0.17404254,84235523.44,197317401.4,0,0.801087102,0,0.982999104
G,2024,813328589.7,675946813.1,0.168913006,41723808.45,261195210.1,0,0.554418051,0,0.912916909
G,2025,488790366,421003793.9,0.1386823,5448280.236,47494995.05,0,0.114927049,0,0.581591684
GC,2005,0,0,0,0,0,0,1,0,1
GC,2006,24429834.05,20793626.66,0.148842902,9761963.787,9761963.766,0,1,0,1
GC,2007,24491537.86,19656068.98,0.197434269,4058850.825,4058849.845,0,1,0,1
GC,2008,27668630.91,22350034.6,0.192224774,2264586.163,2264586.183,0,1,0,1
GC,2009,26585132.03,21952449.24,0.174258408,3886977.269,4249445.17,0,1,0,1
GC,2010,31042849.68,25215874.65,0.187707478,7757224.358,7768581.229,0,1,0,0.999367423
GC,2011,32772340.78,26468836.35,0.192342209,12711235.23,12720361.59,0,1,0,0.999731929
GC,2012,36178695.72,29010739.5,0.198126441,9336094.681,9342398.155,0,1,0,0.999731919
GC,2013,40093482.77,31562208.62,0.212784562,19743582.58,20222634.27,0,1,0,0.999731919
GC,2014,45329538.01,36060222.3,0.204487319,27553949.31,28431066.11,0,1,0,0.999732457
GC,2015,45554085.01,36157458.26,0.206274075,20665556.58,21332179.1,0,1,0,0.999777942
GC,2016,41711416.91,33010657.81,0.208594187,35238407.03,36512489.05,0,1,0,0.999726468
GC,2017,40739007.69,33279981.8,0.18309297,21920164.2,25156669.19,0,1,0,0.999650734
GC,2018,40491220.38,32809582.97,0.189711185,19555745.66,19708603.47,0,1,0,0.999438354
GC,2019,40720135.01,33063321.72,0.188035066,5204281.123,5948475.689,0,0.988132318,0,0.999466853
