risk_code,yoa,gn_written_premium,acquisition_costs,paid_cat,paid_total_ex_cat,paid_total,incurred_cat,incurred_total_ex_cat,incurred_total,rate_change
D5,2007,594238.5914,194111.6928,0,9203.172829,9203.172829,0,9203.172829,9203.172829,0.928845078
D5,2008,1218345.526,337262.0416,0,208837.4825,208837.4825,0,208837.4825,208837.4825,0.978103827
D5,2009,4246032.4,747192.8462,0,891523.0619,891523.0619,0,891523.0619,891523.0619,1.031799809
D5,2010,1617429.239,211781.5429,0,40052.145,40052.145,0,40052.145,40052.145,0.975284334
D5,2011,2738641.54,641932.929,0,230789.3202,230789.3202,0,230789.3202,230789.3202,1.006571226
D5,2012,2458173.441,342021.3811,0,15258.8,15258.8,0,15258.8,15258.8,0.928585925
D5,2013,3217909.32,248518.217,0,39802.6769,39802.6769,0,39802.6769,39802.6769,0.96701445
D5,2014,1859808.31,140799.9585,0,33048.6,33048.6,0,33048.6,33048.6,0.986754134
D5,2015,1344040.823,130874.4173,0,54732.475,54732.475,0,54732.475,54732.475,0.980860546
D5,2016,1392959.467,135696.7225,0,32743.875,32743.875,0,32743.875,32743.875,0.82234403
D5,2017,5085712.264,777026.359,0,395565.2945,395565.2945,0,420080.7945,420080.7945,0.91849053
D5,2018,7017734.446,1218719.248,0,617114.8354,617114.8354,0,898481.0854,898481.0854,1.02292118
D5,2019,16627067.43,3315751.144,10556.30158,2513552.425,2524108.727,18002.19548,2717493.611,2735495.807,1.121432553
D5,2020,27234505.12,4719015.337,40450.70128,11997338.45,12037789.16,45280.93371,14032785.88,14078066.82,1.485227256
D5,2021,37387884.22,6202303.54,35059.98716,3660059.812,3695119.8,38034.47721,3704525.043,3742559.52,1.211481371
D5,2022,37692803.84,6559980.502,19482.51178,5014984.355,5034466.867,73097.32295,9557368.191,9630465.514,1.005967647
D5,2023,33917690.36,6680733.501,28648.66357,449653.0683,478301.7319,30246.15256,798414.0868,828660.2393,0.924535625
D5,2024,32692981.67,6697371.326,175.085004,412136.6249,412311.7099,354.891205,980762.2845,981117.1757,0.91986063
D5,2025,27660381.36,5687139.819,203.1564129,44670.32262,44873.47903,29306.337,59725.38418,89031.72119,0.905861947
D5,2026,14441016.13,3066958.345,0,75.523418,75.523418,0,701.039209,701.039209,0.949904922
D5,2027,0,0,0,0,0,0,0,0,1
D6,2000,0,0,0,0,0,0,0,0,1
D6,2001,0,0,0,0,0,0,0,0,1
D6,2002,0,0,0,0,0,0,0,0,1
D6,2003,0,0,0,0,0,0,0,0,1
D6,2004,0,0,0,0,0,0,0,0,1
D6,2005,0,0,0,0,0,0,0,0,1
D6,2006,0,0,0,0,0,0,0,0,1
D6,2007,0,0,0,0,0,0,0,0,1
D6,2008,0,0,0,0,0,0,0,0,1
D6,2009,0,0,0,0,0,0,0,0,1
D6,2010,0,0,0,0,0,0,0,0,1
D6,2011,0,0,0,0,0,0,0,0,1
D6,2012,0,0,0,0,0,0,0,0,1
D6,2013,0,0,0,0,0,0,0,0,1
D6,2014,0,0,0,0,0,0,0,0,1
D6,2015,0,0,0,0,0,0,0,0,1
D6,2016,68230037.58,24100713.44,0,55686021.27,55686021.27,0,57934779.27,57934779.27,1.023565721
D6,2017,100125831.9,35004836.64,0,85919853.72,85919853.72,0,87309482.72,87309482.72,0.997797551
D6,2018,79666532.8,29460521.05,0,89871410.54,89871410.54,0,98129422.34,98129422.34,1.045474182
D6,2019,86145955.5,31152531.02,56384.391,77460005.2,77516389.59,56384.391,79346793.7,79403178.09,1.077175099
D6,2020,74441933.01,26103576.91,30506.37578,46021289.23,46051795.6,30812.59976,57753179.32,57783991.92,1.277232527
D6,2021,56333573.65,17573279.72,17641.35518,15168012.24,15185653.6,17643.29118,17063649.4,17081292.69,1.371575624
