"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/political/exposure_curve","exposure_curve","str","input","required","Exposure Curve","Standard"
"cds/exposure/granular/political/ec_param_b","ec_param_b","float","output","n/a","Exposure Curve - param b","n/a"
"cds/exposure/granular/political/ec_param_g","ec_param_g","float","output","n/a","Exposure Curve - param g","n/a"
"cds/exposure/granular/political/simulation/last_run_status","last_run_status","str","output","n/a","Status - Last run of Simulation","n/a"
"cds/exposure/granular/political/simulation/last_run_date","last_run_date","str","output","n/a","Date - Last run of Simulation","n/a"
"cds/exposure/granular/political/simulation/last_run_value","last_run_value","str","output","n/a","Check Value - Last run of Simulation","n/a"
"cds/exposure/granular/political/simulation/calc_run_value","calc_run_value","str","output","n/a","Check Value - Prospective Simulation","n/a"
"cds/exposure/granular/political/simulation/check_run_consistent","check_run_consistent","str","output","n/a","Does simulation need to be rerun:","n/a"
"cds/exposure/granular/political/simulation/num_sims","num_sims","int","output","n/a","Number of Sims","n/a"
"cds/exposure/granular/political/simulation/total_sim_loss_uncapped","total_sim_loss_uncapped","float","input","required","Simulated Loss Amount - uncapped","0"
"cds/exposure/granular/political/simulation/total_sim_loss_capped","total_sim_loss_capped","float","input","required","Simulated Loss Amount - capped","0"
"cds/exposure/granular/political/simulation/total_det_loss_uncapped","total_det_loss_uncapped","float","output","n/a","Deterministic Loss Amount - uncapped","n/a"
"cds/exposure/granular/political/simulation/total_det_loss_capped","total_det_loss_capped","float","output","n/a","Deterministic Loss Amount - capped","n/a"
"cds/exposure/granular/political/simulation/total_det_loss_scaled","total_det_loss_scaled","float","output","n/a","Deterministic Loss Amount - capped & scaled","n/a"
"cds/exposure/granular/political/simulation","simulation","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/key_summary_outputs/tenor_score","tenor_score","float","output","n/a","Tenor Score","n/a"
"cds/exposure/granular/political/key_summary_outputs/tenor_rate","tenor_rate","float","output","n/a","Tenor Rate","n/a"
"cds/exposure/granular/political/key_summary_outputs/on_cover/gov_action","gov_action","bool","output","n/a","Government Action & Intervention","n/a"
"cds/exposure/granular/political/key_summary_outputs/on_cover/pol_violence","pol_violence","bool","output","n/a","Political Violence","n/a"
"cds/exposure/granular/political/key_summary_outputs/on_cover/cur_inconvertibility","cur_inconvertibility","bool","output","n/a","Currency Inconvertibility","n/a"
"cds/exposure/granular/political/key_summary_outputs/on_cover/cont_relation_govt","cont_relation_govt","bool","output","n/a","Contractual Relationship with Government","n/a"
"cds/exposure/granular/political/key_summary_outputs/on_cover","on_cover","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/key_summary_outputs/exposure_rol/gov_action","gov_action","float","output","n/a","Government Action & Intervention","n/a"
"cds/exposure/granular/political/key_summary_outputs/exposure_rol/pol_violence","pol_violence","float","output","n/a","Political Violence","n/a"
"cds/exposure/granular/political/key_summary_outputs/exposure_rol/cur_inconvertibility","cur_inconvertibility","float","output","n/a","Currency Inconvertibility","n/a"
"cds/exposure/granular/political/key_summary_outputs/exposure_rol/cont_relation_govt","cont_relation_govt","float","output","n/a","Contractual Relationship with Government","n/a"
"cds/exposure/granular/political/key_summary_outputs/exposure_rol/total","total","float","output","n/a","Total","n/a"
"cds/exposure/granular/political/key_summary_outputs/exposure_rol","exposure_rol","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/key_summary_outputs/simulated_prem/gov_action","gov_action","float","output","n/a","Government Action & Intervention","n/a"
"cds/exposure/granular/political/key_summary_outputs/simulated_prem/pol_violence","pol_violence","float","output","n/a","Political Violence","n/a"
"cds/exposure/granular/political/key_summary_outputs/simulated_prem/cur_inconvertibility","cur_inconvertibility","float","output","n/a","Currency Inconvertibility","n/a"
