SICCode,Admitted
3579,Manufacturing - Computers
3580,Manufacturing - Computers
3581,Manufacturing - Machinery
3582,Manufacturing - Machinery
3585,Manufacturing - Machinery
3586,Manufacturing - Machinery
3589,Manufacturing - Machinery
3590,Manufacturing - Machinery
3592,Manufacturing - Machinery
3593,Manufacturing - Machinery
3594,Manufacturing - Machinery
3596,Manufacturing - Machinery
3599,Manufacturing - Machinery
3600,Manufacturing - Machinery
3612,Manufacturing - Machinery
3613,Manufacturing - Machinery
3620,Manufacturing - Machinery
3621,Manufacturing - Machinery
3624,Manufacturing - Machinery
3625,Manufacturing - Machinery
3629,Manufacturing - Machinery
3630,Manufacturing - Appliances
3631,Manufacturing - Appliances
3632,Manufacturing - Appliances
3633,Manufacturing - Appliances
3634,Manufacturing - Appliances
3635,Manufacturing - Appliances
3639,Manufacturing - Appliances
3640,Manufacturing - All other 
3641,Manufacturing - All other 
3643,Manufacturing - Electronics
3644,Manufacturing - Electronics
3645,Manufacturing - All other 
3646,Manufacturing - All other 
3647,Manufacturing - All other 
3648,Manufacturing - All other 
3651,Manufacturing - Electronics
3652,Manufacturing - All other 
3661,Manufacturing - Electronics
3663,Manufacturing - Electronics
3669,Manufacturing - Electronics
3670,Manufacturing - Electronics
3671,Manufacturing - Electronics
3672,Manufacturing - Electronics
3674,Manufacturing - Electronics
3675,Manufacturing - Electronics
3676,Manufacturing - Electronics
3677,Manufacturing - Electronics
3678,Manufacturing - Electronics
3679,Manufacturing - Electronics
3690,Manufacturing - Electronics
3691,Manufacturing - Electronics
3692,Manufacturing - Electronics
3694,Manufacturing - Electronics
3695,Manufacturing - Electronics
3699,Manufacturing - Electronics
3711,Manufacturing - All other 
3713,Manufacturing - All other 
3714,Manufacturing - All other 
3715,Manufacturing - All other 
3716,Manufacturing - All other 
3720,Manufacturing - All other 
3721,Manufacturing - All other 
3724,Manufacturing - All other 
3728,Manufacturing - All other 
3730,Manufacturing - All other 
3731,Manufacturing - All other 
3732,Manufacturing - All other 
3743,Manufacturing - All other 
3751,Manufacturing - All other 
3760,Manufacturing - All other 
3761,Manufacturing - All other 
3764,Manufacturing - All other 
3769,Manufacturing - All other 
3790,Manufacturing - All other 
3792,Manufacturing - All other 
3795,Manufacturing - All other 
3799,Manufacturing - All other 
3812,Manufacturing - All other 
3821,Manufacturing - All other 
3822,Manufacturing - All other 
3823,Manufacturing - All other 
3824,Manufacturing - All other 
3825,Manufacturing - All other 
3826,Manufacturing - All other 
3827,Manufacturing - All other 
3829,Manufacturing - All other 
3841,Manufacturing - All other 
3842,Manufacturing - All other 
3843,Manufacturing - All other 
3844,Manufacturing - All other 
3845,Manufacturing - All other 
3851,Manufacturing - All other 
3861,Manufacturing - All other 
3873,Manufacturing - All other 
3910,Manufacturing - All other 
3911,Manufacturing - All other 
3914,Manufacturing - All other 
3915,Manufacturing - All other 
3931,Manufacturing - All other 
3942,Manufacturing - All other 
3944,Manufacturing - All other 
3949,Manufacturing - All other 
3950,Manufacturing - All other 
3951,Manufacturing - All other 
3952,Manufacturing - All other 
3953,Manufacturing - All other 
3955,Manufacturing - All other 
3960,Manufacturing - All other 
3961,Manufacturing - All other 
3965,Manufacturing - All other 
3990,Manufacturing - All other 
3991,Manufacturing - All other 
3993,Manufacturing - All other 
3995,Manufacturing - All other 
3996,Manufacturing - All other 
3999,Manufacturing - All other 
4011,Transportation  - All Other
4013,Transportation  - All Other
4100,Transportation  - All Other
4111,Transportation  - All Other
4119,Transportation  - All Other
4121,Transportation  - All Other
4131,Transportation  - All Other
4141,Transportation  - All Other
4142,Transportation  - All Other
4151,Transportation  - All Other
4173,Transportation  - All Other
4210,Transportation  - Trucking
4212,Transportation  - Trucking
4213,Transportation  - Trucking
4214,Transportation  - Trucking
4215,Transportation  - All Other
4220,All other 
4221,All other 
4222,All other 
4225,All other 
4226,All other 
4231,Transportation  - Trucking
4311,Transportation  - All Other
4400,Transportation  - All Other
4412,Transportation  - All Other
4424,Transportation  - All Other
4432,Transportation  - All Other
4449,Transportation  - All Other
4481,Transportation  - All Other
4482,Transportation  - All Other
4489,Transportation  - All Other
4491,Transportation  - All Other
4492,Transportation  - All Other
4493,Transportation  - All Other
4499,Transportation  - All Other
4512,Transportation  - Airlines
4513,Transportation  - Airlines
4522,Transportation  - Airlines
4581,Transportation  - Airlines
4610,Oil and Gas
4612,Oil and Gas
4613,Oil and Gas
4619,Oil and Gas
4700,All other 
4724,All other 
4725,All other 
4729,Transportation  - All Other
4731,Transportation  - All Other
4741,All other 
4783,All other 
4785,All other 
4789,Transportation  - All Other
4812,Telecommunications
4813,Telecommunications
4822,Telecommunications
4832,Telecommunications
4833,Telecommunications
4841,Telecommunications
4899,Telecommunications
4911,Utilities- - no nuclear
4922,Oil and Gas
4923,Oil and Gas
4924,Oil and Gas
4925,Oil and Gas
4931,Utilities- - no nuclear
4932,Utilities- - no nuclear
4939,Utilities- - no nuclear
4941,Utilities- - no nuclear
4950,Utilities- - no nuclear
4952,Utilities- - no nuclear
4953,Utilities- - no nuclear
4955,Utilities- - no nuclear
4959,Utilities- - no nuclear
4961,Utilities- - no nuclear
4971,Utilities- - no nuclear
4991,Utilities- - no nuclear
5000,Utilities- - no nuclear
5010,Manufacturing - All other 
5012,Manufacturing - All other 
5013,Manufacturing - All other 
5014,Manufacturing - All other 
5015,Manufacturing - All other 
5020,Manufacturing - Furniture
5021,Manufacturing - Furniture
5023,Manufacturing - Furniture
5030,Building Materials
5031,Building Materials
5032,Building Materials
5033,Building Materials
5039,Building Materials
5040,Building Materials
5043,Manufacturing - Appliances
5044,Manufacturing - Appliances
5045,Manufacturing - Computers
5046,Manufacturing - Appliances
5047,Manufacturing - Appliances
5048,Manufacturing - All other 
5049,Manufacturing - Appliances
5051,Manufacturing - All other 
5052,Manufacturing - All other 
5063,Manufacturing - All other 
5064,Manufacturing - Electronics
5065,Manufacturing - Electronics
5070,Manufacturing - All other 
5072,Manufacturing - All other 
5074,Manufacturing - All other 
5075,Manufacturing - All other 
5078,Manufacturing - All other 
5080,Manufacturing - All other 
5082,Manufacturing - Machinery
5083,Manufacturing - Machinery
5084,Manufacturing - Machinery
5085,Manufacturing - Machinery
5087,Manufacturing - All other 
5088,Transportation  - All Other
5090,Manufacturing - All other 
5091,Manufacturing - All other 
5092,Manufacturing - All other 
5093,Manufacturing - All other 
5094,Manufacturing - All other 
5099,Manufacturing - All other 
5110,Printing and Publishing
5111,Printing and Publishing
5112,Paper
5113,Paper
5122,Pharmaceuticals
5130,Manufacturing - Apparel
5131,Manufacturing - Apparel
5136,Manufacturing - Apparel
5137,Manufacturing - Apparel
5139,Manufacturing - Apparel
5140,Food and Dairy Products
5141,Food and Dairy Products
5142,Food and Dairy Products
5143,Food and Dairy Products
5144,Food and Dairy Products
5145,Food and Dairy Products
5146,Food and Dairy Products
5147,Food and Dairy Products
5148,Food and Dairy Products
5149,Food and Dairy Products
5150,Food and Dairy Products
5153,Food and Dairy Products
5154,Food and Dairy Products
5159,All other 
5160,All other 
5162,Manufacturing - All other 
5169,Manufacturing - Chemicals
5171,Oil and Gas
5172,Oil and Gas
5180,Beverages
5181,Beverages
5182,Beverages
5190,All other 
5191,All other 
5192,Printing and Publishing
5193,All other 
5194,Tobacco
5198,All other 
5199,All other 
5200,All other 
5211,Building Materials
5231,All other 
5251,All other 
5261,All other Retail Stores
5271,All other Retail Stores
5311,Department Stores
5331,All other Retail Stores
5399,All other Retail Stores
5400,All other Retail Stores
5411,All other Retail Stores
5412,All other Retail Stores
5421,All other Retail Stores
5431,All other Retail Stores
5441,All other Retail Stores
5451,All other Retail Stores
5461,All other Retail Stores
5499,All other Retail Stores
5500,All other Retail Stores
5511,All other Retail Stores
5521,All other Retail Stores
5531,All other Retail Stores
5541,All other Retail Stores
5551,All other Retail Stores
5561,All other Retail Stores
5571,All other Retail Stores
5599,All other Retail Stores
5600,All other Retail Stores
5611,All other Retail Stores
5621,All other Retail Stores
5632,All other Retail Stores
5641,All other Retail Stores
5651,All other Retail Stores
5661,All other Retail Stores
5699,All other Retail Stores
5700,All other Retail Stores
5712,All other Retail Stores
5713,All other Retail Stores
5714,All other Retail Stores
5719,All other Retail Stores
5722,All other Retail Stores
5731,All other Retail Stores
5734,All other Retail Stores
5735,All other Retail Stores
5736,All other Retail Stores
5810,All other Retail Stores
5812,All other Retail Stores
5813,All other Retail Stores
5900,All other Retail Stores
5912,All other Retail Stores
5921,All other Retail Stores
5932,All other Retail Stores
5940,All other Retail Stores
5941,All other Retail Stores
5942,All other Retail Stores
5943,All other Retail Stores
5944,All other Retail Stores
5945,All other Retail Stores
5946,All other Retail Stores
5947,All other Retail Stores
5948,All other Retail Stores
5949,All other Retail Stores
5960,All other Retail Stores
5961,All other Retail Stores
5962,All other Retail Stores
5963,All other Retail Stores
5983,All other Retail Stores
5984,All other Retail Stores
5989,All other Retail Stores
5990,All other Retail Stores
5992,All other Retail Stores
5993,All other Retail Stores
5994,All other Retail Stores
5995,All other Retail Stores
5999,All other Retail Stores
6011,Professional Services
6019,Professional Services
6020,Professional Services
6021,Professional Services
6022,Professional Services
6029,Professional Services
6035,Professional Services
6036,Professional Services
6061,Professional Services
6062,Professional Services
6081,Professional Services
6082,Professional Services
6091,Professional Services
6099,Professional Services
6111,Professional Services
6141,Professional Services
6153,Professional Services
6159,Professional Services
6162,Professional Services
6163,Professional Services
6172,Professional Services
6189,Professional Services
6199,Professional Services
6200,Professional Services
6211,Professional Services
6221,Professional Services
6231,Professional Services
6282,Professional Services
6289,Professional Services
6311,Professional Services
6321,Professional Services
6324,Professional Services
6331,Professional Services
6351,Professional Services
6361,Professional Services
6371,Professional Services
6380,Professional Services
6382,Professional Services
6399,Professional Services
6411,Professional Services
6500,Real Estate
6510,Real Estate
6512,Real Estate
6513,Real Estate
6514,Real Estate
6515,Real Estate
6517,Real Estate
6519,Real Estate
6531,Real Estate
6532,Real Estate
6541,Real Estate
6552,Real Estate
6553,Real Estate
6712,Professional Services
6719,Professional Services
6722,Professional Services
6726,Professional Services
6732,Professional Services
6733,Professional Services
6770,Oil and Gas
6792,Oil and Gas
6794,Professional Services
6795,Professional Services
6798,Professional Services
6799,Professional Services
7011,Hotels/Motels
7021,Hotels/Motels
7032,Hotels/Motels
7033,Hotels/Motels
7041,Hotels/Motels
7200,All other 
7211,All other 
7212,All other 
7213,All other 
7215,All other 
7216,All other 
7217,All other 
7218,All other 
7219,All other 
7221,All other 
7231,Professional Services
7241,All other 
7251,All other 
7261,All other 
7291,Professional Services
7299,All other 
7310,Advertising Agencies
7311,Advertising Agencies
7312,Advertising Agencies
7313,Advertising Agencies
7319,All other 
7320,All other 
7322,Professional Services
7323,Professional Services
7330,Professional Services
7331,Professional Services
7334,All other 
7335,All other 
7336,All other 
7338,All other 
7340,All other 
7342,All other 
7349,All other 
7350,All other 
7352,All other 
7353,All other 
7359,All other 
7361,All other 
7363,All other 
7370,All other 
7371,Software Companies
7372,Software Companies
7373,Software Companies
7374,Software Companies
7375,Software Companies
7376,Software Companies
7377,Software Companies
7378,Software Companies
7379,Software Companies
7380,Professional Services
7381,Professional Services
7382,Professional Services
7383,Professional Services
7384,All other 
7385,All other 
7389,All other 
7500,All other 
7510,All other 
7513,All other 
7514,All other 
7515,All other 
7519,All other 
7521,All other 
7532,All other 
7533,All other 
7534,All other 
7536,All other 
7537,All other 
7538,All other 
7539,All other 
7542,All other 
7549,All other 
7600,All other 
7622,All other 
7623,All other 
7629,All other 
7631,All other 
7641,All other 
7692,All other 
7694,All other 
7699,All other 
7812,All other 
7819,All other 
7822,All other 
7829,All other 
7830,All other 
7832,Amusement and Recreation
7833,Amusement and Recreation
7841,Amusement and Recreation
7900,Amusement and Recreation
7911,Amusement and Recreation
7922,All other 
7929,Amusement and Recreation
7933,Amusement and Recreation
7941,Amusement and Recreation
7948,Amusement and Recreation
7990,Amusement and Recreation
7991,Amusement and Recreation
7992,Amusement and Recreation
7993,Amusement and Recreation
7996,Amusement and Recreation
7997,Amusement and Recreation
7999,Amusement and Recreation
8000,Amusement and Recreation
8011,Professional Services
8021,Professional Services
8031,Professional Services
8041,Professional Services
8042,Professional Services
8043,Professional Services
8049,Professional Services
8050,Professional Services
8051,Professional Services
8052,Professional Services
8059,Professional Services
8060,Professional Services
8062,Professional Services
8063,Professional Services
8069,Professional Services
8071,Professional Services
8072,Professional Services
8082,Professional Services
8090,Professional Services
8092,Professional Services
8093,Professional Services
8099,Professional Services
8111,Professional Services
8200,Professional Services
8211,Professional Services
8221,Professional Services
8222,Professional Services
8231,All other 
8243,Professional Services
8244,Professional Services
8249,Professional Services
8299,Professional Services
8300,Professional Services
8322,Professional Services
8331,All other 
8351,All other 
8361,All other 
8399,All other 
8412,All other 
8422,All other 
8611,All other 
8621,All other 
8631,All other 
8641,All other 
8651,All other 
8661,All other 
8699,All other 
8700,All other 
8711,Professional Services
8712,Professional Services
8713,Professional Services
8721,Professional Services
8731,Professional Services
8732,Professional Services
8733,Professional Services
8734,Professional Services
8741,Professional Services
8742,Professional Services
8743,All other 
8744,All other 
8748,Professional Services
8811,All other 
8900,All other 
8999,All other 
9111,All other 
9121,All other 
9131,All other 
9199,All other 
9211,All other 
9221,All other 
9222,All other 
9223,All other 
9224,All other 
9229,All other 
9311,All other 
9411,All other 
9431,All other 
9441,All other 
9451,All other 
9511,All other 
9512,All other 
9531,All other 
9532,All other 
9611,All other 
9621,All other 
9631,All other 
9641,All other 
9651,All other 
9661,All other 
9711,All other 
9721,All other 
9995,All other 
9999,All other 
