GroupItem,GroupType,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
INSURANCE / MEDICAL SERVICE AND HEALTH INSURANCE,Base Frequency,0.041666666666666664,0.045454545454545456,0.0,0.09523809523809523,0.06471327489293188,0.06860837516157273,0.07160402686726296,0.03675747601115222,0.0,0.0,0.034817038205084194,0.0,0.0,0.0,0.08035052111330468,0.0,0.13414110123584197,0.0,0.0,0.0,0.0,0.0
MANUFACTURING (DURABLE),Claims,15.0,19.0,18.0,33.0,16.0,14.0,12.0,17.0,9.0,13.0,1.0,19.0,3.0,18.0,14.0,24.0,3.0,23.0,17.0,4.0,7.0,27.0
MANUFACTURING (DURABLE),Exposure,839.0,783.0,727.0,699.0,712.0946,721.2892,723.378,659.9574,598.4374,664.3148,676.3309,637.9472,675.3254,671.8915,667.9449,649.7815,656.3942,719.7852087411922,819.8217699941881,891.3797245519111,890.9938644903021,890.9938644903021
MANUFACTURING (DURABLE),Base Frequency,0.017878426698450536,0.024265644955300127,0.024759284731774415,0.04721030042918455,0.022468924774882437,0.0194096903156182,0.016588837371332828,0.025759238399326985,0.015039167003933911,0.01956903564394471,0.0014785661870542954,0.029783029065728325,0.0044423029253749385,0.026790039760884014,0.020959812703113687,0.03693549293108529,0.004570424296863074,0.03195397699297533,0.020736214409286198,0.004487425380929284,0.007856395289550493,0.030303238973980472
MANUFACTURING (DURABLE) / INSTRUMENTS ET AL / MEDICAL INSTRUMENTS AND SUPPLIES,Claims,3.0,5.0,7.0,8.0,6.0,5.0,9.0,5.0,7.0,2.0,6.0,11.0,3.0,6.0,9.0,3.0,9.0,9.0,7.0,4.0,5.0,7.0
MANUFACTURING (DURABLE) / INSTRUMENTS ET AL / MEDICAL INSTRUMENTS AND SUPPLIES,Exposure,150.0,141.0,133.0,138.0,140.848,139.3186,139.1531,122.585,115.2666,123.2179,121.3213,116.2073,124.5007,129.3579,130.2289,122.8946,131.0759,149.2912740583906,164.1386584029654,178.89250515444442,169.35056593403456,169.35056593403456
MANUFACTURING (DURABLE) / INSTRUMENTS ET AL / MEDICAL INSTRUMENTS AND SUPPLIES,Base Frequency,0.02,0.03546099290780142,0.05263157894736842,0.057971014492753624,0.04259911393843008,0.03588896242138523,0.06467696371837925,0.04078802463596688,0.060728780062915017,0.01623140793667154,0.0494554542359833,0.09465842507312364,0.024096250061244637,0.046382942209173154,0.06910908408195109,0.024411162085234014,0.0686625077531415,0.06028483618191866,0.04264686983620146,0.022359796440586787,0.029524554420134623,0.04133437618818847
MANUFACTURING (NON DURABLE) EXC APPAREL,Claims,5.0,8.0,7.0,9.0,6.0,5.0,7.0,8.0,4.0,7.0,3.0,1.0,2.0,5.0,12.0,9.0,8.0,11.0,8.0,5.0,1.0,5.0
MANUFACTURING (NON DURABLE) EXC APPAREL,Exposure,361.0,341.0,327.0,311.0,367.3734,375.6168,387.0959,370.5676,356.2968,376.3159,378.4132,377.4329,388.0838,399.3402,405.2684,411.0613,408.5686,450.65554533449284,398.5998471404185,424.9749963426993,397.22605584216575,397.22605584216575
MANUFACTURING (NON DURABLE) EXC APPAREL,Base Frequency,0.013850415512465374,0.02346041055718475,0.021406727828746176,0.028938906752411574,0.0163321568736332,0.013311438678994123,0.018083374171620006,0.02158850369001499,0.011226595355332969,0.018601393138052365,0.007927841840612324,0.0026494775627667858,0.00515352611987411,0.012520652816821347,0.029610006603031473,0.02189454468226515,0.019580555138109,0.024408886374260415,0.020070253557276867,0.011765398065838224,0.0025174582213140146,0.012587291106570073
